COnsyderyng	COnsyderyng	vvg	Considering	considere	0
nedefull	nedefull	j	needful	needful	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
knowen	knowen	vvn	known	know	0
,	,	,	,	,	0
concernyng	concernyng	vvg	concerning	concern	0
thynges	thynges	n2	things	thing	0
done	done	vdn	done	do	0
in	in	p-acp	in	in	0
tymes	tymes	n2	times	time	0
passed	passed	vvn	passed	pass	0
.	.	.	.	.	1
The	The	dt	The	the	0
learned	learned	j	learned	learned	0
haue	haue	vhb	have	have	0
the	the	dt	the	the	0
latyne	latyne	jp	latin	latin	0
tounge	tounge	n1	tongue	tongue	0
,	,	,	,	,	0
and	and	cc	and	and	0
therfore	therfore	av	therefore	therefore	0
my	my	po11	my	my	0
laboure	laboure	n1	labour	labour	0
maye	maye	vmb	may	may	0
seme	seme	vvi	seem	seem	0
the	the	dt	the	the	0
lesse	lesse	av-dc	less	less	0
profy	profy	vvi	profy	profy	0
∣	∣	sy	∣	∣	0
table	table	n1	table	table	0
vnto	vnto	p-acp	unto	unto	0
them	them	pno32	them	they	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
yet	yet	av	yet	yet	0
yf	yf	cs	if	if	0
my	my	po11	my	my	0
knowledge	knowledge	n1	knowledge	knowledge	0
would	would	vmd	would	will	0
haue	haue	vhi	have	have	0
serued	serued	vvn	served	serve	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
translated	translated	vvn	translated	translate	0
it	it	pn31	it	it	0
as	as	a-acp	as	as	0
eloquētly	eloquētly	av-j	eloquently	eloquent	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
latyne	latyne	jp	latin	latin	0
:	:	:	:	:	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
but	but	p-acp	but	but	0
the	the	dt	the	the	0
lear	lear	j	lear	lear	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
also	also	av	also	also	0
myghte	myghte	n1	might	might	0
haue	haue	vhb	have	have	0
founde	founde	vvn	found	find	0
some	some	d	some	some	0
swetnes	swetnes	n1	sweetness	sweetness	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
laboures	laboures	n2	labours	labour	0
.	.	.	.	.	1
And	And	cc	And	and	0
not	not	xx	not	not	0
wythstandynge	wythstandynge	vvg	withstanding	withstand	0
my	my	po11	my	my	0
rudenes	rudenes	n1	rudeness	rudeness	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
Prynce	Prynce	n1	Prince	prince	0
)	)	)	)	)	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
your	your	po22	your	your	0
maiestie	maiestie	n1	majesty	majesty	0
wyll	wyll	vmb	will	will	0
(	(	(	(	(	0
after	after	c-acp	after	after	0
your	your	po22	your	your	0
accustomed	accustomed	j-vvn	accustomed	accustom	0
clemencye	clemencye	n1	clemency	clemency	0
)	)	)	)	)	0
accept	accept	vvb	accept	accept	0
my	my	po11	my	my	0
good	good	j	good	good	0
wyll	wyll	n1	will	will	0
,	,	,	,	,	0
whyche	whyche	r-crq	which	which	0
thynge	thynge	n1	thing	thing	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
doubte	doubte	n1	doubt	doubt	0
shall	shall	vmb	shall	shall	0
encou	encou	fw-fr	encou	encou	0
∣	∣	sy	∣	∣	0
rage	rage	n1	rage	rage	0
all	all	d	all	all	0
faythfull	faythfull	j	faithful	faithful	0
englyshe	englyshe	jp	english	english	0
men	men	n2	men	man	0
to	to	pc-acp	to	to	0
embrace	embrace	vvi	embrace	embrace	0
my	my	po11	my	my	0
la	la	fw-fr	la	la	0
∣	∣	sy	∣	∣	0
boures	boures	ng1	boures	boures	0
and	and	cc	and	and	0
gather	gather	vvi	gather	gather	0
the	the	dt	the	the	0
fruytes	fruytes	n2	fruits	fruit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
prayse	prayse	n1	praise	praise	0
the	the	dt	the	the	0
worcke	worcke	n1	work	work	0
which	which	r-crq	which	which	0
being	being	vbg	being	be	0
set	set	vvn	set	set	0
forth	forth	av	forth	forth	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
reade	reade	vvd	read	read	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
men	men	n2	men	man	0
wyll	wyll	vmb	will	will	0
prayse	prayse	vvi	praise	praise	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
labour	labour	n1	labour	labour	0
halfe	halfe	av-jn	half	half	0
loste	loste	vvn	lost	lose	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
nedeth	nedeth	vvz	needeth	need	0
no	no	dx	no	no	0
prayse	prayse	n1	praise	praise	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
is	is	vbz	is	be	0
so	so	av	so	so	0
ma	ma	n1	ma	man	0
¦	¦	sy	¦	¦	0
nifestly	nifestly	av-j	nifestly	nifest	0
good	good	j	good	good	0
that	that	cst	that	that	0
all	all	d	all	all	0
men	men	n2	men	man	0
that	that	cst	that	that	0
reade	reade	vvb	read	read	0
it	it	pn31	it	it	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
for	for	p-acp	for	for	0
∣	∣	sy	∣	∣	0
ced	ced	vvn	ced	ce	0
to	to	pc-acp	to	to	0
prayse	prayse	vvi	praise	praise	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Other	Other	av-jn	Other	other	0
prayse	prayse	n1	praise	praise	0
therfore	therfore	av	therefore	therefore	0
I	I	pns11	I	i	0
wyll	wyll	vmb	will	will	0
not	not	xx	not	not	0
geue	geue	vvi	give	give	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
worcke	worcke	n1	work	work	0
worthy	worthy	j	worthy	worthy	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
excellent	excellent	j	excellent	excellent	0
a	a	dt	a	a	0
prynce	prynce	n1	prince	prince	0
as	as	p-acp	as	as	0
your	your	po22	your	your	0
mayestye	mayestye	n1	mayestye	mayestye	0
is	is	vbz	is	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
ther	ther	zz	ther	ther	0
∣	∣	sy	∣	∣	0
fore	fore	p-acp	before	before	0
worthy	worthy	j	worthy	worthy	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
embraced	embraced	vvn	embraced	embrace	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
your	your	po22	your	your	0
faythfull	faythfull	j	faithful	faithful	0
subiectes	subiectes	n2-jn	subjects	subject	0
.	.	.	.	.	1
Whyche	Whyche	r-crq	Which	which	0
thynge	thynge	n1	thing	thing	0
I	I	pns11	I	i	0
most	most	av-ds	most	most	0
hartely	hartely	av-j	heartily	hearty	0
wyshe	wyshe	vvb	wish	wish	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
glorye	glorye	n1	glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
your	your	po22	your	your	0
Maiestyes	Maiestyes	ng1	Majesties	majesties	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
profyte	profyte	n1	profit	profit	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
your	your	po22	your	your	0
fayth	fayth	n1	faith	faith	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
subiectes	subiectes	n2-jn	subjects	subject	0
.	.	.	.	.	1
Sobeit	Sobeit	n1	Sobeit	sobeit	0
.	.	.	.	.	1
