HAaving	HAaving	vvg	HAaving	haave	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
Actors	Actors	n2	Actors	actor	0
whose	whose	rg-crq	whose	who	0
business	business	n1	business	business	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
Playes	Playes	vvz	Plays	play	0
;	;	;	;	;	0
and	and	cc	and	and	0
then	then	av	then	then	0
beholding	beholding	vvg	beholding	behold	0
the	the	dt	the	the	0
good	good	j	good	good	0
Order	Order	n1	Order	order	0
and	and	cc	and	and	0
Me	Me	pno11	Me	i	0
∣	∣	sy	∣	∣	0
thod	thod	n1	thod	thod	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Government	Government	n1	Government	government	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Schoole	Schoole	n1	School	school	0
and	and	cc	and	and	0
Almes-Houses	Almes-Houses	n2	Almes-Houses	almes-house	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
decent	decent	j	decent	decent	0
provi	provi	fw-la	provi	provi	0
∣	∣	sy	∣	∣	0
sion	sion	n1	sion	sion	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Poor	Poor	j	Poor	poor	0
;	;	;	;	;	0
and	and	cc	and	and	0
then	then	av	then	then	0
reflected	reflected	vvn	reflected	reflect	0
back	back	av	back	back	0
,	,	,	,	,	0
and	and	cc	and	and	0
beheld	beheld	vvd	beheld	behold	0
the	the	dt	the	the	0
Sterne	Sterne	j	Stern	stern	0
that	that	cst	that	that	0
guided	guided	vvd	guided	guide	0
them	them	pno32	them	they	0
,	,	,	,	,	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
you	you	pn22	you	you	0
Worthy	Worthy	j	Worthy	worthy	0
Gentl	Gentl	n1	Gentl	gentleman	0
men	men	n2	men	man	0
)	)	)	)	)	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
your	your	po22	your	your	0
Care	Care	n1	Care	care	0
to	to	p-acp	to	to	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
serve	serve	vvi	serve	serve	0
the	the	dt	the	the	0
Ancient	Ancient	j	Ancient	ancient	0
and	and	cc	and	and	0
Noble	Noble	j	Noble	noble	0
Acts	Acts	n2	Acts	act	0
of	of	pp-f	of	of	0
Charity	Charity	n1	Charity	charity	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Predecessors	Predecessors	n2	Predecessors	predecessor	0
,	,	,	,	,	0
even	even	av	even	even	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
worst	worst	js	worst	worst	0
of	of	pp-f	of	of	0
Times	Times	n2	Times	time	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
observed	observed	vvd	observed	observe	0
your	your	po22	your	your	0
great	great	j	great	great	0
Industry	Industry	n1	Industry	industry	0
,	,	,	,	,	0
Wisdom	Wisdom	n1	Wisdom	wisdom	0
,	,	,	,	,	0
and	and	cc	and	and	0
Discretion	Discretion	n1	Discretion	discretion	0
in	in	p-acp	in	in	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
king	king	n1	king	king	0
Additions	Additions	n2	Additions	addition	0
daily	daily	av-j	daily	daily	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
relief	relief	n1	relief	relief	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Poor	Poor	j	Poor	poor	0
,	,	,	,	,	0
and	and	cc	and	and	0
adding	adding	vvg	adding	add	0
greater	greater	jc	greater	great	0
strength	strength	n1	strength	strength	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Corporation	Corporation	n1	Corporation	corporation	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
lately	lately	av-j	lately	late	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
by	by	p-acp	by	by	0
renewing	renewing	vvg	renewing	renew	0
your	your	po22	your	your	0
Charter	Charter	n1	Charter	charter	0
;	;	;	;	;	0
nor	nor	ccx	nor	nor	0
are	are	vbr	are	be	0
you	you	pn22	you	you	0
onely	onely	j	only	only	0
prudent	prudent	j	prudent	prudent	0
amongst	amongst	p-acp	among	among	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
are	are	vbr	are	be	0
thought	thought	vvn	thought	think	0
fit	fit	j	fit	fit	0
Ministers	Ministers	n2	Ministers	minister	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
intrusted	intrusted	vvn	entrusted	entrust	0
by	by	p-acp	by	by	0
State	State	n1	State	state	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
great	great	j	great	great	0
Branch	Branch	n1	Branch	branch	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Revenue	Revenue	n1	Revenue	revenue	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
so	so	av	so	so	0
discreetly	discreetly	av-j	discreetly	discreet	0
managed	managed	vvn	managed	manage	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Burden	Burden	n1	Burden	burden	0
is	is	vbz	is	be	0
thought	thought	vvn	thought	think	0
light	light	j	light	light	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
former	former	j	former	former	0
Ʋn	Ʋn	n1	Ʋn	ʋn	0
∣	∣	sy	∣	∣	0
dertakers	dertakers	n2	dertakers	dertaker	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	d	that	that	0
Clamour	Clamour	n1	Clamour	clamour	0
hath	hath	vhz	hath	have	0
seased	seased	vvn	seized	seize	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
wont	wont	j	wont	wont	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
heard	heard	vvn	herd	hear	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Streets	Streets	n2	Streets	street	0
.	.	.	.	.	1
And	And	cc	And	and	0
such	such	d	such	such	0
is	is	vbz	is	be	0
your	your	po22	your	your	0
Loyalty	Loyalty	n1	Loyalty	loyalty	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
great	great	j	great	great	0
straits	straits	n2	straits	strait	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
more	more	av-dc	more	more	0
ready	ready	j	ready	ready	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
advance	advance	vvi	advance	advance	0
Money	Money	n1	Money	money	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
thriving	thriving	j-vvg	thriving	thrive	0
Banks	Banks	n2	Banks	bank	0
;	;	;	;	;	0
nei	nei	fw-la	nei	nei	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
can	can	vmb	can	can	0
I	I	pns11	I	i	0
forget	forget	vvi	forget	forget	0
your	your	po22	your	your	0
former	former	j	former	former	0
Activeness	Activeness	n1	Activeness	activeness	0
to	to	pc-acp	to	to	0
advance	advance	vvi	advance	advance	0
the	the	dt	the	the	0
Kings	Kings	ng1	Kings	king	0
Restauration	Restauration	n1	Restauration	restauration	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Politick	Politick	j	Politic	politic	0
and	and	cc	and	and	0
hazardous	hazardous	j	hazardous	hazardous	0
Ʋnder	Ʋnder	n1	Ʋnder	ʋnder	0
∣	∣	sy	∣	∣	0
taking	taking	vvg	taking	take	0
,	,	,	,	,	0
you	you	pn22	you	you	0
stopt	stopt	vvd	stopped	stop	0
all	all	d	all	all	0
the	the	dt	the	the	0
Excise	Excise	n1	Excise	excise	0
Duty	Duty	n1	Duty	duty	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
ruine	ruine	n1	ruin	ruin	0
both	both	av-d	both	both	0
of	of	pp-f	of	of	0
Lambert	Lambert	np1	Lambert	Lambert	0
,	,	,	,	,	0
Army	Army	n1	Army	army	0
,	,	,	,	,	0
and	and	cc	and	and	0
Committee	Committee	n1	Committee	committee	0
of	of	pp-f	of	of	0
Safety	Safety	n1	Safety	safety	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
pur	pur	zz	pur	pur	0
∣	∣	sy	∣	∣	0
chased	chased	vvd	chased	chase	0
a	a	dt	a	a	0
Prison	Prison	n1	Prison	prison	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
great	great	j	great	great	0
trouble	trouble	n1	trouble	trouble	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
fear	fear	vvb	fear	fear	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
to	to	pc-acp	to	to	0
blame	blame	vvi	blame	blame	0
to	to	pc-acp	to	to	0
undertake	undertake	vvi	undertake	undertake	0
to	to	p-acp	to	to	0
sifter	sifter	n1	sifter	sister	0
out	out	av	out	out	0
your	your	po22	your	your	0
Worth	Worth	n1	Worth	worth	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
onely	onely	av-j	only	only	0
beg	beg	vvi	beg	beg	0
the	the	dt	the	the	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
vour	vour	zz	vour	vour	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Boyes	Boyes	n2	Boys	boy	0
may	may	vmb	may	may	0
accept	accept	vvi	accept	accept	0
my	my	po11	my	my	0
Piece	Piece	n1	Piece	piece	0
of	of	pp-f	of	of	0
Play	Play	n1	Play	play	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
first	first	ord	first	first	0
that	that	cst	that	that	0
ere	ere	c-acp	ere	ere	0
I	I	pns11	I	i	0
writ	writ	vvd	writ	write	0
,	,	,	,	,	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
near	near	av-j	near	near	0
Christmas	Christmas	np1	Christmas	Christmas	0
Holidaies	Holidaies	n2	Holidays	holiday	0
,	,	,	,	,	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
their	their	po32	their	their	0
Master	Master	n1	Master	master	0
will	will	vmb	will	will	0
give	give	vvi	give	give	0
them	them	pno32	them	they	0
leave	leave	vvi	leave	leave	0
to	to	p-acp	to	to	0
Act	Act	n1	Act	act	0
it	it	pn31	it	it	0
;	;	;	;	;	0
until	until	c-acp	until	until	0
my	my	po11	my	my	0
other	other	j-jn	other	other	0
Play	Play	n1	Play	play	0
be	be	vbi	be	be	0
finished	finished	vvn	finished	finish	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
now	now	av	now	now	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Stocks	Stocks	n2	Stocks	stock	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
quick	quick	j	quick	quick	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
Printed	Printed	np1	Printed	Printed	0
,	,	,	,	,	0
until	until	c-acp	until	until	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
take	take	vvb	take	take	0
my	my	po11	my	my	0
leave	leave	n1	leave	leave	0
,	,	,	,	,	0
and	and	cc	and	and	0
subscribe	subscribe	vvb	subscribe	subscribe	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	1
