THough	THough	cs	THough	though	0
who	who	r-crq	who	who	0
haue	haue	vhb	have	have	0
fellowship	fellowship	n1	fellowship	fellowship	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
&	&	cc	&	and	0
whose	whose	rg-crq	whose	who	0
soules	soules	n2	souls	soul	0
I	I	pns11	I	i	0
tenderly	tenderly	av-j	tenderly	tender	0
affect	affect	vvb	affect	affect	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
which	which	r-crq	which	which	0
respects	respects	vvz	respects	respect	0
though	though	a-acp	though	though	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
wittily	wittily	av-j	wittily	witty	0
said	said	vvn	said	say	0
)	)	)	)	)	0
some	some	d	some	some	0
more	more	av-dc	more	more	0
Learned	Learned	j	Learned	learned	0
,	,	,	,	,	0
and	and	cc	and	and	0
godly	godly	j	godly	godly	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
Fathers	Fathers	n2	Father's	father	0
,	,	,	,	,	0
Nur	Nur	np1	Nur	Nur	0
∣	∣	sy	∣	∣	0
ses	ses	fw-fr	ses	ses	0
and	and	cc	and	and	0
murtherers	murtherers	n2	murderers	murderer	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
Children	Children	n2	Children	child	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
beget	beget	vvi	beget	beget	0
∣	∣	sy	∣	∣	0
ting	ting	zf	ting	thing	0
,	,	,	,	,	0
kissing	kissing	n1	kissing	kiss	0
,	,	,	,	,	0
and	and	cc	and	and	0
burying	burying	vvg	burying	bury	0
the	the	dt	the	the	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
braines	braines	n2	brains	brain	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
am	am	vbm	am	be	0
I	I	pns11	I	i	0
still	still	av	still	still	0
aduenturous	aduenturous	j	adventurous	adventurous	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
others	others	n2-jn	others	other	0
what	what	r-crq	what	what	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
giuen	giuen	vvn	given	give	0
me	me	pno11	me	i	0
(	(	(	(	(	0
vnworthy	vnworthy	j	unworthy	unworthy	0
wretch	wretch	n1	wretch	wretch	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
forth	forth	av	forth	forth	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
;	;	;	;	;	0
Behold	Behold	vvb	Behold	behold	0
I	I	pns11	I	i	0
and	and	cc	and	and	0
my	my	po11	my	my	0
child	child	n1	child	child	0
.	.	.	.	.	1
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
trimmed	trimmed	vvn	trimmed	trim	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
ornaments	ornaments	n2	ornaments	ornament	0
and	and	cc	and	and	0
laces	laces	n2	laces	lace	0
of	of	pp-f	of	of	0
Aegypt	Aegypt	np1	Aegypt	Aegypt	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
sweetned	sweetned	vvd	sweetened	sweeten	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Frankincense	Frankincense	n1	Frankincense	frankincense	0
and	and	cc	and	and	0
myrrhe	myrrhe	n1	myrrh	myrrh	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Christian	Christian	njp	Christian	christian	0
Synagouge	Synagouge	n1	Synagouge	synagouge	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
sent	sent	vvn	sent	send	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
lawe	lawe	n1	law	law	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
fore-head	fore-head	n1	forehead	forehead	0
,	,	,	,	,	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
feete	feete	n2	feet	foot	0
and	and	cc	and	and	0
heart	heart	n1	heart	heart	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
so	so	av	so	so	0
send	send	vvb	send	send	0
I	I	pns11	I	i	0
it	it	pn31	it	it	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
desiring	desiring	vvg	desiring	desire	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
this	this	d	this	this	0
seruice	seruice	n1	service	service	0
acceptable	acceptable	j	acceptable	acceptable	0
and	and	cc	and	and	0
profitable	profitable	j	profitable	profitable	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
:	:	:	:	:	0
And	And	cc	And	and	0
so	so	av	so	so	0
I	I	pns11	I	i	0
rest	rest	vvb	rest	rest	0
,	,	,	,	,	0
From	From	p-acp	From	from	0
my	my	po11	my	my	0
Studie	Studie	n1	Study	study	0
this	this	d	this	this	0
fifteenth	fifteenth	ord	fifteenth	fifteen	0
of	of	pp-f	of	of	0
Nouember	Nouember	np1	Nouember	November	0
1625.	1625.	crd	1625.	1625.	1
