Madams	Madams	ng1	Madams	madam	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
template	template	vvi	template	template	0
upon	upon	p-acp	upon	upon	0
Brightman	Brightman	np1	Brightman	Brightman	0
,	,	,	,	,	0
alwayes	alwayes	av	always	always	0
read	read	vvb	read	read	0
Love's	Love's	npg1	Love's	Love	0
Works	Works	vvz	Works	work	0
;	;	;	;	;	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
time	time	n1	time	time	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
exhilarate	exhilarate	vvb	exhilarate	exhilarate	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
with	with	p-acp	with	with	0
looking	looking	vvg	looking	look	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
labours	labours	n2	labours	labour	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	0
George	George	np1	George	George	0
,	,	,	,	,	0
Palmerin	Palmerin	np1	Palmerin	Palmerin	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
Bevis	Bevis	np1	Bevis	Bevis	0
of	of	pp-f	of	of	0
South	South	np1	South	South	0
∣	∣	sy	∣	∣	0
hampton	hampton	n1	hampton	hampton	0
,	,	,	,	,	0
Don	Don	n1	DONE	don	0
Quixot	Quixot	np1	Quixot	Quixote	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
like	like	j	like	like	0
:	:	:	:	:	0
Now	Now	av	Now	now	0
had	had	vhd	had	have	0
all	all	d	all	all	0
the	the	dt	the	the	0
world	world	n1	world	world	0
been	been	vbn	been	be	0
Plato's	Plato's	npg1	Plato's	Plato	0
,	,	,	,	,	0
Solon's	Solon's	npg1	Solon's	Solon	0
,	,	,	,	,	0
Calvin's	Calvin's	npg1	Calvin's	calvin	0
and	and	cc	and	and	0
Calamy's	Calamy's	npg1	Calamy's	calamy	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
would	would	vmd	would	will	0
you	you	pn22	you	you	0
have	have	vhi	have	have	0
done	done	vdn	done	do	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
merry	merry	j	merry	merry	0
humours	humours	n2	humours	humour	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
men	men	n2	men	man	0
?	?	?	?	?	1
Therefore	Therefore	av	Therefore	therefore	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
no	no	av-dx	no	no	0
longer	longer	av-jc	longer	long	0
hide	hide	vvi	hide	hide	0
my	my	po11	my	my	0
light	light	n1	light	light	0
under	under	p-acp	under	under	0
a	a	dt	a	a	0
Bushel	Bushel	n1	Bushel	bushel	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
be	be	vbi	be	be	0
useful	useful	j	useful	useful	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
Generation	Generation	n1	Generation	generation	0
,	,	,	,	,	0
and	and	cc	and	and	0
shew	shew	vvi	show	show	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
was	was	vbds	was	be	0
such	such	d	such	such	0
a	a	dt	a	a	0
man	man	n1	man	man	0
as	as	p-acp	as	as	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
Earth	Earth	n1	Earth	earth	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
here	here	av	here	here	0
made	made	vvn	made	make	0
bold	bold	j	bold	bold	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
choicest	choicest	js	choicest	choice	0
Flowers	Flowers	n2	Flowers	flower	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Amorous	Amorous	j	Amorous	amorous	0
Frolicks	Frolicks	n2-jn	Frolicks	frolic	0
;	;	;	;	;	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
these	these	d	these	these	0
my	my	po11	my	my	0
Ad	Ad	fw-la	Ad	ad	0
∣	∣	sy	∣	∣	0
ventures	ventures	n2	ventures	venture	0
as	as	c-acp	as	as	0
so	so	av	so	so	0
many	many	d	many	many	0
Centinels	Centinels	n2	Centinels	centinel	0
to	to	pc-acp	to	to	0
guard	guard	vvi	guard	guard	0
Melan	Melan	np1	Melan	Melan	0
∣	∣	sy	∣	∣	0
choly	choly	j-jn	choly	choly	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
thoughts	thoughts	n2	thoughts	thought	0
.	.	.	.	.	1
If	If	cs	If	if	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
acted	acted	vvn	acted	act	0
my	my	po11	my	my	0
part	part	n1	part	part	0
so	so	av	so	so	0
fully	fully	av-j	fully	full	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
intentions	intentions	n2	intentions	intention	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
ought	ought	vmd	ought	ought	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Stage	Stage	n1	Stage	stage	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
;	;	;	;	;	0
Ladies	Ladies	n2	Ladies	lady	0
,	,	,	,	,	0
I	I	pns11	I	i	0
beg	beg	vvb	beg	beg	0
your	your	po22	your	your	0
pardon	pardon	n1	pardon	pardon	0
,	,	,	,	,	0
desiring	desiring	vvg	desiring	desire	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
tell	tell	vvi	tell	tell	0
me	me	pno11	me	i	0
where	where	c-crq	where	where	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
fail'd	fail'd	vvn	failed	fail	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
impose	impose	vvi	impose	impose	0
your	your	po22	your	your	0
further	further	jc	further	further	0
Commands	Commands	vvz	Commands	command	0
upon	upon	p-acp	upon	upon	0
,	,	,	,	,	0
Ladies	Ladies	n2	Ladies	lady	0
,	,	,	,	,	1
