Renowned	Renowned	j-vvn	Renowned	renown	0
is	is	vbz	is	be	0
by	by	p-acp	by	by	0
God	God	np1	God	God	0
and	and	cc	and	and	0
his	his	po31	his	his	0
people	people	n1	people	people	0
put	put	vvn	put	put	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
Church	Church	n1	Church	church	0
and	and	cc	and	and	0
State	State	n1	State	state	0
lie	lie	vvb	lie	lie	0
un	un	fw-fr	un	un	0
∣	∣	sy	∣	∣	0
shap'd	shap'd	j-vvn	shaped	shape	0
,	,	,	,	,	0
unform'd	unform'd	j	unformed	unformed	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
you	you	pn22	you	you	0
;	;	;	;	;	0
let	let	vvb	let	let	0
me	me	pno11	me	i	0
mind	mind	vvi	mind	mind	0
you	you	pn22	you	you	0
of	of	a-acp	of	off	0
To	To	pc-acp	To	to	0
∣	∣	sy	∣	∣	0
biahs	biahs	n2	biahs	biah	0
,	,	,	,	,	0
Sanballats	Sanballats	n2	Sanballats	sanballat	0
,	,	,	,	,	0
Rehums	Rehums	npg1	Rehums	rehums	0
,	,	,	,	,	0
and	and	cc	and	and	0
Shimshai's	Shimshai's	vvz	Shimshai's	shimshai'	0
,	,	,	,	,	0
acting	acting	vvg	acting	act	0
their	their	po32	their	their	0
parts	parts	n2	parts	part	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
life	life	n1	life	life	0
;	;	;	;	;	0
and	and	cc	and	and	0
be	be	vbb	be	be	0
you	you	pn22	you	you	0
excited	excited	vvd	excited	excite	0
and	and	cc	and	and	0
inga	inga	vvd	inga	inga	0
∣	∣	sy	∣	∣	0
ged	ged	j	ged	ged	0
thereby	thereby	av	thereby	thereby	0
to	to	pc-acp	to	to	0
appeare	appeare	vvi	appear	appear	0
still	still	av	still	still	0
as	as	c-acp	as	as	0
so	so	av	so	so	0
many	many	d	many	many	0
Ezra's	Ezra's	n2	Ezra's	ezra	0
,	,	,	,	,	0
Zerub	Zerub	n1	Zerub	zerub	0
∣	∣	sy	∣	∣	0
babels	babels	n2	babels	babel	0
,	,	,	,	,	0
and	and	cc	and	and	0
Nehemiahs	Nehemiahs	njp2	Nehemiah's	nehemiah's	0
:	:	:	:	:	0
see	see	vvb	see	see	0
a	a	dt	a	a	0
coincidency	coincidency	n1	coincidency	coincidency	0
of	of	pp-f	of	of	0
provi	provi	fw-la	provi	provi	0
∣	∣	sy	∣	∣	0
dence	dence	n1	dence	dence	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
those	those	d	those	those	0
times	times	n2	times	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
ours	ours	png12	ours	we	0
;	;	;	;	;	0
Iudah's	Iudah's	npg1	Iudah's	iudah	0
ene	ene	fw-mi	ene	ene	0
∣	∣	sy	∣	∣	0
mies	mies	np2-n	mies	mie	0
,	,	,	,	,	0
and	and	cc	and	and	0
ours	ours	png12	ours	we	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
particulars	particulars	n2-j	particulars	particular	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
the	the	dt	the	the	0
foundation	foundation	n1	foundation	foundation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Temple	Temple	n1	Temple	temple	0
was	was	vbds	was	be	0
laid	laid	vvn	laid	lay	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
was	was	vbds	was	be	0
great	great	j	great	great	0
joy	joy	n1	joy	joy	0
,	,	,	,	,	0
Izra	Izra	np1	Izra	Izra	0
.	.	.	.	.	1
3.11	3.11	crd	3.11	3.11	0
,	,	,	,	,	0
12	12	crd	12	12	0
,	,	,	,	,	0
13.	13.	crd	13.	13.	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
great	great	j	great	great	0
a	a	dt	a	a	0
mourning	mourning	n1	mourning	mourning	0
;	;	;	;	;	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
Sanballat	Sanballat	n1	Sanballat	sanballat	0
and	and	cc	and	and	0
Tobiah	Tobiah	np1	Tobiah	Tobiah	0
heard	heard	vvd	herd	hear	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
was	was	vbds	was	be	0
come	come	vvn	come	come	0
a	a	dt	a	a	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
seek	seek	vvi	seek	seek	0
the	the	dt	the	the	0
welfare	welfare	n1	welfare	welfare	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
children	children	n2	children	child	0
of	of	pp-f	of	of	0
Israel	Israel	np1	Israel	Israel	0
,	,	,	,	,	0
it	it	pn31	it	it	0
grieved	grieved	vvd	grieved	grieve	0
them	them	pno32	them	they	0
exceedingly	exceedingly	av-vvg	exceedingly	exceed	0
,	,	,	,	,	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
heard	heard	vvd	herd	hear	0
that	that	cst	that	that	0
the	the	dt	the	the	0
work	work	n1	work	work	0
went	went	vvd	went	go	0
on	on	a-acp	on	on	0
,	,	,	,	,	0
Neh.	Neh.	np1	Neh.	Neh.	1
2.10	2.10	crd	2.10	2.10	0
.	.	.	.	.	1
Neh.	Neh.	np1	Neh.	Neh.	0
4.9	4.9	crd	4.9	4.9	0
.	.	.	.	.	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
very	very	av	very	very	0
wroth	wroth	j	wroth	wroth	0
;	;	;	;	;	0
We	We	pns12	We	we	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
godly	godly	j	godly	godly	0
generation	generation	n1	generation	generation	0
among	among	p-acp	among	among	0
us	us	pno12	us	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
shout	shout	vvb	shout	shout	0
for	for	p-acp	for	for	0
joy	joy	n1	joy	joy	0
,	,	,	,	,	0
and	and	cc	and	and	0
praise	praise	vvi	praise	praise	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
an	an	dt	and	a	0
ungodly	ungodly	j	ungodly	ungodly	0
generation	generation	n1	generation	generation	0
that	that	cst	that	that	0
weep	weep	vvb	weep	weep	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
loud	loud	j	loud	loud	0
voyce	voyce	n1	voice	voice	0
,	,	,	,	,	0
and	and	cc	and	and	0
complaine	complaine	vvi	complain	complain	0
their	their	po32	their	their	0
gods	gods	n2	gods	god	0
are	are	vbr	are	be	0
gone	gone	vvn	gone	go	0
,	,	,	,	,	0
their	their	po32	their	their	0
god	god	n1	god	god	0
Episcopacy	Episcopacy	n1	Episcopacy	episcopacy	0
,	,	,	,	,	0
their	their	po32	their	their	0
god	god	n1	god	god	0
Liturgy	Liturgy	n1	Liturgy	liturgy	0
,	,	,	,	,	0
the	the	av	the	then	0
Or	Or	cc	Or	or	0
∣	∣	sy	∣	∣	0
gan	gan	vvd	gan	begin	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Surplice	Surplice	n1	Surplice	surplice	0
,	,	,	,	,	0
the	the	dt	the	the	0
Crosse	Crosse	n1	Cross	cross	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
May-Pole	May-Pole	n1	May-Pole	may-pole	0
,	,	,	,	,	0
the	the	dt	the	the	0
Sabbath-dance	Sabbath-dance	j	Sabbath-dance	sabbath-dance	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Whitson-Ale	Whitson-Ale	n1	Whitson-Ale	whitson-ale	0
;	;	;	;	;	0
they	they	pns32	they	they	0
grieve	grieve	vvb	grieve	grieve	0
exceedingly	exceedingly	av-vvg	exceedingly	exceed	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
very	very	av	very	very	0
wroth	wroth	j	wroth	wroth	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
aske	aske	vvb	ask	ask	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
What	What	r-crq	What	what	0
aileth	aileth	vvz	aileth	ail	0
thee	thee	pno21	thee	thou	0
?	?	?	?	?	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
an	an	zz	an	an	0
∣	∣	sy	∣	∣	0
swer	swer	n1	swer	swer	0
,	,	,	,	,	0
What	What	q-crq	What	what	0
have	have	vhb	have	have	0
I	I	pns11	I	i	0
more	more	dc	more	more	0
?	?	?	?	?	1
And	And	cc	And	and	0
thus	thus	av	thus	thus	0
the	the	dt	the	the	0
harmony	harmony	n1	harmony	harmony	0
of	of	pp-f	of	of	0
times	times	n2	times	time	0
begins	begins	vvz	begins	begin	0
,	,	,	,	,	0
Ezek.	Ezek.	np1	Ezek.	Ezek.	1
4.2	4.2	crd	4.2	4.2	0
,	,	,	,	,	0
3.	3.	crd	3.	3.	0
see	see	vvi	see	see	0
how	how	c-crq	how	how	0
it	it	pn31	it	it	0
goes	goes	vvz	goes	go	0
on	on	a-acp	on	on	0
.	.	.	.	.	1
The	The	dt	The	the	0
subtile	subtile	j	subtle	subtle	0
adversaries	adversaries	n2	adversaries	adversary	0
come	come	vvb	come	come	0
to	to	p-acp	to	to	0
Zerubbabel	Zerubbabel	np1	Zerubbabel	Zerubbabel	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
chiefe	chiefe	n-jn	chief	chief	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Fathers	Fathers	n2	Father's	father	0
,	,	,	,	,	0
and	and	cc	and	and	0
say	say	vvi	say	say	0
,	,	,	,	,	0
Let	Let	vvb	Let	let	0
us	us	pno12	us	we	0
build	build	vvi	built	build	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
we	we	pns12	we	we	0
seek	seek	vvb	seek	seek	0
your	your	po22	your	your	0
God	God	n1	God	god	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
yee	yee	pn22	ye	you	0
doe	doe	vdb	do	do	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
Zerubbabel	Zerubbabel	np1	Zerubbabel	Zerubbabel	0
and	and	cc	and	and	0
Ioshua	Ioshua	np1	Ioshua	Joshua	0
were	were	vbdr	were	be	0
too	too	av	too	too	0
wise	wise	j	wise	wise	0
to	to	pc-acp	to	to	0
trust	trust	vvi	trust	trust	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
said	said	vvd	said	say	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
,	,	,	,	,	0
You	You	pn22	You	you	0
have	have	vhb	have	have	0
nothing	nothing	pix	nothing	nothing	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
build	build	vvi	built	build	0
an	an	dt	and	a	0
house	house	n1	house	house	0
unto	unto	p-acp	unto	unto	0
our	our	po12	our	our	0
God	God	n1	God	god	0
;	;	;	;	;	0
the	the	dt	the	the	0
seeming	seeming	j-vvg	seeming	seem	0
builder	builder	n1	builder	builder	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
dangerous	dangerous	j	dangerous	dangerous	0
then	then	cs	then	than	0
the	the	dt	the	the	0
professed	professed	j-vvn	professed	profess	0
destroyer	destroyer	n1	destroyer	destroyer	0
.	.	.	.	.	1
This	This	d	This	this	0
plot	plot	n1	plot	plot	0
failing	failing	vvg	failing	fail	0
,	,	,	,	,	0
they	they	pns32	they	they	0
hired	hired	vvd	hired	hire	0
Counsellers	Counsellers	n2	Counsellers	counseller	0
to	to	pc-acp	to	to	0
frustrate	frustrate	vvi	frustrate	frustrate	0
the	the	dt	the	the	0
purpose	purpose	n1	purpose	purpose	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Iewes	Iewes	np2	Iewes	Jew	0
,	,	,	,	,	0
Ver.	Ver.	np1	Ver.	Ver.	1
5.	5.	crd	5.	5.	1
Jun.	Jun.	np1	Jun.	Jun.	0
loc	loc	fw-la	loc	loc	0
.	.	.	.	.	0
all	all	av-d	all	all	0
the	the	dt	the	the	0
dayes	dayes	n2	days	day	0
of	of	pp-f	of	of	0
Cyrus	Cyrus	np1	Cyrus	Cyrus	0
,	,	,	,	,	0
even	even	av	even	even	0
untill	untill	c-acp	until	until	0
the	the	dt	the	the	0
reigne	reigne	n1	reign	reign	0
of	of	pp-f	of	of	0
Darius	Darius	np1	Darius	Darius	0
Longimanus	Longimanus	np1	Longimanus	Longimanus	0
,	,	,	,	,	0
the	the	dt	the	the	0
fourth	fourth	ord	fourth	four	0
from	from	p-acp	from	from	0
Cyrus	Cyrus	np1	Cyrus	Cyrus	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Popish	Popish	j	Popish	popish	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Prelaticall	Prelaticall	j	Prelatical	prelatical	0
faction	faction	n1	faction	faction	0
have	have	vhb	have	have	0
hired	hired	vvn	hired	hire	0
Counsellers	Counsellers	n2	Counsellers	counseller	0
,	,	,	,	,	0
subtile-headed	subtile-headed	j	subtle-headed	subtle-headed	0
,	,	,	,	,	0
false-hearted	false-hearted	j	falsehearted	false-hearted	0
Statists	Statists	n2	Statists	statist	0
and	and	cc	and	and	0
Lawyers	Lawyers	n2	Lawyers	lawyer	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
hinder	hinder	vvi	hinder	hinder	0
the	the	dt	the	the	0
Reformation	Reformation	n1	Reformation	reformation	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
dayes	dayes	n2	days	day	0
of	of	pp-f	of	of	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
sixth	sixth	ord	sixth	six	0
,	,	,	,	,	0
(	(	(	(	(	0
that	that	cst	that	that	0
English	English	np1	English	English	0
Iosiah	Iosiah	np1	Iosiah	Iosiah	0
)	)	)	)	)	0
untill	untill	c-acp	until	until	0
the	the	dt	the	the	0
reigne	reigne	n1	reign	reign	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
fourth	fourth	ord	fourth	four	0
Prince	Prince	n1	Prince	prince	0
amongst	amongst	p-acp	among	among	0
us	us	pno12	us	we	0
.	.	.	.	.	1
Vers	Vers	zz	Vers	vers	0
7	7	crd	7	7	0
,	,	,	,	,	0
8	8	crd	8	8	0
,	,	,	,	,	0
12	12	crd	12	12	0
,	,	,	,	,	0
13.	13.	crd	13.	13.	1
The	The	dt	The	the	0
work	work	n1	work	work	0
now	now	av	now	now	0
goes	goes	vvz	goes	go	0
on	on	a-acp	on	on	0
amaine	amaine	av	amain	amain	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
Rehum	Rehum	np1	Rehum	Rehum	0
and	and	cc	and	and	0
Shimshai	Shimshai	np1	Shimshai	Shimshai	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
companions	companions	n2	companions	companion	0
(	(	(	(	(	0
accusers	accusers	n2	accusers	accuser	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
brethren	brethren	n2	brothers	brethren	0
)	)	)	)	)	0
lay	lay	vvd	lay	lie	0
heavie	heavie	j	heavy	heavy	0
things	things	n2	things	thing	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
charge	charge	n1	charge	charge	0
of	of	pp-f	of	of	0
Ierusalem	Ierusalem	np1	Ierusalem	Jerusalem	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
rebellious	rebellious	j	rebellious	rebellious	0
and	and	cc	and	and	0
a	a	dt	a	a	0
bad	bad	j	bad	bad	0
City	City	n1	City	city	0
;	;	;	;	;	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
built	built	vvn	built	build	0
,	,	,	,	,	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
pay	pay	vvi	pay	pay	0
toll	toll	n1	toll	toll	0
,	,	,	,	,	0
tri	tri	fw-la	tri	tri	0
∣	∣	sy	∣	∣	0
bute	bute	n1	bute	bute	0
,	,	,	,	,	0
and	and	cc	and	and	0
custome	custome	n1	custom	custom	0
,	,	,	,	,	0
the	the	dt	the	the	0
revenues	revenues	n2	revenues	revenue	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Kings	Kings	n2	Kings	king	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
much	much	av-d	much	much	0
endamaged	endamaged	vvn	endamaged	endamage	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
meet	meet	j	meet	meet	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
Kings	Kings	ng1	Kings	king	0
dishonour	dishonour	n1	dishonour	dishonour	0
;	;	;	;	;	0
thus	thus	av	thus	thus	0
glozing	glozing	j-vvg	glozing	gloze	0
sycophants	sycophants	n2	sycophants	sycophant	0
with	with	p-acp	with	with	0
specious	specious	j	specious	specious	0
pretexts	pretexts	n2	pretexts	pretext	0
of	of	pp-f	of	of	0
tendring	tendring	vvg	tendering	tender	0
his	his	po31	his	his	0
Authority	Authority	n1	Authority	authority	0
,	,	,	,	,	0
profits	profits	n2	profits	profit	0
,	,	,	,	,	0
and	and	cc	and	and	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
flatter	flatter	vvb	flatter	flatter	0
Artaxerxes	Artaxerxes	np1	Artaxerxes	Artaxerxes	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
their	their	po32	their	their	0
designe	designe	n1	design	design	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
cut	cut	vvi	cut	cut	0
the	the	dt	the	the	0
throat	throat	n1	throat	throat	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Iewes	Iewes	np2	Iewes	Jew	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
Reli	Reli	np1	Reli	Reli	0
∣	∣	sy	∣	∣	0
gion	gion	n1	gion	gion	0
at	at	p-acp	at	at	0
once	once	a-acp	once	once	0
.	.	.	.	.	1
This	This	np1	This	This	0
in	in	p-acp	in	in	0
sinuation	sinuation	n1	sinuation	sinuation	0
prevailes	prevailes	vvz	prevails	prevail	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
King	King	n1	King	king	0
sends	sends	vvz	sends	send	0
out	out	av	out	out	0
Decrees	Decrees	n2	Decrees	decree	0
,	,	,	,	,	0
Vers.	Vers.	np1	Vers.	Vers.	1
21.	21.	crd	21.	21.	0
and	and	cc	and	and	0
commands	commands	vvz	commands	command	0
to	to	pc-acp	to	to	0
cause	cause	vvi	cause	cause	0
the	the	dt	the	the	0
builders	builders	n2	builders	builder	0
to	to	pc-acp	to	to	0
cease	cease	vvi	cease	cease	0
:	:	:	:	:	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
carry	carry	vvi	carry	carry	0
on	on	p-acp	on	on	0
this	this	d	this	this	0
unjust	unjust	j	unjust	unjust	0
De	De	fw-fr	De	de	0
∣	∣	sy	∣	∣	0
cree	cree	uh	cree	cree	0
,	,	,	,	,	0
they	they	pns32	they	they	0
take	take	vvb	take	take	0
up	up	a-acp	up	up	0
arms	arms	n2	arms	arm	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
force	force	n1	force	force	0
and	and	cc	and	and	0
power	power	n1	power	power	0
,	,	,	,	,	0
Vers.	Vers.	np1	Vers.	Vers.	1
23.	23.	crd	23.	23.	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
open	open	j	open	open	0
hostility	hostility	n1	hostility	hostility	0
make	make	vvi	make	make	0
the	the	dt	the	the	0
builders	builders	n2	builders	builder	0
to	to	pc-acp	to	to	0
cease	cease	vvi	cease	cease	0
,	,	,	,	,	0
and	and	cc	and	and	0
our	our	po12	our	our	0
Tobiahs	Tobiahs	njp2	Tobiah's	tobiah's	0
and	and	cc	and	and	0
Sanballats	Sanballats	n2	Sanballats	sanballat	0
are	are	vbr	are	be	0
caried	caried	vvn	carried	carry	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
same	same	d	same	same	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
or	or	cc	or	or	0
a	a	dt	a	a	0
worse	worse	jc	worse	worse	0
,	,	,	,	,	0
pillaging	pillaging	j-vvg	pillaging	pillage	0
and	and	cc	and	and	0
plundering	plundering	vvg	plundering	plunder	0
their	their	po32	their	their	0
very	very	j	very	very	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
that	that	cst	that	that	0
freely	freely	av-j	freely	free	0
quartered	quartered	vvd	quartered	quarter	0
them	them	pno32	them	they	0
,	,	,	,	,	0
acting	acting	vvg	acting	act	0
hor	hor	uh	hor	hor	0
∣	∣	sy	∣	∣	0
rid	rid	vvn	rid	rid	0
barbarismes	barbarismes	n2	barbarisms	barbarism	0
in	in	p-acp	in	in	0
Ireland	Ireland	np1	Ireland	Ireland	0
and	and	cc	and	and	0
England	England	np1	England	England	0
,	,	,	,	,	0
slaying	slaying	vvg	slaying	slay	0
the	the	dt	the	the	0
husband	husband	n1	husband	husband	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
wife	wife	n1	wife	wife	0
,	,	,	,	,	0
or	or	cc	or	or	0
ravishing	ravishing	vvg	ravishing	ravish	0
the	the	dt	the	the	0
wife	wife	n1	wife	wife	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
husband	husband	n1	husband	husband	0
;	;	;	;	;	0
reviving	reviving	vvg	reviving	revive	0
the	the	dt	the	the	0
cruelty	cruelty	n1	cruelty	cruelty	0
of	of	pp-f	of	of	0
Phocas	Phocas	np1	Phocas	Phocas	0
to	to	pc-acp	to	to	0
Mau	Mau	fw-mi	Mau	mau	0
∣	∣	sy	∣	∣	0
ritius	ritius	fw-la	ritius	ritius	0
,	,	,	,	,	0
slaying	slaying	vvg	slaying	slay	0
his	his	po31	his	his	0
wife	wife	n1	wife	wife	0
and	and	cc	and	and	0
children	children	n2	children	child	0
before	before	p-acp	before	before	0
his	his	po31	his	his	0
face	face	n1	face	face	0
,	,	,	,	,	0
Melanc	Melanc	np1	Melanc	Melanc	0
.	.	.	.	.	1
L.	L.	np1	L.	L.	0
C.	C.	np1	C.	C.	0
and	and	cc	and	and	0
then	then	av	then	then	0
putting	putting	vvg	putting	put	0
him	him	pno31	him	he	0
to	to	p-acp	to	to	0
death	death	n1	death	death	0
also	also	av	also	also	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
the	the	dt	the	the	0
view	view	n1	view	view	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
parallel	parallel	n1	parallel	parallel	0
,	,	,	,	,	0
you	you	pn22	you	you	0
see	see	vvb	see	see	0
right	right	av-jn	right	right	0
well	well	av	well	well	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
it	it	pn31	it	it	0
stands	stands	vvz	stands	stand	0
you	you	pn22	you	you	0
upon	upon	a-acp	upon	upon	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
famous	famous	j	famous	famous	0
Ezra's	Ezra's	npg1	Ezra's	ezra	0
,	,	,	,	,	0
Nehe	Nehe	fw-ge	Nehe	nehe	0
