SACRED	SACRED	j	SACRED	sacred	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Mo	Mo	zz	Mo	mo	0
∣	∣	sy	∣	∣	0
narch	narch	n1	narch	narch	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
world	world	n1	world	world	0
hath	hath	vhz	hath	have	0
giuen	giuen	vvn	given	give	0
such	such	d	such	such	0
priuiledge	priuiledge	n1	privilege	privilege	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
smal	smal	j	small	small	0
creatures	creatures	n2	creatures	creature	0
:	:	:	:	:	0
what	what	r-crq	what	what	0
are	are	vbr	are	be	0
we	we	pns12	we	we	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
leeue	leeue	n1	leave	leave	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
esta	esta	fw-la	esta	esta	0
∣	∣	sy	∣	∣	0
blished	blished	vvn	blished	blish	0
to	to	pc-acp	to	to	0
command	command	vvi	command	command	0
ouer	ouer	p-acp	over	over	0
men	men	n2	men	man	0
,	,	,	,	,	0
&	&	cc	&	and	0
honoured	honoured	vvn	honoured	honour	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
title	title	n1	title	title	0
of	of	pp-f	of	of	0
Most	Most	np1	Most	Most	0
Christian	Christian	np1	Christian	Christian	0
?	?	?	?	?	1
To	To	p-acp	To	to	0
confirme	confirme	vvi	confirm	confirm	0
which	which	r-crq	which	which	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
liefe	liefe	av-j	lief	lief	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
harts	harts	n2	hearts	heart	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
subiects	subiects	n2-jn	subjects	subject	0
,	,	,	,	,	0
&	&	cc	&	and	0
to	to	pc-acp	to	to	0
destroy	destroy	vvi	destroy	destroy	0
the	the	dt	the	the	0
opiniō	opiniō	n1	opinion	opinion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
do	do	n1	doe	do	0
∣	∣	sy	∣	∣	0
ctors	ctors	n2	ctors	ctor	0
of	of	pp-f	of	of	0
lies	lies	n2	lies	lie	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
falsely	falsely	av-j	falsely	false	0
main	main	j	main	main	0
∣	∣	sy	∣	∣	0
taine	taine	vvb	taine	take	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Kingly	Kingly	j	Kingly	kingly	0
power	power	n1	power	power	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
absolute	absolute	j	absolute	absolute	0
,	,	,	,	,	0
&	&	cc	&	and	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
inuention	inuention	n1	invention	invention	0
of	of	pp-f	of	of	0
mē	mē	n2	men	man	0
;	;	;	;	;	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
aduentured	aduentured	vvn	adventured	adventure	0
to	to	pc-acp	to	to	0
frame	frame	vvi	frame	frame	0
this	this	d	this	this	0
little	little	j	little	little	0
discourse	discourse	n1	discourse	discourse	0
,	,	,	,	,	0
&	&	cc	&	and	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Maiesty	Maiesty	n1	Majesty	majesty	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
reading	reading	n-vvg	reading	read	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
learne	learne	vvi	learn	learn	0
no	no	av-dx	no	no	0
more	more	dc	more	more	0
to	to	p-acp	to	to	0
blas	blas	fw-es	blas	blas	0
∣	∣	sy	∣	∣	0
pheme	pheme	vvb	pheme	pheme	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
powers	powers	n2	powers	power	0
esta	esta	fw-la	esta	esta	0
∣	∣	sy	∣	∣	0
blished	blished	vvn	blished	blish	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
alone	alone	av-j	alone	alone	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
know	know	vvi	know	know	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
the	the	dt	the	the	0
antiquity	antiquity	n1	antiquity	antiquity	0
and	and	cc	and	and	0
greatnesse	greatnesse	n1	greatness	greatness	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
house	house	n1	house	house	0
,	,	,	,	,	0
the	the	dt	the	the	0
Nobility	Nobility	n1	Nobility	nobility	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Prin	Prin	n1	Prin	prin	0
∣	∣	sy	∣	∣	0
ces	ces	fw-fr	ces	ces	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
Maiesty	Maiesty	n1	Majesty	majesty	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mandeth	mandeth	vvz	mandeth	mand	0
;	;	;	;	;	0
the	the	dt	the	the	0
wisedome	wisedome	n1	wisdom	wisdom	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Soueraigne	Soueraigne	j-jn	Sovereign	sovereign	0
Courts	Courts	n2	Courts	court	0
;	;	;	;	;	0
the	the	dt	the	the	0
order	order	n1	order	order	0
Ecclesiasticall	Ecclesiasticall	j	Ecclesiastical	ecclesiastical	0
:	:	:	:	:	0
the	the	dt	the	the	0
large	large	j	large	large	0
extent	extent	n1	extent	extent	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Prouinces	Prouinces	n2	Provinces	province	0
:	:	:	:	:	0
the	the	dt	the	the	0
strength	strength	n1	strength	strength	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
places	places	n2	places	place	0
;	;	;	;	;	0
the	the	dt	the	the	0
affection	affection	n1	affection	affection	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
peoples	peoples	ng1	peoples	people	0
:	:	:	:	:	0
the	the	dt	the	the	0
faithfulnesse	faithfulnesse	n1	faithfulness	faithfulness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
confederates	confederates	n2	confederates	confederate	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Crowne	Crowne	n1	Crown	crown	0
:	:	:	:	:	0
the	the	dt	the	the	0
experience	experience	n1	experience	experience	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Cap	Cap	n1	Cap	cap	0
∣	∣	sy	∣	∣	0
taines	taines	fw-fr	taines	taines	0
:	:	:	:	:	0
the	the	dt	the	the	0
vallour	vallour	n1	valour	valour	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Nobi	Nobi	np1	Nobi	Nobi	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
:	:	:	:	:	0
the	the	dt	the	the	0
thunders	thunders	n2	thunders	thunder	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Arsenall	Arsenall	n1	Arsenal	arsenal	0
;	;	;	;	;	0
the	the	dt	the	the	0
greatnesse	greatnesse	n1	greatness	greatness	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
treasury	treasury	n1	treasury	treasury	0
,	,	,	,	,	0
that	that	cst	that	that	0
mainteineth	mainteineth	vvz	maintaineth	maintain	0
your	your	po22	your	your	0
Crowne	Crowne	n1	Crown	crown	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
that	that	d	that	that	0
diuine	diuine	j-jn	divine	divine	0
character	character	n1	character	character	0
,	,	,	,	,	0
grauen	grauen	vvn	graven	grave	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
finger	finger	n1	finger	finger	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
face	face	n1	face	face	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
King	King	n1	King	king	0
,	,	,	,	,	0
Prou.	Prou.	np1	Prou.	Prou.	1
20.8	20.8	crd	20.8	20.8	0
who	who	q-crq	who	who	0
sitting	sitting	vvg	sitting	sit	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
throne	throne	n1	throne	throne	0
,	,	,	,	,	0
chaseth	chaseth	vvz	chases	chase	0
away	away	av	away	away	0
all	all	d	all	all	0
euill	euill	n-jn	evil	evil	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
eyes	eyes	n2	eyes	eye	0
.	.	.	.	.	1
He	He	pns31	He	he	0
hauing	hauing	vhg	having	have	0
giuen	giuen	vvn	given	give	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Maiesty	Maiesty	n1	Majesty	majesty	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
tender	tender	j	tender	tender	0
yeares	yeares	n2	years	year	0
,	,	,	,	,	0
wings	wings	n2	wings	wing	0
to	to	pc-acp	to	to	0
flye	flye	vvi	fly	fly	0
ouer	ouer	p-acp	over	over	0
peoples	peoples	n2	peoples	people	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
but	but	cc-acp	but	but	0
as	as	p-acp	as	as	0
creeping	creeping	j-vvg	creeping	creep	0
wormes	wormes	n2	worms	worm	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
comparison	comparison	n1	comparison	comparison	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
gree	gree	n1	gree	gree	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
giuen	giuen	vvn	given	give	0
your	your	po22	your	your	0
Maiesty	Maiesty	n1	Majesty	majesty	0
:	:	:	:	:	0
euery	euery	d	every	every	0
good	good	j	good	good	0
subiect	subiect	n-jn	subject	subject	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
yoake	yoake	n1	yoke	yoke	0
imposed	imposed	vvn	imposed	impose	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
conscience	conscience	n1	conscience	conscience	0
,	,	,	,	,	0
Rom.	Rom.	np1	Rom.	Rom.	1
13.	13.	crd	13.	13.	0
acknowledgeth	acknowledgeth	vvz	acknowledgeth	acknowledge	0
him	him	pno31	him	he	0
∣	∣	sy	∣	∣	0
selfe	selfe	n1	self	self	0
bound	bound	n1	bound	bound	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
vow	vow	n1	vow	vow	0
to	to	pc-acp	to	to	0
remaine	remaine	vvi	remain	remain	0
for	for	p-acp	for	for	0
euer	euer	av	ever	ever	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
dispensation	dispensation	n1	dispensation	dispensation	0
from	from	p-acp	from	from	0
such	such	d	such	such	0
a	a	dt	a	a	0
duty	duty	n1	duty	duty	0
.	.	.	.	.	1
Vltima	Vltima	np1	Vltima	Vltima	0
talis	talis	fw-la	talis	talis	0
erat	erat	fw-la	erat	erat	0
quae	quae	fw-la	quae	quae	0
mea	mea	fw-la	mea	mea	0
prima	prima	fw-la	prima	prima	0
fi	fi	n2	fi	fi	0
∣	∣	sy	∣	∣	0
des	des	fw-fr	des	des	0
.	.	.	.	.	1
Propert.	Propert.	np1	Propert.	Propert.	0
20	20	crd	20	20	0
20.	20.	crd	20.	20.	1
