Friends	Friends	ng1	Friends	friend	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
knowne	knowne	vvn	known	know	0
that	that	d	that	that	0
Rock	Rock	n1	Rock	rock	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
true	true	j	true	true	0
sound	sound	n1	found	sound	0
and	and	cc	and	and	0
unmoveable	unmoveable	j	unmoveable	unmoveable	0
founda	founda	fw-la	founda	founda	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
and	and	cc	and	and	0
undefiled	undefiled	j	undefiled	undefiled	0
,	,	,	,	,	0
laid	laid	vvn	laid	lay	0
by	by	p-acp	by	by	0
God	God	np1	God	God	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
eternity	eternity	n1	eternity	eternity	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
will	will	vmb	will	will	0
stand	stand	vvi	stand	stand	0
and	and	cc	and	and	0
indure	indure	vvi	endure	endure	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
men	men	n2	men	man	0
to	to	pc-acp	to	to	0
rest	rest	vvi	rest	rest	0
upon	upon	p-acp	upon	upon	0
,	,	,	,	,	0
walk	walk	vvb	walk	walk	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
saved	saved	vvn	saved	save	0
by	by	p-acp	by	by	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
things	things	n2	things	thing	0
to	to	pc-acp	to	to	0
declare	declare	vvi	declare	declare	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
been	been	vbn	been	be	0
partial	partial	j	partial	partial	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
towards	towards	p-acp	towards	towards	0
God	God	np1	God	God	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
towards	towards	p-acp	towards	towards	0
man	man	n1	man	man	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
have	have	vhb	have	have	0
given	given	vvn	given	give	0
to	to	p-acp	to	to	0
each	each	d	each	each	0
one	one	crd	one	one	0
his	his	po31	his	his	0
due	due	j-jn	due	due	0
,	,	,	,	,	0
both	both	d	both	both	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
one	one	crd	one	one	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
di	di	fw-it	di	di	0
∣	∣	sy	∣	∣	0
stinguisht	stinguisht	vvn	stinguisht	stinguisht	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
first	first	ord	first	first	0
for	for	p-acp	for	for	0
God	God	np1	God	God	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
every	every	d	every	every	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
every	every	d	every	every	0
creature	creature	n1	creature	creature	0
of	of	pp-f	of	of	0
mankind	mankind	n1	mankind	mankind	0
mani	mani	fw-la	mani	mani	0
∣	∣	sy	∣	∣	0
fest	fest	n1	fist	fist	0
in	in	p-acp	in	in	0
due	due	j-jn	due	due	0
time	time	n1	time	time	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
himself	himself	px31	himself	himself	0
,	,	,	,	,	0
he	he	pns31	he	he	0
ever	ever	av	ever	ever	0
was	was	vbds	was	be	0
,	,	,	,	,	0
is	is	vbz	is	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
Tim	Tim	np1	Tim	Tim	0
:	:	:	:	:	0
2	2	crd	2	2	0
:	:	:	:	:	0
be	be	vbb	be	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
man	man	n1	man	man	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
man	man	n1	man	man	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
nothing	nothing	pix	nothing	nothing	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
poore	poore	j	poor	poor	0
worme	worme	n1	worm	worm	0
,	,	,	,	,	0
a	a	dt	a	a	0
weak	weak	j	weak	weak	0
,	,	,	,	,	0
empty	empty	j	empty	empty	0
,	,	,	,	,	0
passive	passive	j	passive	passive	0
,	,	,	,	,	0
nothing	nothing	pix	nothing	nothing	0
creature	creature	n1	creature	creature	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
ever	ever	av	ever	ever	0
was	was	vbds	was	be	0
,	,	,	,	,	0
is	is	vbz	is	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
all	all	d	all	all	0
strength	strength	n1	strength	strength	0
,	,	,	,	,	0
wisdome	wisdome	n1	wisdom	wisdom	0
,	,	,	,	,	0
and	and	cc	and	and	0
fulnesse	fulnesse	n1	fullness	fullness	0
of	of	pp-f	of	of	0
knowledge	knowledge	n1	knowledge	knowledge	0
and	and	cc	and	and	0
understanding	understanding	n1	understanding	understanding	0
in	in	p-acp	in	in	0
life	life	n1	life	life	0
and	and	cc	and	and	0
glory	glory	n1	glory	glory	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
one	one	crd	one	one	0
Almighty	Almighty	np1	Almighty	Almighty	0
God	God	np1	God	God	0
,	,	,	,	,	0
the	the	dt	the	the	0
all	all	d	all	all	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
.	.	.	.	.	1
And	And	cc	And	and	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
work	work	n1	work	work	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
support	support	vvi	support	support	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
sweet	sweet	j	sweet	sweet	0
,	,	,	,	,	0
pleasant	pleasant	j	pleasant	pleasant	0
,	,	,	,	,	0
and	and	cc	and	and	0
delightful	delightful	j	delightful	delightful	0
un	un	fw-fr	un	un	0
∣	∣	sy	∣	∣	0
to	to	a-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
all	all	d	all	all	0
his	his	po31	his	his	0
wayes	wayes	n2	ways	way	0
of	of	pp-f	of	of	0
sufferings	sufferings	n2	sufferings	suffering	0
,	,	,	,	,	0
persecutions	persecutions	n2	persecutions	persecution	0
,	,	,	,	,	0
and	and	cc	and	and	0
tri	tri	fw-la	tri	tri	0
∣	∣	sy	∣	∣	0
alls	alls	d|vbz	alls	all|be	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
enemies	enemies	n2	enemies	enemy	0
thereof	thereof	av	thereof	thereof	0
are	are	vbr	are	be	0
confounded	confounded	vvn	confounded	confound	0
;	;	;	;	;	0
and	and	cc	and	and	0
now	now	av	now	now	0
last	last	ord	last	last	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
,	,	,	,	,	0
my	my	po11	my	my	0
present	present	n1	present	present	0
im	im	p-acp	im	in	0
∣	∣	sy	∣	∣	0
prisonment	prisonment	n1	prisonment	prisonment	0
,	,	,	,	,	0
all	all	d	all	all	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
accompany	accompany	vvb	accompany	accompany	0
truth	truth	n1	truth	truth	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
manifestation	manifestation	n1	manifestation	manifestation	0
thereof	thereof	av	thereof	thereof	0
to	to	p-acp	to	to	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
advance	advance	vvi	advance	advance	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
over	over	p-acp	over	over	0
all	all	d	all	all	0
its	its	po31	its	its	0
enemies	enemies	n2	enemies	enemy	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
discovering	discovering	vvg	discovering	discover	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
opposition	opposition	n1	opposition	opposition	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
taken	taken	vvn	taken	take	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
Net	Net	n1	Net	net	0
,	,	,	,	,	0
and	and	cc	and	and	0
destroyed	destroyed	vvn	destroyed	destroy	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
the	the	dt	the	the	0
Devill	Devill	n1	Devil	devil	0
was	was	vbds	was	be	0
never	never	av-x	never	never	0
knowne	knowne	vvn	known	know	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
Devill	Devill	n1	Devil	devil	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
cast	cast	vvn	cast	cast	0
out	out	av	out	out	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Devill	Devill	n1	Devil	devil	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
he	he	pns31	he	he	0
made	made	vvd	made	make	0
war	war	n1	war	war	0
with	with	p-acp	with	with	0
Christ	Christ	np1	Christ	Christ	0
and	and	cc	and	and	0
Rev.	Rev.	n1	Rev.	rev.	0
12	12	crd	12	12	0
:	:	:	:	:	0
7	7	crd	7	7	0
:	:	:	:	:	0
8	8	crd	8	8	0
:	:	:	:	:	0
9	9	crd	9	9	0
:	:	:	:	:	0
his	his	po31	his	his	0
Seed	Seed	n1	Seed	seed	0
,	,	,	,	,	0
and	and	cc	and	and	0
seeking	seeking	vvg	seeking	seek	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
something	something	pi	something	something	0
,	,	,	,	,	0
became	became	vvd	became	become	0
nothing	nothing	pix	nothing	nothing	0
,	,	,	,	,	0
was	was	vbds	was	be	0
cast	cast	vvn	cast	cast	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
heaven	heaven	n1	heaven	heaven	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
all	all	d	all	all	0
his	his	po31	his	his	0
ways	ways	n2	ways	way	0
and	and	cc	and	and	0
actions	actions	n2	actions	action	0
was	was	vbds	was	be	0
made	made	vvn	made	make	0
appear	appear	vvi	appear	appear	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
but	but	p-acp	but	but	0
earthly	earthly	j	earthly	earthly	0
,	,	,	,	,	0
sensual	sensual	j	sensual	sensual	0
,	,	,	,	,	0
and	and	cc	and	and	0
devillish	devillish	j	devilish	devilish	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
having	having	vhg	having	have	0
no	no	dx	no	no	0
part	part	n1	part	part	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
was	was	vbds	was	be	0
cast	cast	vvn	cast	cast	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
heaven	heaven	n1	heaven	heaven	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
so	so	av	so	so	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
,	,	,	,	,	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
found	found	vvn	found	find	0
Fighters	Fighters	n2	Fighters	fighter	0
against	against	p-acp	against	against	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	d	that	that	0
act	act	n1	act	act	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Devil	Devil	n1	Devil	devil	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
appearances	appearances	n2	appearances	appearance	0
of	of	pp-f	of	of	0
truth	truth	n1	truth	truth	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
following	following	j-vvg	following	follow	0
discourses	discourses	n2	discourses	discourse	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
find	find	vvi	find	find	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
acted	acted	vvn	acted	act	0
by	by	p-acp	by	by	0
those	those	d	those	those	0
who	who	r-crq	who	who	0
set	set	vvb	set	set	0
themselves	themselves	px32	themselves	themselves	0
in	in	p-acp	in	in	0
malice	malice	n1	malice	malice	0
against	against	p-acp	against	against	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
betray	betray	vvi	betray	betray	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
quench	quench	vvi	quench	quench	0
the	the	dt	the	the	0
appearances	appearances	n2	appearances	appearance	0
of	of	pp-f	of	of	0
truth	truth	n1	truth	truth	0
which	which	r-crq	which	which	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
delivered	delivered	vvn	delivered	deliver	0
by	by	p-acp	by	by	0
me	me	pno11	me	i	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Pulpits	Pulpits	n2	Pulpits	pulpit	0
did	did	vdd	did	do	0
often	often	av	often	often	0
revile	revile	vvi	revile	revile	0
me	me	pno11	me	i	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Blasphemer	Blasphemer	n1	Blasphemer	blasphemer	0
,	,	,	,	,	0
&	&	cc	&	and	0
a	a	dt	a	a	0
devil	devil	n1	devil	devil	0
,	,	,	,	,	0
telling	telling	vvg	telling	tell	0
the	the	dt	the	the	0
people	people	n1	people	people	0
their	their	po32	their	their	0
own	own	d	own	own	0
emp	emp	n1	emp	emp	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
pues	pues	vvz	pues	pue	0
would	would	vmd	would	will	0
rise	rise	vvi	rise	rise	0
in	in	p-acp	in	in	0
judgment	judgment	n1	judgement	judgement	0
against	against	p-acp	against	against	0
them	them	pno32	them	they	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
coming	coming	vvg	coming	come	0
from	from	p-acp	from	from	0
them	them	pno32	them	they	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
,	,	,	,	,	0
wishing	wishing	vvg	wishing	wish	0
confusion	confusion	n1	confusion	confusion	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
power	power	n1	power	power	0
that	that	cst	that	that	0
should	should	vmd	should	shall	0
tolerate	tolerate	vvi	tolerate	tolerate	0
such	such	d	such	such	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
love	love	n1	love	love	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
men	men	n2	men	man	0
appeared	appeared	vvd	appeared	appear	0
,	,	,	,	,	0
and	and	cc	and	and	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
Di	Di	zz	Di	di	0
∣	∣	sy	∣	∣	0
sputes	sputes	vv2	sputes	spute	0
they	they	pns32	they	they	0
opposed	opposed	vvd	opposed	oppose	0
against	against	p-acp	against	against	0
me	me	pno11	me	i	0
,	,	,	,	,	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
practise	practise	n1	practice	practice	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Minister	Minister	n1	Minister	minister	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
still	still	av	still	still	0
appeared	appeared	vvd	appeared	appear	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
yond	yond	av-d	yond	yond	0
the	the	dt	the	the	0
expectation	expectation	n1	expectation	expectation	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
did	did	vdd	did	do	0
inable	inable	j	inable	inable	0
me	me	pno11	me	i	0
with	with	p-acp	with	with	0
faithfulnesse	faithfulnesse	n1	faithfulness	faithfulness	0
and	and	cc	and	and	0
boldnesse	boldnesse	n1	boldness	boldness	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
known	known	vvn	known	know	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
people	people	n1	people	people	0
this	this	d	this	this	0
mystery	mystery	n1	mystery	mystery	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
hidden	hidden	j-vvn	hidden	hide	0
wisdome	wisdome	n1	wisdom	wisdom	0
and	and	cc	and	and	0
counsel	counsel	n1	counsel	counsel	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
salvation	salvation	n1	salvation	salvation	0
of	of	pp-f	of	of	0
mankind	mankind	n1	mankind	mankind	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
though	though	cs	though	though	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
I	I	p-acp	I	in	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
now	now	av	now	now	0
am	am	vbm	am	be	0
a	a	dt	a	a	0
Prisoner	Prisoner	n1	Prisoner	prisoner	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
which	which	r-crq	which	which	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
imprisoned	imprisoned	vvn	imprisoned	imprison	0
is	is	vbz	is	be	0
free	free	j	free	free	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
my	my	po11	my	my	0
joy	joy	n1	joy	joy	0
and	and	cc	and	and	0
Crowne	Crowne	n1	Crown	crown	0
of	of	pp-f	of	of	0
rejoycing	rejoycing	vvg	rejoicing	rejoice	0
,	,	,	,	,	0
and	and	cc	and	and	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
due	due	j-jn	due	due	0
time	time	n1	time	time	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
joy	joy	n1	joy	joy	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
that	that	cst	that	that	0
oppose	oppose	vvb	oppose	oppose	0
it	it	pn31	it	it	0
(	(	(	(	(	0
though	though	c-acp	though	though	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
now	now	av	now	now	0
their	their	po32	their	their	0
sorrow	sorrow	n1	sorrow	sorrow	0
)	)	)	)	)	0
when	when	q-crq	when	when	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
made	made	vvn	made	make	0
them	them	pno32	them	they	0
free	free	j	free	free	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
done	done	vdn	done	do	0
me	me	pno11	me	i	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
destroying	destroying	vvg	destroying	destroy	0
the	the	dt	the	the	0
enmity	enmity	n1	enmity	enmity	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
against	against	p-acp	against	against	0
it	it	pn31	it	it	0
.	.	.	.	.	1
And	And	cc	And	and	0
now	now	av	now	now	0
my	my	po11	my	my	0
friends	friends	n2	friends	friend	0
&	&	cc	&	and	0
brethren	brethren	n2	brothers	brethren	0
,	,	,	,	,	0
you	you	pn22	you	you	0
that	that	cst	that	that	0
know	know	vvb	know	know	0
this	this	d	this	this	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
set	set	vvn	set	set	0
free	free	j	free	free	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
,	,	,	,	,	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
an	an	zz	an	an	0
or	or	cc	or	or	0
∣	∣	sy	∣	∣	0
nament	nament	n1	nament	nament	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
exercise	exercise	n1	exercise	exercise	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
leave	leave	vvb	leave	leave	0
you	you	pn22	you	you	0
all	all	d	all	all	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
rest	rest	vvi	rest	rest	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
