COnsyderynge	COnsyderynge	vvg	Considering	consider	0
labour	labour	n1	labour	labour	0
and	and	cc	and	and	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
reapynge	reapynge	j-vvg	reapynge	reapynge	0
and	and	cc	and	and	0
rest	rest	n1	rest	rest	0
.	.	.	.	.	1
If	If	cs	If	if	0
we	we	pns12	we	we	0
repe	repe	vvb	repe	repe	0
before	before	p-acp	before	before	0
our	our	po12	our	our	0
tyme	tyme	n1	time	time	0
our	our	po12	our	our	0
corne	corne	n1	corn	corn	0
wyll	wyll	vmb	will	will	0
be	be	vbi	be	be	0
greene	greene	j-jn	green	green	0
.	.	.	.	.	1
If	If	cs	If	if	0
we	we	pns12	we	we	0
rest	rest	vvb	rest	rest	0
eare	eare	n1	ear	ear	0
our	our	po12	our	our	0
busynes	busynes	n1	business	business	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
,	,	,	,	,	0
we	we	pns12	we	we	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
cōpelled	cōpelled	vvn	compelled	compel	0
to	to	pc-acp	to	to	0
worke	worke	vvi	work	work	0
when	when	c-crq	when	when	0
we	we	pns12	we	we	0
shulde	shulde	vmd	should	shall	0
rest	rest	vvi	rest	rest	0
,	,	,	,	,	0
&	&	cc	&	and	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
shal	shal	vmb	shall	shall	0
not	not	xx	not	not	0
auayle	auayle	vvi	avail	avail	0
vs.	vs.	pno12	us	we	0
We	We	pns12	We	we	0
must	must	vmb	must	must	0
therfore	therfore	av	therefore	therefore	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
prouerbe	prouerbe	n1	proverb	proverb	0
is	is	vbz	is	be	0
)	)	)	)	)	0
take	take	vvb	take	take	0
the	the	dt	the	the	0
tyme	tyme	n1	time	time	0
whyle	whyle	cs	while	while	0
tyme	tyme	n1	time	time	0
is	is	vbz	is	be	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
tyme	tyme	n1	time	time	0
wyl	wyl	vmb	will	will	0
away	away	av	away	away	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
my	my	po11	my	my	0
most	most	av-ds	most	most	0
reuerend	reuerend	j-jn	reverend	reverend	0
Father	Father	n1	Father	father	0
&	&	cc	&	and	0
honorable	honorable	j	honourable	honourable	0
Lord	Lord	n1	Lord	lord	0
I	I	pns11	I	i	0
being	being	vbg	being	be	0
mo	mo	dc	more	more	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
partly	partly	av	partly	partly	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
sayde	sayde	vvn	said	say	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
bountifull	bountifull	j	bountiful	bountiful	0
magny	magny	n1	magny	magny	0
∣	∣	sy	∣	∣	0
fycence	fycence	n1	fycence	fycence	0
of	of	pp-f	of	of	0
Almyghty	Almyghty	j-jn	Almighty	almighty	0
God	God	np1	God	God	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
dyd	dyd	vdd	did	do	0
so	so	av	so	so	0
louingly	louingly	av-vvg	lovingly	love	0
accept	accept	vvi	accept	accept	0
the	the	dt	the	the	0
offryng	offryng	n1	offering	offering	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
wyddowe	wyddowe	n1	widow	widow	0
,	,	,	,	,	0
and	and	cc	and	and	0
partly	partly	av	partly	partly	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
consideration	consideration	n1	consideration	consideration	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
duety	duety	n1	duty	duty	0
after	after	p-acp	after	after	0
this	this	d	this	this	0
miserable	miserable	j	miserable	miserable	0
tyme	tyme	n1	time	time	0
of	of	pp-f	of	of	0
sisme	sisme	n1	sisme	sisme	0
and	and	cc	and	and	0
heresy	heresy	n1	heresy	heresy	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
wrytten	wrytten	vvn	written	write	0
certeyne	certeyne	j	certain	certain	0
sermons	sermons	n2	sermons	sermon	0
or	or	cc	or	or	0
Ho	Ho	uh	Ho	ho	0
¦	¦	sy	¦	¦	0
miles	miles	ng2	miles	mile	0
the	the	dt	the	the	0
whiche	whiche	r-crq	which	which	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
reuerende	reuerende	j-jn	reverend	reverend	0
Fatherhod	Fatherhod	n1	Fatherhood	fatherhood	0
and	and	cc	and	and	0
honorable	honorable	j	honourable	honourable	0
Lordeshyp	Lordeshyp	n1	Lordship	lordship	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
gyftes	gyftes	n2	gifts	gift	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
chylde	chylde	n1	child	child	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
father	father	n1	father	father	0
bothe	bothe	av-d	both	both	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
fatherly	fatherly	j	fatherly	fatherly	0
loue	loue	n1	love	love	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
knowe	knowe	vvi	know	know	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
beare	beare	vvi	bear	bear	0
towardes	towardes	p-acp	towards	towards	0
vs	vs	pno12	us	we	0
your	your	po22	your	your	0
diocessans	diocessans	n2	diocessans	diocessan	0
and	and	cc	and	and	0
chyldren	chyldren	n2	children	child	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
great	great	j	great	great	0
affection	affection	n1	affection	affection	0
and	and	cc	and	and	0
feruent	feruent	j	fervent	fervent	0
zeale	zeale	n1	zeal	zeal	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
defence	defence	n1	defence	defence	0
and	and	cc	and	and	0
meintenaunce	meintenaunce	n1	meintenaunce	meintenaunce	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
Catho	Catho	np1	Catho	Catho	0
∣	∣	sy	∣	∣	0
tholyke	tholyke	j-jn	tholyke	tholyke	0
fayth	fayth	n1	faith	faith	0
and	and	cc	and	and	0
true	true	j	true	true	0
religion	religion	n1	religion	religion	0
,	,	,	,	,	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
father	father	n1	father	father	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
loue	loue	n1	love	love	0
and	and	cc	and	and	0
byshoplyke	byshoplyke	j	byshoplyke	byshoplyke	0
zeale	zeale	n1	zeal	zeal	0
beinge	beinge	vbg	being	be	0
well	well	av	well	well	0
knowen	knowen	vvn	known	know	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
men	men	n2	men	man	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
cause	cause	vvi	cause	cause	0
these	these	d	these	these	0
my	my	po11	my	my	0
sermons	sermons	n2	sermons	sermon	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
I	I	pns11	I	i	0
truste	truste	vvi	trust	trust	0
the	the	dt	the	the	0
better	better	av-jc	better	better	0
accepted	accepted	vvn	accepted	accept	0
,	,	,	,	,	0
both	both	av-d	both	both	0
with	with	p-acp	with	with	0
God	God	np1	God	God	0
and	and	cc	and	and	0
man	man	n1	man	man	0
.	.	.	.	.	1
Wherefore	Wherefore	c-crq	Wherefore	wherefore	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
moste	moste	av-ds	most	most	0
hartely	hartely	av-j	heartily	hearty	0
desyre	desyre	vvi	desire	desire	0
your	your	po22	your	your	0
honour	honour	n1	honour	honour	0
to	to	pc-acp	to	to	0
accepte	accepte	vvi	accept	accept	0
this	this	d	this	this	0
my	my	po11	my	my	0
small	small	j	small	small	0
oblation	oblation	n1	oblation	oblation	0
or	or	cc	or	or	0
offerynge	offerynge	n1	offering	offering	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
wysedome	wysedome	n1	wisdom	wisdom	0
and	and	cc	and	and	0
discretion	discretion	n1	discretion	discretion	0
to	to	pc-acp	to	to	0
vse	vse	vvi	use	use	0
the	the	dt	the	the	0
same	same	d	same	same	0
accordyngely	accordyngely	av-vvg	accordingly	accord	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
thereby	thereby	av	thereby	thereby	0
the	the	dt	the	the	0
Catholyke	Catholyke	jp	Catholic	catholic	0
fayth	fayth	n1	faith	faith	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
mein	mein	fw-ge	mein	mein	0
∣	∣	sy	∣	∣	0
teyned	teyned	vvd	teyned	teyn	0
,	,	,	,	,	0
and	and	cc	and	and	0
almyghty	almyghty	j-jn	almighty	almighty	0
god	god	n1	god	god	0
best	best	js	best	best	0
honored	honored	vvd	honoured	honour	0
.	.	.	.	.	1
