SIth	SIth	c-acp	SIth	sith	0
(	(	(	(	(	0
without	without	p-acp	without	without	0
need	need	n1	need	need	0
of	of	pp-f	of	of	0
greater	greater	jc	greater	great	0
testimonie	testimonie	n1	testimony	testimony	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
apparent	apparent	j	apparent	apparent	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
)	)	)	)	)	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
one	one	pi	one	one	0
thing	thing	n1	thing	thing	0
after	after	p-acp	after	after	0
God	God	np1	God	God	0
so	so	av	so	so	0
commo	commo	j	common	common	0
∣	∣	sy	∣	∣	0
dious	dious	j	dious	dious	0
and	and	cc	and	and	0
profitable	profitable	j	profitable	profitable	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
weale	weale	n1	weal	weal	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
hu	hu	uh	hu	hu	0
∣	∣	sy	∣	∣	0
mane	mane	n1	mane	mane	0
societie	societie	n1	society	society	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
man	man	n1	man	man	0
himselfe	himselfe	px31	himself	himself	0
:	:	:	:	:	0
euen	euen	av	even	even	0
as	as	c-acp	as	as	0
contrari	contrari	fw-la	contrari	contrari	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
no	no	av-dx	no	no	0
lesse	lesse	av-dc	less	less	0
certeine	certeine	j	certain	certain	0
and	and	cc	and	and	0
euident	euident	j	evident	evident	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
euil	euil	j-jn	evil	evil	0
,	,	,	,	,	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
same	same	d	same	same	0
neuer	neuer	av	never	never	0
so	so	av	so	so	0
great	great	j	great	great	0
and	and	cc	and	and	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
testable	testable	j	testable	testable	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
chaunceth	chaunceth	vvz	chanceth	chance	0
not	not	xx	not	not	0
vnto	vnto	p-acp	unto	unto	0
men	men	n2	men	man	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
selues	selues	n2	selves	self	0
&	&	cc	&	and	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
own	own	d	own	own	0
default	default	n1	default	default	0
.	.	.	.	.	1
Wherfore	Wherfore	c-crq	Wherefore	wherefore	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
tooke	tooke	vvd	took	take	0
vpon	vpon	p-acp	upon	upon	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
search	search	vvi	search	search	0
out	out	av	out	out	0
the	the	dt	the	the	0
causes	causes	n2	causes	cause	0
of	of	pp-f	of	of	0
mans	mans	ng1	men	man	0
death	death	n1	death	death	0
and	and	cc	and	and	0
destruction	destruction	n1	destruction	destruction	0
:	:	:	:	:	0
after	after	c-acp	after	after	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
gathered	gathered	vvn	gathered	gather	0
to	to	pc-acp	to	to	0
∣	∣	sy	∣	∣	0
gether	gether	av	gether	gether	0
an	an	cs	and	an	0
infinite	infinite	j	infinite	infinite	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
sicknesses	sicknesses	n2	sicknesses	sickness	0
,	,	,	,	,	0
pestilences	pestilences	n2	pestilences	pestilence	0
,	,	,	,	,	0
flouds	flouds	n2	floods	flood	0
,	,	,	,	,	0
Dicearchus	Dicearchus	np1	Dicearchus	Dicaearchus	0
.	.	.	.	.	1
Cicero	Cicero	np1	Cicero	Cicero	0
.	.	.	.	.	0
lib	lib	n1	lib	lib	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Offices	Offices	n2	Offices	office	0
.	.	.	.	.	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
,	,	,	,	,	0
concluded	concluded	vvn	concluded	conclude	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
end	end	n1	end	end	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
haue	haue	vhi	have	have	0
a	a	dt	a	a	0
farre	farre	av-j	far	far	0
greater	greater	jc	greater	great	0
number	number	n1	number	number	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
comparison	comparison	n1	comparison	comparison	0
,	,	,	,	,	0
bene	bene	vbn	be	be	0
destroyed	destroyed	vvn	destroyed	destroy	0
and	and	cc	and	and	0
putte	putte	vvn	put	put	0
to	to	p-acp	to	to	0
deathe	deathe	n1	death	death	0
by	by	p-acp	by	by	0
mans	mans	ng1	men	man	0
meane	meane	j	mean	mean	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
warres	warres	n2	wars	war	0
,	,	,	,	,	0
seditions	seditions	n2	seditions	sedition	0
,	,	,	,	,	0
murders	murders	n2	murders	murder	0
,	,	,	,	,	0
poysonings	poysonings	n2-vvg	poisonings	poison	0
and	and	cc	and	and	0
otherlike	otherlike	j	otherlike	otherlike	0
,	,	,	,	,	0
then	then	av	then	then	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
mischiefe	mischiefe	n1	mischief	mischief	0
or	or	cc	or	or	0
mishap	mishap	n1	mishap	mishap	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
hath	hath	vhz	hath	have	0
moued	moued	vvn	moved	move	0
ye	ye	pn22	you	you	0
auncient	auncient	j	ancient	ancient	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
in	in	p-acp	in	in	0
cōmon	cōmon	j	common	common	0
prouerb	prouerb	n1	proverb	proverb	0
,	,	,	,	,	0
Men	Men	n2	Men	man	0
like	like	av-j	like	like	0
wolues	wolues	n2	wolves	wolf	0
to	to	p-acp	to	to	0
¦	¦	sy	¦	¦	0
warde	warde	n1	ward	ward	0
men	men	n2	men	man	0
.	.	.	.	.	0
that	that	d	that	that	0
men	men	n2	men	man	0
were	were	vbdr	were	be	0
like	like	av-j	like	like	0
vnto	vnto	p-acp	unto	unto	0
wolues	wolues	n2	wolves	wolf	0
toward	toward	p-acp	towards	towards	0
men	men	n2	men	man	0
:	:	:	:	:	0
And	And	cc	And	and	0
contrarily	contrarily	av-jn	contrarily	contrary	0
,	,	,	,	,	0
that	that	cst	that	that	0
man	man	n1	man	man	0
was	was	vbds	was	be	0
God	God	np1	God	God	0
to	to	p-acp	to	to	0
man	man	n1	man	man	0
:	:	:	:	:	0
meaning	meaning	vvg	meaning	mean	0
thereby	thereby	av	thereby	thereby	0
,	,	,	,	,	0
that	that	cst	that	that	0
euen	euen	av-j	even	even	0
as	as	c-acp	as	as	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
more	more	av-dc	more	more	0
beneficiall	beneficiall	j	beneficial	beneficial	0
to	to	p-acp	to	to	0
man	man	n1	man	man	0
,	,	,	,	,	0
then	then	cs	then	than	0
man	man	n1	man	man	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
:	:	:	:	:	0
so	so	av	so	so	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
more	more	av-dc	more	more	0
contrarie	contrarie	j-jn	contrary	contrary	0
and	and	cc	and	and	0
damageable	damageable	j	damageable	damageable	0
to	to	p-acp	to	to	0
man	man	n1	man	man	0
,	,	,	,	,	0
then	then	cs	then	than	0
himselfe	himselfe	px31	himself	himself	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
to	to	p-acp	to	to	0
what	what	q-crq	what	what	0
end	end	n1	end	end	0
will	will	vmb	will	will	0
you	you	pn22	you	you	0
say	say	vvb	say	say	0
(	(	(	(	(	0
Syr	Syr	n1	Sir	sir	0
)	)	)	)	)	0
tendeth	tendeth	vvz	tendeth	tend	0
this	this	d	this	this	0
discourse	discourse	n1	discourse	discourse	0
?	?	?	?	?	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
therby	therby	av	thereby	thereby	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
inferre	inferre	vvi	infer	infer	0
,	,	,	,	,	0
that	that	cst	that	that	0
among	among	p-acp	among	among	0
all	all	d	all	all	0
politike	politike	j	politic	politic	0
things	things	n2	things	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
which	which	r-crq	which	which	0
may	may	vmb	may	may	0
apperteine	apperteine	vvi	appertain	appertain	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
gouernment	gouernment	n1	government	government	0
,	,	,	,	,	0
&	&	cc	&	and	0
ad	ad	fw-la	ad	ad	0
∣	∣	sy	∣	∣	0
ministration	ministration	n1	ministration	ministration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Publike	Publike	j	Public	public	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
so	so	av	so	so	0
recōmendable	recōmendable	j	recommendable	recommendable	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
vnderstand	vnderstand	vvi	understand	understand	0
what	what	r-crq	what	what	0
belongeth	belongeth	vvz	belongeth	belong	0
to	to	p-acp	to	to	0
vocation	vocation	n1	vocation	vocation	0
:	:	:	:	:	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
way	way	n1	way	way	0
&	&	cc	&	and	0
ma	ma	fw-fr	ma	ma	0
¦	¦	sy	¦	¦	0
ner	ner	zz	ner	ner	0
to	to	p-acp	to	to	0
liue	liue	vvi	live	live	0
,	,	,	,	,	0
whervnto	whervnto	c-crq	whereunto	whereunto	0
euery	euery	d	every	every	0
one	one	pi	one	one	0
is	is	vbz	is	be	0
duly	duly	av-jn	duly	due	0
called	called	vvn	called	call	0
,	,	,	,	,	0
&	&	cc	&	and	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
duetie	duetie	n1	duty	duty	0
and	and	cc	and	and	0
office	office	n1	office	office	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
authoritie	authoritie	n1	authority	authority	0
to	to	pc-acp	to	to	0
cal	cal	vvi	call	call	0
men	men	n2	men	man	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
without	without	p-acp	without	without	0
doubt	doubt	n1	doubt	doubt	0
,	,	,	,	,	0
the	the	dt	the	the	0
first	first	ord	first	first	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Cōmon	Cōmon	j	Common	common	0
weale	weale	n1	weal	weal	0
wel	wel	av	well	well	0
instituted	instituted	vvn	instituted	institute	0
,	,	,	,	,	0
consisteth	consisteth	vvz	consisteth	consist	0
in	in	p-acp	in	in	0
wel	wel	av	well	well	0
choosing	choosing	vvg	choosing	choose	0
,	,	,	,	,	0
picking	picking	vvg	picking	pick	0
out	out	av	out	out	0
,	,	,	,	,	0
&	&	cc	&	and	0
ordeining	ordeining	vvg	ordaining	ordain	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
apt	apt	j	apt	apt	0
and	and	cc	and	and	0
meete	meete	j	meet	meet	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Publike	Publike	j	Public	public	0
choice	choice	n1	choice	choice	0
,	,	,	,	,	0
eche	eche	d	eke	each	0
one	one	pi	one	one	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
liuing	liuing	vvg	living	live	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
vn	vn	p-acp	un	unto	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
:	:	:	:	:	0
Neither	Neither	av-dx	Neither	neither	0
more	more	dc	more	more	0
nor	nor	ccx	nor	nor	0
lesse	lesse	av-dc	less	less	0
,	,	,	,	,	0
then	then	av	then	then	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
see	see	vvb	see	see	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
gouernment	gouernment	n1	government	government	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
shippe	shippe	n1	ship	ship	0
,	,	,	,	,	0
the	the	dt	the	the	0
first	first	ord	first	first	0
and	and	cc	and	and	0
most	most	ds	most	most	0
requi	requi	fw-la	requi	requi	0
∣	∣	sy	∣	∣	0
site	site	n1	site	site	0
part	part	n1	part	part	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Pilotes	Pilotes	n2	Pilots	pilot	0
,	,	,	,	,	0
Patrons	Patrons	n2	Patrons	patron	0
,	,	,	,	,	0
and	and	cc	and	and	0
Go	Go	vvb	Go	go	0
∣	∣	sy	∣	∣	0
uernors	uernors	n2	uernors	uernor	0
be	be	vbb	be	be	0
wel	wel	av	well	well	0
chosen	chosen	vvn	chosen	choose	0
and	and	cc	and	and	0
ordeined	ordeined	vvn	ordained	ordain	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
And	And	cc	And	and	0
euen	euen	av	even	even	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
good	good	j	good	good	0
husbandman	husbandman	n1	husbandman	husbandman	0
reaping	reaping	vvg	reaping	reap	0
most	most	ds	most	most	0
commoditie	commoditie	n1	commodity	commodity	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
tilth	tilth	n1	tilth	tilth	0
and	and	cc	and	and	0
labour	labour	n1	labour	labour	0
is	is	vbz	is	be	0
he	he	pns31	he	he	0
,	,	,	,	,	0
not	not	xx	not	not	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
most	most	av-ds	most	most	0
land	land	n1	land	land	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	d	that	that	0
can	can	vmb	can	can	0
best	best	av-js	best	best	0
choose	choose	vvi	choose	choose	0
and	and	cc	and	and	0
dis	dis	d	dis	this	0
∣	∣	sy	∣	∣	0
cerne	cerne	vvi	cerne	cerne	0
the	the	dt	the	the	0
propertie	propertie	n1	property	property	0
and	and	cc	and	and	0
nature	nature	n1	nature	nature	0
of	of	pp-f	of	of	0
ech	ech	d	each	each	0
plotte	plotte	n1	plot	plot	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
grounde	grounde	n1	ground	ground	0
:	:	:	:	:	0
So	So	av	So	so	0
the	the	dt	the	the	0
best	best	js	best	best	0
gouernour	gouernour	n1	governor	governor	0
and	and	cc	and	and	0
administra	administra	fw-la	administra	administra	0
∣	∣	sy	∣	∣	0
tour	tour	fw-fr	tour	tour	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Publike	Publike	j	Public	public	0
is	is	vbz	is	be	0
he	he	pns31	he	he	0
,	,	,	,	,	0
not	not	xx	not	not	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
a	a	dt	a	a	0
greate	greate	j	great	great	0
extent	extent	n1	extent	extent	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
subiectes	subiectes	n2-jn	subjects	subject	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	d	that	that	0
can	can	vmb	can	can	0
best	best	av-js	best	best	0
han	han	av	han	han	0
∣	∣	sy	∣	∣	0
dle	dle	uh	dle	dle	0
men	men	n2	men	man	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
well	well	av	well	well	0
choosing	choosing	vvg	choosing	choose	0
them	them	pno32	them	they	0
apt	apt	j	apt	apt	0
&	&	cc	&	and	0
meete	meete	j	meet	meet	0
,	,	,	,	,	0
ech	ech	d	each	each	0
one	one	pi	one	one	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
office	office	n1	office	office	0
.	.	.	.	.	1
This	This	np1	This	This	0
beeing	beeing	vbg	being	be	0
most	most	av-ds	most	most	0
certeine	certeine	j	certain	certain	0
,	,	,	,	,	0
that	that	cst	that	that	0
some	some	d	some	some	0
say	say	vvb	say	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
The	The	dt	The	the	0
prince	prince	n1	prince	prince	0
and	and	cc	and	and	0
lorde	lorde	n1	lord	lord	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
husband	husband	vvi	husband	husband	0
his	his	po31	his	his	0
landes	landes	n2	lands	land	0
,	,	,	,	,	0
lordships	lordships	n2	lordship's	lordship	0
,	,	,	,	,	0
and	and	cc	and	and	0
reuenues	reuenues	n2	revenues	revenue	0
by	by	p-acp	by	by	0
men	men	n2	men	man	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
must	must	vmb	must	must	0
husbande	husbande	n1	husband	husband	0
men	men	n2	men	man	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
∣	∣	sy	∣	∣	0
selfe	selfe	n1	self	self	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
so	so	av	so	so	0
be	be	vbb	be	be	0
that	that	d	that	that	0
Artificers	Artificers	n2	Artificers	artificer	0
and	and	cc	and	and	0
handicraf	handicraf	n1	handicraf	handicraf	0
∣	∣	sy	∣	∣	0
tes	tes	fw-fr	tes	tes	0
men	men	n2	men	man	0
be	be	vbb	be	be	0
blamed	blamed	vvn	blamed	blame	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
neglect	neglect	vvb	neglect	neglect	0
the	the	dt	the	the	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
uiding	uiding	n-vvg	uiding	uide	0
of	of	pp-f	of	of	0
instrumentes	instrumentes	n2	instruments	instrument	0
,	,	,	,	,	0
and	and	cc	and	and	0
tooles	tooles	n2	tools	tool	0
meete	meete	j	meet	meet	0
and	and	cc	and	and	0
ne	ne	zz	ne	ne	0
∣	∣	sy	∣	∣	0
cessarie	cessarie	j-jn	cessarie	cessarie	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
Art	Art	n1	Art	art	0
and	and	cc	and	and	0
Science	Science	n1	Science	science	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
for	for	c-acp	for	for	0
not	not	xx	not	not	0
knowing	knowing	vvg	knowing	know	0
the	the	dt	the	the	0
names	names	n2	names	name	0
,	,	,	,	,	0
vsage	vsage	n1	usage	usage	0
,	,	,	,	,	0
goodnesse	goodnesse	n1	goodness	goodness	0
,	,	,	,	,	0
and	and	cc	and	and	0
place	place	n1	place	place	0
where	where	c-crq	where	where	0
to	to	pc-acp	to	to	0
fetche	fetche	vvi	fetch	fetch	0
them	them	pno32	them	they	0
:	:	:	:	:	0
howe	howe	c-crq	how	how	0
muche	muche	av-d	much	much	0
more	more	av-dc	more	more	0
shall	shall	vmb	shall	shall	0
the	the	dt	the	the	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
Souereigne	Souereigne	n-jn	Sovereign	sovereign	0
Lorde	Lorde	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
administra	administra	fw-la	administra	administra	0
∣	∣	sy	∣	∣	0
tour	tour	fw-fr	tour	tour	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Publique	Publique	j	Public	public	0
,	,	,	,	,	0
be	be	vbb	be	be	0
blame	blame	n1	blame	blame	0
worthie	worthie	j	worthy	worthy	0
,	,	,	,	,	0
hand	hand	n1	hand	hand	0
∣	∣	sy	∣	∣	0
ling	ling	n1	ling	ling	0
thinges	thinges	n2	things	thing	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
greate	greate	j	great	great	0
importance	importance	n1	importance	importance	0
,	,	,	,	,	0
and	and	cc	and	and	0
doing	doing	vdg	doing	do	0
his	his	png31	his	he	0
actions	actions	n2	actions	action	0
,	,	,	,	,	0
not	not	xx	not	not	0
with	with	p-acp	with	with	0
tooles	tooles	n2	tools	tool	0
without	without	p-acp	without	without	0
soules	soules	n2	souls	soul	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
aide	aide	n1	aid	aid	0
and	and	cc	and	and	0
seruice	seruice	n1	service	service	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
,	,	,	,	,	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
be	be	vbb	be	be	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
point	point	n1	point	point	0
slothfull	slothfull	j	slothful	slothful	0
and	and	cc	and	and	0
negligent	negligent	j	negligent	negligent	0
?	?	?	?	?	1
As	As	p-acp	As	as	0
there	there	a-acp	there	there	0
neuer	neuer	av	never	never	0
was	was	vbds	was	be	0
thing	thing	n1	thing	thing	0
better	better	av-jc	better	better	0
saide	saide	vvd	said	say	0
,	,	,	,	,	0
then	then	cs	then	than	0
this	this	d	this	this	0
,	,	,	,	,	0
that	that	cst	that	that	0
To	To	pc-acp	To	to	0
vanquish	vanquish	vvi	vanquish	vanquish	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
vanquished	vanquished	vvn	vanquished	vanquish	0
in	in	p-acp	in	in	0
warre	warre	n1	war	war	0
,	,	,	,	,	0
is	is	vbz	is	be	0
but	but	p-acp	but	but	0
an	an	dt	and	a	0
accident	accident	n1	accident	accident	0
of	of	pp-f	of	of	0
well	well	n1	well	well	0
or	or	cc	or	or	0
euill	euill	av-jn	evil	evil	0
choosing	choosing	vvg	choosing	choose	0
and	and	cc	and	and	0
ordeining	ordeining	vvg	ordaining	ordain	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
:	:	:	:	:	0
So	So	av	So	so	0
say	say	vvb	say	say	0
I	I	pns11	I	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
weale	weale	n1	weal	weal	0
and	and	cc	and	and	0
woe	woe	n1	woe	woe	0
happening	happening	vvg	happening	happen	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
realme	realme	n1	realm	realm	0
,	,	,	,	,	0
proceedeth	proceedeth	vvz	proceedeth	proceed	0
no	no	dx	no	no	0
whence	whence	c-crq	whence	whence	0
else	else	av	else	else	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
ignorance	ignorance	n1	ignorance	ignorance	0
and	and	cc	and	and	0
negligence	negligence	n1	negligence	negligence	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
feate	feate	n1	feat	feat	0
of	of	pp-f	of	of	0
