BEhold	BEhold	vvi	BEhold	behold	0
more	more	av-dc	more	more	0
honourable	honourable	j	honourable	honourable	0
to	to	p-acp	to	to	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
of	of	pp-f	of	of	0
greater	greater	jc	greater	great	0
concrament	concrament	n1	concrament	concrament	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
and	and	cc	and	and	0
our	our	po12	our	our	0
salvation	salvation	n1	salvation	salvation	0
,	,	,	,	,	0
then	then	cs	then	than	0
this	this	d	this	this	0
is	is	vbz	is	be	0
;	;	;	;	;	0
take	take	vvb	take	take	0
away	away	av	away	away	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sufficiency	sufficiency	n1	sufficiency	sufficiency	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
sacrifice	sacrifice	n1	sacrifice	sacrifice	0
,	,	,	,	,	0
and	and	cc	and	and	0
our	our	po12	our	our	0
salvation	salvation	n1	salvation	salvation	0
is	is	vbz	is	be	0
destroyed	destroyed	vvn	destroyed	destroy	0
;	;	;	;	;	0
what	what	r-crq	what	what	0
a	a	dt	a	a	0
dishonour	dishonour	n1	dishonour	dishonour	0
were	were	vbdr	were	be	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
Christ	Christ	np1	Christ	Christ	0
to	to	pc-acp	to	to	0
save	save	vvi	save	save	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
save	save	vvi	save	save	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
sufficient	sufficient	j	sufficient	sufficient	0
to	to	pc-acp	to	to	0
save	save	vvi	save	save	0
:	:	:	:	:	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
opinion	opinion	n1	opinion	opinion	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
that	that	cst	that	that	0
my	my	po11	my	my	0
soule	soule	n1	soul	soul	0
doth	doth	vdz	does	do	0
more	more	dc	more	more	0
abhorre	abhorre	vvi	abhor	abhor	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
against	against	p-acp	against	against	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
more	more	av-dc	more	more	0
freely	freely	av-j	freely	free	0
lay	lay	vvd	lay	lie	0
downe	downe	a-acp	down	down	0
my	my	po11	my	my	0
life	life	n1	life	life	0
for	for	c-acp	for	for	0
then	then	av	then	then	0
this	this	d	this	this	0
.	.	.	.	.	1
This	This	d	This	this	0
Treatise	Treatise	n1	Treatise	treatise	0
tends	tends	vvz	tends	tend	0
to	to	pc-acp	to	to	0
exalt	exalt	vvi	exalt	exalt	0
Christ	Christ	np1	Christ	Christ	0
alone	alone	av-j	alone	alone	0
,	,	,	,	,	0
selfe	selfe	n1	self	self	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
exalted	exalted	vvn	exalted	exalt	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
nothing	nothing	pix	nothing	nothing	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
;	;	;	;	;	0
this	this	d	this	this	0
doctrine	doctrine	n1	doctrine	doctrine	0
puts	puts	vvz	puts	put	0
a	a	dt	a	a	0
man	man	n1	man	man	0
upon	upon	p-acp	upon	upon	0
a	a	dt	a	a	0
whole	whole	j-jn	whole	whole	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
niall	niall	n1	niall	niall	0
of	of	pp-f	of	of	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
man	man	n1	man	man	0
and	and	cc	and	and	0
his	his	po31	his	his	0
best	best	js	best	best	0
works	works	n2	works	work	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
wholy	wholy	av-jn	wholly	whole	0
shut	shut	vvn	shut	shut	0
out	out	av	out	out	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
trampled	trampled	vvd	trampled	trample	0
upon	upon	p-acp	upon	upon	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
Ju	Ju	np1	Ju	Ju	0
∣	∣	sy	∣	∣	0
stification	stification	n1	stification	stification	0
and	and	cc	and	and	0
Salvation	Salvation	n1	Salvation	salvation	0
:	:	:	:	:	0
This	This	d	This	this	0
doctrine	doctrine	n1	doctrine	doctrine	0
strips	strips	vvz	strips	strip	0
us	us	pno12	us	we	0
naked	naked	j	naked	naked	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
things	things	n2	things	thing	0
else	else	av	else	else	0
but	but	p-acp	but	but	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
I	I	pns11	I	i	0
and	and	cc	and	and	0
my	my	po11	my	my	0
workes	workes	n2	works	work	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
Christ	Christ	np1	Christ	Christ	0
and	and	cc	and	and	0
my	my	po11	my	my	0
workes	workes	n2	works	work	0
together	together	av	together	together	0
that	that	cst	that	that	0
saves	saves	vvz	saves	save	0
me	me	pno11	me	i	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
alone	alone	av-j	alone	alone	0
is	is	vbz	is	be	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
saves	saves	vvz	saves	save	0
us	us	pno12	us	we	0
from	from	p-acp	from	from	0
our	our	po12	our	our	0
sinnes	sinnes	n2	sins	sin	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
Many	Many	av-d	Many	many	0
want	want	vvb	want	want	0
this	this	d	this	this	0
light	light	n1	light	light	0
:	:	:	:	:	0
desire	desire	n1	desire	desire	0
and	and	cc	and	and	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
doing	doing	vdg	doing	do	0
good	good	j	good	good	0
,	,	,	,	,	0
moved	moved	vvn	moved	move	0
and	and	cc	and	and	0
incouraged	incouraged	vvn	encouraged	encourage	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
paines	paines	n2	pains	pain	0
herein	herein	av	herein	herein	0
,	,	,	,	,	0
and	and	cc	and	and	0
send	send	vvb	send	send	0
it	it	pn31	it	it	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
world	world	n1	world	world	0
;	;	;	;	;	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
no	no	dx	no	no	0
prejudice	prejudice	n1	prejudice	prejudice	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
sons	sons	n2	sons	son	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
would	would	vmd	would	will	0
I	I	pns11	I	i	0
have	have	vhi	have	have	0
any	any	d	any	any	0
thinke	thinke	vvb	think	think	0
ill	ill	av-jn	ill	ill	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
many	many	d	many	many	0
things	things	n2	things	thing	0
we	we	pns12	we	we	0
sinne	sinne	vvb	sin	sin	0
all	all	d	all	all	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
kinde	kinde	n1	kind	kind	0
or	or	cc	or	or	0
other	other	j-jn	other	other	0
;	;	;	;	;	0
its	its	pn31|vbz	its	it|be	0
in	in	p-acp	in	in	0
vaine	vaine	j	vain	vain	0
to	to	pc-acp	to	to	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
pect	pect	n1	pect	pect	0
better	better	vvi	better	better	0
so	so	av	so	so	0
long	long	av-j	long	long	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
world	world	n1	world	world	0
:	:	:	:	:	0
neither	neither	av-dx	neither	neither	0
de	de	vdb	de	do	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
take	take	vvb	take	take	0
any	any	d	any	any	0
pleasure	pleasure	n1	pleasure	pleasure	0
in	in	p-acp	in	in	0
writing	writing	vvg	writing	write	0
against	against	p-acp	against	against	0
any	any	d	any	any	0
,	,	,	,	,	0
no	no	av-dx	no	no	0
further	further	av-jc	further	further	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
bound	bound	vvn	bound	bind	0
in	in	p-acp	in	in	0
conscience	conscience	n1	conscience	conscience	0
to	to	pc-acp	to	to	0
wit	wit	vvi	wit	wit	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
especially	especially	av-j	especially	especial	0
when	when	c-crq	when	when	0
others	others	n2-jn	others	other	0
omit	omit	vvb	omit	omit	0
it	it	pn31	it	it	0
:	:	:	:	:	0
Mr	Mr	n1	Mr	mr.	0
Gerees	Gerees	vvz	Gerees	geree	0
Booke	Booke	n1	Book	book	0
against	against	p-acp	against	against	0
Dctor	Dctor	n1	Dctor	dctor	0
Crispe	Crispe	np1	Crispe	Crispe	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
published	published	vvn	published	publish	0
above	above	p-acp	above	above	0
foure	foure	crd	foure	four	0
yeares	yeares	n2	years	year	0
,	,	,	,	,	0
and	and	cc	and	and	0
no	no	dx	no	no	0
answer	answer	n1	answer	answer	0
given	given	vvn	given	give	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
;	;	;	;	;	0
neither	neither	av-dx	neither	neither	0
have	have	vhb	have	have	0
I	I	pns11	I	i	0
heard	heard	vvn	herd	hear	0
that	that	cst	that	that	0
any	any	d	any	any	0
other	other	n-jn	other	other	0
hath	hath	vhz	hath	have	0
given	given	vvn	given	give	0
any	any	d	any	any	0
answer	answer	n1	answer	answer	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
foure	foure	crd	foure	four	0
Treatises	Treatises	n2	Treatises	treatise	0
,	,	,	,	,	0
the	the	dt	the	the	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
lished	lished	j	lished	lished	0
severall	severall	j	several	several	0
yeares	yeares	n2	years	year	0
:	:	:	:	:	0
O	O	uh	Oh	oh	0
yee	yee	pn22	ye	you	0
that	that	cst	that	that	0
love	love	vvb	love	love	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
small	small	j	small	small	0
matter	matter	n1	matter	matter	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
Christ	Christ	np1	Christ	Christ	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
dishonoured	dishonoured	vvn	dishonoured	dishonour	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
truth	truth	n1	truth	truth	0
condem	condem	vvi	condemn	condemn	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
?	?	?	?	?	1
Doe	Doe	vdb	Do	do	0
yee	yee	pn22	ye	you	0
not	not	xx	not	not	0
regard	regard	vvi	regard	regard	0
what	what	r-crq	what	what	0
violence	violence	n1	violence	violence	0
is	is	vbz	is	be	0
offered	offered	vvn	offered	offer	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
sufficiency	sufficiency	n1	sufficiency	sufficiency	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
sacrifice	sacrifice	n1	sacrifice	sacrifice	0
?	?	?	?	?	0
if	if	cs	if	if	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
why	why	q-crq	why	why	0
are	are	vbr	are	be	0
yee	yee	pn22	ye	you	0
so	so	av	so	so	0
silent	silent	j	silent	silent	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
there	there	pc-acp	there	there	0
were	were	vbdr	were	be	0
none	none	pix	none	none	0
to	to	pc-acp	to	to	0
answer	answer	vvi	answer	answer	0
:	:	:	:	:	0
God	God	np1	God	God	0
complaineth	complaineth	vvz	complaineth	complain	0
;	;	;	;	;	0
None	None	pix	None	none	0
pleadeth	pleadeth	vvz	pleads	plead	0
for	for	p-acp	for	for	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
Isa.	Isa.	np1	Isa.	Isa.	1
59.	59.	crd	59.	59	0
4.	4.	crd	4.	4.	1
It	It	pn31	It	it	0
might	might	vmd	might	may	0
grieve	grieve	vvi	grieve	grieve	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
consider	consider	vvi	consider	consider	0
that	that	d	that	that	0
others	others	n2-jn	others	other	0
take	take	vvb	take	take	0
more	more	dc	more	more	0
paines	paines	n2	pains	pain	0
for	for	p-acp	for	for	0
errour	errour	n1	error	error	0
,	,	,	,	,	0
then	then	cs	then	than	0
we	we	pns12	we	we	0
doe	doe	vdb	do	do	0
for	for	p-acp	for	for	0
truth	truth	n1	truth	truth	0
;	;	;	;	;	0
Can	Can	vmb	Can	can	0
we	we	pns12	we	we	0
say	say	vvi	say	say	0
,	,	,	,	,	0
we	we	pns12	we	we	0
love	love	vvb	love	love	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
should	should	vmd	should	shall	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
lay	lay	vvi	lay	lay	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
heart	heart	n1	heart	heart	0
?	?	?	?	?	1
In	In	p-acp	In	in	0
these	these	d	these	these	0
cold	cold	j-jn	cold	cold	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
the	the	dt	the	the	0
love	love	n1	love	love	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
,	,	,	,	,	0
too	too	av	too	too	0
many	many	d	many	many	0
waxeth	waxeth	vvz	waxes	wax	0
cold	cold	j-jn	cold	cold	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
and	and	cc	and	and	0
man	man	n1	man	man	0
;	;	;	;	;	0
many	many	d	many	many	0
professe	professe	vvb	profess	profess	0
love	love	n1	love	love	0
to	to	p-acp	to	to	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
few	few	d	few	few	0
love	love	vvb	love	love	0
him	him	pno31	him	he	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
will	will	vmb	will	will	0
appeare	appeare	vvi	appear	appear	0
ere	ere	c-acp	ere	ere	0
long	long	av-j	long	long	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
know	know	vvi	know	know	0
∣	∣	sy	∣	∣	0
ledge	ledge	n1	ledge	ledge	0
and	and	cc	and	and	0
practise	practise	n1	practice	practice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
slighted	slighted	vvn	slighted	slight	0
and	and	cc	and	and	0
hated	hated	vvn	hated	hate	0
;	;	;	;	;	0
there	there	pc-acp	there	there	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
very	very	j	very	very	0
few	few	d	few	few	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
own	own	vvi	own	own	0
it	it	pn31	it	it	0
.	.	.	.	.	1
The	The	dt	The	the	0
more	more	av-dc	more	more	0
darke	darke	j	dark	dark	0
or	or	cc	or	or	0
doubtfull	doubtfull	j	doubtful	doubtful	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
appeares	appeares	vvz	appears	appear	0
,	,	,	,	,	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
narrowly	narrowly	av-j	narrowly	narrow	0
search	search	vvi	search	search	0
the	the	dt	the	the	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
,	,	,	,	,	0
and	and	cc	and	and	0
consider	consider	vvi	consider	consider	0
them	them	pno32	them	they	0
,	,	,	,	,	0
the	the	dt	the	the	0
benefits	benefits	n2	benefits	benefit	0
will	will	vmb	will	will	0
answer	answer	vvi	answer	answer	0
the	the	dt	the	the	0
paines	paines	n2	pains	pain	0
:	:	:	:	:	0
set	set	vvb	set	set	0
aside	aside	av	aside	aside	0
partiality	partiality	n1	partiality	partiality	0
,	,	,	,	,	0
prejudice	prejudice	n1	prejudice	prejudice	0
,	,	,	,	,	0
and	and	cc	and	and	0
