Intirely	Intirely	av-j	Entirely	entire	0
disappointed	disappointed	vvn	disappointed	disappoint	0
,	,	,	,	,	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
proving	proving	vvg	proving	prove	0
the	the	dt	the	the	0
same	same	d	same	same	0
you	you	pn22	you	you	0
expected	expected	vvd	expected	expect	0
.	.	.	.	.	1
The	The	dt	The	the	0
Discourse	Discourse	n1	Discourse	discourse	0
was	was	vbds	was	be	0
designed	designed	vvn	designed	design	0
for	for	p-acp	for	for	0
ordinary	ordinary	j	ordinary	ordinary	0
Capacities	Capacities	n2	Capacities	capacity	0
,	,	,	,	,	0
and	and	cc	and	and	0
poor	poor	j	poor	poor	0
plain-hearted	plain-hearted	j	plainhearted	plainhearted	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
Information	Information	n1	Information	information	0
,	,	,	,	,	0
and	and	cc	and	and	0
Esta	Esta	fw-es	Esta	esta	0
∣	∣	sy	∣	∣	0
blishment	blishment	n1	blishment	blishment	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Truth	Truth	n1	Truth	truth	0
;	;	;	;	;	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
dare	dare	vvb	dare	dare	0
say	say	vvb	say	say	0
(	(	(	(	(	0
without	without	p-acp	without	without	0
blushing	blushing	vvg	blushing	blush	0
)	)	)	)	)	0
the	the	dt	the	the	0
Food	Food	n1	Food	food	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Dish	Dish	n1	Dish	dish	0
is	is	vbz	is	be	0
wholsom	wholsom	j	wholesome	wholesome	0
Food	Food	n1	Food	food	0
,	,	,	,	,	0
tho'	tho'	cs	though	though	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
perswa	perswa	uh	perswa	perswa	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
every	every	d	every	every	0
Body	Body	n1	Body	body	0
will	will	vmb	will	will	0
hardly	hardly	av	hardly	hardly	0
believe	believe	vvi	believe	believe	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
not	not	xx	not	not	0
a	a	dt	a	a	0
few	few	d	few	few	0
will	will	vmb	will	will	0
utterly	utterly	av-j	utterly	utter	0
reject	reject	vvi	reject	reject	0
it	it	pn31	it	it	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
set	set	vvn	set	set	0
forth	forth	av	forth	forth	0
,	,	,	,	,	0
and	and	cc	and	and	0
gar	gar	uh	gar	gar	0
∣	∣	sy	∣	∣	0
nish'd	nish'd	vvn	nished	nish	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
Minds	Minds	n2	Minds	mind	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
being	being	vbg	being	be	0
intended	intended	vvn	intended	intend	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
needy	needy	j	needy	needy	0
and	and	cc	and	and	0
hungry	hungry	j	hungry	hungry	0
Soul	Soul	n1	Soul	soul	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
dainty	dainty	j	dainty	dainty	0
and	and	cc	and	and	0
nice	nice	j	nice	nice	0
Appetites	Appetites	n2	Appetites	appetite	0
,	,	,	,	,	0
tho'	tho'	cs	though	though	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
sute	sute	n1	suit	suit	0
and	and	cc	and	and	0
agree	agree	vvi	agree	agree	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
(	(	(	(	(	0
punick	punick	jp	punic	punic	0
)	)	)	)	)	0
Stomachs	Stomachs	n2	Stomachs	stomach	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
latter	latter	d	latter	latter	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
please	please	vvi	please	please	0
and	and	cc	and	and	0
contribute	contribute	vvi	contribute	contribute	0
Nourishment	Nourishment	n1	Nourishment	nourishment	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Souls	Souls	n2	Souls	soul	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
former	former	j	former	former	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
accompany	accompany	vvi	accompany	accompany	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
Blessing	Blessing	n1	Blessing	blessing	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Earnest	Earnest	j	Earnest	earnest	0
Prayers	Prayers	n2	Prayers	prayer	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
4th	4th	ord	4th	four	0
Day	Day	n1	Day	day	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
11th	11th	ord	11th	11th	0
Month	Month	n1	Month	month	0
,	,	,	,	,	0
1693	1693	crd	1693	1693	0
/	/	/	/	/	0
4.	4.	crd	4.	4.	1
