VEstrum	VEstrum	np1	VEstrum	VEstrum	0
serve	serve	vvi	serve	serve	0
you	you	pn22	you	you	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
call	call	vvb	call	call	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
service	service	n1	service	service	0
.	.	.	.	.	1
The	The	dt	The	the	0
subject	subject	n-jn	subject	subject	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
houres	houres	ng1	hours	hour	0
Discourse	Discourse	n1	Discourse	discourse	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
then	then	av	then	then	0
before	before	c-acp	before	before	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Booke	Booke	n1	Book	book	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
was	was	vbds	was	be	0
very	very	av	very	very	0
well	well	av	well	well	0
worthy	worthy	j	worthy	worthy	0
your	your	po22	your	your	0
eyes	eyes	n2	eyes	eye	0
and	and	cc	and	and	0
eares	eares	n2	ears	ear	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
managing	managing	n-vvg	managing	manage	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
had	had	vhd	had	have	0
but	but	p-acp	but	but	0
fallen	fallen	vvn	fallen	fall	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
skilfull	skilfull	j	skilful	skilful	0
hand	hand	n1	hand	hand	0
;	;	;	;	;	0
[	[	[	[	[	0
For	For	c-acp	For	for	0
what	what	r-crq	what	what	0
more	more	dc	more	more	0
needfull	needfull	j	needful	needful	0
duty	duty	n1	duty	duty	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
urged	urged	vvn	urged	urge	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
practised	practised	vvn	practised	practise	0
,	,	,	,	,	0
then	then	cs	then	than	0
Heart-communication	Heart-communication	n1	Heart-communication	heart-communication	0
.	.	.	.	.	0
]	]	]	]	]	1
But	But	p-acp	But	but	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
poverty	poverty	n1	poverty	poverty	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
then	then	av	then	then	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
,	,	,	,	,	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
accept	accept	vvi	accept	accept	0
;	;	;	;	;	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
like	like	j	like	like	0
acceptance	acceptance	n1	acceptance	acceptance	0
now	now	av	now	now	0
.	.	.	.	.	1
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
recom	recom	vvn	recom	recom	0
∣	∣	sy	∣	∣	0
mended	mended	vvd	mended	mend	0
the	the	dt	the	the	0
words	words	n2	words	word	0
then	then	av	then	then	0
spoken	spoken	vvn	spoken	speak	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
now	now	av	now	now	0
the	the	dt	the	the	0
same	same	d	same	same	0
written	written	vvn	written	write	0
:	:	:	:	:	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
them	them	pno32	them	they	0
now	now	av	now	now	0
writ	writ	vvn	writ	write	0
∣	∣	sy	∣	∣	0
ten	ten	crd	ten	ten	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
so	so	av	so	so	0
doe	doe	vdb	do	do	0
I	I	pns11	I	i	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
or	or	cc	or	or	0
can	can	vmb	can	can	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
feet	feet	n2	feet	foot	0
;	;	;	;	;	0
as	as	c-acp	as	as	1
