CRATERVS	CRATERVS	np1	CRATERVS	CRATERVS	0
ties	ties	vvz	ties	tie	0
most	most	av-ds	most	most	0
)	)	)	)	)	0
can	can	vmb	can	can	0
say	say	vvi	say	say	0
so	so	av	so	so	0
much	much	av-d	much	much	0
.	.	.	.	.	1
The	The	dt	The	the	0
Scythians	Scythians	njp2	Scythians	scythian	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
Acornes	Acornes	n2	Acorns	acorn	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
heads	heads	n2	heads	head	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Athenians	Athenians	njp2	Athenians	athenian	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
Grassehoppers	Grassehoppers	n2	Grasshoppers	grasshopper	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
haires	haires	n2	hairs	hair	0
,	,	,	,	,	0
may	may	vmb	may	may	0
wel	wel	av	well	well	0
bragge	bragge	vvi	brag	brag	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Acornes	Acornes	n2	Acorns	acorn	0
and	and	cc	and	and	0
Grassehoppers	Grassehoppers	n2	Grasshoppers	grasshopper	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
like	like	j	like	like	0
Empires	Empires	n2	Empires	empire	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
as	as	c-acp	as	as	0
Anaxagoras	Anaxagoras	np1	Anaxagoras	Anaxagoras	0
sayd	sayd	vvd	said	say	0
to	to	p-acp	to	to	0
Pericles	Pericles	np1	Pericles	Pericles	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Em	Em	np1	Em	Em	0
∣	∣	sy	∣	∣	0
pire	pire	fw-la	pire	pire	0
of	of	pp-f	of	of	0
Greece	Greece	np1	Greece	Greece	0
,	,	,	,	,	0
so	so	av	so	so	0
Cratippus	Cratippus	np1	Cratippus	Cratippus	0
spake	spake	vvd	spoke	speak	0
to	to	p-acp	to	to	0
Pompey	Pompey	np1	Pompey	Pompey	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Romane	Romane	jp	Roman	roman	0
Empire	Empire	n1	Empire	empire	0
,	,	,	,	,	0
that	that	cst	that	that	0
periods	periods	n2	periods	period	0
of	of	pp-f	of	of	0
times	times	n2	times	time	0
are	are	vbr	are	be	0
limited	limited	vvn	limited	limit	0
.	.	.	.	.	1
Embrace	Embrace	vvb	Embrace	embrace	0
you	you	pn22	you	you	0
therefore	therefore	av	therefore	therefore	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
mighty	mighty	j	mighty	mighty	0
Prince	Prince	n1	Prince	prince	0
)	)	)	)	)	0
the	the	dt	the	the	0
great	great	j	great	great	0
blessings	blessings	n2	blessings	blessing	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
so	so	av	so	so	0
embraced	embraced	vvd	embraced	embrace	0
your	your	po22	your	your	0
Maiesty	Maiesty	n1	Majesty	majesty	0
,	,	,	,	,	0
&	&	cc	&	and	0
elec	elec	fw-la	elec	elec	0
∣	∣	sy	∣	∣	0
ted	ted	n-vvn	ted	t	0
you	you	pn22	you	you	0
King	King	n1	King	king	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
gouerne	gouerne	vvi	govern	govern	0
his	his	po31	his	his	0
people	people	n1	people	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
maintayne	maintayne	vvi	maintain	maintain	0
his	his	po31	his	his	0
lawes	lawes	n2	laws	law	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
neither	neither	dx	neither	neither	0
king	king	n1	king	king	0
nor	nor	ccx	nor	nor	0
kingdome	kingdome	n1	kingdom	kingdom	0
can	can	vmb	can	can	0
stand	stand	vvi	stand	stand	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
rich	rich	j	rich	rich	0
Tablet	Tablet	n1	Tablet	tablet	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Moses	Moses	np1	Moses	Moses	0
brought	brought	vvd	brought	bring	0
from	from	p-acp	from	from	0
Mount	Mount	n1	Mount	mount	0
Sinay	Sinay	np1	Sinay	Sinai	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
about	about	p-acp	about	about	0
Israels	Israels	npg1	Israels	Israel	0
neck	neck	n1	neck	neck	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
that	that	cst	that	that	0
long	long	j	long	long	0
ladder	ladder	n1	ladder	ladder	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Iacob	Iacob	np1	Iacob	Jacob	0
saw	saw	vvd	saw	see	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
dreame	dreame	n1	dream	dream	0
at	at	p-acp	at	at	0
Bethel	Bethel	np1	Bethel	Bethel	0
,	,	,	,	,	0
that	that	cst	that	that	0
reached	reached	vvd	reached	reach	0
frō	frō	p-acp	from	from	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
into	into	p-acp	into	into	0
heauen	heauen	n1	heaven	heaven	0
:	:	:	:	:	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
that	that	cst	that	that	0
bright-shining	bright-shining	j	bright-shining	bright-shining	0
Starre	Starre	n1	Star	star	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
guyded	guyded	vvd	guided	guide	0
the	the	dt	the	the	0
kings	kings	n2	kings	king	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
East	East	n1	East	east	0
,	,	,	,	,	0
vnto	vnto	p-acp	unto	unto	0
Christ	Christ	np1	Christ	Christ	0
at	at	p-acp	at	at	0
Bethlehem	Bethlehem	np1	Bethlehem	Bethlehem	0
.	.	.	.	.	1
The	The	dt	The	the	0
only	only	j	only	only	0
Pearle	Pearle	n1	Pearl	pearl	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
should	should	vmd	should	shall	0
buy	buy	vvi	buy	buy	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
only	only	j	only	only	0
Iewel	Iewel	n1	Jewel	jewel	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
should	should	vmd	should	shall	0
weare	weare	vvi	wear	wear	0
,	,	,	,	,	0
not	not	xx	not	not	0
as	as	p-acp	as	as	0
gards	gards	n2	guards	guard	0
on	on	p-acp	on	on	0
our	our	po12	our	our	0
garments	garments	n2	garments	garment	0
,	,	,	,	,	0
or	or	cc	or	or	0
frontiers	frontiers	n2	frontiers	frontier	0
on	on	p-acp	on	on	0
our	our	po12	our	our	0
forheads	forheads	n2	foreheads	forehead	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Iewes	Iewes	np2	Iewes	Jew	0
wore	wore	vvd	wore	wear	0
Phylacterium	Phylacterium	np1	Phylacterium	Phylacterium	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
rather	rather	av-c	rather	rather	0
printed	printed	vvn	printed	print	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
we	we	pns12	we	we	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
thanks	thanks	n2	thanks	thank	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
King	King	n1	King	king	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
for	for	p-acp	for	for	0
50.	50.	crd	50.	50.	0
yeeres	yeeres	n2	years	year	0
haue	haue	vhb	have	have	0
bene	bene	vbn	be	be	0
without	without	p-acp	without	without	0
either	either	d	either	either	0
King	King	n1	King	king	0
or	or	cc	or	or	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
wee	wee	pns12	we	we	0
enioy	enioy	vvb	enjoy	enjoy	0
a	a	dt	a	a	0
King	King	n1	King	king	0
,	,	,	,	,	0
a	a	dt	a	a	0
Queene	Queene	n1	Queen	queen	0
,	,	,	,	,	0
a	a	dt	a	a	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
and	and	cc	and	and	0
Princes	Princes	n2	Princes	prince	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
no	no	dx	no	no	0
lesse	lesse	dc	less	less	0
blessings	blessings	n2	blessings	blessing	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
comming	comming	n-vvg	coming	come	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Maiesty	Maiesty	n1	Majesty	majesty	0
ouer	ouer	p-acp	over	over	0
the	the	dt	the	the	0
riuer	riuer	n1	river	river	0
Tweede	Tweede	np1	Tweede	Tweed	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Scotland	Scotland	np1	Scotland	Scotland	0
to	to	p-acp	to	to	0
England	England	np1	England	England	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
incorporate	incorporate	vvi	incorporate	incorporate	0
both	both	d	both	both	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ancient	ancient	j	ancient	ancient	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
Brytaine	Brytaine	np1	Brytaine	Brytaine	0
,	,	,	,	,	0
then	then	av	then	then	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
comming	comming	n-vvg	coming	come	0
of	of	pp-f	of	of	0
Israel	Israel	np1	Israel	Israel	0
from	from	p-acp	from	from	0
Mesopota	Mesopota	np1	Mesopota	Mesopota	0
∣	∣	sy	∣	∣	0
mia	mia	fw-la	mia	mia	0
,	,	,	,	,	0
ouer	ouer	p-acp	over	over	0
the	the	dt	the	the	0
riuer	riuer	n1	river	river	0
Iordan	Iordan	np1	Iordan	Jordan	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
alter	alter	vvi	altar	alter	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
Canaan	Canaan	np1	Canaan	Canaan	0
into	into	p-acp	into	into	0
Iuda	Iuda	np1	Iuda	Juda	0
;	;	;	;	;	0
whose	whose	rg-crq	whose	who	0
posterity	posterity	n1	posterity	posterity	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
wrought	wrought	vvn	wrought	wrought	0
on	on	p-acp	on	on	0
Aarons	Aarons	npg1	Aarons	Aaron	0
garment	garment	n1	garment	garment	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
remember	remember	vvi	remember	remember	0
Israel	Israel	np1	Israel	Israel	0
,	,	,	,	,	0
so	so	av	so	so	0
your	your	po22	your	your	0
princely	princely	j	princely	princely	0
progeny	progeny	n1	progeny	progeny	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
sure	sure	av-j	sure	sure	0
set	set	vvn	set	set	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
vnseamed	vnseamed	vvd	unseamed	unseam	0
coate	coate	n1	coat	coat	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
remember	remember	vvi	remember	remember	0
the	the	dt	the	the	0
house	house	n1	house	house	0
of	of	pp-f	of	of	0
Iacob	Iacob	np1	Iacob	Jacob	0
.	.	.	.	.	1
