Worthies	Worthies	n2-j	Worthies	worthy	0
will	will	vmb	will	will	0
maintaine	maintaine	vvi	maintain	maintain	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
God	God	n1	God	god	0
on	on	p-acp	on	on	0
earth	earth	n1	earth	earth	0
.	.	.	.	.	1
Magna	Magna	np1	Magna	Magna	0
est	est	fw-la	est	est	0
veri	veri	av	very	very	0
∣	∣	sy	∣	∣	0
tas	tas	fw-la	tas	tas	0
,	,	,	,	,	0
&	&	cc	&	and	0
praevalebit	praevalebit	fw-la	praevalebit	praevalebit	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
somtimes	somtimes	av	sometimes	sometime	0
her	her	po31	her	her	0
speaker	speaker	n1	speaker	speaker	0
is	is	vbz	is	be	0
malig	malig	vvg	malig	malig	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
,	,	,	,	,	0
Gal.	Gal.	np1	Gal.	Gal.	1
4.16	4.16	crd	4.16	4.16	0
.	.	.	.	.	0
for	for	p-acp	for	for	0
her	her	po31	her	her	0
sake	sake	n1	sake	sake	0
;	;	;	;	;	0
though	though	cs	though	though	0
an	an	dt	and	a	0
Apostle	Apostle	n1	Apostle	apostle	0
.	.	.	.	.	1
The	The	dt	The	the	0
ungram	ungram	j	ungram	ungram	0
∣	∣	sy	∣	∣	0
mar'd	mar'd	vvn	marred	mar	0
world	world	n1	world	world	0
will	will	vmb	will	will	0
pinch	pinch	vvi	pinch	pinch	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
moode	moode	n1	mood	mood	0
and	and	cc	and	and	0
tense	tense	n1	tense	tense	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
cannot	cannot	vmbx	cannot	can	0
gaine	gaine	vvi	gain	gain	0
say	say	vvb	say	say	0
the	the	dt	the	the	0
sence	sence	n1	sense	sense	0
.	.	.	.	.	1
Jf	Jf	cs	Jf	if	0
the	the	dt	the	the	0
sermon	sermon	n1	sermon	sermon	0
was	was	vbds	was	be	0
preached	preached	vvn	preached	preach	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
world	world	n1	world	world	0
prate	prate	vvb	prate	prate	0
against	against	p-acp	against	against	0
mee	mee	pno11	me	i	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Sermons	Sermons	n2	Sermons	sermon	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
looke	looke	vvi	look	look	0
upon	upon	p-acp	upon	upon	0
mee	mee	pno11	me	i	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
nocent	nocent	fw-la	nocent	nocent	0
and	and	cc	and	and	0
candid	candid	j	candid	candid	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
intentions	intentions	n2	intentions	intention	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
reason	reason	n1	reason	reason	0
Solomon	Solomon	np1	Solomon	Solomon	0
favored	favored	vvd	favoured	favour	0
Abiathar	Abiathar	np1	Abiathar	Abiathar	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
really	really	av-j	really	real	0
in	in	p-acp	in	in	0
fault	fault	n1	fault	fault	0
.	.	.	.	.	1
Hortis	Hortis	np1	Hortis	Hortis	0
vir	vir	fw-la	vir	vir	0
.	.	.	.	.	1
Hee	Hee	pns31	He	he	0
forbare	forbare	vvd	forbore	forbear	0
to	to	pc-acp	to	to	0
punish	punish	vvi	punish	punish	0
him	him	pno31	him	he	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
deserved	deserved	vvd	deserved	deserve	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
(	(	(	(	(	0
saith	saith	vvz	says	say	0
heto	heto	fw-it	heto	heto	0
him	him	pno31	him	he	0
)	)	)	)	)	0
thou	thou	pns21	thou	thou	0
bearest	bearest	vv2	bearest	bear	0
the	the	dt	the	the	0
arke	arke	n1	ark	ark	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
God	God	np1	God	God	0
before	before	p-acp	before	before	0
David	David	np1	David	David	0
my	my	po11	my	my	0
father	father	n1	father	father	0
,	,	,	,	,	0
and	and	cc	and	and	0
because	because	c-acp	because	because	0
thou	thou	pns21	thou	thou	0
hast	hast	vh2	hast	have	0
beene	beene	vbn	been	be	0
afflicted	afflicted	vvn	afflicted	afflict	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
wherein	wherein	c-crq	wherein	wherein	0
my	my	po11	my	my	0
father	father	n1	father	father	0
was	was	vbds	was	be	0
af	af	pp-f	of	of	0
∣	∣	sy	∣	∣	0
flicted	flicted	vvn	flicted	flict	0
.	.	.	.	.	1
J	J	pns11	J	i	0
minde	minde	n1	mind	mind	0
my	my	po11	my	my	0
promise	promise	n1	promise	promise	0
of	of	pp-f	of	of	0
brevitie	brevitie	n1	brevity	brevity	0
.	.	.	.	.	1
Therefore	Therefore	av	Therefore	therefore	0
for	for	c-acp	for	for	0
close	close	av-j	close	close	0
.	.	.	.	.	1
The	The	dt	The	the	0
sweet	sweet	j	sweet	sweet	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
heaven	heaven	n1	heaven	heaven	0
blesse	blesse	vvb	bless	bless	0
his	his	po31	his	his	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
the	the	dt	the	the	0
true	true	j	true	true	0
nobly	nobly	av-j	nobly	noble	0
Nobles	Nobles	np1	Nobles	Nobles	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
worthies	worthies	n2-j	worthies	worthy	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
our	our	po12	our	our	0
Israel	Israel	np1	Israel	Israel	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
great	great	j	great	great	0
good	good	j	good	good	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
same	same	d	same	same	0
God	God	np1	God	God	0
prosper	prosper	vvb	prosper	prosper	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
wine	wine	n1	wine	wine	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Churches	Churches	n2	Churches	church	0
through	through	p-acp	through	through	0
refor	refor	j	refor	refor	0
∣	∣	sy	∣	∣	0
mation	mation	n1	mansion	mansion	0
kept	kept	vvn	kept	keep	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
last	last	ord	last	last	0
,	,	,	,	,	0
may	may	vmb	may	may	0
prove	prove	vvi	prove	prove	0
the	the	dt	the	the	0
best	best	js	best	best	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
increase	increase	n1	increase	increase	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Churches	Churches	ng1	Churches	church	0
joy	joy	n1	joy	joy	0
of	of	pp-f	of	of	0
feasting	feasting	vvg	feasting	feast	0
,	,	,	,	,	0
bere	bere	vvb	bear	bear	0
with	with	p-acp	with	with	0
her	her	pno31	her	she	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
Iohn	Iohn	np1	Iohn	John	0
2.	2.	crd	2.	2.	1
Prov.	Prov.	np1	Prov.	Prov.	0
9.1	9.1	crd	9.1	9.1	0
,	,	,	,	,	0
2	2	crd	2	2	0
,	,	,	,	,	0
3	3	crd	3	3	0
,	,	,	,	,	0
4.5	4.5	crd	4.5	4.5	0
.	.	.	.	.	1
Isa.	Isa.	np1	Isa.	Isa.	0
25.6	25.6	crd	25.6	25.6	0
.	.	.	.	.	1
Mat.	Mat.	np1	Mat.	Mat	0
22.4	22.4	crd	22.4	22.4	0
.	.	.	.	.	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
pure	pure	j	pure	pure	0
ordinances	ordinances	n2	ordinances	ordinance	0
;	;	;	;	;	0
Is	Is	vbz	Is	be	0
the	the	dt	the	the	0
earnest	earnest	j	earnest	earnest	0
prayer	prayer	n1	prayer	prayer	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
intirely	intirely	av-j	entirely	entire	0
yours	yours	png22	yours	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
humblenesse	humblenesse	n1	humbleness	humbleness	0
,	,	,	,	,	0
From	From	p-acp	From	from	0
his	his	po31	his	his	0
unworthy	unworthy	j	unworthy	unworthy	0
obscure	obscure	j	obscure	obscure	0
study	study	n1	study	study	0
.	.	.	.	.	1
Agust	Agust	np1	Agust	Agust	0
4.	4.	crd	4.	4.	0
1641.	1641.	crd	1641.	1641.	1
