HOwe	HOwe	uh-crq	How	how	0
disclose	disclose	vvi	disclose	disclose	0
ye	ye	pn22	you	you	0
manifest	manifest	j	manifest	manifest	0
foly	foly	n1	folly	folly	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Writer	Writer	n1	Writer	writer	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
I	I	pns11	I	i	0
feared	feared	vvd	feared	fear	0
and	and	cc	and	and	0
mis	mis	fw-fr	mis	mis	0
∣	∣	sy	∣	∣	0
trusted	trusted	vvd	trusted	trust	0
the	the	dt	the	the	0
disdaynfull	disdaynfull	j	disdainful	disdainful	0
myndes	myndes	n2	minds	mind	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
nombre	nombre	n1	number	number	0
both	both	d	both	both	0
scornefull	scornefull	j	scornful	scornful	0
and	and	cc	and	and	0
car	car	n1	car	car	0
∣	∣	sy	∣	∣	0
pynge	pynge	j-vvg	ping	ping	0
Correctours	Correctours	n2	Correctors	corrector	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
Heades	Heades	n2	Heads	head	0
are	are	vbr	are	be	0
euer	euer	av	ever	ever	0
busyed	busyed	vvn	busied	busy	0
in	in	p-acp	in	in	0
tauntyng	tauntyng	j-vvg	taunting	taunt	0
Iud	Iud	vvd	Jud	jud	0
∣	∣	sy	∣	∣	0
gementes	gementes	n2	gementes	gemente	0
.	.	.	.	.	1
Least	Least	cs	lest	lest	0
they	they	pns32	they	they	0
shuld	shuld	vmd	should	shall	0
other	other	av-jn	other	other	0
∣	∣	sy	∣	∣	0
wyse	wyse	n1	wise	wise	0
interprete	interprete	vvi	interpret	interpret	0
my	my	po11	my	my	0
doyngs	doyngs	n2-vdg	doings	doing	0
than	than	cs	than	than	0
in	in	p-acp	in	in	0
deade	deade	j	dead	dead	0
I	I	pns11	I	i	0
meant	meant	vvd	meant	mean	0
them	them	pno32	them	they	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
two	two	crd	two	two	0
so	so	av	so	so	0
great	great	j	great	great	0
mischiefes	mischiefes	n2	mischiefs	mischief	0
vtterly	vtterly	av-j	utterly	utter	0
diswa	diswa	uh	diswa	diswa	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
me	me	pno11	me	i	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
folowynge	folowynge	vvg	following	follow	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
frendes	frendes	n2	friends	friend	0
perswasions	perswasions	n2	persuasions	persuasion	0
,	,	,	,	,	0
and	and	cc	and	and	0
wylled	wylled	vvd	willed	will	0
me	me	pno11	me	i	0
rather	rather	av-c	rather	rather	0
to	to	pc-acp	to	to	0
condem	condem	vvi	condemn	condemn	0
thē	thē	pno32	them	they	0
to	to	p-acp	to	to	0
conti	conti	fw-la	conti	conti	0
∣	∣	sy	∣	∣	0
nuall	nuall	n1	nuall	nuall	0
darkenes	darkenes	n1	darkness	darkness	0
,	,	,	,	,	0
wherby	wherby	c-crq	whereby	whereby	0
no	no	av-dx	no	no	0
Incon	Incon	np1	Incon	Incon	0
∣	∣	sy	∣	∣	0
uenience	uenience	n1	uenience	uenience	0
could	could	vmd	could	can	0
happen	happen	vvi	happen	happen	0
:	:	:	:	:	0
than	than	cs	than	than	0
to	to	p-acp	to	to	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
daunger	daunger	n1	danger	danger	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
in	in	p-acp	in	in	0
gyuynge	gyuynge	vvg	gyving	gyve	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
lyght	lyght	vvi	light	light	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
disdaynfull	disdaynfull	j	disdainful	disdainful	0
doome	doome	n1	doom	doom	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
offended	offended	j-vvn	offended	offend	0
mynde	mynde	n1	mind	mind	0
.	.	.	.	.	1
Notwith	Notwith	np1	Notwith	Notwith	0
¦	¦	sy	¦	¦	0
standynge	standynge	vvg	standing	stand	0
all	all	d	all	all	0
the	the	dt	the	the	0
dylygence	dylygence	n1	diligence	diligence	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
coulde	coulde	vmd	could	can	0
vse	vse	vvi	use	use	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Suppression	Suppression	n1	Suppression	suppression	0
therof	therof	av	thereof	thereof	0
coulde	coulde	vmd	could	can	0
not	not	xx	not	not	0
suffise	suffise	vvi	suffice	suffice	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
beyng	beyng	vbg	being	be	0
at	at	p-acp	at	at	0
that	that	d	that	that	0
tyme	tyme	n1	time	time	0
oute	oute	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Realme	Realme	n1	Realm	realm	0
,	,	,	,	,	0
lytell	lytell	av-j	little	little	0
fearynge	fearynge	vvg	fearing	fear	0
any	any	d	any	any	0
suche	suche	d	such	such	0
thynge	thynge	n1	thing	thing	0
to	to	pc-acp	to	to	0
happen	happen	vvi	happen	happen	0
.	.	.	.	.	1
A	A	dt	A	a	0
verye	verye	j	very	very	0
Frende	Frende	n1	Friend	friend	0
of	of	pp-f	of	of	0
myne	myne	png11	mine	i	0
,	,	,	,	,	0
bearynge	bearynge	vvg	bearing	bear	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
semed	semed	vvd	seemed	seem	0
bet	bet	vvd	bet	bet	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
wyll	wyll	n1	will	will	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
doynges	doynges	n2-vdg	doings	do	0
than	than	cs	than	than	0
respec	respec	fw-la	respec	respec	0
¦	¦	sy	¦	¦	0
tyng	tyng	uh	ting	ting	0
the	the	dt	the	the	0
hazarde	hazarde	n1	hazard	hazard	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
name	name	n1	name	name	0
,	,	,	,	,	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mytted	mytted	vvn	mytted	myt	0
them	them	pno32	them	they	0
all	all	d	all	all	0
togyther	togyther	av	together	together	0
vnpoly	vnpoly	av-n	vnpoly	vnpoly	0
∣	∣	sy	∣	∣	0
shed	shed	vvb	shed	shed	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
handes	handes	n2	hands	hand	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Prynter	Prynter	np1	Prynter	Prynter	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
whose	whose	rg-crq	whose	who	0
handes	handes	n2	hands	hand	0
durynge	durynge	p-acp	during	during	0
his	his	po31	his	his	0
ab	ab	zz	ab	ab	0
∣	∣	sy	∣	∣	0
sence	sence	n1	sense	sense	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Cytie	Cytie	n1	City	city	0
,	,	,	,	,	0
tyll	tyll	p-acp	till	till	0
his	his	po31	his	his	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
turne	turne	n1	turn	turn	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
they	they	pns32	they	they	0
remayned	remayned	vvd	remained	remain	0
.	.	.	.	.	1
At	At	p-acp	At	at	0
whiche	whiche	r-crq	which	which	0
tyme	tyme	n1	time	time	0
,	,	,	,	,	0
he	he	pns31	he	he	0
declared	declared	vvd	declared	declare	0
the	the	dt	the	the	0
mat	mat	n1	mat	mat	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
wholly	wholly	av-jn	wholly	whole	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
:	:	:	:	:	0
shewynge	shewynge	vvb	show	show	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
beynge	beynge	vbg	being	be	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
past	past	vvn	passed	pass	0
,	,	,	,	,	0
&	&	cc	&	and	0
Paper	Paper	n1	Paper	paper	0
prouyded	prouyded	vvn	provided	provide	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Impression	Impression	n1	Impression	impression	0
ther	ther	zz	ther	ther	0
∣	∣	sy	∣	∣	0
of	of	pp-f	of	of	0
:	:	:	:	:	0
It	It	pn31	It	it	0
coulde	coulde	vmd	could	can	0
not	not	xx	not	not	0
withoute	withoute	p-acp	without	without	0
great	great	j	great	great	0
hynderaunce	hynderaunce	n1	hindrance	hindrance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
Printer	Printer	np1	Printer	Printer	0
be	be	vbb	be	be	0
nowe	nowe	av	now	now	0
reuoked	reuoked	vvn	revoked	revoke	0
.	.	.	.	.	1
His	His	po31	His	his	0
sodayne	sodayne	j	sudden	sudden	0
tale	tale	n1	tale	tale	0
made	made	vvd	made	make	0
me	me	pno11	me	i	0
at	at	p-acp	at	at	0
ye	ye	pn22	you	you	0
fyrst	fyrst	ord	fyrst	first	0
,	,	,	,	,	0
vtterly	vtterly	av-j	utterly	utter	0
amazed	amazed	vvn	amazed	amaze	0
,	,	,	,	,	0
and	and	cc	and	and	0
douting	douting	vvg	doubting	doubt	0
a	a	dt	a	a	0
great	great	j	great	great	0
while	while	n1	while	while	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
best	best	js	best	best	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
:	:	:	:	:	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
lengthe	lengthe	n1	length	length	0
agreyng	agreyng	vvg	agreeing	agree	0
both	both	d	both	both	0
with	with	p-acp	with	with	0
Necessytie	Necessytie	n1	Necessity	necessity	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Counsell	Counsell	n1	Counsel	counsel	0
,	,	,	,	,	0
I	I	pns11	I	i	0
sayde	sayde	vvd	said	say	0
with	with	p-acp	with	with	0
Martiall	Martiall	n1	Martial	marshal	0
.	.	.	.	.	1
Iam	Iam	fw-la	Iam	jam	0
edporas	edporas	fw-la	edporas	edporas	0
tuoresse	tuoresse	n1	tuoresse	tuoresse	0
domi	domi	fw-la	domi	domi	0
.	.	.	.	.	1
And	And	np1	And	And	0
calling	calling	vvg	calling	call	0
to	to	p-acp	to	to	0
mynde	mynde	n1	mind	mind	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
myght	myght	vmd	might	may	0
chief	chief	j-jn	chief	chief	0
∣	∣	sy	∣	∣	0
lye	lye	n1	lie	lie	0
cōmyt	cōmyt	vvi	commit	commit	0
the	the	dt	the	the	0
fruytes	fruytes	n2	fruits	fruit	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
smiling	smiling	j-vvg	smiling	smile	0
muse	muse	n1	muse	muse	0
:	:	:	:	:	0
sodaynly	sodaynly	av-j	suddenly	sudden	0
was	was	vbds	was	be	0
cast	cast	vvn	cast	cast	0
before	before	p-acp	before	before	0
my	my	po11	my	my	0
eyes	eyes	n2	eyes	eye	0
the	the	dt	the	the	0
perfect	perfect	j	perfect	perfect	0
vewe	vewe	n1	view	view	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
frend	frend	n1	friend	friend	0
¦	¦	sy	¦	¦	0
ly	ly	vvb	lie	lie	0
mynd	mynd	n1	mind	mind	0
(	(	(	(	(	0
gentle	gentle	j	gentle	gentle	0
Maister	Maister	n1	Master	master	0
Louelace	Louelace	np1	Louelace	Louelace	0
)	)	)	)	)	0
Vnto	Vnto	p-acp	Unto	unto	0
whō	whō	ro-crq	whom	who	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
nombred	nombred	vvn	numbered	number	0
heapes	heapes	n2	heaps	heap	0
of	of	pp-f	of	of	0
sundrye	sundrye	j	sundry	sundry	0
Frendshyps	Frendshyps	n2	Friendships	friendship	0
,	,	,	,	,	0
accoūtynge	accoūtynge	vvg	accounting	account	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
as	as	c-acp	as	as	0
boūde	boūde	vvn	bound	bind	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
thought	thought	vvn	thought	think	0
best	best	js	best	best	0
to	to	pc-acp	to	to	0
gyue	gyue	vvi	gyve	give	0
them	them	pno32	them	they	0
,	,	,	,	,	0
(	(	(	(	(	0
not	not	xx	not	not	0
doubtyng	doubtyng	vvg	doubting	doubt	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
as	as	a-acp	as	as	0
well	well	av	well	well	0
taken	taken	vvn	taken	take	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
pesently	pesently	av-j	pesently	pesent	0
meane	meane	vvi	mean	mean	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Desyrye	Desyrye	j	Desyrye	desyrye	0
herein	herein	av	herein	herein	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
all	all	d	all	all	0
suche	suche	d	such	such	0
as	as	c-acp	as	as	0
shall	shall	vmb	shall	shall	0
them	them	pno32	them	they	0
especiallye	especiallye	av-j	especially	especial	0
to	to	pc-acp	to	to	0
beare	beare	vvi	bear	bear	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
vnpleasaunt	vnpleasaunt	j-u	unpleasant	pleasant	0
forme	forme	n1	form	form	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
to	to	av	too	too	0
hastely	hastely	av-j	hastily	hasty	0
fynyshed	fynyshed	vvn	finished	finish	0
Dreame	Dreame	n1	Dream	dream	0
,	,	,	,	,	0
the	the	dt	the	the	0
greater	greater	jc	greater	great	0
part	part	n1	part	part	0
wherof	wherof	c-crq	whereof	whereof	0
with	with	p-acp	with	with	0
lytle	lytle	j	little	little	0
aduyse	aduyse	n1	advise	advice	0
I	I	pns11	I	i	0
lately	lately	av-j	lately	late	0
ended	ended	vvn	ended	end	0
,	,	,	,	,	0
bycause	bycause	c-acp	because	because	0
the	the	dt	the	the	0
beginnyng	beginnyng	n-vvg	beginning	begin	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
senseles	senseles	j	senseless	senseless	0
ead	ead	n1	ead	ead	0
separated	separated	vvn	separated	separate	0
frō	frō	p-acp	from	from	0
the	the	dt	the	the	0
body	body	n1	body	body	0
was	was	vbds	was	be	0
gyuen	gyuen	vvn	given	give	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
prynted	prynted	vvn	printed	print	0
.	.	.	.	.	1
And	And	cc	And	and	0
thus	thus	av	thus	thus	0
desyrynge	desyrynge	vvg	desiring	desire	0
but	but	p-acp	but	but	0
for	for	p-acp	for	for	0
recompence	recompence	vvi	recompense	recompense	0
the	the	dt	the	the	0
frendly	frendly	j	friendly	friendly	0
receyuyng	receyuyng	n-vvg	receiving	receive	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
slender	slender	j	slender	slender	0
Gyfte	Gyfte	n1	Gift	gift	0
,	,	,	,	,	0
I	I	pns11	I	i	0
ende	ende	vvb	end	end	0
:	:	:	:	:	0
wyshyng	wyshyng	vvg	wishing	wish	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
good	good	j	good	good	0
Mayster	Mayster	n1	Master	master	0
Louelace	Louelace	np1	Louelace	Louelace	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
the	the	dt	the	the	0
happye	happye	j	happy	happy	0
enioyeng	enioyeng	vvg	enioyeng	enioyeng	0
of	of	pp-f	of	of	0
prosperous	prosperous	j	prosperous	prosperous	0
yeares	yeares	n2	years	year	0
:	:	:	:	:	0
and	and	cc	and	and	0
hereafter	hereafter	av	hereafter	hereafter	0
the	the	dt	the	the	0
blessed	blessed	j-vvn	blessed	bless	0
estate	estate	n1	estate	estate	0
of	of	pp-f	of	of	0
neuer	neuer	av-x	never	never	0
ceasynge	ceasynge	vvg	ceasing	cease	0
Ioye	Ioye	n1	Joy	joy	0
.	.	.	.	.	1
