CAlling	CAlling	vvg	CAlling	call	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
very	very	j	very	very	0
neces	neces	n2	nieces	niece	0
∣	∣	sy	∣	∣	0
sary	sary	j	sary	sary	0
&	&	cc	&	and	0
my	my	po11	my	my	0
bounden	bounden	vvn	bounden	bind	0
dutie	dutie	n1	duty	duty	0
,	,	,	,	,	0
(	(	(	(	(	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
talent	talent	n1	talon	talon	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
almightie	almightie	j-jn	almighty	almighty	0
GOD	GOD	np1	GOD	God	0
in	in	p-acp	in	in	0
mercie	mercie	n1	mercy	mercy	0
hath	hath	vhz	hath	have	0
bestowed	bestowed	vvn	bestowed	bestow	0
vp	vp	p-acp	up	up	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
me	me	pno11	me	i	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
write	write	vvi	write	write	0
this	this	d	this	this	0
little	little	j	little	little	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
two	two	crd	two	two	0
especial	especial	j	especial	especial	0
causes	causes	n2	causes	cause	0
moouing	moouing	vvg	moving	move	0
me	me	pno11	me	i	0
thereunto	thereunto	av	thereunto	thereunto	0
:	:	:	:	:	0
the	the	dt	the	the	0
first	first	ord	first	first	0
&	&	cc	&	and	0
principall	principall	j-jn	principal	principal	0
cause	cause	n1	cause	cause	0
is	is	vbz	is	be	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
discharge	discharge	vvi	discharge	discharge	0
my	my	po11	my	my	0
dutie	dutie	n1	duty	duty	0
towards	towards	p-acp	towards	towards	0
almightie	almightie	j-jn	almighty	almighty	0
GOD	GOD	np1	GOD	God	0
(	(	(	(	(	0
of	of	pp-f	of	of	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
receiued	receiued	vvn	received	receive	0
and	and	cc	and	and	0
do	do	vdb	do	do	0
receiue	receiue	vvi	receive	receive	0
euery	euery	d	every	every	0
good	good	j	good	good	0
gift	gift	n1	gift	gift	0
whatsoeuer	whatsoeuer	r-crq	whatsoever	whatsoever	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
neere	neere	av-j	near	near	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
giue	giue	vvi	give	give	0
mee	mee	pno11	me	i	0
grace	grace	n1	grace	grace	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Scripture	Scripture	n1	Scripture	scripture	0
saith	saith	vvz	says	say	0
;	;	;	;	;	0
Euerie	Euerie	d	Every	every	0
good	good	j	good	good	0
gift	gift	n1	gift	gift	0
,	,	,	,	,	0
and	and	cc	and	and	0
euerie	euerie	d	every	every	0
perfect	perfect	j	perfect	perfect	0
gift	gift	n1	gift	gift	0
commeth	commeth	vvz	comes	come	0
from	from	p-acp	from	from	0
aboue	aboue	a-acp	above	above	0
,	,	,	,	,	0
(	(	(	(	(	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
make	make	vvb	make	make	0
vs	vs	pno12	us	we	0
thankfull	thankfull	j	thankful	thankful	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
)	)	)	)	)	0
for	for	p-acp	for	for	0
when	when	r-crq	when	when	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
what	what	r-crq	what	what	0
∣	∣	sy	∣	∣	0
soeuer	soeuer	av	soever	soever	0
we	we	pns12	we	we	0
can	can	vmb	can	can	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
)	)	)	)	)	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
we	we	pns12	we	we	0
thinke	thinke	vvb	think	think	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
the	the	dt	the	the	0
best	best	js	best	best	0
seruice	seruice	n1	service	service	0
that	that	cst	that	that	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
must	must	vmb	must	must	0
we	we	pns12	we	we	0
vnderstand	vnderstand	vvi	understand	understand	0
and	and	cc	and	and	0
knowe	knowe	vvb	know	know	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
but	but	p-acp	but	but	0
vnprofita	vnprofita	fw-la	vnprofita	vnprofita	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
seruants	seruants	n2	servants	servant	0
,	,	,	,	,	0
and	and	cc	and	and	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
done	done	vdn	done	do	0
so	so	av	so	so	0
much	much	av-d	much	much	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
our	our	po12	our	our	0
du	du	fw-fr	du	du	0
∣	∣	sy	∣	∣	0
tie	tie	vvb	tie	tie	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
.	.	.	.	.	1
This	This	d	This	this	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
first	first	ord	first	first	0
and	and	cc	and	and	0
principall	principall	j-jn	principal	principal	0
cause	cause	n1	cause	cause	0
that	that	cst	that	that	0
mooued	mooued	vvd	moved	move	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
wri	wri	n1	wri	wri	0
∣	∣	sy	∣	∣	0
ting	ting	zf	ting	thing	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
little	little	j	little	little	0
Treatise	Treatise	n1	Treatise	treatise	0
.	.	.	.	.	1
Then	Then	av	Then	then	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
finish	finish	vvi	finish	finish	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
this	this	d	this	this	0
small	small	j	small	small	0
peece	peece	n1	piece	piece	0
of	of	pp-f	of	of	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
being	being	vbg	being	be	0
vndetermi	vndetermi	fw-fr	vndetermi	vndetermi	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
whom	whom	r-crq	whom	who	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
make	make	vvi	make	make	0
my	my	po11	my	my	0
patrone	patrone	n1	patron	patron	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
length	length	n1	length	length	0
it	it	pn31	it	it	0
came	came	vvd	came	come	0
into	into	p-acp	into	into	0
my	my	po11	my	my	0
mind	mind	n1	mind	mind	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
the	the	dt	the	the	0
same	same	d	same	same	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
worships	worships	ng1	worships	worship	0
view	view	n1	view	view	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
one	one	crd	one	one	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
whome	whome	r-crq	whom	who	0
(	(	(	(	(	0
among	among	p-acp	among	among	0
men	men	n2	men	man	0
)	)	)	)	)	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
receiued	receiued	vvn	received	receive	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
benefits	benefits	n2	benefits	benefit	0
.	.	.	.	.	1
Therfore	Therfore	av	Therefore	therefore	0
the	the	dt	the	the	0
second	second	ord	second	second	0
cause	cause	n1	cause	cause	0
that	that	cst	that	that	0
mo	mo	dc	more	more	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
writing	writing	n-vvg	writing	write	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
little	little	j	little	little	0
volume	volume	n1	volume	volume	0
,	,	,	,	,	0
was	was	vbds	was	be	0
,	,	,	,	,	0
som	som	d	some	some	0
¦	¦	sy	¦	¦	0
what	what	q-crq	what	what	0
to	to	p-acp	to	to	0
gratifie	gratifie	vvi	gratify	gratify	0
your	your	po22	your	your	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
ships	ships	n2	ships	ship	0
goodwil	goodwil	n1	goodwill	goodwill	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
times	times	n2	times	time	0
been	been	vbn	been	be	0
so	so	av	so	so	0
great	great	j	great	great	0
towards	towards	p-acp	towards	towards	0
me	me	pno11	me	i	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
perad	perad	vvn	perad	perad	0
∣	∣	sy	∣	∣	0
uenture	uenture	n1	venture	venture	0
your	your	po22	your	your	0
worship	worship	n1	worship	worship	0
may	may	vmb	may	may	0
thinke	thinke	vvi	think	think	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
great	great	j	great	great	0
presump	presump	n1	presump	presump	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
such	such	d	such	such	0
a	a	dt	a	a	0
rude	rude	j	rude	rude	0
peece	peece	n1	piece	piece	0
of	of	pp-f	of	of	0
worke	worke	n1	work	work	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
craue	craue	vvb	crave	crave	0
pardon	pardon	n1	pardon	pardon	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
boldnes	boldnes	n1	boldness	boldness	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Worship	Worship	n1	Worship	worship	0
will	will	vmb	will	will	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
cept	cept	n1	cept	cept	0
it	it	pn31	it	it	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
good	good	j	good	good	0
meaning	meaning	n1	meaning	meaning	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
almightie	almightie	j-jn	almighty	almighty	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
(	(	(	(	(	0
that	that	cst	that	that	0
although	although	cs	although	although	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
furnished	furnished	vvn	furnished	furnish	0
with	with	p-acp	with	with	0
Ciceronical	Ciceronical	j	Ciceronical	ciceronical	0
eloquence	eloquence	n1	eloquence	eloquence	0
)	)	)	)	)	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
find	find	vvi	find	find	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
such	such	d	such	such	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
shall	shall	vmb	shall	shall	0
tend	tend	vvi	tend	tend	0
both	both	d	both	both	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
glorie	glorie	n1	glory	glory	0
of	of	pp-f	of	of	0
GOD	GOD	np1	GOD	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
health	health	n1	health	health	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
soule	soule	n1	soul	soul	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	d	that	that	0
is	is	vbz	is	be	0
my	my	po11	my	my	0
greatest	greatest	js	greatest	great	0
desire	desire	n1	desire	desire	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
being	being	vbg	being	be	0
loth	loth	j	loath	loath	0
to	to	pc-acp	to	to	0
vse	vse	vvi	use	use	0
superfluitie	superfluitie	n1	superfluity	superfluity	0
of	of	pp-f	of	of	0
words	words	n2	words	word	0
,	,	,	,	,	0
I	I	pns11	I	i	0
end	end	vvb	end	end	0
,	,	,	,	,	0
desiring	desiring	vvg	desiring	desire	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
mightie	mightie	j	mighty	mighty	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
prosper	prosper	vvi	prosper	prosper	0
your	your	po22	your	your	0
Worship	Worship	n1	Worship	worship	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
your	your	po22	your	your	0
affaires	affaires	n2	affairs	affair	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
so	so	av	so	so	0
walke	walke	vvi	walk	walk	0
before	before	p-acp	before	before	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
vale	vale	n1	vale	vale	0
of	of	pp-f	of	of	0
miserie	miserie	n1	misery	misery	0
,	,	,	,	,	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
this	this	d	this	this	0
our	our	po12	our	our	0
sinful	sinful	j	sinful	sinful	0
course	course	n1	course	course	0
is	is	vbz	is	be	0
ended	ended	vvn	ended	end	0
;	;	;	;	;	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
all	all	d	all	all	0
reigne	reigne	vvi	reign	reign	0
togither	togither	av	together	together	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
place	place	n1	place	place	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
mercie	mercie	n1	mercy	mercy	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
prepa	prepa	n1	prepa	prepa	0
∣	∣	sy	∣	∣	0
red	red	j-jn	read	red	0
for	for	c-acp	for	for	0
all	all	d	all	all	0
his	his	po31	his	his	0
elect	elect	j	elect	elect	0
chil	chil	fw-la	chil	chil	0
∣	∣	sy	∣	∣	0
dren	dren	n1	dren	dren	0
:	:	:	:	:	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
place	place	n1	place	place	0
,	,	,	,	,	0
bring	bring	vvb	bring	bring	0
vs	vs	pno12	us	we	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
the	the	dt	the	the	0
Sonne	Sonne	n1	Son	son	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
ho	ho	zz	ho	ho	0
∣	∣	sy	∣	∣	0
lie	lie	vvb	lie	lie	0
Ghost	Ghost	n1	Ghost	ghost	0
,	,	,	,	,	0
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
