Curteous	Curteous	j	Courteous	courteous	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
Admonition	Admonition	n1	Admonition	admonition	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
;	;	;	;	;	0
and	and	cc	and	and	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
to	to	pc-acp	to	to	0
Admonish	Admonish	vvi	Admonish	admonish	0
thy	thy	po21	thy	thy	0
Child	Child	n1	Child	child	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
Good	Good	j	Good	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
follow	follow	vvi	follow	follow	0
or	or	cc	or	or	0
delight	delight	vvi	delight	delight	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
foolish	foolish	j	foolish	foolish	0
Fashions	Fashions	n2	Fashions	fashion	0
and	and	cc	and	and	0
vain	vain	j	vain	vain	0
Dresses	Dresses	n2	Dresses	dress	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
evil	evil	j-jn	evil	evil	0
World	World	n1	World	world	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
while	while	cs	while	while	0
under	under	p-acp	under	under	0
thy	thy	po21	thy	thy	0
care	care	n1	care	care	0
to	to	p-acp	to	to	0
Feed	Feed	vvb	Feed	feed	0
,	,	,	,	,	0
Cloth	Cloth	n1	Cloth	cloth	0
and	and	cc	and	and	0
Provide	Provide	vvb	Provide	provide	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
restrain	restrain	vvi	restrain	restrain	0
from	from	p-acp	from	from	0
those	those	d	those	those	0
things	things	n2	things	thing	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
unbecoming	unbecoming	j	unbecoming	unbecoming	0
the	the	dt	the	the	0
Truth	Truth	n1	Truth	truth	0
and	and	cc	and	and	0
our	our	po12	our	our	0
holy	holy	j	holy	holy	0
Profession	Profession	n1	Profession	profession	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
lay	lay	vvi	lay	lay	0
out	out	av	out	out	0
and	and	cc	and	and	0
exspend	exspend	vvb	exspend	exspend	0
thy	thy	po21	thy	thy	0
Substance	Substance	n1	Substance	substance	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
thee	thee	pno21	thee	thou	0
a	a	dt	a	a	0
Steward	Steward	n1	Steward	steward	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
gratifie	gratifie	vvi	gratify	gratify	0
that	that	d	that	that	0
mind	mind	n1	mind	mind	0
in	in	p-acp	in	in	0
thy	thy	po21	thy	thy	0
Child	Child	n1	Child	child	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
thou	thou	pns21	thou	thou	0
hast	hast	vh2	hast	have	0
known	known	vvn	known	know	0
and	and	cc	and	and	0
felt	felt	vvn	felt	feel	0
the	the	dt	the	the	0
Judgment	Judgment	n1	Judgement	judgement	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
executed	executed	vvn	executed	execute	0
upon	upon	p-acp	upon	upon	0
in	in	p-acp	in	in	0
thy	thy	po21	thy	thy	0
self	self	n1	self	self	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
subject	subject	j-jn	subject	subject	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
indeed	indeed	av	indeed	indeed	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
;	;	;	;	;	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
ought	ought	vmd	ought	ought	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
given	given	vvn	given	give	0
way	way	n1	way	way	0
unto	unto	p-acp	unto	unto	0
in	in	p-acp	in	in	0
thy	thy	po21	thy	thy	0
Child	Child	n1	Child	child	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
comply'd	comply'd	vvn	complied	comply	0
with	with	p-acp	with	with	0
by	by	p-acp	by	by	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
least	least	cs	lest	lest	0
thou	thou	pns21	thou	thou	0
become	become	vvb	become	become	0
guilty	guilty	j	guilty	guilty	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
Childs	Childs	ng1	Child's	child	0
hurt	hurt	n1	hurt	hurt	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
dishonour	dishonour	n1	dishonour	dishonour	0
of	of	pp-f	of	of	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
thy	thy	po21	thy	thy	0
own	own	d	own	own	0
Grief	Grief	n1	Grief	grief	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
rather	rather	av-c	rather	rather	0
then	then	cs	then	than	0
thus	thus	av	thus	thus	0
humour	humour	n1	humour	humour	0
thy	thy	po21	thy	thy	0
Child	Child	n1	Child	child	0
,	,	,	,	,	0
let	let	vvb	let	let	0
the	the	dt	the	the	0
like	like	j	like	like	0
care	care	n1	care	care	0
be	be	vbi	be	be	0
on	on	p-acp	on	on	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
was	was	vbds	was	be	0
upon	upon	p-acp	upon	upon	0
our	our	po12	our	our	0
Deceased	Deceased	j-vvn	Deceased	decease	0
Friend	Friend	n1	Friend	friend	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
on	on	p-acp	on	on	0
his	his	po31	his	his	0
dying-Bed	dying-Bed	n1	dying-Bed	dying-bed	0
,	,	,	,	,	0
Desired	Desired	vvd	Desired	desire	0
that	that	cst	that	that	0
his	his	po31	his	his	0
Child	Child	n1	Child	child	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
brought	brought	vvn	brought	bring	0
up	up	a-acp	up	up	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Nurture	Nurture	n1	Nurture	nurture	0
and	and	cc	and	and	0
Fear	Fear	n1	Fear	fear	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
Educa	Educa	np1	Educa	Educa	0
∣	∣	sy	∣	∣	0
ted	ted	n-vvn	ted	t	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Plain	Plain	j	Plain	plain	0
and	and	cc	and	and	0
Decent	Decent	j	Decent	decent	0
parts	parts	n2	parts	part	0
or	or	cc	or	or	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
belong	belong	vvb	belong	belong	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Woman	Woman	n1	Woman	woman	0
,	,	,	,	,	0
But	But	cc-acp	But	but	0
upon	upon	p-acp	upon	upon	0
a	a	dt	a	a	0
need	need	n1	need	need	0
∣	∣	sy	∣	∣	0
less	less	dc	less	less	0
Seam	Seam	n1	Seam	seam	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
Superfluous	Superfluous	j	Superfluous	superfluous	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
lift	lift	vvi	lift	lift	0
her	her	po31	her	her	0
Hand	Hand	n1	Hand	hand	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	d	that	that	0
,	,	,	,	,	0
said	said	vvd	said	say	0
he	he	pns31	he	he	0
,	,	,	,	,	0
will	will	vmb	will	will	0
bring	bring	vvi	bring	bring	0
Dishonour	Dishonour	vvb	Dishonour	dishonour	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
blessed	blessed	j-vvn	blessed	bless	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbb	be	be	0
a	a	dt	a	a	0
Burden	Burden	n1	Burden	burden	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Simple-hearted	Simple-hearted	j	Simplehearted	simplehearted	0
:	:	:	:	:	0
Observe	Observe	vvb	Observe	observe	0
the	the	dt	the	the	0
Godly	Godly	j	Godly	godly	0
Care	Care	n1	Care	care	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
good	good	j	good	good	0
Man	Man	n1	Man	man	0
:	:	:	:	:	0
Oh	Oh	uh	O	oh	0
,	,	,	,	,	0
that	that	cst	that	that	0
many	many	d	many	many	0
Parents	Parents	n2	Parents	parent	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
fil	fil	vvi	fill	fill	0
∣	∣	sy	∣	∣	0
led	led	vvd	led	lead	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
like	like	j	like	like	0
Godly	Godly	j	Godly	godly	0
Care	Care	n1	Care	care	0
and	and	cc	and	and	0
zeal	zeal	n1	zeal	zeal	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Education	Education	n1	Education	education	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
tender	tender	j	tender	tender	0
Off-spring	Off-spring	n1	Offspring	offspring	0
.	.	.	.	.	1
And	And	cc	And	and	0
now	now	av	now	now	0
,	,	,	,	,	0
oh	oh	uh	o	oh	0
,	,	,	,	,	0
Curteous	Curteous	j	Courteous	courteous	0
Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
if	if	cs	if	if	0
thou	thou	pns21	thou	thou	0
art	art	vb2r	art	be	0
young	young	j	young	young	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
yet	yet	av	yet	yet	0
become	become	vvi	become	become	0
the	the	dt	the	the	0
Parent	Parent	n1	Parent	parent	0
of	of	pp-f	of	of	0
Children	Children	n2	Children	child	0
,	,	,	,	,	0
Read	Read	vvn	Read	read	0
in	in	p-acp	in	in	0
Serious	Serious	j	Serious	serious	0
∣	∣	sy	∣	∣	0
ness	ness	n1	ness	ness	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Fear	Fear	n1	Fear	fear	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
the	the	dt	the	the	0
following	following	j-vvg	following	follow	0
Testimony	Testimony	n1	Testimony	testimony	0
concerning	concerning	vvg	concerning	concern	0
these	these	d	these	these	0
young	young	j	young	young	0
Mai	Mai	zz	Mai	mai	0
∣	∣	sy	∣	∣	0
dens	dens	n2	dens	den	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
truly	truly	av-j	truly	true	0
esteemed	esteemed	vvn	esteemed	esteem	0
as	as	p-acp	as	as	0
wise	wise	j	wise	wise	0
Virgins	Virgins	n2	Virgins	virgin	0
,	,	,	,	,	0
and	and	cc	and	and	0
such	such	d	such	such	0
that	that	cst	that	that	0
had	had	vhd	had	have	0
more	more	dc	more	more	0
regard	regard	n1	regard	regard	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
inward	inward	j	inward	inward	0
then	then	av	then	then	0
the	the	dt	the	the	0
outward	outward	j	outward	outward	0
Adorn	Adorn	vvb	Adorn	adorn	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
they	they	pns32	they	they	0
became	became	vvd	became	become	0
so	so	av	so	so	0
Comly	Comly	j	Comely	comely	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
Conversation	Conversation	n1	Conversation	conversation	0
so	so	av	so	so	0
Commendable	Commendable	j	Commendable	commendable	0
and	and	cc	and	and	0
Examplary	Examplary	j	Exemplary	exemplary	0
,	,	,	,	,	0
that	that	cst	that	that	0
Sarah	Sarah	np1	Sarah	Sarah	0
Featherstone	Featherstone	np1	Featherstone	Featherstone	0
,	,	,	,	,	0
its	its	pn31|vbz	its	it|be	0
said	said	vvn	said	say	0
,	,	,	,	,	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
one	one	pi	one	one	0
that	that	cst	that	that	0
had	had	vhd	had	have	0
only	only	av-j	only	only	0
a	a	dt	a	a	0
Love	Love	n1	Love	love	0
to	to	p-acp	to	to	0
faithful	faithful	j	faithful	faithful	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
Reli	Reli	j	Reli	reli	0
∣	∣	sy	∣	∣	0
gious	gious	j	gious	gious	0
Meetings	Meetings	n2	Meetings	meeting	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
when	when	c-crq	when	when	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
was	was	vbds	was	be	0
preserved	preserved	vvn	preserved	preserve	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Drowsiness	Drowsiness	n1	Drowsiness	drowsiness	0
,	,	,	,	,	0
Sleepiness	Sleepiness	n1	Sleepiness	sleepiness	0
and	and	cc	and	and	0
Heaviness	Heaviness	n1	Heaviness	heaviness	0
,	,	,	,	,	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
over	over	a-acp	over	over	0
took	took	vvd	took	take	0
the	the	dt	the	the	0
fool	fool	n1	fool	fool	0
∣	∣	sy	∣	∣	0
ish	ish	vbz	is	be	0
Virgins	Virgins	n2	Virgins	virgin	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
their	their	po32	their	their	0
Lamps	Lamps	n2	Lamps	lamp	0
went	went	vvd	went	go	0
out	out	av	out	out	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
unfit	unfit	j	unfit	unfit	0
to	to	pc-acp	to	to	0
enter	enter	vvi	enter	enter	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Bride-Groom	Bride-Groom	n1	Bride-Groom	bride-groom	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
she	she	pns31	she	she	0
sat	sat	vvd	sat	sit	0
in	in	p-acp	in	in	0
Meetings	Meetings	n2	Meetings	meeting	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
sweet	sweet	j	sweet	sweet	0
frame	frame	n1	frame	frame	0
of	of	pp-f	of	of	0
Spirit	Spirit	n1	Spirit	spirit	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
often	often	av	often	often	0
tendred	tendred	vvn	tendered	tender	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Meetings	Meetings	n2	Meetings	meeting	0
,	,	,	,	,	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
very	very	av	very	very	0
commend	commend	vvb	commend	commend	0
∣	∣	sy	∣	∣	0
able	able	j	able	able	0
in	in	p-acp	in	in	0
Young	Young	j	Young	young	0
and	and	cc	and	and	0
Old	Old	j	Old	old	0
:	:	:	:	:	0
She	She	pns31	She	she	0
also	also	av	also	also	0
when	when	c-crq	when	when	0
she	she	pns31	she	she	0
was	was	vbds	was	be	0
sent	sent	vvn	sent	send	0
abroad	abroad	av	abroad	abroad	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Educated	Educated	vvn	Educated	educate	0
,	,	,	,	,	0
was	was	vbds	was	be	0
careful	careful	j	careful	careful	0
to	to	pc-acp	to	to	0
improve	improve	vvi	improve	improve	0
her	her	po31	her	her	0
Time	Time	n1	Time	time	0
,	,	,	,	,	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
worthy	worthy	j	worthy	worthy	0
of	of	pp-f	of	of	0
Praise	Praise	n1	Praise	praise	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
Observa	Observa	np1	Observa	Observa	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
with	with	p-acp	with	with	0
Grief	Grief	n1	Grief	grief	0
may	may	vmb	may	may	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
said	said	vvn	said	say	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
too	too	av	too	too	0
many	many	d	many	many	0
Children	Children	n2	Children	child	0
,	,	,	,	,	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
their	their	po32	their	their	0
Parents	Parents	n2	Parents	parent	0
send	send	vvi	send	send	0
them	them	pno32	them	they	0
abroad	abroad	av	abroad	abroad	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Educa	Educa	np1	Educa	Educa	0
∣	∣	sy	∣	∣	0
ted	ted	n1	ted	ted	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
at	at	p-acp	at	at	0
great	great	j	great	great	0
Charge	Charge	n1	Charge	charge	0
and	and	cc	and	and	0
Ex	Ex	fw-la	Ex	ex	0
∣	∣	sy	∣	∣	0
pence	pence	n2	pence	penny	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
they	they	pns32	they	they	0
too	too	av	too	too	0
to	to	p-acp	to	to	0
much	much	d	much	much	0
neglect	neglect	n1	neglect	neglect	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
their	their	po32	their	their	0
Parents	Parents	n2	Parents	parent	0
send	send	vvi	send	send	0
them	them	pno32	them	they	0
forth	forth	av	forth	forth	0
to	to	pc-acp	to	to	0
Learn	Learn	vvi	Learn	learn	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
Play	Play	n1	Play	play	0
,	,	,	,	,	0
Wildness	Wildness	n1	Wildness	wildness	0
and	and	cc	and	and	0
Idleness	Idleness	n1	Idleness	idleness	0
squander	squander	vvi	squander	squander	0
away	away	av	away	away	0
their	their	po32	their	their	0
pretious	pretious	j	precious	precious	0
Time	Time	n1	Time	time	0
,	,	,	,	,	0
often	often	av	often	often	0
talking	talking	vvg	talking	talk	0
what	what	r-crq	what	what	0
Portions	Portions	n2	Portions	portion	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
,	,	,	,	,	0
or	or	cc	or	or	0
their	their	po32	their	their	0
Parents	Parents	n2	Parents	parent	0
can	can	vmb	can	can	0
give	give	vvi	give	give	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
observing	observing	vvg	observing	observe	0
what	what	r-crq	what	what	0
this	this	d	this	this	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
wears	wears	vvz	wears	wear	0
,	,	,	,	,	0
and	and	cc	and	and	0
how	how	c-crq	how	how	0
this	this	d	this	this	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
Dresses	Dresses	n2	Dresses	dress	0
themselves	themselves	px32	themselves	themselves	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
endea	endea	n1	endea	endea	0
∣	∣	sy	∣	∣	0
vour	vour	zz	vour	vour	0
to	to	p-acp	to	to	0
do	do	vdi	do	do	0
the	the	dt	the	the	0
like	like	av-j	like	like	0
,	,	,	,	,	0
and	and	cc	and	and	0
thus	thus	av	thus	thus	0
stir	stir	vvb	stir	stir	0
up	up	a-acp	up	up	0
one	one	crd	one	one	0
another	another	j-jn	another	another	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
Evil	Evil	j-jn	Evil	evil	0
;	;	;	;	;	0
and	and	cc	and	and	0
some	some	d	some	some	0
∣	∣	sy	∣	∣	0
times	times	av	times	time	0
by	by	p-acp	by	by	0
giving	giving	vvg	giving	give	0
way	way	n1	way	way	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
Evil	Evil	j-jn	Evil	evil	0
mind	mind	n1	mind	mind	0
,	,	,	,	,	0
come	come	vvb	come	come	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
a	a	dt	a	a	0
proud	proud	j	proud	proud	0
Look	Look	n1	Look	look	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
Abomination	Abomination	n1	Abomination	abomination	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Lying	Lying	vvg	Lying	lie	0
Tongue	Tongue	n1	Tongue	tongue	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
hates	hates	vvz	hates	hate	0
.	.	.	.	.	1
Oh	Oh	uh	O	oh	0
,	,	,	,	,	0
therefore	therefore	av	therefore	therefore	0
who-ever	who-ever	j	whoever	whoev	0
thou	thou	pns21	thou	thou	0
art	art	vb2r	art	be	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Reads	Reads	vvz	Reads	read	0
these	these	d	these	these	0
and	and	cc	and	and	0
the	the	dt	the	the	0
following	following	j-vvg	following	follow	0
Lines	Lines	n2	Lines	line	0
,	,	,	,	,	0
consider	consider	vvb	consider	consider	0
seriously	seriously	av-j	seriously	serious	0
these	these	d	these	these	0
things	things	n2	things	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
remember	remember	vvb	remember	remember	0
thou	thou	pns21	thou	thou	0
must	must	vmb	must	must	0
Dye	Dye	vvi	Die	dye	0
and	and	cc	and	and	0
come	come	vvi	come	come	0
to	to	p-acp	to	to	0
Judgment	Judgment	n1	Judgement	judgement	0
;	;	;	;	;	0
and	and	cc	and	and	0
though	though	cs	though	though	0
thou	thou	pns21	thou	thou	0
art	art	vb2r	art	be	0
Young	Young	j	Young	young	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
knowest	knowest	vv2	knowest	know	0
not	not	xx	not	not	0
how	how	c-crq	how	how	0
soon	soon	av	soon	soon	0
thy	thy	po21	thy	thy	0
change	change	n1	change	change	0
may	may	vmb	may	may	0
come	come	vvi	come	come	0
,	,	,	,	,	0
and	and	cc	and	and	0
thy	thy	po21	thy	thy	0
Body	Body	n1	Body	body	0
must	must	vmb	must	must	0
return	return	vvi	return	return	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Dust	Dust	n1	Dust	dust	0
,	,	,	,	,	0
and	and	cc	and	and	0
become	become	vvi	become	become	0
Meat	Meat	n1	Meat	meat	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Worms	Worms	n2	Worms	worm	0
:	:	:	:	:	0
Therefore	Therefore	av	Therefore	therefore	0
while	while	cs	while	while	0
time	time	n1	time	time	0
lasts	lasts	vvz	lasts	last	0
improve	improve	vvb	improve	improve	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
mind	mind	vvi	mind	mind	0
the	the	dt	the	the	0
Grace	Grace	n1	Grace	grace	0
and	and	cc	and	and	0
good	good	j	good	good	0
Spirit	Spirit	n1	Spirit	spirit	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
thy	thy	po21	thy	thy	0
own	own	d	own	own	0
Heart	Heart	n1	Heart	heart	0
,	,	,	,	,	0
hearken	hearken	vvb	harken	harken	0
and	and	cc	and	and	0
return	return	vvi	return	return	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Reproofs	Reproofs	n2	Reproofs	reproof	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
that	that	cst	that	that	0
thou	thou	pns21	thou	thou	0
may'st	may'st	vm2	mayest	may	0
know	know	vvi	know	know	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
led	led	vvn	led	lead	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
become	become	vvi	become	become	0
a	a	dt	a	a	0
Comfort	Comfort	n1	Comfort	comfort	0
to	to	p-acp	to	to	0
thy	thy	po21	thy	thy	0
Parents	Parents	n2	Parents	parent	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Companion	Companion	n1	Companion	companion	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
fear	fear	vvb	fear	fear	0
the	the	dt	the	the	0
