PRetily	PRetily	av-j	Prettily	pretty	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
pen	pen	n1	pen	pen	0
∣	∣	sy	∣	∣	0
cill	cill	n1	cill	cill	0
shall	shall	vmb	shall	shall	0
make	make	vvi	make	make	0
the	the	dt	the	the	0
signe	signe	n1	sign	sign	0
,	,	,	,	,	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
not	not	xx	not	not	0
vnderstoode	vnderstoode	vvd	understood	understand	0
,	,	,	,	,	0
He	He	pns31	He	he	0
∣	∣	sy	∣	∣	0
rodotus	rodotus	fw-la	rodotus	rodotus	0
shall	shall	vmb	shall	shall	0
tell	tell	vvi	tell	tell	0
his	his	po31	his	his	0
tale	tale	n1	tale	tale	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
meanes	meanes	n2	means	mean	0
whereof	whereof	c-crq	whereof	whereof	0
,	,	,	,	,	0
that	that	cst	that	that	0
whych	whych	r-crq	which	which	0
wanteth	wanteth	vvz	wants	want	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
one	one	pi	one	one	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
so	so	av	so	so	0
plentifully	plentifully	av-j	plentifully	plentiful	0
supplyed	supplyed	vvd	supplied	supply	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
that	that	cst	that	that	0
dyspising	dyspising	vvg	dyspising	dyspise	0
the	the	dt	the	the	0
Paynter	Paynter	n1	Painter	painter	0
for	for	p-acp	for	for	0
setting	setting	vvg	setting	set	0
downe	downe	a-acp	down	down	0
to	to	p-acp	to	to	0
little	little	j	little	little	0
,	,	,	,	,	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
suspect	suspect	vvi	suspect	suspect	0
the	the	dt	the	the	0
wryter	wryter	n1	writer	writer	0
for	for	p-acp	for	for	0
alleadging	alleadging	vvg	alleging	allege	0
to	to	p-acp	to	to	0
much	much	d	much	much	0
,	,	,	,	,	0
finding	finding	vvg	finding	find	0
faulte	faulte	n1	fault	fault	0
with	with	p-acp	with	with	0
one	one	crd	one	one	0
for	for	p-acp	for	for	0
obscuritie	obscuritie	n1	obscurity	obscurity	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
fearing	fearing	vvg	fearing	fear	0
flatterie	flatterie	n1	flattery	flattery	0
.	.	.	.	.	1
So	So	av	So	so	0
lyuely	lyuely	j	lively	lively	0
in	in	p-acp	in	in	0
many	many	d	many	many	0
things	things	n2	things	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
eui	eui	fw-fr	eui	eui	0
∣	∣	sy	∣	∣	0
dent	dent	n1	dent	dent	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
things	things	n2	things	thing	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
pleasaunt	pleasaunt	j	pleasant	pleasant	0
discourse	discourse	n1	discourse	discourse	0
of	of	pp-f	of	of	0
hystories	hystories	n2	histories	history	0
,	,	,	,	,	0
that	that	cst	that	that	0
a	a	dt	a	a	0
better	better	jc	better	better	0
coūterfayte	coūterfayte	n-jn	counterfeit	counterfeit	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
drawne	drawne	vvn	drawn	draw	0
wyth	wyth	p-acp	with	with	0
two	two	crd	two	two	0
pen	pen	n1	pen	pen	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
incke	incke	n1	ink	ink	0
in	in	p-acp	in	in	0
Herodotus	Herodotus	np1	Herodotus	Herodotus	0
tale	tale	n1	tale	tale	0
,	,	,	,	,	0
then	then	av	then	then	0
with	with	p-acp	with	with	0
two	two	crd	two	two	0
potfull	potfull	j	potful	potful	0
of	of	pp-f	of	of	0
coulours	coulours	n2	colours	colour	0
in	in	p-acp	in	in	0
Apelles	Apelles	npg1	Apelles	Apelles	0
table	table	n1	table	table	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
to	to	pc-acp	to	to	0
leaue	leaue	vvi	leave	leave	0
the	the	dt	the	the	0
Paynter	Paynter	n1	Painter	painter	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
coulours	coulours	n2	colours	colour	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
fitly	fitly	av-j	fitly	fit	0
sayde	sayde	vvn	said	say	0
of	of	pp-f	of	of	0
Cicero	Cicero	np1	Cicero	Cicero	0
,	,	,	,	,	0
that	that	cst	that	that	0
to	to	pc-acp	to	to	0
knowe	knowe	vvi	know	know	0
no	no	dx	no	no	0
more	more	dc	more	more	0
then	then	cs	then	than	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
done	done	vdn	done	do	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
time	time	n1	time	time	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
still	still	av	still	still	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
childe	childe	n1	child	child	0
,	,	,	,	,	0
meaning	meaning	vvg	meaning	mean	0
that	that	cst	that	that	0
the	the	dt	the	the	0
chiefest	chiefest	js-jn	chiefest	chief	0
parte	parte	n1	part	part	0
of	of	pp-f	of	of	0
wisedome	wisedome	n1	wisdom	wisdom	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
farthest	farthest	av-js	farthest	far	0
surmount	surmount	vvb	surmount	surmount	0
the	the	dt	the	the	0
boundes	boundes	n2	bounds	bound	0
of	of	pp-f	of	of	0
childish	childish	j	childish	childish	0
ignoraūce	ignoraūce	n1	ignorance	ignorance	0
,	,	,	,	,	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
well	well	av	well	well	0
seene	seene	vvn	seen	see	0
in	in	p-acp	in	in	0
storyes	storyes	n2	stories	story	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
more	more	dc	more	more	0
profite	profite	n1	profit	profit	0
or	or	cc	or	or	0
pleasure	pleasure	n1	pleasure	pleasure	0
redounde	redounde	vvi	redound	redound	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
that	that	cst	that	that	0
reade	reade	vvb	read	read	0
them	them	pno32	them	they	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
hard	hard	j	hard	hard	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
what	what	q-crq	what	what	0
greater	greater	jc	greater	great	0
commodity	commodity	n1	commodity	commodity	0
may	may	vmb	may	may	0
there	there	a-acp	there	there	0
be	be	vbi	be	be	0
,	,	,	,	,	0
then	then	av	then	then	0
to	to	p-acp	to	to	0
fit	fit	j	fit	fit	0
our-selues	our-selues	n2	ourselves	ourselve	0
with	with	p-acp	with	with	0
sun	sun	n1	sun	sun	0
∣	∣	sy	∣	∣	0
dry	dry	j	dry	dry	0
sortes	sortes	n2	sorts	sort	0
of	of	pp-f	of	of	0
examples	examples	n2	examples	example	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
direct	direct	vvi	direct	direct	0
our	our	po12	our	our	0
wits	wits	n2	wits	wit	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
frame	frame	vvi	frame	frame	0
our	our	po12	our	our	0
manners	manners	n2	manners	manner	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
gouerne	gouerne	vvi	govern	govern	0
the	the	dt	the	the	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
whole	whole	j-jn	whole	whole	0
lyues	lyues	n2	lives	life	0
,	,	,	,	,	0
an	an	dt	and	a	0
infinite	infinite	j	infinite	infinite	0
number	number	n1	number	number	0
whereof	whereof	c-crq	whereof	whereof	0
are	are	vbr	are	be	0
offered	offered	vvn	offered	offer	0
in	in	p-acp	in	in	0
stories	stories	n2	stories	story	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
sin	sin	n1	since	sin	0
∣	∣	sy	∣	∣	0
gulare	gulare	j	gulare	gulare	0
profite	profite	n1	profit	profit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
posteritie	posteritie	n1	posterity	posterity	0
.	.	.	.	.	1
Vertue	Vertue	n1	Virtue	virtue	0
blased	blased	vvn	blazed	blaze	0
with	with	p-acp	with	with	0
excel	excel	vvi	excel	excel	0
∣	∣	sy	∣	∣	0
lency	lency	n1	lency	lency	0
,	,	,	,	,	0
vice	vice	n1	vice	vice	0
defaced	defaced	vvn	defaced	deface	0
with	with	p-acp	with	with	0
infamy	infamy	n1	infamy	infamy	0
,	,	,	,	,	0
famous	famous	j	famous	famous	0
cities	cities	n2	cities	city	0
vtterly	vtterly	av-j	utterly	utter	0
destroyed	destroyed	vvn	destroyed	destroy	0
,	,	,	,	,	0
small	small	j	small	small	0
townes	townes	n2	towns	town	0
highly	highly	av-j	highly	high	0
aduanced	aduanced	vvd	advanced	advance	0
,	,	,	,	,	0
auncient	auncient	j-jn	ancient	ancient	0
frend	frend	n1	friend	friend	0
∣	∣	sy	∣	∣	0
ship	ship	n1	ship	ship	0
turned	turned	vvn	turned	turn	0
to	to	p-acp	to	to	0
enmity	enmity	n1	enmity	enmity	0
,	,	,	,	,	0
mortall	mortall	j-jn	mortal	mortal	0
hatred	hatred	n1	hatred	hatred	0
conuerted	conuerted	vvn	converted	convert	0
to	to	p-acp	to	to	0
ami	ami	fw-fr	ami	ami	0
∣	∣	sy	∣	∣	0
tie	tie	vvb	tie	tie	0
,	,	,	,	,	0
free	free	j	free	free	0
cities	cities	n2	cities	city	0
brought	brought	vvn	brought	bring	0
vnder	vnder	p-acp	under	under	0
tribute	tribute	n1	tribute	tribute	0
,	,	,	,	,	0
and	and	cc	and	and	0
suche	suche	d	such	such	0
as	as	c-acp	as	as	0
were	were	vbdr	were	be	0
tributarie	tributarie	n-jn	tributary	tributary	0
,	,	,	,	,	0
restored	restored	vvn	restored	restore	0
to	to	p-acp	to	to	0
freedome	freedome	n1	freedom	freedom	0
,	,	,	,	,	0
briefly	briefly	av-j	briefly	brief	0
,	,	,	,	,	0
all	all	d	all	all	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
sto	sto	n1	sto	sto	0
∣	∣	sy	∣	∣	0
ryes	ryes	n1	ryes	ryes	0
,	,	,	,	,	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
eyther	eyther	av-d	either	either	0
for	for	p-acp	for	for	0
profite	profite	n1	profit	profit	0
auayle	auayle	vvi	avail	avail	0
the	the	dt	the	the	0
reader	reader	n1	reader	reader	0
,	,	,	,	,	0
or	or	cc	or	or	0
for	for	p-acp	for	for	0
pleasure	pleasure	n1	pleasure	pleasure	0
delight	delight	vvb	delight	delight	0
hym	hym	pno31	him	he	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
lefte	lefte	vvn	left	leave	0
to	to	p-acp	to	to	0
memory	memory	n1	memory	memory	0
of	of	pp-f	of	of	0
Scipio	Scipio	np1	Scipio	Scipio	0
A	A	sy	A	a	0
∣	∣	sy	∣	∣	0
fricanus	fricanus	fw-la	fricanus	fricanus	0
a	a	dt	a	a	0
noble	noble	j	noble	noble	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
of	of	pp-f	of	of	0
Rome	Rome	np1	Rome	Rome	0
,	,	,	,	,	0
that	that	cst	that	that	0
seeking	seeking	vvg	seeking	seek	0
to	to	p-acp	to	to	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
sue	sue	vvi	sue	sue	0
the	the	dt	the	the	0
example	example	n1	example	example	0
of	of	pp-f	of	of	0
Cyrus	Cyrus	np1	Cyrus	Cyrus	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
fayned	fayned	vvn	feigned	feign	0
by	by	p-acp	by	by	0
Xenophon	Xenophon	np1	Xenophon	Xenophon	0
,	,	,	,	,	0
he	he	pns31	he	he	0
atchieued	atchieued	vvd	achieved	achieve	0
that	that	cst	that	that	0
fame	fame	n1	fame	fame	0
of	of	pp-f	of	of	0
wisedome	wisedome	n1	wisdom	wisdom	0
and	and	cc	and	and	0
valure	valure	n1	valour	valour	0
as	as	p-acp	as	as	0
fewe	fewe	d	few	few	0
had	had	vhd	had	have	0
attayned	attayned	vvd	attained	attain	0
before	before	p-acp	before	before	0
hym	hym	pno31	him	he	0
.	.	.	.	.	1
The	The	dt	The	the	0
lyke	lyke	av-j	like	like	0
happened	happened	vvd	happened	happen	0
to	to	p-acp	to	to	0
Selimus	Selimus	np1	Selimus	Selimus	0
prince	prince	n1	prince	prince	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Turkes	Turkes	np2	Turkes	Turk	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
auncetours	auncetours	n2	ancestors	ancestor	0
hating	hating	vvg	hating	hate	0
stories	stories	n2	stories	story	0
,	,	,	,	,	0
he	he	pns31	he	he	0
caused	caused	vvd	caused	cause	0
the	the	dt	the	the	0
actes	actes	n2	acts	act	0
of	of	pp-f	of	of	0
Caesar	Caesar	np1	Caesar	Caesar	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
drawne	drawne	vvn	drawn	draw	0
into	into	p-acp	into	into	0
his	his	po31	his	his	0
mother	mother	n1	mother	mother	0
tongue	tongue	n1	tongue	tongue	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
example	example	n1	example	example	0
,	,	,	,	,	0
subdued	subdued	vvd	subdued	subdue	0
a	a	dt	a	a	0
great	great	j	great	great	0
parte	parte	n1	part	part	0
of	of	pp-f	of	of	0
Asia	Asia	np1	Asia	Asia	0
and	and	cc	and	and	0
Africa	Africa	np1	Africa	Africa	0
.	.	.	.	.	1
And	And	cc	And	and	0
Caesar	Caesar	np1	Caesar	Caesar	0
himselfe	himselfe	px31	himself	himself	0
had	had	vhn	had	have	0
neuer	neuer	av	never	never	0
aspired	aspired	vvn	aspired	aspire	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
type	type	n1	type	type	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
great	great	j	great	great	0
renowne	renowne	n1	renown	renown	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
following	following	vvg	following	follow	0
of	of	pp-f	of	of	0
Alexan	Alexan	np1	Alexan	Alexan	0
∣	∣	sy	∣	∣	0
der	der	fw-mi	der	der	0
,	,	,	,	,	0
reading	reading	vvg	reading	read	0
whose	whose	r-crq	whose	who	0
victories	victories	n2	victories	victory	0
,	,	,	,	,	0
he	he	pns31	he	he	0
brast	brast	vvd	braced	brace	0
out	out	av	out	out	0
into	into	p-acp	into	into	0
teares	teares	n2	tears	tear	0
,	,	,	,	,	0
forsomuch	forsomuch	av	forsomuch	forsomuch	0
as	as	c-acp	as	as	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
same	same	d	same	same	0
age	age	n1	age	age	0
whereat	whereat	c-crq	whereat	whereat	0
Alexander	Alexander	np1	Alexander	Alexander	0
had	had	vhd	had	have	0
subdued	subdued	vvn	subdued	subdue	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
worlde	worlde	n1	world	world	0
,	,	,	,	,	0
hymselfe	hymselfe	px31	himself	himself	0
had	had	vhd	had	have	0
done	done	vdn	done	do	0
nothing	nothing	pix	nothing	nothing	0
woorthy	woorthy	j	worthy	worthy	0
memory	memory	n1	memory	memory	0
.	.	.	.	.	1
The	The	dt	The	the	0
delyghte	delyghte	n1	delyghte	delyghte	0
wee	wee	pns12	we	we	0
receyue	receyue	vvb	receive	receive	0
by	by	p-acp	by	by	0
readyng	readyng	vvg	reading	read	0
hystories	hystories	n2	histories	history	0
,	,	,	,	,	0
is	is	vbz	is	be	0
euery	euery	d	every	every	0
way	way	n1	way	way	0
singulare	singulare	j	singular	singular	0
,	,	,	,	,	0
a	a	dt	a	a	0
soueraigne	soueraigne	j-jn	sovereign	sovereign	0
medicine	medicine	n1	medicine	medicine	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
cares	cares	n2	cares	care	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
a	a	dt	a	a	0
speedy	speedy	j	speedy	speedy	0
remedy	remedy	n1	remedy	remedy	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
griefes	griefes	n2	griefs	grief	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
body	body	n1	body	body	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
Alphonsus	Alphonsus	np1	Alphonsus	Alphonsus	0
Kyng	Kyng	n1	King	king	0
of	of	pp-f	of	of	0
Spayne	Spayne	np1	Spayne	Spain	0
,	,	,	,	,	0
lefte	lefte	vvn	left	leave	0
by	by	p-acp	by	by	0
Physicke	Physicke	n1	Physic	physic	0
as	as	c-acp	as	as	0
incurable	incurable	j	incurable	incurable	0
,	,	,	,	,	0
recouered	recouered	vvd	recovered	recover	0
his	his	po31	his	his	0
health	health	n1	health	health	0
by	by	p-acp	by	by	0
readyng	readyng	vvg	reading	read	0
Lyuy	Lyuy	j	Lyuy	lyuy	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
which	which	r-crq	which	which	0
kynde	kynde	n1	kind	kind	0
of	of	pp-f	of	of	0
delightsome	delightsome	j	delightsome	delightsome	0
veyne	veyne	n1	vein	vein	0
,	,	,	,	,	0
sithence	sithence	c-acp	since	since	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
Herodotus	Herodotus	np1	Herodotus	Herodotus	0
most	most	av-ds	most	most	0
excelleth	excelleth	vvz	excels	excel	0
,	,	,	,	,	0
both	both	av-d	both	both	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
pleasaunt	pleasaunt	j	pleasant	pleasant	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
story	story	n1	story	story	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
plentifull	plentifull	j	plentiful	plentiful	0
knowledge	knowledge	n1	knowledge	knowledge	0
cōteyned	cōteyned	vvn	contained	contain	0
therein	therein	av	therein	therein	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
him	him	pno31	him	he	0
not	not	xx	not	not	0
vnfit	vnfit	j	unfit	unfit	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
first	first	ord	first	first	0
entry	entry	n1	entry	entry	0
into	into	p-acp	into	into	0
Englande	Englande	np1	Englande	England	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
growe	growe	vvi	grow	grow	0
in	in	p-acp	in	in	0
fauour	fauour	n1	favour	favour	0
wyth	wyth	p-acp	with	with	0
so	so	av	so	so	0
noble	noble	j	noble	noble	0
a	a	dt	a	a	0
Gentle	Gentle	j	Gentle	gentle	0
∣	∣	sy	∣	∣	0
man	man	n1	man	man	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
whose	whose	rg-crq	whose	who	0
countenaunce	countenaunce	n1	countenance	countenance	0
gaynyng	gaynyng	vvg	gaining	gain	0
credite	credite	n1	credit	credit	0
,	,	,	,	,	0
hee	hee	pns31	he	he	0
may	may	vmb	may	may	0
with	with	p-acp	with	with	0
lesse	lesse	dc	less	less	0
shame	shame	n1	shame	shame	0
and	and	cc	and	and	0
greater	greater	jc	greater	great	0
acceptaunce	acceptaunce	n1	acceptance	acceptance	0
aduenture	aduenture	vvi	adventure	adventure	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
hands	hands	n2	hands	hand	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
shall	shall	vmb	shall	shall	0
reade	reade	vvi	read	read	0
hym	hym	pno31	him	he	0
.	.	.	.	.	1
I	I	pns11	I	i	0
leaue	leaue	vvb	leave	leave	0
hym	hym	pno31	him	he	0
ther	ther	a-acp	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	n1	before	fore	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
worships	worships	ng1	worships	worship	0
hands	hands	n2	hands	hand	0
to	to	pc-acp	to	to	0
entertayne	entertayne	vvi	entertain	entertain	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
stran	stran	vvd	stran	stran	0
∣	∣	sy	∣	∣	0
ger	ger	pno31	her	she	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
deserueth	deserueth	vvz	deserves	deserve	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
hym	hym	pno31	him	he	0
familiar	familiar	j-jn	familiar	familiar	0
,	,	,	,	,	0
not	not	xx	not	not	0
forgetting	forgetting	vvg	forgetting	forget	0
to	to	pc-acp	to	to	0
wish	wish	vvi	wish	wish	0
hym	hym	pno31	him	he	0
good	good	j	good	good	0
fortune	fortune	n1	fortune	fortune	0
as	as	c-acp	as	as	0
