One	One	crd	One	one	0
true	true	j	true	true	0
vndanted	vndanted	j	undaunted	undaunted	0
valor	valor	n1	valour	valour	0
,	,	,	,	,	0
and	and	cc	and	and	0
inuincible	inuincible	j	invincible	invincible	0
courage	courage	n1	courage	courage	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
an	an	dt	and	a	0
incomparable	incomparable	j	incomparable	incomparable	0
Generall	Generall	n1	General	general	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
thy	thy	po21	thy	thy	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
vvho	vvho	r-crq	who	who	0
for	for	p-acp	for	for	0
thy	thy	po21	thy	thy	0
ar	ar	vbr	are	be	0
∣	∣	sy	∣	∣	0
dent	dent	n1	dent	dent	0
zeale	zeale	n1	zeal	zeal	0
and	and	cc	and	and	0
feruour	feruour	n1	fervour	fervour	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Catholique	Catholique	jp	Catholic	catholique	0
cause	cause	n1	cause	cause	0
,	,	,	,	,	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
briefe	briefe	j	brief	brief	0
and	and	cc	and	and	0
summary	summary	n1	summary	summary	0
abridgment	abridgment	n1	abridgment	abridgment	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
vertues	vertues	n2	virtues	virtue	0
,	,	,	,	,	0
rightly	rightly	av-jn	rightly	right	0
call	call	vvi	call	call	0
,	,	,	,	,	0
the	the	dt	the	the	0
Captaine	Captaine	n1	Captain	captain	0
of	of	pp-f	of	of	0
Captaines	Captaines	n2	Captains	captain	0
,	,	,	,	,	0
the	the	dt	the	the	0
triumphant	triumphant	j	triumphant	triumphant	0
Palme	Palme	n1	Palm	palm	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
those	those	d	those	those	0
vvho	vvho	r-crq	who	who	0
beare	beare	vvb	bear	bear	0
armes	armes	n2	arms	arm	0
,	,	,	,	,	0
the	the	dt	the	the	0
scourage	scourage	vvi	scourage	scourage	0
of	of	pp-f	of	of	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
belles	belles	fw-fr	belles	belles	0
.	.	.	.	.	1
Terror	Terror	n1	Terror	terror	0
of	of	pp-f	of	of	0
Heretiques	Heretiques	n2	Heretics	heretic	0
,	,	,	,	,	0
suppresser	suppresser	n1	suppresser	suppresser	0
of	of	pp-f	of	of	0
seditions	seditions	n2	seditions	sedition	0
,	,	,	,	,	0
succour	succour	n1	succour	succour	0
of	of	pp-f	of	of	0
Religious	Religious	j	Religious	religious	0
.	.	.	.	.	1
Protector	Protector	n1	Protector	protector	0
of	of	pp-f	of	of	0
virgins	virgins	ng1	virgins	virgin	0
safegard	safegard	n1	safeguard	safeguard	0
of	of	pp-f	of	of	0
Monasteries	Monasteries	n2	Monasteries	monastery	0
,	,	,	,	,	0
Bulwork	Bulwork	n1	Bulwark	bulwark	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
lowcontries	lowcontries	n2	lowcontries	lowcontry	0
,	,	,	,	,	0
and	and	cc	and	and	0
inuinci	inuinci	fw-la	inuinci	inuinci	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
Champion	Champion	n1	Champion	champion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Catholique	Catholique	jp	Catholic	catholique	0
Church	Church	n1	Church	church	0
.	.	.	.	.	0
oneill	oneill	n1	oneill	oneill	0
and	and	cc	and	and	0
odonel	odonel	n1	odonel	odonel	0
those	those	d	those	those	0
famous	famous	j	famous	famous	0
warriers	warriers	n2	warriors	warrior	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
renoome	renoome	n1	renoome	renoome	0
,	,	,	,	,	0
pru	pru	n2	pru	pru	0
∣	∣	sy	∣	∣	0
dent	dent	n1	dent	dent	0
.	.	.	.	.	0
and	and	cc	and	and	0
braue	braue	j	brave	brave	0
conductors	conductors	n2	conductors	conductor	0
.	.	.	.	.	0
their	their	po32	their	their	0
notorius	notorius	j	notorious	notorious	0
actes	actes	n2	acts	act	0
so	so	av	so	so	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
douted	douted	vvd	doubted	doubt	0
that	that	d	that	that	0
their	their	po32	their	their	0
enemies	enemies	n2	enemies	enemy	0
so	so	av	so	so	0
feared	feared	vvd	feared	fear	0
them	them	pno32	them	they	0
,	,	,	,	,	0
ey	ey	uh	ey	ey	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	a-acp	as	as	0
.	.	.	.	.	1
I	I	pns11	I	i	0
ha	ha	uh	would	ha	0
∣	∣	sy	∣	∣	0
ue	ue	zz	ue	ue	0
heard	heard	vvd	herd	hear	0
say	say	vvi	say	say	0
,	,	,	,	,	0
mootheres	mootheres	vvz	mootheres	moothere	0
to	to	pc-acp	to	to	0
cause	cause	vvi	cause	cause	0
there	there	a-acp	there	there	0
children	children	n2	children	child	0
to	to	pc-acp	to	to	0
houlde	houlde	vvi	hold	hold	0
there	there	a-acp	there	there	0
peace	peace	n1	peace	peace	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
cried	cried	vvd	cried	cry	0
,	,	,	,	,	0
feared	feared	vvn	feared	fear	0
and	and	cc	and	and	0
affric	affric	j	affric	affric	0
∣	∣	sy	∣	∣	0
ted	ted	j	ted	ted	0
them	them	pno32	them	they	0
.	.	.	.	.	0
withe	withe	p-acp	with	with	0
this	this	d	this	this	0
very	very	j	very	very	0
name	name	n1	name	name	0
.	.	.	.	.	0
resultinge	resultinge	vvg	resultinge	resultinge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
renoo	renoo	n1	renoo	renoo	0
∣	∣	sy	∣	∣	0
me	me	pno11	me	i	0
of	of	pp-f	of	of	0
there	there	a-acp	there	there	0
rare	rare	j	rare	rare	0
victories	victories	n2	victories	victory	0
,	,	,	,	,	0
sore	sore	j	soar	sore	0
and	and	cc	and	and	0
blooddy	blooddy	j	bloody	bloody	0
encounters	encounters	n2	encounters	encounter	0
and	and	cc	and	and	0
notorius	notorius	j	notorious	notorious	0
executions	executions	n2	executions	execution	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
Spinola	Spinola	np1	Spinola	Spinola	0
,	,	,	,	,	0
dan	dan	uh	dan	dan	0
∣	∣	sy	∣	∣	0
teth	teth	vvz	teth	t	0
and	and	cc	and	and	0
maketh	maketh	vvz	makes	make	0
to	to	pc-acp	to	to	0
tremble	tremble	vvi	tremble	tremble	0
,	,	,	,	,	0
not	not	xx	not	not	0
babes	babes	n2	babes	babe	0
or	or	cc	or	or	0
children	children	n2	children	child	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
euen	euen	av-j	even	even	0
the	the	dt	the	the	0
proodest	proodest	vv2	proodest	prood	0
,	,	,	,	,	0
hautiest	hautiest	vv2	hautiest	hauti	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
insulting	insulting	j-vvg	insulting	insult	0
enimie	enimie	n1	enemy	enemy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
Monarche	Monarche	n1	Monarch	monarch	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Europe	Europe	np1	Europe	Europe	0
,	,	,	,	,	0
the	the	dt	the	the	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Spai	Spai	np1	Spai	Spai	0
∣	∣	sy	∣	∣	0
ne	ne	fw-fr	ne	ne	0
,	,	,	,	,	0
vvho	vvho	r-crq	who	who	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
and	and	cc	and	and	0
most	most	ds	most	most	0
incomparablest	incomparablest	js	incomparablest	incomparabl	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
and	and	cc	and	and	0
vvhose	vvhose	r-crq	whose	who	0
only	only	j	only	only	0
name	name	n1	name	name	0
al	al	d	all	all	0
other	other	j-jn	other	other	0
Kinges	Kinges	n2	Kings	king	0
of	of	pp-f	of	of	0
Christendome	Christendome	np1	Christendome	Christendom	0
(	(	(	(	(	0
enemies	enemies	n2	enemies	enemy	0
vnto	vnto	p-acp	unto	unto	0
him	him	pno31	him	he	0
)	)	)	)	)	0
do	do	vdi	do	do	0
redout	redout	vvb	redoubt	redoubt	0
:	:	:	:	:	0
so	so	av	so	so	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
Captaines	Captaines	n2	Captains	captain	0
and	and	cc	and	and	0
Commanders	Commanders	n2	Commanders	commander	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
most	most	av-ds	most	most	0
Catholi	Catholi	fw-la	Catholi	catholi	0
∣	∣	sy	∣	∣	0
que	que	fw-fr	que	que	0
Kinge	Kinge	n1	King	king	0
,	,	,	,	,	0
no	no	dx	no	no	0
Captaine	Captaine	n1	Captain	captain	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
no	no	dx	no	no	0
Commanders	Commanders	ng1	Commanders	commander	0
name	name	n1	name	name	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
redouted	redouted	j-vvn	redoubted	redoubt	0
,	,	,	,	,	0
then	then	cs	then	than	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
Spinola	Spinola	np1	Spinola	Spinola	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
this	this	d	this	this	0
is	is	vbz	is	be	0
that	that	d	that	that	0
right	right	j-jn	right	right	0
worthy	worthy	j	worthy	worthy	0
Spinola	Spinola	np1	Spinola	Spinola	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
no	no	xx	not	not	0
Scipio	Scipio	np1	Scipio	Scipio	0
,	,	,	,	,	0
no	no	uh-dx	no	no	0
Pompeo	Pompeo	fw-la	Pompeo	pompeo	0
,	,	,	,	,	0
no	no	dx	no	no	0
Ce	Ce	fw-fr	Ce	ce	0
∣	∣	sy	∣	∣	0
sar	sar	av-j	sar	far	0
,	,	,	,	,	0
did	did	vdd	did	do	0
euer	euer	av	ever	ever	0
surpasse	surpasse	vvi	surpass	surpass	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
prudence	prudence	n1	prudence	prudence	0
,	,	,	,	,	0
valor	valor	n1	valour	valour	0
,	,	,	,	,	0
vigilance	vigilance	n1	vigilance	vigilance	0
,	,	,	,	,	0
fideli	fideli	fw-la	fideli	fideli	0
∣	∣	sy	∣	∣	0
tie	tie	vvb	tie	tie	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
vertus	vertus	fw-fr	vertus	vertus	0
.	.	.	.	.	1
This	This	d	This	this	0
is	is	vbz	is	be	0
that	that	cst	that	that	0
Spinola	Spinola	np1	Spinola	Spinola	0
vvho	vvho	r-crq	who	who	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
Heroicall	Heroicall	j	Heroical	heroical	0
facts	facts	n2	facts	fact	0
,	,	,	,	,	0
manifested	manifested	vvn	manifested	manifest	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
by	by	p-acp	by	by	0
so	so	av	so	so	0
many	many	d	many	many	0
most	most	av-ds	most	most	0
famous	famous	j	famous	famous	0
victories	victories	n2	victories	victory	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
accquired	accquired	vvn	accquired	accquire	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
euerlasting	euerlasting	j	everlasting	everlasting	0
glorie	glorie	n1	glory	glory	0
,	,	,	,	,	0
and	and	cc	and	and	0
left	left	vvd	left	leave	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
posteritie	posteritie	n1	posterity	posterity	0
,	,	,	,	,	0
perpetuall	perpetuall	j	perpetual	perpetual	0
memorie	memorie	n1	memory	memory	0
.	.	.	.	.	1
This	This	d	This	this	0
is	is	vbz	is	be	0
that	that	cst	that	that	0
Spinola	Spinola	np1	Spinola	Spinola	0
,	,	,	,	,	0
vvhome	vvhome	ro-crq	whom	who	0
the	the	dt	the	the	0
hand	hand	n1	hand	hand	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
highest	highest	js	highest	high	0
asisting	asisting	vvg	assisting	assist	0
,	,	,	,	,	0
conquered	conquered	vvd	conquered	conquer	0
and	and	cc	and	and	0
subdued	subdued	vvn	subdued	subdue	0
,	,	,	,	,	0
that	that	cst	that	that	0
almost	almost	av	almost	almost	0
impregnable	impregnable	j	impregnable	impregnable	0
towne	towne	n1	town	town	0
of	of	pp-f	of	of	0
Breda	Breda	np1	Breda	Breda	0
.	.	.	.	.	0
notwithstanding	notwithstanding	a-acp	notwithstanding	notwithstanding	0
almost	almost	av	almost	almost	0
all	all	d	all	all	0
the	the	dt	the	the	0
Princes	Princes	n2	Princes	prince	0
of	of	pp-f	of	of	0
Eu	Eu	n1	Eum	yew	0
∣	∣	sy	∣	∣	0
rope	rope	n1	rope	rope	0
,	,	,	,	,	0
conspired	conspired	vvn	conspired	conspire	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
vttermost	vttermost	j	uttermost	uttermost	0
force	force	n1	force	force	0
to	to	pc-acp	to	to	0
oppose	oppose	vvi	oppose	oppose	0
him	him	pno31	him	he	0
.	.	.	.	.	1
This	This	d	This	this	0
is	is	vbz	is	be	0
that	that	d	that	that	0
glorious	glorious	j	glorious	glorious	0
flower	flower	n1	flower	flower	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Italie	Italie	np1	Italie	Italy	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
contry	contry	n1	country	country	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
brought	brought	vvn	brought	bring	0
forth	forth	av	forth	forth	0
many	many	d	many	many	0
rare	rare	j	rare	rare	0
and	and	cc	and	and	0
incomparable	incomparable	j	incomparable	incomparable	0
war	war	n1	war	war	0
∣	∣	sy	∣	∣	0
riers	riers	n2	riers	rier	0
in	in	p-acp	in	in	0
former	former	j	former	former	0
ages	ages	n2	ages	age	0
,	,	,	,	,	0
so	so	av	so	so	0
hath	hath	vhz	hath	have	0
it	it	pn31	it	it	0
now	now	av	now	now	0
brought	brought	vvn	brought	bring	0
vs	vs	pno12	us	we	0
forth	forth	av	forth	forth	0
a	a	dt	a	a	0
Spi	Spi	np1	Spi	Spi	0
∣	∣	sy	∣	∣	0
nola	nola	fw-it	nola	nola	0
,	,	,	,	,	0
no	no	dx	no	no	0
way	way	n1	way	way	0
inferior	inferior	j-jn	inferior	inferior	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
worthy	worthy	j	worthy	worthy	0
predecessors	predecessors	n2	predecessors	predecessor	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
ra	ra	uh	ra	ra	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
such	such	d	such	such	0
an	an	dt	and	a	0
one	one	pi	one	one	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
whom	whom	ro-crq	whom	who	0
alone	alone	av-j	alone	alone	0
,	,	,	,	,	0
all	all	d	all	all	0
their	their	po32	their	their	0
former	former	j	former	former	0
virtues	virtues	n2	virtues	virtue	0
seeme	seeme	vvb	seem	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
reuiued	reuiued	vvn	revived	revive	0
.	.	.	.	.	1
This	This	d	This	this	0
is	is	vbz	is	be	0
that	that	cst	that	that	0
Spinola	Spinola	np1	Spinola	Spinola	0
,	,	,	,	,	0
or	or	cc	or	or	0
rather	rather	av-c	rather	rather	0
to	to	p-acp	to	to	0
spea	spea	n1	spea	spea	0
∣	∣	sy	∣	∣	0
ke	ke	wd	ke	ke	0
more	more	av-dc	more	more	0
properly	properly	av-j	properly	proper	0
,	,	,	,	,	0
that	that	cst	that	that	0
thrice	thrice	av	thrice	thrice	0
renowmed	renowmed	vvn	renowned	renown	0
Spine	Spine	np1	Spine	Spine	0
or	or	cc	or	or	0
pric	pric	n1	princ	princ	0
∣	∣	sy	∣	∣	0
king	king	n1	king	king	0
Thorne	Thorne	n1	Thorn	thorn	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
pricked	pricked	vvn	pricked	prick	0
the	the	dt	the	the	0
harts	harts	n2	hearts	heart	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
warlike	warlike	j	warlike	warlike	0
Nobilitie	Nobilitie	n1	Nobility	nobility	0
,	,	,	,	,	0
vvith	vvith	p-acp	with	with	0
the	the	dt	the	the	0
Spine	Spine	np1	Spine	Spine	0
or	or	cc	or	or	0
prick	prick	n1	prick	prick	0
of	of	pp-f	of	of	0
emulation	emulation	n1	emulation	emulation	0
of	of	pp-f	of	of	0
his	his	png31	his	he	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
comparable	comparable	j	comparable	comparable	0
vertues	vertues	n2	virtues	virtue	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
principally	principally	av-j	principally	principal	0
,	,	,	,	,	0
this	this	d	this	this	0
is	is	vbz	is	be	0
that	that	cst	that	that	0
Spinola	Spinola	np1	Spinola	Spinola	0
or	or	cc	or	or	0
right	right	n-jn	right	right	0
vvorthie	vvorthie	j-jn	worthy	worthy	0
Spine	Spine	np1	Spine	Spine	0
,	,	,	,	,	0
vvho	vvho	r-crq	who	who	0
hath	hath	vhz	hath	have	0
pricked	pricked	vvn	pricked	prick	0
the	the	dt	the	the	0
harts	harts	n2	hearts	heart	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
present	present	j	present	present	0
rebells	rebells	n2	rebels	rebel	0
and	and	cc	and	and	0
enimies	enimies	n2	enemies	enemy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
vvith	vvith	p-acp	with	with	0
such	such	d	such	such	0
a	a	dt	a	a	0
prick	prick	n1	prick	prick	0
and	and	cc	and	and	0
deadly	deadly	j	deadly	deadly	0
dart	dart	n1	dart	dart	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
hath	hath	vhz	hath	have	0
vvounded	vvounded	vvn	wounded	wound	0
them	them	pno32	them	they	0
all	all	d	all	all	0
e	e	uh	e	e	0
∣	∣	sy	∣	∣	0
uen	uen	n1	uen	uen	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
hart	hart	n1	heart	hart	0
.	.	.	.	.	1
Fourthly	Fourthly	ord	Fourthly	four	0
and	and	cc	and	and	0
lastly	lastly	ord	lastly	last	0
,	,	,	,	,	0
I	I	pns11	I	i	0
vvas	vvas	vbds	was	be	0
moued	moued	vvn	moved	move	0
hereto	hereto	av	hereto	hereto	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
relating	relating	vvg	relating	relate	0
the	the	dt	the	the	0
inuincible	inuincible	j	invincible	invincible	0
povver	povver	n1	power	power	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
mightie	mightie	j	mighty	mighty	0
Monarch	Monarch	n1	Monarch	monarch	0
the	the	dt	the	the	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
the	the	dt	the	the	0
vnspeakable	vnspeakable	j	unspeakable	unspeakable	0
pietie	pietie	n1	piety	piety	0
,	,	,	,	,	0
zeale	zeale	n1	zeal	zeal	0
and	and	cc	and	and	0
deuotion	deuotion	n1	devotion	devotion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Excellent	Excellent	j	Excellent	excellent	0
Infanta	Infanta	n1	Infanta	infanta	0
,	,	,	,	,	0
the	the	dt	the	the	0
in	in	n1	in	inn	0
∣	∣	sy	∣	∣	0
comparable	comparable	j	comparable	comparable	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
valor	valor	n1	valour	valour	0
,	,	,	,	,	0
prudence	prudence	n1	prudence	prudence	0
,	,	,	,	,	0
and	and	cc	and	and	0
braue	braue	j	brave	brave	0
conduc	conduc	fw-fr	conduc	conduc	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
their	their	po32	their	their	0
so	so	av	so	so	0
