PReaching	PReaching	vvg	PReaching	preach	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Authour	Authour	n1	Author	author	0
,	,	,	,	,	0
obliged	obliged	vvn	obliged	oblige	0
vn	vn	p-acp	un	unto	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
in	in	p-acp	in	in	0
many	many	d	many	many	0
respects	respects	n2	respects	respect	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
mat	mat	n1	mat	mat	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
meere	meere	j	mere	mere	0
Chancery	Chancery	n1	Chancery	chancery	0
,	,	,	,	,	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
need	need	n1	need	need	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
patronage	patronage	n1	patronage	patronage	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
common	common	j	common	common	0
complaint	complaint	n1	complaint	complaint	0
that	that	cst	that	that	0
Con	Con	fw-mi	Con	con	0
∣	∣	sy	∣	∣	0
science	science	n1	science	science	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
latter	latter	d	latter	latter	0
yeares	yeares	n2	years	year	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
lyne	lyne	n1	line	line	0
bed-rid	bed-rid	j	bedrid	bedrid	0
&	&	cc	&	and	0
speechlesse	speechlesse	j	speechless	speechless	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
blessed	blessed	vvn	blessed	bless	0
be	be	vbb	be	be	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
raised	raised	vvn	raised	raise	0
vp	vp	a-acp	up	up	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
Patrone	Patrone	n1	Patron	patron	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
a	a	dt	a	a	0
Paterne	Paterne	n1	Pattern	pattern	0
of	of	pp-f	of	of	0
equity	equity	n1	equity	equity	0
and	and	cc	and	and	0
Iustice	Iustice	n1	Justice	justice	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Com	Com	vvi	Come	come	0
∣	∣	sy	∣	∣	0
mon-wealth	mon-wealth	n1	monwealth	monwealth	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
principall	principall	j-jn	principal	principal	0
agent	agent	n1	agent	agent	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
vncon	vncon	n1	vncon	vncon	0
∣	∣	sy	∣	∣	0
scionable	scionable	j	scionable	scionable	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
restore	restore	vvi	restore	restore	0
and	and	cc	and	and	0
recouer	recouer	vvi	recover	recover	0
conscience	conscience	n1	conscience	conscience	0
a	a	sy	a	a	0
∣	∣	sy	∣	∣	0
gaine	gaine	n1	gain	gain	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
much	much	av-d	much	much	0
decayed	decayed	vvn	decayed	decay	0
.	.	.	.	.	1
The	The	dt	The	the	0
same	same	d	same	same	0
God	God	np1	God	God	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
Authour	Authour	n1	Author	author	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
ferment	ferment	n1	ferment	ferment	0
,	,	,	,	,	0
continue	continue	vvb	continue	continue	0
his	his	po31	his	his	0
mercies	mercies	n2	mercies	mercy	0
,	,	,	,	,	0
and	and	cc	and	and	0
multiply	multiply	vvi	multiply	multiply	0
his	his	po31	his	his	0
bles	bles	n2	bles	ble	0
∣	∣	sy	∣	∣	0
sings	sings	vvz	sings	sing	0
vpon	vpon	p-acp	upon	upon	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
that	that	cst	that	that	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
hearts	hearts	n2	hearts	heart	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
good	good	j	good	good	0
men	men	n2	men	man	0
(	(	(	(	(	0
specially	specially	av-j	specially	special	0
of	of	pp-f	of	of	0
vs	vs	pno12	us	we	0
Church-men	Church-men	n2	Churchmen	churchman	0
)	)	)	)	)	0
doe	doe	vdb	do	do	0
reioyce	reioyce	vvi	rejoice	rejoice	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
aduancement	aduancement	n1	advancement	advancement	0
;	;	;	;	;	0
So	So	av	So	so	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
God	God	np1	God	God	0
wee	wee	pns12	we	we	0
may	may	vmb	may	may	0
long	long	av-j	long	long	0
enioy	enioy	vvi	enjoy	enjoy	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
comfort	comfort	n1	comfort	comfort	0
both	both	av-d	both	both	0
of	of	pp-f	of	of	0
Church	Church	n1	Church	church	0
and	and	cc	and	and	0
Common-wealth	Common-wealth	n1	Commonwealth	commonwealth	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
,	,	,	,	,	0
crauing	crauing	vvg	craving	crave	0
pardon	pardon	n1	pardon	pardon	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
boldnesse	boldnesse	n1	boldness	boldness	0
,	,	,	,	,	0
and	and	cc	and	and	0
fauourable	fauourable	j	favourable	favourable	0
acceptance	acceptance	n1	acceptance	acceptance	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
my	my	po11	my	my	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
deauours	deauours	n2	deauours	deauour	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
most	most	ds	most	most	0
humble	humble	j	humble	humble	0
manner	manner	n1	manner	manner	0
I	I	pns11	I	i	0
recommend	recommend	vvb	recommend	recommend	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
protection	protection	n1	protection	protection	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Almighty	Almighty	j-jn	Almighty	almighty	0
,	,	,	,	,	0
euer	euer	av	ever	ever	0
resting	resting	vvg	resting	rest	0
.	.	.	.	.	1
