Deare	Deare	n1	Dear	deer	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
thoughts	thoughts	n2	thoughts	thought	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
so	so	av	so	so	0
chargeable	chargeable	j	chargeable	chargeable	0
as	as	c-acp	as	as	0
words	words	n2	words	word	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
so	so	av	so	so	0
dangerous	dangerous	j	dangerous	dangerous	0
.	.	.	.	.	1
My	My	po11	My	my	0
intentions	intentions	n2	intentions	intention	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
(	(	(	(	(	0
promiscuous	promiscuous	j	promiscuous	promiscuous	0
)	)	)	)	)	0
Pamphlet	Pamphlet	n1	Pamphlet	pamphlet	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
offend	offend	vvi	offend	offend	0
any	any	d	any	any	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
conscientious	conscientious	j	conscientious	conscientious	0
▪	▪	▪	▪	▪	0
(	(	(	(	(	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
idoll	idoll	n1	idol	idol	0
)	)	)	)	)	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
blinder	blinder	jc	blinder	blind	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
detect	detect	vvi	detect	detect	0
that	that	d	that	that	0
subtill	subtill	j	subtle	subtle	0
enemy	enemy	n1	enemy	enemy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Creations	Creations	ng1	Creations	creation	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
Persecution	Persecution	n1	Persecution	persecution	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
the	the	dt	the	the	0
vi	vi	crd	vi	vi	0
∣	∣	sy	∣	∣	0
olent	olent	j	olent	olent	0
humours	humours	n2	humours	humour	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
tabernacles	tabernacles	n2	tabernacles	tabernacle	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
designes	designes	n2	designs	design	0
,	,	,	,	,	0
All	All	d	All	all	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
say	say	vvi	say	say	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
more	more	av-dc	more	more	0
at	at	p-acp	at	at	0
present	present	n1	present	present	0
is	is	vbz	is	be	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
desire	desire	vvi	desire	desire	0
any	any	d	any	any	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
offended	offended	vvn	offended	offend	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
as	as	c-acp	as	as	0
some	some	d	some	some	0
have	have	vhb	have	have	0
formerly	formerly	av-j	formerly	former	0
said	said	vvn	said	say	0
(	(	(	(	(	0
if	if	cs	if	if	0
so	so	av	so	so	0
it	it	pn31	it	it	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
)	)	)	)	)	0
only	only	j	only	only	0
to	to	pc-acp	to	to	0
hate	hate	vvi	hate	hate	0
my	my	po11	my	my	0
opinions	opinions	n2	opinions	opinion	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
not	not	xx	not	not	0
my	my	po11	my	my	0
person	person	n1	person	person	0
;	;	;	;	;	0
the	the	dt	the	the	0
same	same	d	same	same	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
used	used	vvd	used	use	0
to	to	pc-acp	to	to	0
reply	reply	vvi	reply	reply	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
(	(	(	(	(	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
suffered	suffered	vvd	suffered	suffer	0
under	under	p-acp	under	under	0
Presbyters	Presbyters	n2	Presbyters	presbyter	0
for	for	p-acp	for	for	0
water-Baptism	water-Baptism	n1	water-Baptism	water-baptism	0
)	)	)	)	)	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
now	now	av	now	now	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
viz.	viz.	n1	viz.	viz.	0
If	If	cs	If	if	0
my	my	po11	my	my	0
opinions	opinions	n2	opinions	opinion	0
be	be	vbb	be	be	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
so	so	av	so	so	0
hate	hate	vvi	hate	hate	0
and	and	cc	and	and	0
would	would	vmd	would	will	0
persecute	persecute	vvi	persecute	persecute	0
,	,	,	,	,	0
those	those	d	those	those	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
give	give	vvi	give	give	0
you	you	pn22	you	you	0
either	either	d	either	either	0
in	in	p-acp	in	in	0
paper	paper	n1	paper	paper	0
or	or	cc	or	or	0
parchment	parchment	n1	parchment	parchment	0
,	,	,	,	,	0
and	and	cc	and	and	0
do	do	vdb	do	do	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
please	please	vvb	please	please	0
,	,	,	,	,	0
imprison	imprison	vvb	imprison	imprison	0
,	,	,	,	,	0
hang	hang	vvb	hang	hang	0
or	or	cc	or	or	0
burn	burn	vvi	burn	burn	0
them	them	pno32	them	they	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
let	let	vvb	let	let	0
my	my	po11	my	my	0
person	person	n1	person	person	0
alone	alone	av-j	alone	alone	0
▪	▪	▪	▪	▪	0
and	and	cc	and	and	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
believe	believe	vvi	believe	believe	0
you	you	pn22	you	you	0
onely	onely	av-j	only	only	0
hate	hate	vvb	hate	hate	0
my	my	po11	my	my	0
opinions	opinions	n2	opinions	opinion	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
if	if	cs	if	if	0
a	a	dt	a	a	0
Sycophant	Sycophant	n1	Sycophant	sycophant	0
,	,	,	,	,	0
or	or	cc	or	or	0
Crocodilian	Crocodilian	njp	Crocodilian	crocodilian	0
,	,	,	,	,	0
or	or	cc	or	or	0
Cameleon	Cameleon	n1	Chameleon	chameleon	0
Pharisee	Pharisee	np1	Pharisee	Pharisee	0
(	(	(	(	(	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
fault-finder	fault-finder	n1	faultfinder	faultfinder	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
sees	sees	vvz	sees	see	0
not	not	xx	not	not	0
the	the	dt	the	the	0
beam	beam	n1	beam	beam	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
own	own	d	own	own	0
eye	eye	n1	eye	eye	0
)	)	)	)	)	0
shall	shall	vmb	shall	shall	0
cast	cast	vvi	cast	cast	0
dirt	dirt	n1	dirt	dirt	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
face	face	n1	face	face	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
affliction	affliction	n1	affliction	affliction	0
the	the	dt	the	the	0
Almighty	Almighty	j-jn	Almighty	almighty	0
hath	hath	vhz	hath	have	0
suffered	suffered	vvn	suffered	suffer	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
undergo	undergo	vvi	undergo	undergo	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
let	let	vvb	let	let	0
all	all	d	all	all	0
such	such	d	such	such	0
know	know	vvb	know	know	0
(	(	(	(	(	0
that	that	cst	that	that	0
although	although	cs	although	although	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
confesse	confesse	vvi	confess	confess	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
much	much	av-d	much	much	0
gone	gone	vvn	gone	go	0
astray	astray	av	astray	astray	0
from	from	p-acp	from	from	0
truth	truth	n1	truth	truth	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
cast	cast	vvi	cast	cast	0
off	off	a-acp	off	off	0
any	any	d	any	any	0
dirt	dirt	n1	dirt	dirt	0
that	that	cst	that	that	0
envy	envy	n1	envy	envy	0
hath	hath	vhz	hath	have	0
or	or	cc	or	or	0
may	may	vmb	may	may	0
cast	cast	vvi	cast	cast	0
on	on	p-acp	on	on	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
peare	peare	n1	pear	pear	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
as	as	p-acp	as	as	0
large	large	j	large	large	0
a	a	dt	a	a	0
menstruous	menstruous	j	menstruous	menstruous	0
garment	garment	n1	garment	garment	0
(	(	(	(	(	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
own	own	d	own	own	0
righteousnesse	righteousnesse	n1	righteousness	righteousness	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
some	some	d	some	some	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
although	although	cs	although	although	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
rather	rather	av-c	rather	rather	0
glory	glory	vvb	glory	glory	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
infirmities	infirmities	n2	infirmities	infirmity	0
and	and	cc	and	and	0
sufferings	sufferings	n2	sufferings	suffering	0
for	for	p-acp	for	for	0
God	God	np1	God	God	0
,	,	,	,	,	0
—	—	—	—	—	0
in	in	p-acp	in	in	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
peace	peace	n1	peace	peace	0
(	(	(	(	(	0
though	though	cs	though	though	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
have	have	vhi	have	have	0
trouble	trouble	n1	trouble	trouble	0
)	)	)	)	)	0
and	and	cc	and	and	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	1
