FOrsomuch	FOrsomuch	av	FOrsomuch	forsomuch	0
common	common	j	common	common	0
wealths	wealths	n2	wealths	wealth	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
hinder	hinder	vvi	hinder	hinder	0
that	that	d	that	that	0
work	work	n1	work	work	0
,	,	,	,	,	0
&	&	cc	&	and	0
procure	procure	vvi	procure	procure	0
Gods	Gods	npg1	Gods	God	0
plagues	plagues	n2	plagues	plague	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
causes	causes	n2	causes	cause	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
also	also	av	also	also	0
all	all	d	all	all	0
your	your	po22	your	your	0
M.	M.	n1	M.	m.	1
Subiects	Subiects	n2-jn	Subjects	subject	0
,	,	,	,	,	0
that	that	cst	that	that	0
any	any	d	any	any	0
waies	waies	n2	ways	way	0
(	(	(	(	(	0
how	how	c-crq	how	how	0
litle	litle	j	little	little	0
soeuer	soeuer	av	soever	soever	0
)	)	)	)	)	0
haue	haue	vhb	have	have	0
addicted	addicted	vvn	addicted	addict	0
our	our	po12	our	our	0
studies	studies	n2	studies	study	0
vnto	vnto	p-acp	unto	unto	0
these	these	d	these	these	0
propheticall	propheticall	j	prophetical	prophetical	0
mysteries	mysteries	n2	mysteries	mystery	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
craue	craue	vvi	crave	crave	0
your	your	po22	your	your	0
high	high	j	high	high	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
to	to	p-acp	to	to	0
abide	abide	vvi	abide	abide	0
constant	constant	j	constant	constant	0
and	and	cc	and	and	0
couragious	couragious	j	courageous	courageous	0
against	against	p-acp	against	against	0
that	that	d	that	that	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
destruction	destruction	n1	destruction	destruction	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
Apostatik	Apostatik	jp	Apostatik	apostatik	0
seate	seate	n1	seat	seat	0
and	and	cc	and	and	0
citie	citie	n1	city	city	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
case	case	n1	case	case	0
(	(	(	(	(	0
God	God	np1	God	God	0
willing	willing	vvg	willing	will	0
)	)	)	)	)	0
it	it	pn31	it	it	0
fall	fall	vvi	fallen	fall	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
time	time	n1	time	time	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
meane	meane	j	mean	mean	0
time	time	n1	time	time	0
,	,	,	,	,	0
vn	vn	fw-it	vn	un	0
∣	∣	sy	∣	∣	0
till	till	p-acp	till	till	0
the	the	dt	the	the	0
reformation	reformation	n1	reformation	reformation	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
Idolatrous	Idolatrous	j	Idolatrous	idolatrous	0
seate	seate	n1	seat	seat	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
preparing	preparing	vvg	preparing	prepare	0
and	and	cc	and	and	0
purging	purging	vvg	purging	purge	0
your	your	po22	your	your	0
M.	M.	n1	M.	m.	0
own	own	d	own	own	0
seat	seat	n1	seat	seat	0
and	and	cc	and	and	0
kingdome	kingdome	n1	kingdom	kingdom	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
the	the	dt	the	the	0
enemies	enemies	n2	enemies	enemy	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
cause	cause	n1	cause	cause	0
:	:	:	:	:	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
others	others	n2-jn	others	other	0
any	any	d	any	any	0
waies	waies	n2	ways	way	0
enemies	enemies	n2	enemies	enemy	0
or	or	cc	or	or	0
abusers	abusers	n2	abusers	abuser	0
of	of	pp-f	of	of	0
Iustice	Iustice	n1	Justice	justice	0
:	:	:	:	:	0
for	for	p-acp	for	for	0
verely	verely	av-j	verily	very	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
trueth	trueth	n1	truth	truth	0
,	,	,	,	,	0
such	such	d	such	such	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
iniury	iniury	n1	injury	injury	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
our	our	po12	our	our	0
presēt	presēt	j	present	present	0
time	time	n1	time	time	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
both	both	d	both	both	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
M.	M.	n1	M.	m.	0
true	true	j	true	true	0
Lieges	Lieges	ng2	Lieges'	liege	0
,	,	,	,	,	0
that	that	d	that	that	0
Religion	Religion	n1	Religion	religion	0
is	is	vbz	is	be	0
despised	despised	vvn	despised	despise	0
,	,	,	,	,	0
and	and	cc	and	and	0
Iustice	Iustice	n1	Justice	justice	0
vtterly	vtterly	av-j	utterly	utter	0
neglected	neglected	vvn	neglected	neglect	0
:	:	:	:	:	0
for	for	p-acp	for	for	0
what	what	r-crq	what	what	0
by	by	p-acp	by	by	0
Atheists	Atheists	n2	Atheists	atheist	0
,	,	,	,	,	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
pists	pists	vvz	pists	pist	0
,	,	,	,	,	0
and	and	cc	and	and	0
Cold	Cold	j-jn	Cold	cold	0
professors	professors	n2	professors	professor	0
,	,	,	,	,	0
the	the	dt	the	the	0
religion	religion	n1	religion	religion	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
mocked	mocked	vvn	mocked	mock	0
in	in	p-acp	in	in	0
al	al	d	all	all	0
estates	estates	n2	estates	estate	0
:	:	:	:	:	0
Againe	Againe	av	Again	again	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
partialitie	partialitie	n1	partiality	partiality	0
,	,	,	,	,	0
prolixitie	prolixitie	n1	prolixity	prolixity	0
,	,	,	,	,	0
dearth	dearth	n1	dearth	dearth	0
,	,	,	,	,	0
and	and	cc	and	and	0
deceit	deceit	n1	deceit	deceit	0
∣	∣	sy	∣	∣	0
fulnes	fulnes	n1	fullness	fullness	0
of	of	pp-f	of	of	0
lawes	lawes	n2	laws	law	0
,	,	,	,	,	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
perishe	perishe	vvi	perish	perish	0
,	,	,	,	,	0
the	the	dt	the	the	0
proud	proud	j	proud	proud	0
triumphe	triumphe	n1	triumph	triumph	0
,	,	,	,	,	0
and	and	cc	and	and	0
Iustice	Iustice	n1	Justice	justice	0
is	is	vbz	is	be	0
nowhere	nowhere	av	nowhere	nowhere	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
.	.	.	.	.	1
Praying	Praying	vvg	Praying	pray	0
your	your	po22	your	your	0
M.	M.	n1	M.	m.	0
to	to	pc-acp	to	to	0
attend	attend	vvi	attend	attend	0
your	your	po22	your	your	0
self	self	n1	self	self	0
vnto	vnto	p-acp	unto	unto	0
these	these	d	these	these	0
enormities	enormities	n2	enormities	enormity	0
,	,	,	,	,	0
and	and	cc	and	and	0
(	(	(	(	(	0
without	without	p-acp	without	without	0
casting	casting	vvg	casting	cast	0
ouer	ouer	p-acp	over	over	0
the	the	dt	the	the	0
credite	credite	n1	credit	credit	0
thereof	thereof	av	thereof	thereof	0
to	to	pc-acp	to	to	0
wrong	wrong	vvi	wrong	wrong	0
wresters	wresters	n2	wresters	wrester	0
of	of	pp-f	of	of	0
Iustice	Iustice	n1	Justice	justice	0
)	)	)	)	)	0
your	your	po22	your	your	0
M.	M.	n1	M.	m.	0
self	self	n1	self	self	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
wit	wit	vvi	wit	wit	0
certainly	certainly	av-j	certainly	certain	0
,	,	,	,	,	0
that	that	cst	that	that	0
iustice	iustice	n1	justice	justice	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
to	to	p-acp	to	to	0
these	these	d	these	these	0
your	your	po22	your	your	0
true	true	j	true	true	0
&	&	cc	&	and	0
godly	godly	j	godly	godly	0
Lieges	Lieges	ng2	Lieges'	liege	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
enemies	enemies	n2	enemies	enemy	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
most	most	av-ds	most	most	0
cruell	cruell	j	cruel	cruel	0
oppressors	oppressors	n2	oppressors'	oppressor	0
:	:	:	:	:	0
Assuring	Assuring	vvg	Assuring	assure	0
your	your	po22	your	your	0
M.	M.	n1	M.	m.	0
be	be	vbi	be	be	0
concordance	concordance	n1	concordance	concordance	0
of	of	pp-f	of	of	0
al	al	d	all	all	0
scriptures	scriptures	n2	scriptures	scripture	0
,	,	,	,	,	0
that	that	cst	that	that	0
if	if	cs	if	if	0
your	your	po22	your	your	0
M.	M.	n1	M.	m.	0
ministrate	ministrate	n1	ministrate	ministrate	0
Iustice	Iustice	n1	Justice	justice	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
,	,	,	,	,	0
God	God	np1	God	God	0
the	the	dt	the	the	0
supreme	supreme	j	supreme	supreme	0
Iudge	Iudge	n1	Judge	judge	0
shal	shal	vmb	shall	shall	0
ministrate	ministrate	n1	ministrate	ministrate	0
Iustice	Iustice	n1	Justice	justice	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
against	against	p-acp	against	against	0
al	al	d	all	all	0
your	your	po22	your	your	0
enemies	enemies	n2	enemies	enemy	0
:	:	:	:	:	0
and	and	cc	and	and	0
contrarily	contrarily	av-jn	contrarily	contrary	0
,	,	,	,	,	0
if	if	cs	if	if	0
otherwise	otherwise	av	otherwise	otherwise	0
.	.	.	.	.	1
Therefore	Therefore	av	Therefore	therefore	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
let	let	vvb	let	let	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
your	your	po22	your	your	0
M.	M.	n1	M.	m.	0
continuall	continuall	j	continual	continual	0
study	study	n1	study	study	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
called	called	vvn	called	call	0
and	and	cc	and	and	0
charged	charged	vvn	charged	charge	0
thereunto	thereunto	av	thereunto	thereunto	0
by	by	p-acp	by	by	0
God	God	np1	God	God	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
reforme	reforme	vvi	reform	reform	0
the	the	dt	the	the	0
vniuersall	vniuersall	j	universal	universal	0
enormities	enormities	n2	enormities	enormity	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
country	country	n1	country	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
first	first	ord	first	first	0
(	(	(	(	(	0
taking	taking	vvg	taking	take	0
example	example	n1	example	example	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
princely	princely	j	princely	princely	0
Pro	Pro	np1	Pro	Pro	0
∣	∣	sy	∣	∣	0
phet	phet	n1	phet	phet	0
Dauid	Dauid	np1	Dauid	David	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
begin	begin	vvi	begin	begin	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
M.	M.	n1	M.	m.	0
owne	owne	d	own	own	0
house	house	n1	house	house	0
,	,	,	,	,	0
familie	familie	n1	family	family	0
and	and	cc	and	and	0
court	court	n1	court	court	0
,	,	,	,	,	0
and	and	cc	and	and	0
purge	purge	vvi	purge	purge	0
the	the	dt	the	the	0
same	same	d	same	same	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
suspicion	suspicion	n1	suspicion	suspicion	0
of	of	pp-f	of	of	0
Papists	Papists	njp2	Papists	papist	0
,	,	,	,	,	0
and	and	cc	and	and	0
A	A	dt	A	a	0
∣	∣	sy	∣	∣	0
theists	theists	n2	theists	theist	0
or	or	cc	or	or	0
Newtrals	Newtrals	n2	Neutrals	neutral	0
,	,	,	,	,	0
wherof	wherof	c-crq	whereof	whereof	0
this	this	d	this	this	0
Reuelation	Reuelation	n1	Revelation	revelation	0
foretelleth	foretelleth	vvz	foretelleth	foretell	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
number	number	n1	number	number	0
shall	shall	vmb	shall	shall	0
greatly	greatly	av-j	greatly	great	0
increase	increase	vvi	increase	increase	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
latter	latter	d	latter	latter	0
daies	daies	n2	days	day	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
shall	shall	vmb	shall	shall	0
any	any	d	any	any	0
Prince	Prince	n1	Prince	prince	0
be	be	vbb	be	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
destroiers	destroiers	n2	destroyers	destroyer	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
great	great	j	great	great	0
seate	seate	n1	seat	seat	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
purger	purger	n1	purger	purger	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
from	from	p-acp	from	from	0
Antichristia	Antichristia	jp	Antichristian	antichristian	0
∣	∣	sy	∣	∣	0
nisme	nisme	n1	nisme	nisme	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
purgeth	purgeth	vvz	purgeth	purge	0
not	not	xx	not	not	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
countrie	countrie	n1	country	country	0
?	?	?	?	?	0
shal	shal	vmb	shall	shall	0
he	he	pns31	he	he	0
purge	purge	vvi	purge	purge	0
his	his	po31	his	his	0
whole	whole	j-jn	whole	whole	0
country	country	n1	country	country	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
purgeth	purgeth	vvz	purgeth	purge	0
not	not	xx	not	not	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
house	house	n1	house	house	0
?	?	?	?	?	0
or	or	cc	or	or	0
shal	shal	vmb	shall	shall	0
hee	hee	pns31	he	he	0
purge	purge	vvi	purge	purge	0
his	his	po31	his	his	0
house	house	n1	house	house	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
purged	purged	vvn	purged	purge	0
himselfe	himselfe	px31	himself	himself	0
by	by	p-acp	by	by	0
priuate	priuate	j	private	private	0
medi	medi	fw-la	medi	medi	0
¦	¦	sy	¦	¦	0
tations	tations	n2	tations	tation	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
God	God	n1	God	god	0
?	?	?	?	?	1
I	I	pns11	I	i	0
say	say	vvb	say	say	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
merciful	merciful	j	merciful	merciful	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
begunne	begunne	vvn	begun	begin	0
the	the	dt	the	the	0
first	first	ord	first	first	0
degree	degree	n1	degree	degree	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
great	great	j	great	great	0
worke	worke	n1	work	work	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
in	in	n1	in	inn	0
∣	∣	sy	∣	∣	0
ward	ward	n1	ward	ward	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
purging	purging	vvg	purging	purge	0
the	the	dt	the	the	0
same	same	d	same	same	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
apparant	apparant	j	apparent	apparent	0
spot	spot	n1	spot	spot	0
of	of	pp-f	of	of	0
Antichristianisme	Antichristianisme	np1	Antichristianisme	Antichristianisme	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
fruitfull	fruitfull	j	fruitful	fruitful	0
meditation	meditation	n1	meditation	meditation	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
7.8.9	7.8.9	crd	7.8.9	7.8.9	0
.	.	.	.	.	0
and	and	cc	and	and	0
10.	10.	crd	10.	10.	0
verses	verses	n2	verses	verse	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
20.	20.	crd	20.	20.	1
Chapter	Chapter	n1	Chapter	chapter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Reuelation	Reuelation	n1	Revelation	revelation	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
highnes	highnes	n1	highness	highness	0
hath	hath	vhz	hath	have	0
both	both	d	both	both	0
godly	godly	j	godly	godly	0
&	&	cc	&	and	0
learnedly	learnedly	av-j	learnedly	learned	0
set	set	vvn	set	set	0
forth	forth	av	forth	forth	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
beare	beare	vvi	bear	bear	0
plaine	plaine	j	plain	plain	0
testimony	testimony	n1	testimony	testimony	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
M.	M.	n1	M.	m.	0
high	high	j	high	high	0
praise	praise	n1	praise	praise	0
and	and	cc	and	and	0
ho	ho	zz	ho	ho	0
∣	∣	sy	∣	∣	0
nour	nour	n1	nou_r_	nou_r_	0
:	:	:	:	:	0
So	So	av	So	so	0
also	also	av	also	also	0
wee	wee	pns12	we	we	0
beseeche	beseeche	vvb	beseech	beseech	0
your	your	po22	your	your	0
M.	M.	n1	M.	m.	0
(	(	(	(	(	0
hauing	hauing	vhg	having	have	0
consideration	consideration	n1	consideration	consideration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
treasonable	treasonable	j	treasonable	treasonable	0
practises	practises	n2	practises	practise	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
present	present	j	present	present	0
daies	daies	n2	days	day	0
,	,	,	,	,	0
attempted	attempted	vvd	attempted	attempt	0
both	both	d	both	both	0
against	against	p-acp	against	against	0
Gods	Gods	ng1	Gods	god	0
trueth	trueth	n1	truth	truth	0
,	,	,	,	,	0
your	your	po22	your	your	0
authoritie	authoritie	n1	authority	authority	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
common	common	j	common	common	0
wealth	wealth	n1	wealth	wealth	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
countrie	countrie	n1	country	country	0
,	,	,	,	,	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
proceede	proceede	vvi	proceed	proceed	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
degrees	degrees	n2	degrees	degree	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
reformation	reformation	n1	reformation	reformation	0
,	,	,	,	,	0
euen	euen	av	even	even	0
orderly	orderly	av-j	orderly	orderly	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
M.	M.	n1	M.	m.	0
owne	owne	d	own	own	0
persone	persone	n1	person	person	0
till	till	p-acp	till	till	0
your	your	po22	your	your	0
highnes	highnes	n1	highness	highness	0
familie	familie	n1	family	family	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
family	family	n1	family	family	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
court	court	n1	court	court	0
.	.	.	.	.	1
Til	Til	p-acp	Till	till	0
at	at	p-acp	at	at	0
last	last	ord	last	last	0
,	,	,	,	,	0
your	your	po22	your	your	0
M.	M.	n1	M.	m.	0
whol	whol	j-jn	whole	whole	0
country	country	n1	country	country	0
stand	stand	vvb	stand	stand	0
reformed	reformed	vvn	reformed	reform	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
feare	feare	n1	fear	fear	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
ready	ready	av-j	ready	ready	0
waiting	waiting	vvg	waiting	wait	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
great	great	j	great	great	0
day	day	n1	day	day	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
please	please	vvi	please	please	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
call	call	vvi	call	call	0
your	your	po22	your	your	0
M.	M.	n1	M.	m.	0
or	or	cc	or	or	0
yours	yours	png22	yours	you	0
after	after	p-acp	after	after	0
you	you	pn22	you	you	0
,	,	,	,	,	0
among	among	p-acp	among	among	0
other	other	n-jn	other	other	0
reformed	reformed	vvd	reformed	reform	0
Princes	Princes	n2	Princes	prince	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
that	that	cst	that	that	0
greate	greate	j	great	great	0
and	and	cc	and	and	0
vniuer	vniuer	n1	vniuer	vniuer	0
∣	∣	sy	∣	∣	0
sall	sall	vmb	shall	shall	0
