SALOMON	SALOMON	np1	SALOMON	Salomon	0
teach	teach	vvi	teach	teach	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
morning	morning	n1	morning	morning	0
our	our	po12	our	our	0
memory	memory	n1	memory	memory	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
quickest	quickest	js	quickest	quick	0
,	,	,	,	,	0
our	our	po12	our	our	0
sences	sences	n2	senses	sense	0
the	the	dt	the	the	0
readiest	readiest	js	readiest	ready	0
,	,	,	,	,	0
our	our	po12	our	our	0
natural	natural	j	natural	natural	0
powers	powers	n2	powers	power	0
the	the	dt	the	the	0
ablest	ablest	js	ablest	able	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
reuiued	reuiued	vvd	revived	revive	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
&	&	cc	&	and	0
hauing	hauing	vhg	having	have	0
recouered	recouered	vvn	recovered	recover	0
fresh	fresh	j	fresh	fresh	0
strength	strength	n1	strength	strength	0
&	&	cc	&	and	0
liber	liber	fw-la	liber	libre	0
∣	∣	sy	∣	∣	0
ty	ty	vvi	ty	tie	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
sweet	sweet	j	sweet	sweet	0
sleepe	sleepe	n1	sleep	sleep	0
,	,	,	,	,	0
and	and	cc	and	and	0
comfortable	comfortable	j	comfortable	comfortable	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
reposed	reposed	vvn	reposed	repose	0
the	the	dt	the	the	0
night	night	n1	night	night	0
past	past	j	past	past	0
.	.	.	.	.	1
And	And	cc	And	and	0
therfore	therfore	av	therefore	therefore	0
the	the	dt	the	the	0
Student	Student	n1	Student	student	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
study	study	n1	study	study	0
,	,	,	,	,	0
the	the	dt	the	the	0
traueller	traueller	n1	traveller	traveller	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
iour	iour	fw-fr	iour	iour	0
∣	∣	sy	∣	∣	0
ney	ney	zz	ney	ney	0
,	,	,	,	,	0
the	the	dt	the	the	0
labourer	labourer	n1	labourer	labourer	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
and	and	cc	and	and	0
euery	euery	d	every	every	0
man	man	n1	man	man	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
place	place	n1	place	place	0
and	and	cc	and	and	0
calling	calling	n1	calling	calling	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
proiects	proiects	n2	projects	project	0
as	as	c-acp	as	as	0
hee	hee	pns31	he	he	0
hath	hath	vhz	hath	have	0
,	,	,	,	,	0
chuseth	chuseth	vvz	chooseth	choose	0
the	the	dt	the	the	0
morning	morning	n1	morning	morning	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
fittest	fittest	js	fittest	fit	0
time	time	n1	time	time	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
to	to	pc-acp	to	to	0
beginne	beginne	vvi	begin	begin	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
to	to	p-acp	to	to	0
further	further	jc	further	further	0
their	their	po32	their	their	0
enter	enter	n1	enter	enter	0
∣	∣	sy	∣	∣	0
prises	prises	n2	prizes	prize	0
.	.	.	.	.	1
If	If	cs	If	if	0
therefore	therefore	av	therefore	therefore	0
in	in	p-acp	in	in	0
things	things	n2	things	thing	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
agreeable	agreeable	j	agreeable	agreeable	0
to	to	p-acp	to	to	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
vse	vse	vvb	use	use	0
the	the	dt	the	the	0
morning	morning	n1	morning	morning	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
an	an	dt	and	a	0
helpe	helpe	n1	help	help	0
to	to	p-acp	to	to	0
further	further	jc	further	further	0
vs	vs	pno12	us	we	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
actions	actions	n2	actions	action	0
,	,	,	,	,	0
much	much	av-d	much	much	0
more	more	av-dc	more	more	0
should	should	vmd	should	shall	0
wee	wee	pns12	we	we	0
make	make	vvi	make	make	0
choyce	choyce	n1	choice	choice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
morning	morning	n1	morning	morning	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
those	those	d	those	those	0
things	things	n2	things	thing	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
lesse	lesse	av-dc	less	less	0
agreeable	agreeable	j	agreeable	agreeable	0
to	to	p-acp	to	to	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
or	or	cc	or	or	0
rather	rather	av-c	rather	rather	0
contrary	contrary	vvi	contrary	contrary	0
to	to	p-acp	to	to	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
deed	deed	n1	deed	deed	0
,	,	,	,	,	0
aboue	aboue	p-acp	above	above	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
kind	kind	n1	kind	kind	0
is	is	vbz	is	be	0
praier	praier	n1	prayer	prayer	0
,	,	,	,	,	0
&	&	cc	&	and	0
hearing	hearing	vvg	hearing	hear	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
:	:	:	:	:	0
for	for	p-acp	for	for	0
nature	nature	n1	nature	nature	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
stirre	stirre	vvi	stir	stir	0
vs	vs	pno12	us	we	0
vp	vp	a-acp	up	up	0
to	to	p-acp	to	to	0
prayer	prayer	n1	prayer	prayer	0
,	,	,	,	,	0
neyther	neyther	av-dx	neither	neither	0
doth	doth	vdz	does	do	0
nature	nature	n1	nature	nature	0
waken	waken	vvi	waken	waken	0
vs	vs	pno12	us	we	0
early	early	av-j	early	early	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
morning	morning	n1	morning	morning	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
Prayer	Prayer	n1	Prayer	prayer	0
,	,	,	,	,	0
and	and	cc	and	and	0
hearing	hearing	vvg	hearing	hear	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
word	word	n1	word	word	0
,	,	,	,	,	0
go	go	vvb	go	go	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
streame	streame	n1	stream	stream	0
:	:	:	:	:	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
very	very	av	very	very	0
necessary	necessary	j	necessary	necessary	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
first	first	ord	first	first	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
comes	comes	vvz	comes	come	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
eyes	eyes	n2	eyes	eye	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
morning	morning	n1	morning	morning	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
Temple	Temple	n1	Temple	temple	0
,	,	,	,	,	0
the	the	dt	the	the	0
first	first	ord	first	first	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
comes	comes	vvz	comes	come	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
eares	eares	n2	ears	ear	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
first	first	ord	first	first	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
comes	comes	vvz	comes	come	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
prayer	prayer	n1	prayer	prayer	0
and	and	cc	and	and	0
thankesgiuing	thankesgiuing	n1	thanksgiving	thanksgiving	0
,	,	,	,	,	0
that	that	cst	that	that	0
so	so	av	so	so	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
walke	walke	vvi	walk	walk	0
with	with	p-acp	with	with	0
Eliah	Eliah	np1	Eliah	Eliah	0
,	,	,	,	,	0
al	al	d	all	all	0
the	the	dt	the	the	0
day	day	n1	day	day	0
after	after	a-acp	after	after	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
strength	strength	n1	strength	strength	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
things	things	n2	things	thing	0
which	which	r-crq	which	which	0
wee	wee	pns12	we	we	0
haue	haue	vhb	have	have	0
heard	heard	vvn	herd	hear	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
:	:	:	:	:	0
and	and	cc	and	and	0
so	so	av	so	so	0
wee	wee	pns12	we	we	0
shall	shall	vmb	shall	shall	0
vse	vse	vvi	use	use	0
our	our	po12	our	our	0
callings	callings	n2	callings	calling	0
more	more	av-dc	more	more	0
care	care	n1	care	care	0
∣	∣	sy	∣	∣	0
fully	fully	av-j	fully	full	0
&	&	cc	&	and	0
conscionably	conscionably	av-j	constionably	constionable	0
,	,	,	,	,	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
directed	directed	vvn	directed	direct	0
what	what	r-crq	what	what	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
to	to	pc-acp	to	to	0
leaue	leaue	vvi	leave	leave	0
vndone	vndone	vvn	undone	undo	0
,	,	,	,	,	0
and	and	cc	and	and	0
whatsoeuer	whatsoeuer	r-crq	whatsoever	whatsoever	0
we	we	pns12	we	we	0
doe	doe	vdb	do	do	0
,	,	,	,	,	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
do	do	vdi	do	do	0
all	all	d	all	all	0
things	things	n2	things	thing	0
the	the	dt	the	the	0
bet	bet	n1	bet	bet	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
to	to	p-acp	to	to	0
Gods	Gods	npg1	Gods	God	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
posses	posses	n2	poss	posse	0
∣	∣	sy	∣	∣	0
sing	sing	vvb	sing	sing	0
of	of	a-acp	of	off	0
our	our	po12	our	our	0
owne	owne	d	own	own	0
soules	soules	n2	souls	soul	0
continu	continu	vvb	continue	continue	0
∣	∣	sy	∣	∣	0
ally	ally	n1	alley	ally	0
in	in	p-acp	in	in	0
peace	peace	n1	peace	peace	0
and	and	cc	and	and	0
patience	patience	n1	patience	patience	0
.	.	.	.	.	1
And	And	cc	And	and	0
truly	truly	av-j	truly	true	0
,	,	,	,	,	0
if	if	cs	if	if	0
wee	wee	pns12	we	we	0
consider	consider	vvb	consider	consider	0
the	the	dt	the	the	0
practise	practise	n1	practice	practice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
shall	shall	vmb	shall	shall	0
find	find	vvi	find	find	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
obserued	obserued	vvn	observed	observe	0
the	the	dt	the	the	0
morning	morning	n1	morning	morning	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
fittest	fittest	js	fittest	fit	0
time	time	n1	time	time	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
exercises	exercises	n2	exercises	exercise	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
piety	piety	n1	piety	piety	0
&	&	cc	&	and	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
uotion	uotion	n1	uotion	uotion	0
.	.	.	.	.	1
Gen.	Gen.	np1	Gen.	Gen.	0
22.3	22.3	crd	22.3	22.3	0
Psal.	Psal.	np1	Psal.	Psal.	0
119	119	crd	119	119	0
147	147	crd	147	147	0
,	,	,	,	,	0
148.	148.	crd	148.	148.	0
1.	1.	crd	1.	1.	1
Sam.	Sam.	np1	Sam.	Sam	0
1.19	1.19	crd	1.19	1.19	0
.	.	.	.	.	1
Abraham	Abraham	np1	Abraham	Abraham	0
rose	rose	vvd	rose	rise	0
very	very	av	very	very	0
early	early	av-j	early	early	0
to	to	pc-acp	to	to	0
sacrifice	sacrifice	vvi	sacrifice	sacrifice	0
his	his	po31	his	his	0
sonne	sonne	n1	son	son	0
.	.	.	.	.	1
Dauid	Dauid	np1	Dauid	David	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
uented	uented	vvd	vented	vent	0
the	the	dt	the	the	0
morning	morning	n1	morning	morning	0
light	light	n1	light	light	0
,	,	,	,	,	0
&	&	cc	&	and	0
cry	cry	vvb	cry	cry	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
:	:	:	:	:	0
his	his	png31	his	he	0
eyes	eyes	n2	eyes	eye	0
also	also	av	also	also	0
preuented	preuented	vvn	prevented	prevent	0
the	the	dt	the	the	0
night	night	n1	night	night	0
watches	watches	vvz	watches	watch	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
meditate	meditate	vvi	meditate	meditate	0
in	in	p-acp	in	in	0
Gods	Gods	ng1	Gods	god	0
word	word	n1	word	word	0
.	.	.	.	.	1
Elkanah	Elkanah	np1	Elkanah	Elkanah	0
and	and	cc	and	and	0
his	his	po31	his	his	0
hous	hous	n1	house	house	0
∣	∣	sy	∣	∣	0
hold	hold	vvb	hold	hold	0
arose	arose	vvd	arose	arise	0
vp	vp	a-acp	up	up	0
early	early	av-j	early	early	0
,	,	,	,	,	0
and	and	cc	and	and	0
worship	worship	vvb	worship	worship	0
∣	∣	sy	∣	∣	0
ped	ped	n1	ped	bed	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
in	in	p-acp	in	in	0
Shiloh	Shiloh	np1	Shiloh	Shiloh	0
.	.	.	.	.	1
Esay	Esay	np1	Esay	Easie	0
56.9	56.9	crd	56.9	56.9	0
.	.	.	.	.	1
And	And	cc	And	and	0
the	the	dt	the	the	0
Prophet	Prophet	n1	Prophet	prophet	0
Esay	Esay	np1	Esay	Easie	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
son	son	n1	son	son	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
faithfull	faithfull	j	faithful	faithful	0
,	,	,	,	,	0
saying	saying	vvg	saying	say	0
,	,	,	,	,	0
With	With	p-acp	With	with	0
my	my	po11	my	my	0
spirit	spirit	n1	spirit	spirit	0
within	within	p-acp	within	within	0
me	me	pno11	me	i	0
will	will	vmb	will	will	0
I	I	pns11	I	i	0
seeke	seeke	vvi	seek	seek	0
thee	thee	pno21	thee	thou	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
morning	morning	n1	morning	morning	0
.	.	.	.	.	1
Mary	Mary	np1	Mary	Mary	0
Magdalene	Magdalene	np1	Magdalene	Magdalene	0
came	came	vvd	came	come	0
to	to	pc-acp	to	to	0
visit	visit	vvi	visit	visit	0
the	the	dt	the	the	0
sepulchre	sepulchre	n1	sepulchre	sepulchre	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Sauiour	Sauiour	n1	Saviour	saviour	0
Christ	Christ	np1	Christ	Christ	0
very	very	av	very	very	0
early	early	av-j	early	early	0
,	,	,	,	,	0
while	while	cs	while	while	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
yet	yet	av	yet	yet	0
darke	darke	j	dark	dark	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
hath	hath	vhz	hath	have	0
bin	bin	vbn	been	be	0
the	the	dt	the	the	0
time	time	n1	time	time	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
haue	haue	vhb	have	have	0
chiefly	chiefly	av-jn	chiefly	chief	0
chosen	chosen	vvn	chosen	choose	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
practise	practise	n1	practice	practice	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
piety	piety	n1	piety	piety	0
&	&	cc	&	and	0
deuotion	deuotion	n1	devotion	devotion	0
:	:	:	:	:	0
so	so	av	so	so	0
wee	wee	pns12	we	we	0
read	read	vvb	read	read	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
powred	powred	vvn	poured	pour	0
his	his	po31	his	his	0
blessings	blessings	n2	blessings	blessing	0
vpō	vpō	p-acp	upon	upon	0
men	men	n2	men	man	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
vsually	vsually	av-j	usually	usual	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
time	time	n1	time	time	0
than	than	cs	than	than	0
at	at	p-acp	at	at	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
day	day	n1	day	day	0
.	.	.	.	.	1
Manna	Manna	n1	Manna	manna	0
,	,	,	,	,	0
that	that	cst	that	that	0
heauenly	heauenly	j	heavenly	heavenly	0
food	food	n1	food	food	0
,	,	,	,	,	0
Exod.	Exod.	np1	Exod.	Exod.	0
16	16	crd	16	16	0
13.	13.	crd	13.	13.	0
2.	2.	crd	2.	2.	1
Kings	Kings	np1	Kings	Kings	0
3.20	3.20	crd	3.20	3.20	0
.	.	.	.	.	0
was	was	vbds	was	be	0
by	by	a-acp	by	by	0
God	God	np1	God	God	0
giuen	giuen	vvn	given	give	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
children	children	n2	children	child	0
of	of	pp-f	of	of	0
Israel	Israel	np1	Israel	Israel	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
morning	morning	n1	morning	morning	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
the	the	dt	the	the	0
three	three	crd	three	three	0
kings	kings	n2	kings	king	0
of	of	pp-f	of	of	0
Israel	Israel	np1	Israel	Israel	0
,	,	,	,	,	0
Iudah	Iudah	np1	Iudah	Judah	0
,	,	,	,	,	0
and	and	cc	and	and	0
Edom	Edom	np1	Edom	Edom	0
made	made	vvd	made	make	0
warre	warre	n1	war	war	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Moab	Moab	np1	Moab	Moab	0
,	,	,	,	,	0
and	and	cc	and	and	0
were	were	vbdr	were	be	0
greatly	greatly	av-j	greatly	great	0
distres	distres	n1	distres	distress	0
∣	∣	sy	∣	∣	0
sed	sed	zz	sed	sed	0
for	for	p-acp	for	for	0
water	water	n1	water	water	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
much	much	av-d	much	much	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Israel	Israel	np1	Israel	Israel	0
cryed	cryed	vvd	cried	cry	0
out	out	av	out	out	0
for	for	p-acp	for	for	0
feare	feare	n1	fear	fear	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
present	present	j	present	present	0
danger	danger	n1	danger	danger	0
,	,	,	,	,	0
it	it	pn31	it	it	0
pleased	pleased	vvd	pleased	please	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
morning	morning	n1	morning	morning	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
meate	meate	n1	meat	meat	0
offering	offering	vvg	offering	offer	0
was	was	vbds	was	be	0
offered	offered	vvn	offered	offer	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
the	the	dt	the	the	0
three	three	crd	three	three	0
kings	kings	ng1	kings	king	0
plenty	plenty	n1	plenty	plenty	0
of	of	pp-f	of	of	0
wa	wa	zz	wa	wa	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
,	,	,	,	,	0
both	both	d	both	both	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
army	army	n1	army	army	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
their	their	po32	their	their	0
cattel	cattel	n2	cattle	cattle	0
.	.	.	.	.	1
Acts	Acts	np1	Acts	Acts	0
2.15	2.15	crd	2.15	2.15	0
.	.	.	.	.	1
The	The	dt	The	the	0
holy	holy	j	holy	holy	0
Ghost	Ghost	n1	Ghost	ghost	0
came	came	vvd	came	come	0
downe	downe	a-acp	down	down	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Apostles	Apostles	n2	Apostles	apostle	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
morning	morning	n1	morning	morning	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
third	third	ord	third	three	0
houre	houre	n1	hour	hour	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
between	between	p-acp	between	between	0
7.	7.	crd	7.	7.	0
and	and	cc	and	and	0
8.	8.	crd	8.	8.	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
clocke	clocke	n1	clock	clock	0
:	:	:	:	:	0
so	so	av	so	so	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
truly	truly	av-j	truly	true	0
gathered	gathered	vvn	gathered	gather	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
fore	fore	c-acp	before	fore	0
that	that	cst	that	that	0
houre	houre	n1	hour	hour	0
exercised	exercised	vvn	exercised	exercise	0
in	in	p-acp	in	in	0
hea	hea	zz	hea	hea	0
∣	∣	sy	∣	∣	0
ring	ring	n1	ring	ring	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
&	&	cc	&	and	0
prayer	prayer	n1	prayer	prayer	0
.	.	.	.	.	1
Vpon	Vpon	p-acp	Upon	upon	0
which	which	r-crq	which	which	0
grounds	grounds	n2	grounds	ground	0
,	,	,	,	,	0
you	you	pn22	you	you	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Parish	Parish	n1	Parish	parish	0
of	of	pp-f	of	of	0
S.	S.	np1	S.	S.	0
Antholins	Antholins	np1	Antholins	Antholins	0
in	in	p-acp	in	in	0
London	London	np1	London	London	0
,	,	,	,	,	0
&	&	cc	&	and	0
you	you	pn22	you	you	0
yt	yt	pn31	that	it	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
hearers	hearers	n2	hearers	hearer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
morning	morning	n1	morning	morning	0
Lectures	Lectures	n2	Lectures	lecture	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
are	are	vbr	are	be	0
worthily	worthily	av-j	worthily	worthy	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
cōmended	cōmended	vvn	commended	commend	0
:	:	:	:	:	0
the	the	dt	the	the	0
one	one	pi	one	one	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
founded	founded	vvn	founded	found	0
a	a	dt	a	a	0
Le	Le	fw-fr	Le	le	0
∣	∣	sy	∣	∣	0
cture	cture	n1	cture	cture	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
