DO	DO	vdb	DO	do	0
world	world	n1	world	world	0
,	,	,	,	,	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
that	that	cst	that	that	0
express	express	j	express	express	0
prohibi	prohibi	fw-la	prohibi	prohibi	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
,	,	,	,	,	0
Rom.	Rom.	np1	Rom.	Rom.	1
12.	12.	crd	12.	12.	0
2.	2.	crd	2.	2.	1
Be	Be	vbb	Be	be	0
not	not	xx	not	not	0
con	con	fw-mi	con	con	0
∣	∣	sy	∣	∣	0
formed	formed	vvn	formed	form	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
world	world	n1	world	world	0
;	;	;	;	;	0
and	and	cc	and	and	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
cause	cause	vvi	cause	cause	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
so	so	av	so	so	0
much	much	d	much	much	0
fellow	fellow	n1	fellow	fellow	0
∣	∣	sy	∣	∣	0
ship	ship	n1	ship	ship	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
unfruitful	unfruitful	j	unfruitful	unfruitful	0
works	works	n2	works	work	0
of	of	pp-f	of	of	0
darkness	darkness	n1	darkness	darkness	0
;	;	;	;	;	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
word	word	n1	word	word	0
,	,	,	,	,	0
Eph.	Eph.	np1	Eph.	Eph.	1
5.	5.	crd	5.	5.	0
11.	11.	crd	11.	11.	1
Why	Why	q-crq	Why	why	0
are	are	vbr	are	be	0
ye	ye	pn22	you	you	0
not	not	xx	not	not	0
rather	rather	av-c	rather	rather	0
Reprovers	Reprovers	n2	Reprovers	reprover	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
condemners	condemners	n1	condemners	condemners	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Noah	Noah	np1	Noah	Noah	0
was	was	vbds	was	be	0
,	,	,	,	,	0
Heb.	Heb.	np1	Heb.	Heb.	1
11.	11.	crd	11.	11.	0
7.	7.	crd	7.	7.	1
By	By	p-acp	By	by	0
your	your	po22	your	your	0
walking	walking	n-vvg	walking	walk	0
as	as	p-acp	as	as	0
Christ	Christ	np1	Christ	Christ	0
walked	walked	vvd	walked	walk	0
,	,	,	,	,	0
1	1	crd	1	1	0
John	John	np1	John	John	0
2.	2.	crd	2.	2.	0
6.	6.	crd	6.	6.	0
and	and	cc	and	and	0
according	according	vvg	according	accord	0
to	to	pc-acp	to	to	0
Rule	Rule	vvi	Rule	rule	0
?	?	?	?	?	1
Gal.	Gal.	np1	Gal.	Gal.	0
6.	6.	crd	6.	6.	0
16.	16.	crd	16.	16.	1
Why	Why	q-crq	Why	why	0
do	do	vdb	do	do	0
you	you	pn22	you	you	0
not	not	xx	not	not	0
rather	rather	av-c	rather	rather	0
suffer	suffer	vvi	suffer	suffer	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
derided	derided	vvn	derided	deride	0
and	and	cc	and	and	0
despised	despised	vvn	despised	despise	0
?	?	?	?	?	1
Know	Know	vvb	Know	know	0
you	you	pn22	you	you	0
not	not	xx	not	not	0
that	that	d	that	that	0
the	the	dt	the	the	0
world	world	n1	world	world	0
you	you	pn22	you	you	0
conform	conform	vvb	conform	conform	0
to	to	p-acp	to	to	0
lies	lies	n2	lies	lie	0
in	in	p-acp	in	in	0
wicked	wicked	j	wicked	wicked	0
∣	∣	sy	∣	∣	0
ness	ness	n1	ness	ness	0
?	?	?	?	?	1
1	1	crd	1	1	0
John	John	np1	John	John	0
5.	5.	crd	5.	5.	0
19.	19.	crd	19.	19	1
And	And	cc	And	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
unrighteous	unrighteous	j	unrighteous	unrighteous	0
world	world	n1	world	world	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
inherit	inherit	vvi	inherit	inherit	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
?	?	?	?	?	1
1	1	crd	1	1	0
Cor.	Cor.	np1	Cor.	Cor.	1
6.	6.	crd	6.	6.	0
9.	9.	crd	9.	9	0
you	you	pn22	you	you	0
know	know	vvb	know	know	0
it	it	pn31	it	it	0
.	.	.	.	.	1
And	And	cc	And	and	0
you	you	pn22	you	you	0
know	know	vvb	know	know	0
also	also	av	also	also	0
that	that	d	that	that	0
Eyes	Eyes	n2	Eyes	eye	0
are	are	vbr	are	be	0
up	up	a-acp	up	up	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
you	you	pn22	you	you	0
,	,	,	,	,	0
observers	observers	n2	observers	observer	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
many	many	d	many	many	0
,	,	,	,	,	0
God	God	np1	God	God	0
,	,	,	,	,	0
Angels	Angels	n2	Angels	angel	0
,	,	,	,	,	0
and	and	cc	and	and	0
Men	Men	n2	Men	man	0
;	;	;	;	;	0
you	you	pn22	you	you	0
had	had	vhd	had	have	0
need	need	n1	need	need	0
look	look	vvi	look	look	0
well	well	av	well	well	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
wayes	wayes	n2	ways	way	0
:	:	:	:	:	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
Rule	Rule	n1	Rule	rule	0
to	to	pc-acp	to	to	0
talk	talk	vvi	talk	talk	0
and	and	cc	and	and	0
walk	walk	vvi	walk	walk	0
by	by	p-acp	by	by	0
.	.	.	.	.	1
'Tis	'Tis	pn31|vbz	It's	it|be	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
we	we	pns12	we	we	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
Heathen	Heathen	j-jn	Heathen	heathen	0
,	,	,	,	,	0
Ezek.	Ezek.	np1	Ezek.	Ezek.	1
20.	20.	crd	20.	20.	0
32.	32.	crd	32.	32.	0
we	we	pns12	we	we	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
as	as	p-acp	as	as	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
Eph.	Eph.	np1	Eph.	Eph.	1
4.	4.	crd	4.	4.	0
17.	17.	crd	17.	17.	1
Which	Which	r-crq	Which	which	0
forbids	forbids	vvz	forbids	forbid	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
walk	walk	vvi	walk	walk	0
as	as	p-acp	as	as	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
vani	vani	fw-la	vani	vani	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
minds	minds	n2	minds	mind	0
:	:	:	:	:	0
Remember	Remember	vvb	Remember	remember	0
the	the	dt	the	the	0
words	words	n2	words	word	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Dis	Dis	zf	Dis	this	0
∣	∣	sy	∣	∣	0
ciples	ciples	n2	ciples	ciple	0
,	,	,	,	,	0
Luke	Luke	av	Lycia	luke	0
22.	22.	crd	22.	22.	0
26.	26.	crd	26.	26.	0
ye	ye	pn22	you	you	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
so	so	av	so	so	0
:	:	:	:	:	0
You	You	pn22	You	you	0
must	must	vmb	must	must	0
walk	walk	vvi	walk	walk	0
as	as	p-acp	as	as	0
Christ	Christ	np1	Christ	Christ	0
walked	walked	vvd	walked	walk	0
He	He	pns31	He	he	0
has	has	vhz	has	have	0
left	left	vvn	left	leave	0
you	you	pn22	you	you	0
an	an	dt	and	a	0
example	example	n1	example	example	0
,	,	,	,	,	0
1	1	crd	1	1	0
Pet.	Pet.	np1	Pet.	Pet.	1
2.	2.	crd	2.	2.	0
21.	21.	crd	21.	21.	1
If	If	cs	If	if	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
walk	walk	vvi	walk	walk	0
as	as	p-acp	as	as	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
by	by	p-acp	by	by	0
so	so	av	so	so	0
doing	doing	vdg	doing	do	0
give	give	vvb	give	give	0
great	great	j	great	great	0
occasi	occasi	n1	occasi	occasi	0
∣	∣	sy	∣	∣	0
on	on	zz	on	on	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
enemies	enemies	n2	enemies	enemy	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
Blaspheme	Blaspheme	vvi	Blaspheme	blaspheme	0
,	,	,	,	,	0
2	2	crd	2	2	0
Sam.	Sam.	np1	Sam.	Sam	1
12.	12.	crd	12.	12.	0
14.	14.	crd	14.	14.	1
And	And	cc	And	and	0
be	be	vbb	be	be	0
stumbling	stumbling	j-vvg	stumbling	stumble	0
blocks	blocks	n2	blocks	block	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
:	:	:	:	:	0
and	and	cc	and	and	0
if	if	cs	if	if	0
offences	offences	n2	offences	offence	0
come	come	vvb	come	come	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
woe	woe	n1	woe	woe	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
Matth.	Matth.	np1	Matth.	Matth.	1
18.	18.	crd	18.	18.	0
7.	7.	crd	7.	7.	1
Remember	Remember	np1	Remember	Remember	0
Da	Da	n1	Dam	dam	0
∣	∣	sy	∣	∣	0
vid	vid	fw-fr	vid	vid	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
God	God	np1	God	God	0
told	told	vvd	told	tell	0
him	him	pno31	him	he	0
,	,	,	,	,	0
The	The	dt	The	the	0
child	child	n1	child	child	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
born	born	vvn	born	bear	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
shall	shall	vmb	shall	shall	0
surely	surely	av-j	surely	sure	0
dye	dye	vvi	die	dye	0
;	;	;	;	;	0
verily	verily	av-j	verily	very	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
blasphemed	blasphemed	vvn	blasphemed	blaspheme	0
a	a	av	a	a	0
∣	∣	sy	∣	∣	0
mong	mong	p-acp	mong	among	0
the	the	dt	the	the	0
prophane	prophane	j	profane	profane	0
through	through	p-acp	through	through	0
you	you	pn22	you	you	0
;	;	;	;	;	0
Rom.	Rom.	np1	Rom.	Rom.	1
2.	2.	crd	2.	2.	0
24.	24.	crd	24.	24.	1
You	You	pn22	You	you	0
should	should	vmd	should	shall	0
adorn	adorn	vvi	adorn	adorn	0
the	the	dt	the	the	0
doctrine	doctrine	n1	doctrine	doctrine	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
our	our	po12	our	our	0
Savi	Savi	fw-la	Savi	savi	0
∣	∣	sy	∣	∣	0
our	our	po12	our	our	0
in	in	n1	in	inn	0
all	all	d	all	all	0
things	things	n2	things	thing	0
;	;	;	;	;	0
mark	mark	vvb	mark	mark	0
In	In	p-acp	In	in	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
Tit.	Tit.	np1	Tit.	Tit.	1
2.	2.	crd	2.	2.	0
10.	10.	crd	10.	10.	0
and	and	cc	and	and	0
be	be	vbb	be	be	0
very	very	av	very	very	0
tender	tender	j	tender	tender	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
and	and	cc	and	and	0
his	his	po31	his	his	0
doctrine	doctrine	n1	doctrine	doctrine	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
blas	blas	fw-es	blas	blas	0
∣	∣	sy	∣	∣	0
phemed	phemed	vvn	phemed	pheme	0
through	through	p-acp	through	through	0
you	you	pn22	you	you	0
,	,	,	,	,	0
1	1	crd	1	1	0
Tim.	Tim.	np1	Tim.	Tim.	1
6.	6.	crd	6.	6.	0
.	.	.	.	.	1
If	If	cs	If	if	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
,	,	,	,	,	0
be	be	vbb	be	be	0
sure	sure	j	sure	sure	0
God	God	np1	God	God	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
as	as	a-acp	as	as	0
good	good	j	good	good	0
as	as	c-acp	as	as	0
his	his	po31	his	his	0
word	word	n1	word	word	0
,	,	,	,	,	0
Amos	Amos	np1	Amos	Amos	0
3.	3.	crd	3.	3.	0
2.	2.	crd	2.	2.	1
You	You	pn22	You	you	0
only	only	av-j	only	only	0
have	have	vhb	have	have	0
I	I	pns11	I	i	0
known	known	vvn	known	know	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	av	before	fore	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
punish	punish	vvi	punish	punish	0
you	you	pn22	you	you	0
Christ	Christ	np1	Christ	Christ	0
has	has	vhz	has	have	0
somewhat	somewhat	av	somewhat	somewhat	0
against	against	p-acp	against	against	0
you	you	pn22	you	you	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
ready	ready	j	ready	ready	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
left	left	vvn	left	leave	0
your	your	po22	your	your	0
first	first	ord	first	first	0
love	love	n1	love	love	0
.	.	.	.	.	1
Remember	Remember	np1	Remember	Remember	0
therefore	therefore	av	therefore	therefore	0
from	from	p-acp	from	from	0
whence	whence	c-crq	whence	whence	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
fallen	fallen	vvn	fallen	fall	0
,	,	,	,	,	0
and	and	cc	and	and	0
repent	repent	vvi	repent	repent	0
,	,	,	,	,	0
and	and	cc	and	and	0
do	do	vdb	do	do	0
your	your	po22	your	your	0
first	first	ord	first	first	0
works	works	n2	works	work	0
,	,	,	,	,	0
or	or	cc	or	or	0
else	else	av	else	else	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
come	come	vvi	come	come	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
quickly	quickly	av-j	quickly	quick	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
remove	remove	vvi	remove	remove	0
your	your	po22	your	your	0
candlestick	candlestick	n1	candlestick	candlestick	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
its	its	po31	its	its	0
place	place	n1	place	place	0
,	,	,	,	,	0
except	except	c-acp	except	except	0
you	you	pn22	you	you	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
pent	pent	vvn	penned	pen	0
,	,	,	,	,	0
Rev.	Rev.	n1	Rev.	rev.	1
2.	2.	crd	2.	2.	0
4	4	crd	4	4	0
,	,	,	,	,	1
5.	5.	crd	5.	5.	1
Would	Would	vmd	Would	will	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
say	say	vvi	say	say	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
follows	follows	vvz	follows	follow	0
,	,	,	,	,	0
vers	vers	fw-la	vers	vers	0
.	.	.	.	.	1
6.	6.	crd	6.	6.	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
little	little	j	little	little	0
alteration	alteration	n1	alteration	alteration	0
,	,	,	,	,	0
But	But	cc-acp	But	but	0
this	this	d	this	this	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
hate	hate	vvb	hate	hate	0
conformity	conformity	n1	conformity	conformity	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
which	which	r-crq	which	which	0
Christ	Christ	np1	Christ	Christ	0
also	also	av	also	also	0
hateth	hateth	vvz	hates	hate	0
.	.	.	.	.	1
Brethren	Brethren	n1	Brothers	brethren	0
,	,	,	,	,	0
be	be	vbb	be	be	0
ye	ye	pn22	you	you	0
followers	followers	n2	followers	follower	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
mark	mark	vvb	mark	mark	0
them	them	pno32	them	they	0
which	which	r-crq	which	which	0
walk	walk	vvb	walk	walk	0
so	so	av	so	so	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
ye	ye	pn22	you	you	0
have	have	vhb	have	have	0
Christ	Christ	np1	Christ	Christ	0
for	for	p-acp	for	for	0
an	an	dt	and	a	0
ensample	ensample	n1	ensample	ensample	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
many	many	d	many	many	0
walk	walk	n1	walk	walk	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
told	told	vvn	told	tell	0
you	you	pn22	you	you	0
often	often	av	often	often	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
tell	tell	vvb	tell	tell	0
you	you	pn22	you	you	0
even	even	av	even	even	0
weeping	weeping	vvg	weeping	weep	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
enemies	enemies	n2	enemies	enemy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
cross	cross	n1	cross	cross	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
:	:	:	:	:	0
Whose	Whose	rg-crq	Whose	who	0
end	end	n1	end	end	0
is	is	vbz	is	be	0
destruction	destruction	n1	destruction	destruction	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
God	God	n1	God	god	0
is	is	vbz	is	be	0
their	their	po32	their	their	0
back	back	n1	back	back	0
and	and	cc	and	and	0
belly	belly	n1	belly	belly	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
glory	glory	n1	glory	glory	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
shame	shame	n1	shame	shame	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
mind	mind	n1	mind	mind	0
earthly	earthly	j	earthly	earthly	0
things	things	n2	things	thing	0
,	,	,	,	,	0
Phil.	Phil.	np1	Phil.	Phil.	1
3.	3.	crd	3.	3.	0
17	17	crd	17	17	0
,	,	,	,	,	1
18	18	crd	18	18	0
,	,	,	,	,	0
19.	19.	crd	19.	19	1
But	But	cc-acp	But	but	0
let	let	vvb	let	let	0
your	your	po22	your	your	0
con	con	fw-mi	con	con	0
∣	∣	sy	∣	∣	0
versation	versation	n1	versation	versation	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
Heaven	Heaven	n1	Heaven	heaven	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
was	was	vbds	was	be	0
Pauls	Pauls	np1	Pauls	Pauls	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
at	at	p-acp	at	at	0
Phil	Phil	np1	Phil	Phil	0
∣	∣	sy	∣	∣	0
lippi	lippi	fw-la	lippi	lippi	0
,	,	,	,	,	0
Phil.	Phil.	np1	Phil.	Phil.	1
3.	3.	crd	3.	3.	0
20.	20.	crd	20.	20.	1
Seek	Seek	vvb	Seek	seek	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
above	above	a-acp	above	above	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
Christ	Christ	np1	Christ	Christ	0
sitteth	sitteth	vvz	sitteth	sit	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
hand	hand	n1	hand	hand	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
Set	Set	j-vvn	Set	set	0
your	your	po22	your	your	0
af	af	pp-f	of	of	0
∣	∣	sy	∣	∣	0
fections	fections	n2	fections	fection	0
on	on	p-acp	on	on	0
things	things	n2	things	thing	0
above	above	a-acp	above	above	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
on	on	p-acp	on	on	0
things	things	n2	things	thing	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
you	you	pn22	you	you	0
profess	profess	vvb	profess	profess	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
dead	dead	j	dead	dead	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
life	life	n1	life	life	0
is	is	vbz	is	be	0
hid	hid	vvn	hid	hide	0
with	with	p-acp	with	with	0
Christ	Christ	np1	Christ	Christ	0
in	in	p-acp	in	in	0
God	God	np1	God	God	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
your	your	po22	your	your	0
life	life	n1	life	life	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
appear	appear	vvi	appear	appear	0
,	,	,	,	,	0
then	then	av	then	then	0
shall	shall	vmb	shall	shall	0
you	you	pn22	you	you	0
appear	appear	vvi	appear	appear	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
Glory	Glory	n1	Glory	glory	0
.	.	.	.	.	1
Mortifie	Mortifie	vvi	Mortify	mortify	0
therefore	therefore	av	therefore	therefore	0
your	your	po22	your	your	0
members	members	n2	members	member	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
;	;	;	;	;	0
Col.	Col.	np1	Col.	Col.	1
3.	3.	crd	3.	3.	0
2	2	crd	2	2	0
,	,	,	,	,	1
3	3	crd	3	3	0
,	,	,	,	,	0
4	4	crd	4	4	0
,	,	,	,	,	0
5.	5.	crd	5.	5.	1
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
you	you	pn22	you	you	0
