Christian	Christian	njp	Christian	christian	0
unbelief	unbelief	n1	unbelief	unbelief	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
all	all	d	all	all	0
you	you	pn22	you	you	0
that	that	cst	that	that	0
know	know	vvb	know	know	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
made	made	vvd	made	make	0
manifest	manifest	j	manifest	manifest	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
souls	souls	n2	souls	soul	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Divine	Divine	j-jn	Divine	divine	0
discovery	discovery	n1	discovery	discovery	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
love	love	n1	love	love	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Divine	Divine	j-jn	Divine	divine	0
unfoldings	unfoldings	n2	unfoldings	unfolding	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Divine	Divine	j-jn	Divine	divine	0
light	light	n1	light	light	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
holy	holy	j	holy	holy	0
and	and	cc	and	and	0
blessed	blessed	j-vvn	blessed	bless	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
key	key	n1	key	key	0
of	of	pp-f	of	of	0
David	David	np1	David	David	0
,	,	,	,	,	0
and	and	cc	and	and	0
doth	doth	vdz	does	do	0
unlock	unlock	vvi	unlock	unlock	0
or	or	cc	or	or	0
unsold	unsold	j	unsold	unsold	0
the	the	dt	the	the	0
Divine	Divine	j-jn	Divine	divine	0
misteries	misteries	n2	mysteries	mystery	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
souls	souls	n2	souls	soul	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Saints	Saints	n2	Saints	saint	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
these	these	d	these	these	0
dry	dry	j	dry	dry	0
Vines	Vines	n2	Vines	vine	0
are	are	vbr	are	be	0
ignorant	ignorant	j	ignorant	ignorant	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
witness	witness	vvi	witness	witness	0
against	against	p-acp	against	against	0
them	them	pno32	them	they	0
;	;	;	;	;	0
therefore	therefore	av	therefore	therefore	0
my	my	po11	my	my	0
beloved	beloved	j-vvn	beloved	belove	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Ie	Ie	fw-fr	Ie	je	0
∣	∣	sy	∣	∣	0
sus	sus	fw-la	sus	sus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
my	my	po11	my	my	0
Epistles	Epistles	n2	Epistles	epistle	0
,	,	,	,	,	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
not	not	xx	not	not	0
with	with	p-acp	with	with	0
paper	paper	n1	paper	paper	0
and	and	cc	and	and	0
inck	inck	n1	ink	ink	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
but	but	p-acp	but	but	0
carnal	carnal	j	carnal	carnal	0
and	and	cc	and	and	0
mor	mor	zz	mor	mor	0
∣	∣	sy	∣	∣	0
tal	tal	j	tal	tall	0
,	,	,	,	,	0
and	and	cc	and	and	0
perishing	perishing	vvg	perishing	perish	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
wears	wears	vvz	wears	wear	0
and	and	cc	and	and	0
fades	fades	vvz	fades	fade	0
away	away	av	away	away	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
written	written	vvn	written	write	0
,	,	,	,	,	0
not	not	xx	not	not	0
with	with	p-acp	with	with	0
pen	pen	n1	pen	pen	0
and	and	cc	and	and	0
ink	ink	n1	ink	ink	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
living	living	j-vvg	living	live	0
God	God	np1	God	God	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
fleshly	fleshly	j	fleshly	fleshly	0
tables	tables	n2	tables	table	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
manifestly	manifestly	av-j	manifestly	manifest	0
declare	declare	vvi	declare	declare	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
Epistles	Epistles	n2	Epistles	epistle	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
seen	seen	vvn	seen	see	0
and	and	cc	and	and	0
read	read	vvn	read	read	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
men	men	n2	men	man	0
,	,	,	,	,	0
you	you	pn22	you	you	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
union	union	n1	union	union	0
and	and	cc	and	and	0
fellowship	fellowship	n1	fellowship	fellowship	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
dispersed	dispersed	vvn	dispersed	disperse	0
and	and	cc	and	and	0
scattered	scattered	vvn	scattered	scatter	0
abroad	abroad	av	abroad	abroad	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
ru	ru	n2	ru	ru	0
∣	∣	sy	∣	∣	0
diments	diments	n2	diments	diment	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Vine	Vine	n1	Vine	vine	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
free	free	j	free	free	0
love	love	n1	love	love	0
,	,	,	,	,	0
therefore	therefore	av	therefore	therefore	0
live	live	vvb	live	live	0
in	in	p-acp	in	in	0
love	love	n1	love	love	0
one	one	crd	one	one	0
with	with	p-acp	with	with	0
another	another	n-jn	another	another	0
,	,	,	,	,	0
edi	edi	fw-la	edi	edi	0
∣	∣	sy	∣	∣	0
fying	fying	j	fying	fying	0
one	one	pi	one	one	0
another	another	j-jn	another	another	0
in	in	p-acp	in	in	0
love	love	n1	love	love	0
,	,	,	,	,	0
that	that	cst	that	that	0
so	so	av	so	so	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
build	build	vvi	built	build	0
up	up	a-acp	up	up	0
one	one	crd	one	one	0
another	another	j-jn	another	another	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
holy	holy	j	holy	holy	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
laboring	laboring	vvg	labouring	labour	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Power	Power	n1	Power	power	0
and	and	cc	and	and	0
Strength	Strength	n1	Strength	strength	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
spirit	spirit	n1	spirit	spirit	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
Saviour	Saviour	n1	Saviour	saviour	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
,	,	,	,	,	0
my	my	po11	my	my	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
as	as	p-acp	as	as	0
Cedars	Cedars	n2	Cedars	cedar	0
of	of	pp-f	of	of	0
Lebanon	Lebanon	np1	Lebanon	Lebanon	0
,	,	,	,	,	0
may	may	np1	may	May	0
la	la	fw-fr	la	la	0
∣	∣	sy	∣	∣	0
bor	bor	uh	bor	bour	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Power	Power	n1	Power	power	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
lead	lead	vvi	led	lead	0
up	up	a-acp	up	up	0
others	others	n2-jn	others	other	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
led	led	vvn	led	lead	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Light	Light	n1	Light	light	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
leadeth	leadeth	vvz	leads	lead	0
into	into	p-acp	into	into	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
the	the	dt	the	the	0
perfection	perfection	n1	perfection	perfection	0
and	and	cc	and	and	0
beauty	beauty	n1	beauty	beauty	0
of	of	pp-f	of	of	0
ho	ho	uh	ho	ho	0
∣	∣	sy	∣	∣	0
liness	liness	n1	liness	liness	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
praise	praise	n1	praise	praise	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
called	called	vvn	called	call	0
you	you	pn22	you	you	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
darkness	darkness	n1	darkness	darkness	0
into	into	p-acp	into	into	0
his	his	po31	his	his	0
marvelous	marvelous	j	marvelous	marvelous	0
light	light	n1	light	light	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
testifie	testifie	vvi	testify	testify	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
dark	dark	j	dark	dark	0
Ministry	Ministry	n1	Ministry	ministry	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
any	any	d	any	any	0
where	where	c-crq	where	where	0
else	else	av	else	else	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
manifest	manifest	j	manifest	manifest	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
and	and	cc	and	and	0
about	about	a-acp	about	about	0
Beverley	Beverley	np1	Beverley	Beverley	0
,	,	,	,	,	0
and	and	cc	and	and	0
let	let	vvb	let	let	0
your	your	po22	your	your	0
light	light	n1	light	light	0
so	so	av	so	so	0
shine	shine	vvi	shine	shine	0
before	before	p-acp	before	before	0
men	men	n2	men	man	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
see	see	vvi	see	see	0
your	your	po22	your	your	0
good	good	j	good	good	0
works	works	n2	works	work	0
,	,	,	,	,	0
and	and	cc	and	and	0
glorifie	glorifie	vvi	glorify	glorify	0
your	your	po22	your	your	0
Fa	Fa	uh	Fa	fa	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
Heaven	Heaven	n1	Heaven	heaven	0
,	,	,	,	,	0
even	even	av	even	even	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
of	of	pp-f	of	of	0
lights	lights	n2	lights	light	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
Saviour	Saviour	n1	Saviour	saviour	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
that	that	cst	that	that	0
whereas	whereas	cs	whereas	whereas	0
these	these	d	these	these	0
your	your	po22	your	your	0
enemies	enemies	n2	enemies	enemy	0
that	that	cst	that	that	0
speak	speak	vvb	speak	speak	0
evil	evil	j-jn	evil	evil	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
say	say	vvi	say	say	0
,	,	,	,	,	0
a	a	dt	a	a	0
little	little	j	little	little	0
time	time	n1	time	time	0
will	will	vmb	will	will	0
bring	bring	vvi	bring	bring	0
it	it	pn31	it	it	0
forth	forth	av	forth	forth	0
;	;	;	;	;	0
that	that	cst	that	that	0
so	so	av	so	so	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Godly	Godly	j	Godly	godly	0
conversations	conversations	n2	conversations	conversation	0
,	,	,	,	,	0
and	and	cc	and	and	0
upright	upright	av-j	upright	upright	0
walk	walk	vvb	walk	walk	0
∣	∣	sy	∣	∣	0
ings	ings	n2-vdg	ings	ing	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
glorifie	glorifie	vvi	glorify	glorify	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
put	put	vvd	put	put	0
to	to	pc-acp	to	to	0
silence	silence	vvi	silence	silence	0
the	the	dt	the	the	0
foolishness	foolishness	n1	foolishness	foolishness	0
of	of	pp-f	of	of	0
ignorant	ignorant	j	ignorant	ignorant	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
testifie	testifie	vvi	testify	testify	0
against	against	p-acp	against	against	0
blind	blind	j	blind	blind	0
guides	guides	n2	guides	guide	0
,	,	,	,	,	0
false	false	j	false	false	0
Prophets	Prophets	n2	Prophets	prophet	0
,	,	,	,	,	0
Seducers	Seducers	n2	Seducers	seducer	0
,	,	,	,	,	0
and	and	cc	and	and	0
Antichrists	Antichrists	np2	Antichrists	Antichrist	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
comprehend	comprehend	vvi	comprehend	comprehend	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
Saints	Saints	n2	Saints	saint	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
height	height	n1	height	height	0
,	,	,	,	,	0
depth	depth	n1	depth	depth	0
,	,	,	,	,	0
and	and	cc	and	and	0
length	length	n1	length	length	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Love	Love	n1	Love	love	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
comprehended	comprehended	vvn	comprehended	comprehend	0
into	into	p-acp	into	into	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
Incomprehensible	Incomprehensible	j	Incomprehensible	incomprehensible	0
,	,	,	,	,	0
dwelling	dwelling	vvg	dwelling	dwell	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
light	light	n1	light	light	0
where	where	c-crq	where	where	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
Immortality	Immortality	n1	Immortality	immortality	0
,	,	,	,	,	0
that	that	cst	that	that	0
so	so	av	so	so	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
a	a	dt	a	a	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
hope	hope	n1	hope	hope	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
Christ	Christ	np1	Christ	Christ	0
the	the	dt	the	the	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
Col.	Col.	np1	Col.	Col.	1
1.27	1.27	crd	1.27	1.27	0
.	.	.	.	.	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
this	this	d	this	this	0
hope	hope	n1	hope	hope	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
,	,	,	,	,	0
purifyeth	purifyeth	vvz	purifieth	purifi	0
himself	himself	px31	himself	himself	0
even	even	av	even	even	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
pure	pure	j	pure	pure	0
,	,	,	,	,	0
1	1	crd	1	1	0
Iohn	Iohn	np1	Iohn	John	0
3.1.2	3.1.2	crd	3.1.2	3.1.2	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
behalf	behalf	n1	behalf	behalf	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
Godly	Godly	j	Godly	godly	0
dispersed	dispersed	vvn	dispersed	disperse	0
ones	ones	pi2	ones	one	0
,	,	,	,	,	0
that	that	d	that	that	0
suffer	suffer	vvb	suffer	suffer	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
Quak	Quak	vvi	Quak	quake	0
∣	∣	sy	∣	∣	0
ers	ers	uh	ers	ers	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
written	written	vvn	written	write	0
this	this	d	this	this	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
self	self	n1	self	self	0
;	;	;	;	;	0
So	So	av	So	so	0
commending	commending	vvg	commending	commend	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
God	God	np1	God	God	0
of	of	pp-f	of	of	0
power	power	n1	power	power	0
,	,	,	,	,	0
even	even	av	even	even	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
of	of	pp-f	of	of	0
lights	lights	n2	lights	light	0
,	,	,	,	,	0
I	I	pns11	I	i	0
remain	remain	vvb	remain	remain	0
a	a	dt	a	a	0
friend	friend	n1	friend	friend	0
and	and	cc	and	and	0
lover	lover	n1	lover	lover	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
that	that	cst	that	that	0
love	love	vvb	love	love	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
in	in	p-acp	in	in	0
sincerity	sincerity	n1	sincerity	sincerity	0
and	and	cc	and	and	0
truth	truth	n1	truth	truth	0
.	.	.	.	.	1
Iuly	Iuly	np1	Iuly	July	0
.	.	.	.	.	1
1653.	1653.	crd	1653.	1653.	1
