Ever-Honoured	Ever-Honoured	j	Ever-Honoured	ever-honoured	0
.	.	.	.	.	1
And	And	cc	And	and	0
to	to	pc-acp	to	to	0
∣	∣	sy	∣	∣	0
wards	wards	av	wards	ward	0
the	the	av	the	then	0
Close	Close	av-j	Close	close	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
,	,	,	,	,	0
have	have	vhb	have	have	0
taken	taken	vvn	taken	take	0
leave	leave	n1	leave	leave	0
to	to	pc-acp	to	to	0
add	add	vvi	add	add	0
some	some	d	some	some	0
Hymns	Hymns	n2	Hymns	hymn	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
Bro	Bro	np1	Bro	Bro	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
in	in	p-acp	in	in	0
another	another	j-jn	another	another	0
Manuscript	Manuscript	n1	Manuscript	manuscript	0
of	of	pp-f	of	of	0
his	his	png31	his	he	0
,	,	,	,	,	0
(	(	(	(	(	0
I	I	pns11	I	i	0
suppose	suppose	vvb	suppose	suppose	0
more	more	av-dc	more	more	0
lately	lately	av-j	lately	late	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
useful	useful	j	useful	useful	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
accompany	accompany	vvi	accompany	accompany	0
them	them	pno32	them	they	0
all	all	d	all	all	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
Blessing	Blessing	n1	Blessing	blessing	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
so	so	av	so	so	0
,	,	,	,	,	0
into	into	p-acp	into	into	0
whose	whose	rg-crq	whose	who	0
Hands	Hands	n2	Hands	hand	0
soever	soever	av	soever	soever	0
they	they	pns32	they	they	0
come	come	vvb	come	come	0
;	;	;	;	;	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
Helps	Helps	n2	Helps	help	0
,	,	,	,	,	0
surviving	surviving	vvg	surviving	survive	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
that	that	cst	that	that	0
read	read	vvb	read	read	0
them	them	pno32	them	they	0
,	,	,	,	,	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
more	more	av-dc	more	more	0
fit	fit	j	fit	fit	0
,	,	,	,	,	0
and	and	cc	and	and	0
ripened	ripened	vvn	ripened	ripen	0
faster	faster	av-jc	faster	fast	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
Blessed	Blessed	j-vvn	Blessed	bless	0
State	State	n1	State	state	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
Friends	Friends	n2	Friends	friend	0
(	(	(	(	(	0
united	united	vvn	united	unite	0
here	here	av	here	here	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
)	)	)	)	)	0
shall	shall	vmb	shall	shall	0
meet	meet	vvi	meet	meet	0
again	again	av	again	again	0
,	,	,	,	,	0
and	and	cc	and	and	0
join	join	vvi	join	join	0
together	together	av	together	together	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Eternal	Eternal	j	Eternal	eternal	0
Praises	Praises	n2	Praises	praise	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
great	great	j	great	great	0
Creator	Creator	n1	Creator	creator	0
and	and	cc	and	and	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
deemer	deemer	n1	deemer	deemer	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
Number	Number	n1	Number	number	0
that	that	cst	that	that	0
so	so	av	so	so	0
vile	vile	j	vile	vile	0
a	a	dt	a	a	0
one	one	pi	one	one	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
,	,	,	,	,	0
(	(	(	(	(	0
through	through	p-acp	through	through	0
rich	rich	j	rich	rich	0
and	and	cc	and	and	0
glorious	glorious	j	glorious	glorious	0
Grace	Grace	n1	Grace	grace	0
)	)	)	)	)	0
he	he	pns31	he	he	0
begs	begs	vvz	begs	beg	0
your	your	po22	your	your	0
Prayers	Prayers	n2	Prayers	prayer	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
,	,	,	,	,	0
Most	Most	av-ds	Most	most	0
Dear	Dear	j-jn	Dear	dear	0
and	and	cc	and	and	0
Honoured	Honoured	j-vvn	Honoured	honour	0
Mother	Mother	n1	Mother	mother	0
,	,	,	,	,	0
And	And	cc	And	and	0
Dear	Dear	j-jn	Dear	dear	0
Sister	Sister	n1	Sister	sister	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
July	July	np1	July	July	0
4.	4.	crd	4.	4.	0
1692.	1692.	crd	1692.	1692.	1
