DEar	DEar	av-jn	DEar	dear	0
red	red	j-jn	read	red	0
to	to	pc-acp	to	to	0
confound	confound	vvi	confound	confound	0
Christs	Christs	npg1	Christs	Christ	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
way	way	n1	way	way	0
his	his	po31	his	his	0
peo	peo	fw-la	peo	peo	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
walk	walk	vvi	walk	walk	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
using	using	vvg	using	use	0
Instruments	Instruments	n2	Instruments	instrument	0
to	to	pc-acp	to	to	0
perswade	perswade	vvi	persuade	persuade	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
shift	shift	vvi	shift	shift	0
obedience	obedience	n1	obedience	obedience	0
to	to	p-acp	to	to	0
Gods	Gods	npg1	Gods	God	0
Ordinances	Ordinances	n2	Ordinances	ordinance	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
in	in	p-acp	in	in	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
Baptism	Baptism	n1	Baptism	baptism	0
,	,	,	,	,	0
and	and	cc	and	and	0
breaking	breaking	vvg	breaking	break	0
of	of	pp-f	of	of	0
Bread	Bread	n1	Bred	bread	0
,	,	,	,	,	0
pretending	pretending	vvg	pretending	pretend	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
brought	brought	vvn	brought	bring	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
new	new	j	new	new	0
dispensation	dispensation	n1	dispensation	dispensation	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Revelation	Revelation	n1	Revelation	revelation	0
and	and	cc	and	and	0
immediate	immediate	j	immediate	immediate	0
inspiration	inspiration	n1	inspiration	inspiration	0
,	,	,	,	,	0
consisting	consisting	vvg	consisting	consist	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
Godliness	Godliness	n1	Godliness	godliness	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
form	form	n1	from	form	0
;	;	;	;	;	0
sometimes	sometimes	av	sometime	sometime	0
appearing	appearing	vvg	appearing	appear	0
like	like	av-j	like	like	0
an	an	dt	and	a	0
Angel	Angel	n1	Angel	angel	0
of	of	pp-f	of	of	0
light	light	n1	light	light	0
in	in	p-acp	in	in	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
opinion	opinion	n1	opinion	opinion	0
,	,	,	,	,	0
and	and	cc	and	and	0
sometimes	sometimes	av	sometime	sometime	0
like	like	av-j	like	like	0
a	a	dt	a	a	0
civil	civil	j	civil	civil	0
honest	honest	j	honest	honest	0
man	man	n1	man	man	0
for	for	p-acp	for	for	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
conversation	conversation	n1	conversation	conversation	0
,	,	,	,	,	0
thinking	thinking	vvg	thinking	think	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
have	have	vhi	have	have	0
espied	espied	vvn	espied	espy	0
his	his	po31	his	his	0
painted	painted	j-vvn	painted	paint	0
blasphemy	blasphemy	n1	blasphemy	blasphemy	0
in	in	p-acp	in	in	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
opinion	opinion	n1	opinion	opinion	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
his	his	po31	his	his	0
dissembling	dissembling	j-vvg	dissembling	dissemble	0
hy	hy	zz	hy	hy	0
∣	∣	sy	∣	∣	0
pocrisie	pocrisie	n1	pocrisie	pocrisie	0
in	in	p-acp	in	in	0
using	using	vvg	using	use	0
civil	civil	j	civil	civil	0
honesty	honesty	n1	honesty	honesty	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
cloak	cloak	n1	cloak	cloak	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
Knavery	Knavery	n1	Knavery	knavery	0
;	;	;	;	;	0
so	so	av	so	so	0
that	that	cst	that	that	0
under	under	p-acp	under	under	0
pretence	pretence	n1	pretence	pretence	0
of	of	pp-f	of	of	0
bringing	bringing	vvg	bringing	bring	0
men	men	n2	men	man	0
over	over	a-acp	over	over	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
Christ	Christ	np1	Christ	Christ	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
higher	higher	jc	higher	high	0
dispensation	dispensation	n1	dispensation	dispensation	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
calls	calls	vvz	calls	call	0
it	it	pn31	it	it	0
,	,	,	,	,	0
he	he	pns31	he	he	0
might	might	vmd	might	may	0
bring	bring	vvi	bring	bring	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
himself	himself	px31	himself	himself	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
blasphemous	blasphemous	j	blasphemous	blasphemous	0
way	way	n1	way	way	0
,	,	,	,	,	0
giving	giving	vvg	giving	give	0
God	God	np1	God	God	0
the	the	dt	the	the	0
lye	lye	n1	lie	lie	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
saying	saying	vvg	saying	say	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
commanded	commanded	vvn	commanded	command	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
now	now	av	now	now	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Baptized	Baptized	j-vvn	Baptised	baptise	0
in	in	p-acp	in	in	0
water	water	n1	water	water	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
to	to	pc-acp	to	to	0
hold	hold	vvi	hold	hold	0
visible	visible	j	visible	visible	0
Com	Com	np1	Com	Com	0
∣	∣	sy	∣	∣	0
munion	munion	n1	munion	munion	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Supper	Supper	n1	Supper	supper	0
,	,	,	,	,	0
or	or	cc	or	or	0
breaking	breaking	vvg	breaking	break	0
of	of	pp-f	of	of	0
Bread	Bread	n1	Bred	bread	0
;	;	;	;	;	0
and	and	cc	and	and	0
thus	thus	av	thus	thus	0
he	he	pns31	he	he	0
indeavours	indeavours	vvz	endeavours	endeavour	0
to	to	pc-acp	to	to	0
divide	divide	vvi	divide	divide	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
means	means	n2	means	mean	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
prevail	prevail	vvi	prevail	prevail	0
utterly	utterly	av-j	utterly	utter	0
to	to	pc-acp	to	to	0
confound	confound	vvi	confound	confound	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
this	this	d	this	this	0
way	way	n1	way	way	0
,	,	,	,	,	0
Christ	Christ	np1	Christ	Christ	0
having	having	vhg	having	have	0
some	some	d	some	some	0
stout	stout	j	stout	stout	0
Souldiers	Souldiers	n2	Soldiers	soldier	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
as	as	p-acp	as	as	0
instruments	instruments	n2	instruments	instrument	0
under	under	p-acp	under	under	0
God	God	np1	God	God	0
did	did	vdd	did	do	0
withstand	withstand	vvi	withstand	withstand	0
him	him	pno31	him	he	0
,	,	,	,	,	0
he	he	pns31	he	he	0
now	now	av	now	now	0
attempts	attempts	vvz	attempts	attempt	0
utterly	utterly	av-j	utterly	utter	0
to	to	pc-acp	to	to	0
ruin	ruin	vvi	ruin	ruin	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
ano	ano	av	anon	anon	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
way	way	n1	way	way	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
finding	finding	vvg	finding	find	0
many	many	d	many	many	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
he	he	pns31	he	he	0
cannot	cannot	vmbx	cannot	can	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
former	former	j	former	former	0
design	design	n1	design	design	0
deceive	deceive	vvi	deceive	deceive	0
,	,	,	,	,	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
so	so	av	so	so	0
zea	zea	uh	zea	zea	0
∣	∣	sy	∣	∣	0
lous	lous	n2	lous	love	0
for	for	p-acp	for	for	0
obedience	obedience	n1	obedience	obedience	0
to	to	p-acp	to	to	0
Gods	Gods	npg1	Gods	God	0
Ordinances	Ordinances	n2	Ordinances	ordinance	0
,	,	,	,	,	0
he	he	pns31	he	he	0
now	now	av	now	now	0
lays	lays	vvz	lays	lay	0
his	his	po31	his	his	0
bait	bait	n1	bait	bait	0
where	where	c-crq	where	where	0
he	he	pns31	he	he	0
thinks	thinks	vvz	thinks	think	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
likely	likely	j	likely	likely	0
to	to	pc-acp	to	to	0
catch	catch	vvi	catch	catch	0
,	,	,	,	,	0
viz.	viz.	n1	viz.	viz.	0
in	in	p-acp	in	in	0
actions	actions	n2	actions	action	0
relating	relating	vvg	relating	relate	0
to	to	p-acp	to	to	0
Ordinances	Ordinances	n2	Ordinances	ordinance	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
with	with	p-acp	with	with	0
something	something	pi	something	something	0
like	like	j	like	like	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
an	an	dt	and	a	0
error	error	n1	error	error	0
so	so	av	so	so	0
neatly	neatly	av-j	neatly	neat	0
dres	dres	n2	dres	dre	0
∣	∣	sy	∣	∣	0
sed	sed	zz	sed	sed	0
with	with	p-acp	with	with	0
truths	truths	ng1	truths	truth	0
habit	habit	n1	habit	habit	0
,	,	,	,	,	0
that	that	cst	that	that	0
few	few	d	few	few	0
are	are	vbr	are	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
look	look	vvi	look	look	0
through	through	p-acp	through	through	0
truths	truths	ng1	truths	truth	0
habit	habit	n1	habit	habit	0
,	,	,	,	,	0
so	so	av	so	so	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
ugly	ugly	j	ugly	ugly	0
shape	shape	n1	shape	shape	0
of	of	pp-f	of	of	0
errour	errour	n1	error	error	0
that	that	cst	that	that	0
barks	barks	vvz	barks	bark	0
under	under	p-acp	under	under	0
it	it	pn31	it	it	0
:	:	:	:	:	0
he	he	pns31	he	he	0
strikes	strikes	vvz	strikes	strike	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
very	very	j	very	very	0
being	being	vbg	being	be	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
;	;	;	;	;	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
seeing	seeing	vvg	seeing	see	0
Gods	Gods	npg1	Gods	God	0
honour	honour	n1	honour	honour	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Churches	Churches	ng1	Churches	church	0
Peace	Peace	n1	Peace	peace	0
and	and	cc	and	and	0
well	well	av	well	well	0
being	being	vbg	being	be	0
is	is	vbz	is	be	0
so	so	av	so	so	0
much	much	av-d	much	much	0
concerned	concerned	vvn	concerned	concern	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
all	all	d	all	all	0
my	my	po11	my	my	0
dear	dear	j-jn	dear	dear	0
Brethren	Brethren	n2	Brothers	brethren	0
and	and	cc	and	and	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
tender	tender	j	tender	tender	0
Gods	Gods	ng1	Gods	god	0
honour	honour	n1	honour	honour	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Churches	Churches	n2	Churches	church	0
well	well	av	well	well	0
being	being	vbg	being	be	0
,	,	,	,	,	0
Impartially	Impartially	av-j	Impartially	impartial	0
to	to	pc-acp	to	to	0
read	read	vvi	read	read	0
and	and	cc	and	and	0
deliberately	deliberately	av-j	deliberately	deliberate	0
to	to	pc-acp	to	to	0
consider	consider	vvi	consider	consider	0
this	this	d	this	this	0
following	following	j-vvg	following	follow	0
Trea	Trea	np1	Trea	Trea	0
∣	∣	sy	∣	∣	0
tise	tise	n1	tise	tise	0
,	,	,	,	,	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
do	do	vdb	do	do	0
,	,	,	,	,	0
though	though	cs	though	though	0
Anti-Christ	Anti-Christ	np1	Anti-Christ	Antichrist	0
hath	hath	vhz	hath	have	0
pre	pre	fw-es	pre	pre	0
∣	∣	sy	∣	∣	0
vailed	vailed	vvn	veiled	veil	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
great	great	j	great	great	0
influence	influence	n1	influence	influence	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Churches	Churches	n2	Churches	church	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Instrumental	Instrumental	j	Instrumental	instrumental	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
promoting	promoting	j-vvg	promoting	promote	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
fence	fence	n1	fence	fence	0
,	,	,	,	,	0
though	though	cs	though	though	0
I	I	pns11	I	i	0
verily	verily	av-j	verily	very	0
believe	believe	vvb	believe	believe	0
they	they	pns32	they	they	0
know	know	vvb	know	know	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
some	some	d	some	some	0
zealous	zealous	j	zealous	zealous	0
Presbyters	Presbyters	n2	Presbyters	presbyter	0
do	do	vdb	do	do	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
sprinkle	sprinkle	vvb	sprinkle	sprinkle	0
Infants	Infants	n2	Infants	infant	0
think	think	vvb	think	think	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
God	God	n1	God	god	0
good	good	j	good	good	0
service	service	n1	service	service	0
,	,	,	,	,	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
see	see	vvi	see	see	0
this	this	d	this	this	0
error	error	n1	error	error	0
stript	stript	vvn	stripped	strip	0
of	of	pp-f	of	of	0
truths	truths	ng1	truths	truth	0
habit	habit	n1	habit	habit	0
,	,	,	,	,	0
and	and	cc	and	and	0
laid	laid	vvd	laid	lay	0
open	open	j	open	open	0
in	in	p-acp	in	in	0
its	its	po31	its	its	0
own	own	d	own	own	0
colours	colours	n2	colours	colour	0
;	;	;	;	;	0
and	and	cc	and	and	0
whereas	whereas	cs	whereas	whereas	0
Brother	Brother	n1	Brother	brother	0
Morly	Morly	av-j	Morly	mor	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Epistle	Epistle	n1	Epistle	epistle	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Reader	Reader	n1	Reader	reader	0
seems	seems	vvz	seems	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
confident	confident	j	confident	confident	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
way	way	n1	way	way	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
Bishops	Bishops	n2	Bishops	bishop	0
kept	kept	vvd	kept	keep	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
Ordinances	Ordinances	n2	Ordinances	ordinance	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
saith	saith	vvz	says	say	0
he	he	pns31	he	he	0
,	,	,	,	,	0
laying	laying	vvg	laying	lay	0
on	on	p-acp	on	on	0
of	of	pp-f	of	of	0
hands	hands	n2	hands	hand	0
was	was	vbds	was	be	0
one	one	pi	one	one	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
tell	tell	vvi	tell	tell	0
him	him	pno31	him	he	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
part	part	n1	part	part	0
I	I	pns11	I	i	0
dare	dare	vvb	dare	dare	0
not	not	xx	not	not	0
receive	receive	vvi	receive	receive	0
neither	neither	d	neither	neither	0
the	the	dt	the	the	0
name	name	n1	name	name	0
nor	nor	ccx	nor	nor	0
nature	nature	n1	nature	nature	0
of	of	pp-f	of	of	0
Baptism	Baptism	n1	Baptism	baptism	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
laying	laying	vvg	laying	lay	0
on	on	p-acp	on	on	0
of	of	pp-f	of	of	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
from	from	p-acp	from	from	0
what	what	r-crq	what	what	0
the	the	dt	the	the	0
Bishops	Bishops	n2	Bishops	bishop	0
said	said	vvd	said	say	0
or	or	cc	or	or	0
did	did	vdd	did	do	0
,	,	,	,	,	0
no	no	av-dx	no	no	0
further	further	av-jc	further	further	0
then	then	cs	then	than	0
they	they	pns32	they	they	0
said	said	vvd	said	say	0
and	and	cc	and	and	0
did	did	vdd	did	do	0
according	according	p-acp	according	according	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
rule	rule	n1	rule	rule	0
of	of	pp-f	of	of	0
Scripture	Scripture	n1	Scripture	scripture	0
;	;	;	;	;	0
and	and	cc	and	and	0
so	so	av	so	so	0
if	if	cs	if	if	0
your	your	po22	your	your	0
practice	practice	n1	practice	practice	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
such	such	d	such	such	0
a	a	dt	a	a	0
one	one	pi	one	one	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
taught	taught	vvn	taught	teach	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Do	Do	vdb	Do	do	0
∣	∣	sy	∣	∣	0
ctrine	ctrine	n1	ctrine	ctrine	0
,	,	,	,	,	0
and	and	cc	and	and	0
injoyned	injoyned	vvd	enjoined	enjoin	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Command	Command	n1	Command	command	0
from	from	p-acp	from	from	0
Scrip	Scrip	n1	Scrip	scrip	0
∣	∣	sy	∣	∣	0
ture	ture	n1	ture	ture	0
,	,	,	,	,	0
it	it	pn31	it	it	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
well	well	av	well	well	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
your	your	po22	your	your	0
practise	practise	n1	practice	practice	0
of	of	pp-f	of	of	0
laying	laying	vvg	laying	lay	0
on	on	p-acp	on	on	0
of	of	pp-f	of	of	0
hands	hands	n2	hands	hand	0
being	being	vbg	being	be	0
such	such	d	such	such	0
a	a	dt	a	a	0
one	one	pi	one	one	0
as	as	a-acp	as	as	0
is	is	vbz	is	be	0
neither	neither	dx	neither	neither	0
taught	taught	vvn	taught	teach	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
injoyned	injoyned	vvd	enjoined	enjoin	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Command	Command	n1	Command	command	0
,	,	,	,	,	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
sad	sad	j	sad	sad	0
and	and	cc	and	and	0
dangerous	dangerous	j	dangerous	dangerous	0
consequence	consequence	n1	consequence	consequence	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
sad	sad	j	sad	sad	0
experience	experience	n1	experience	experience	0
hath	hath	vhz	hath	have	0
proved	proved	vvn	proved	prove	0
;	;	;	;	;	0
so	so	av	so	so	0
hoping	hoping	vvg	hoping	hope	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
take	take	vvi	take	take	0
the	the	dt	the	the	0
Counsel	Counsel	n1	Counsel	counsel	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Apostle	Apostle	n1	Apostle	apostle	0
;	;	;	;	;	0
2	2	crd	2	2	0
Cor.	Cor.	np1	Cor.	Cor.	1
13.	13.	crd	13.	13.	0
viz.	viz.	n1	viz.	viz.	0
To	To	pc-acp	To	to	0
examin	examin	vvi	examine	examine	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
whether	whether	cs	whither	whether	0
you	you	pn22	you	you	0
be	be	vbb	be	be	0
right	right	j-jn	right	right	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Faith	Faith	n1	Faith	faith	0
or	or	cc	or	or	0
not	not	xx	not	not	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
refer	refer	vvi	refer	refer	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
following	following	j-vvg	following	follow	0
discourse	discourse	n1	discourse	discourse	0
for	for	p-acp	for	for	0
further	further	jc	further	further	0
satisfa	satisfa	n1	satisfa	satisfa	0
∣	∣	sy	∣	∣	0
ction	ction	zz	ction	ction	0
,	,	,	,	,	0
and	and	cc	and	and	0
rest	rest	n1	rest	rest	0
and	and	cc	and	and	0
remain	remain	vvi	remain	remain	0
,	,	,	,	,	1
