PResuming	PResuming	vvg	PResuming	presume	0
Pag	Pag	n1	Page	page	0
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
for	for	p-acp	for	for	0
better	better	jc	better	better	0
Execution	Execution	n1	Execution	execution	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
former	former	j	former	former	0
Act.	Act.	n1	Act.	act	0
An	An	cs	And	an	0
Act	Act	n1	Act	act	0
against	against	p-acp	against	against	0
Hypocrisie	Hypocrisie	n1	Hypocrisy	hypocrisy	0
.	.	.	.	.	1
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
against	against	p-acp	against	against	0
Superstition	Superstition	n1	Superstition	superstition	0
.	.	.	.	.	1
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
against	against	p-acp	against	against	0
Abuses	Abuses	n2	Abuses	abuse	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Courts	Courts	n2	Courts	court	0
of	of	pp-f	of	of	0
Iustice.	Iustice.	n1	Iustice.	justice	0
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
for	for	p-acp	for	for	0
some	some	d	some	some	0
Mitigation	Mitigation	n1	Mitigation	mitigation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
former	former	j	former	former	0
Act.	Act.	n1	Act.	act	0
An	An	cs	And	an	0
Act	Act	n1	Act	act	0
for	for	p-acp	for	for	0
due	due	j-jn	due	due	0
Execution	Execution	n1	Execution	execution	0
of	of	pp-f	of	of	0
Iustice	Iustice	n1	Justice	justice	0
in	in	p-acp	in	in	0
generall	generall	n1	general	general	0
.	.	.	.	.	1
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
against	against	p-acp	against	against	0
Persian	Persian	jp	Persian	persian	0
State	State	n1	State	state	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
proud	proud	j	proud	proud	0
Retirednes	Retirednes	n1	Retiredness	retiredness	0
.	.	.	.	.	1
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
against	against	p-acp	against	against	0
prosuse	prosuse	n1	prosuse	prosuse	0
Prodigality	Prodigality	n1	Prodigality	prodigality	0
.	.	.	.	.	1
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
of	of	pp-f	of	of	0
exceeding	exceeding	j-vvg	exceeding	exceed	0
Loue	Loue	n1	Love	love	0
and	and	cc	and	and	0
excellent	excellent	j	excellent	excellent	0
Resolution	Resolution	n1	Resolution	resolution	0
.	.	.	.	.	1
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
of	of	pp-f	of	of	0
rarest	rarest	js	rarest	rare	0
Pietie	Pietie	n1	Piety	piety	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Prince	Prince	n1	Prince	prince	0
.	.	.	.	.	1
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
for	for	p-acp	for	for	0
Imitation	Imitation	n1	Imitation	imitation	0
and	and	cc	and	and	0
continuance	continuance	n1	continuance	continuance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
former	former	j	former	former	0
Act.	Act.	n1	Act.	act	0
61	61	crd	61	61	0
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
for	for	p-acp	for	for	0
right	right	j-jn	right	right	0
Imployment	Imployment	n1	Employment	employment	0
of	of	pp-f	of	of	0
Publike	Publike	j	Public	public	0
and	and	cc	and	and	0
Priuate	Priuate	j	Private	private	0
Treasure	Treasure	n1	Treasure	treasure	0
.	.	.	.	.	1
61	61	crd	61	61	0
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
against	against	p-acp	against	against	0
Ingratitude	Ingratitude	n1	Ingratitude	ingratitude	0
.	.	.	.	.	1
63	63	crd	63	63	0
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
against	against	p-acp	against	against	0
King-Killers	King-Killers	n2	King-Killers	king-killer	0
,	,	,	,	,	0
Powder-Traitors	Powder-Traitors	n2	Powder-Traitors	powder-traitor	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
Abettors	Abettors	n2	Abettors	abettor	0
.	.	.	.	.	1
64	64	crd	64	64	0
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
for	for	p-acp	for	for	0
Clemency	Clemency	n1	Clemency	clemency	0
,	,	,	,	,	0
and	and	cc	and	and	0
against	against	p-acp	against	against	0
Impunity	Impunity	n1	Impunity	impunity	0
.	.	.	.	.	1
65	65	crd	65	65	0
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
for	for	p-acp	for	for	0
Propagation	Propagation	n1	Propagation	propagation	0
of	of	pp-f	of	of	0
Princely	Princely	j	Princely	princely	0
Piety	Piety	n1	Piety	piety	0
.	.	.	.	.	1
66	66	crd	66	66	0
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Mitred-Monarchy	Mitred-Monarchy	n1	Mitred-Monarchy	mitred-monarchy	0
.	.	.	.	.	1
66	66	crd	66	66	0
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
of	of	pp-f	of	of	0
Admiration	Admiration	n1	Admiration	admiration	0
.	.	.	.	.	1
67	67	crd	67	67	0
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
for	for	p-acp	for	for	0
Reading	Reading	vvg	Reading	read	0
of	of	pp-f	of	of	0
Histories	Histories	n2	Histories	history	0
.	.	.	.	.	1
68	68	crd	68	68	0
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
against	against	p-acp	against	against	0
ignorant	ignorant	j	ignorant	ignorant	0
and	and	cc	and	and	0
ignominious	ignominious	j	ignominious	ignominious	0
Chroniclers	Chroniclers	n2	Chroniclers	chronicler	0
.	.	.	.	.	1
68	68	crd	68	68	0
THese	THese	d	THese	these	0
All	All	d	All	all	0
are	are	vbr	are	be	0
Publike	Publike	j	Public	public	0
Acts	Acts	n2	Acts	act	0
:	:	:	:	:	0
Priuate	Priuate	j	Private	private	0
,	,	,	,	,	0
This	This	d	This	this	0
Session	Session	n1	Session	session	0
Hath	Hath	vhz	Hath	have	0
Passed	Passed	vvn	Passed	pass	0
None	None	pix	None	none	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
next	next	ord	next	next	0
Impression	Impression	n1	Impression	impression	0
,	,	,	,	,	0
Your	Your	po22	Your	your	0
Acts	Acts	n2	Acts	act	0
of	of	pp-f	of	of	0
Bounty	Bounty	n1	Bounty	bounty	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
Mark	Mark	n1	Mark	mark	0
,	,	,	,	,	0
Shall	Shall	vmb	Shall	shall	0
be	be	vbi	be	be	0
recorded	recorded	vvn	recorded	record	0
,	,	,	,	,	0
By	By	p-acp	By	by	0
Your	Your	po22	Your	your	0
Vnder-Clark	Vnder-Clark	n1	Vnder-Clark	vnder-clark	0
,	,	,	,	,	1
