Excellentisime	Excellentisime	n1	Excellentisime	excellentisime	0
the	the	dt	the	the	0
banks	banks	n2	banks	bank	0
that	that	cst	that	that	0
did	did	vdd	did	do	0
endeavour	endeavour	vvi	endeavour	endeavour	0
to	to	pc-acp	to	to	0
stop	stop	vvi	stop	stop	0
his	his	po31	his	his	0
course	course	n1	course	course	0
:	:	:	:	:	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
the	the	dt	the	the	0
better	better	jc	better	better	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
judge	judge	vvi	judge	judge	0
aright	aright	av	aright	aright	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
benefit	benefit	n1	benefit	benefit	0
that	that	cst	that	that	0
might	might	vmd	might	may	0
redound	redound	vvi	redound	redound	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
State	State	n1	State	state	0
,	,	,	,	,	0
if	if	cs	if	if	0
these	these	d	these	these	0
Methods	Methods	n2	Methods	method	0
of	of	pp-f	of	of	0
Fortifications	Fortifications	n2	Fortifications	fortification	0
were	were	vbdr	were	be	0
observed	observed	vvn	observed	observe	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Works	Works	vvz	Works	work	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Garrisons	Garrisons	n2	Garrisons	garrison	0
;	;	;	;	;	0
and	and	cc	and	and	0
these	these	d	these	these	0
fieldThe	fieldThe	n1	fieldThe	fieldthe	0
Arts	Arts	n2	Arts	art	0
of	of	pp-f	of	of	0
Defence	Defence	n1	Defence	defence	0
and	and	cc	and	and	0
Assailing	Assailing	vvg	Assailing	assail	0
are	are	vbr	are	be	0
tvvo	tvvo	crd	tvvo	two	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
essentiall	essentiall	j	essential	essential	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
he	he	pns31	he	he	0
Art	Art	n1	Art	art	0
of	of	pp-f	of	of	0
VVar.	VVar.	np1	VVar.	VVar.	0
intrenchments	intrenchments	n2	intrenchments	intrenchment	0
,	,	,	,	,	0
and	and	cc	and	and	0
double	double	av-jn	double	double	0
intrenched	intrenched	vvn	entrenched	entrench	0
Camps	Camps	n2	Camps	camp	0
here	here	av	here	here	0
described	described	vvn	described	describe	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
used	used	vvn	used	use	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
our	our	po12	our	our	0
formidable	formidable	j	formidable	formidable	0
sieges	sieges	n2	sieges	siege	0
and	and	cc	and	and	0
pitcht	pitcht	vvd	pitched	pitch	0
battells	battells	n2	battles	battle	0
;	;	;	;	;	0
the	the	dt	the	the	0
neglect	neglect	n1	neglect	neglect	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
maine	maine	j	main	main	0
secondary	secondary	j	secondary	secondary	0
Causes	Causes	n2	Causes	cause	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
spinning	spinning	vvg	spinning	spin	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
unnaturall	unnaturall	j	unnatural	unnatural	0
Warre	Warre	n1	War	war	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
since	since	c-acp	since	since	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
pleased	pleased	vvn	pleased	please	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
raise	raise	vvi	raise	raise	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
emi	emi	fw-fr	emi	emi	0
∣	∣	sy	∣	∣	0
nency	nency	n1	nency	nency	0
of	of	pp-f	of	of	0
place	place	n1	place	place	0
,	,	,	,	,	0
that	that	cst	that	that	0
affords	affords	vvz	affords	afford	0
you	you	pn22	you	you	0
power	power	n1	power	power	0
to	to	pc-acp	to	to	0
rectifie	rectifie	vvi	rectify	rectify	0
these	these	d	these	these	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
fects	fects	vvz	fects	fect	0
;	;	;	;	;	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
presumed	presumed	vvn	presumed	presume	0
to	to	pc-acp	to	to	0
tender	tender	vvi	tender	tender	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Excellency	Excellency	n1	Excellency	excellency	0
these	these	d	these	these	0
essayes	essayes	n2	essays	essay	0
,	,	,	,	,	0
The	The	dt	The	the	0
neglect	neglect	n1	neglect	neglect	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
trenchmnts	trenchmnts	n2	trenchmnts	trenchmnt	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
rectified	rectified	vvn	rectified	rectify	0
.	.	.	.	.	0
containing	containing	vvg	containing	contain	0
some	some	d	some	some	0
approved	approved	j-vvn	approved	approve	0
directions	directions	n2	directions	direction	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
future	future	j-jn	future	future	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Works	Works	vvz	Works	work	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Garrisons	Garrisons	n2	Garrisons	garrison	0
;	;	;	;	;	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
double	double	j-jn	double	double	0
intrench	intrench	vvi	entrench	entrench	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
Camps	Camps	ng1	Camps	camp	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
of	of	pp-f	of	of	0
necessity	necessity	n1	necessity	necessity	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
use	use	n1	use	use	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
intend	intend	vvb	intend	intend	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
gracious	gracious	j	gracious	gracious	0
favour	favour	n1	favour	favour	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
)	)	)	)	)	0
a	a	dt	a	a	0
speedy	speedy	j	speedy	speedy	0
and	and	cc	and	and	0
a	a	dt	a	a	0
bles	bles	n2	bles	ble	0
∣	∣	sy	∣	∣	0
sed	sed	zz	sed	sed	0
period	period	n1	perjod	period	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
miseries	miseries	n2	misery's	misery	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
poore	poore	j	poor	poor	0
and	and	cc	and	and	0
desolated	desolated	j	desolated	desolated	0
King	King	n1	King	king	0
∣	∣	sy	∣	∣	0
dome	dome	n1	dome	dome	0
.	.	.	.	.	1
If	If	cs	If	if	0
I	I	pns11	I	i	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
assured	assured	vvn	assured	assure	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
extraordinarily	extraordinarily	av-j	extraordinarily	extraordinary	0
well	well	av	well	well	0
versed	versed	vvn	versed	verse	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
ancient	ancient	j	ancient	ancient	0
and	and	cc	and	and	0
moderne	moderne	j	modern	modern	0
Histories	Histories	n2	Histories	history	0
,	,	,	,	,	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
deavour	deavour	n1	deavour	deavour	0
by	by	p-acp	by	by	0
manifold	manifold	j	manifold	manifold	0
instances	instances	n2	instances	instance	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
perswade	perswade	vvi	persuade	persuade	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
storer	storer	n1	storer	storer	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
Northerne	Northerne	j	Northern	northern	0
parts	parts	n2	parts	part	0
)	)	)	)	)	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Military	Military	j	Military	military	0
Discipline	Discipline	n1	Discipline	discipline	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ancient	ancient	j	ancient	ancient	0
Romans	Romans	njp2	Roman	roman	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
field-intrenchments	field-intrenchments	j	field-intrenchments	field-intrenchments	0
,	,	,	,	,	0
and	and	cc	and	and	0
double	double	av-jn	double	double	0
intrenched	intrenched	vvn	entrenched	entrench	0
Camps	Camps	n2	Camps	camp	0
,	,	,	,	,	0
wherebySee	wherebySee	vvb	wherebySee	wherebysee	0
Caesars	Caesars	npg1	Caesars	Caesar	0
Commenta	Commenta	fw-la	Commenta	commenta	0
∣	∣	sy	∣	∣	0
ries	ries	vvz	rises	rise	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
vvaries	vvaries	n2	vvaries	vvary	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gaules	Gaules	np2	Gaules	Gaul	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
Africa	Africa	np1	Africa	Africa	0
.	.	.	.	.	1
Caesar	Caesar	np1	Caesar	Caesar	0
made	made	vvd	made	make	0
himselfe	himselfe	px31	himself	himself	0
the	the	dt	the	the	0
absolute	absolute	j	absolute	absolute	0
Monarch	Monarch	n1	Monarch	monarch	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Maurice	Maurice	np1	Maurice	Maurice	0
Prince	Prince	n1	Prince	prince	0
of	of	pp-f	of	of	0
Orange	Orange	np1	Orange	Orange	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
restorer	restorer	n1	restorer	restorer	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Netherlands	Netherlands	np1	Netherlands	Netherlands	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
eternall	eternall	j	eternal	eternal	0
fame	fame	n1	fame	fame	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
certainly	certainly	av-j	certainly	certain	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
onely	onely	j	only	only	0
meanes	meanes	n2	means	mean	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
Gods	Gods	ng1	Gods	god	0
favour	favour	n1	favour	favour	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
conduce	conduce	vvi	conduce	conduce	0
these	these	d	these	these	0
civill	civill	j	civil	civil	0
distractions	distractions	n2	distractions	distraction	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
spee	spee	fw-mi	spee	spee	0
∣	∣	sy	∣	∣	0
dy	dy	n1	die	die	0
and	and	cc	and	and	0
a	a	dt	a	a	0
blessed	blessed	j-vvn	blessed	bless	0
accommodation	accommodation	n1	accommodation	accommodation	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
being	being	vbg	being	be	0
confident	confident	j	confident	confident	0
that	that	cst	that	that	0
these	these	d	these	these	0
things	things	n2	things	thing	0
are	are	vbr	are	be	0
familiar	familiar	j-jn	familiar	familiar	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
refer	refer	vvi	refer	refer	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
judicious	judicious	j	judicious	judicious	0
consideration	consideration	n1	consideration	consideration	0
;	;	;	;	;	0
and	and	cc	and	and	0
onely	onely	av-j	only	only	0
beseech	beseech	vvb	beseech	beseech	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
pleased	pleased	vvn	pleased	please	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
gracious	gracious	j	gracious	gracious	0
affability	affability	n1	affability	affability	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
particularly	particularly	av-j	particularly	particular	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
theMecaenas	theMecaenas	np1	theMecaenas	theMecaenas	0
vvas	vvas	vbds	was	be	0
the	the	dt	the	the	0
Empe	Empe	n1	Empe	empe	0
∣	∣	sy	∣	∣	0
rour	rour	n1	rour	rour	0
Augustus	Augustus	np1	Augustus	Augustus	0
Caesars	Caesars	npg1	Caesars	Caesar	0
favou	favou	n1	favou	favou	0
∣	∣	sy	∣	∣	0
rite	rite	n1	rite	rite	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Patron	Patron	n1	Patron	patron	0
of	of	pp-f	of	of	0
learning	learning	n1	learning	learning	0
.	.	.	.	.	1
Mecoenas	Mecoenas	np1	Mecoenas	Maecenas	0
to	to	p-acp	to	to	0
these	these	d	these	these	0
Essayes	Essayes	n2	Essays	essay	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
accept	accept	vvi	accept	accept	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
like	like	j	like	like	0
affection	affection	n1	affection	affection	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Artaxerxes	Artaxerxes	np1	Artaxerxes	Artaxerxes	0
the	the	dt	the	the	0
great	great	j	great	great	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Persia	Persia	np1	Persia	Persia	0
received	received	vvd	received	receive	0
two	two	crd	two	two	0
hands	hands	n2	hands	hand	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
fresh	fresh	j	fresh	fresh	0
water	water	n1	water	water	0
,	,	,	,	,	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
presented	presented	vvn	presented	present	0
unto	unto	p-acp	unto	unto	0
him	him	pno31	him	he	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
poore	poore	j	poor	poor	0
Subject	Subject	j-jn	Subject	subject	0
of	of	pp-f	of	of	0
his	his	png31	his	he	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
better	better	jc	better	better	0
gift	gift	n1	gift	gift	0
to	to	pc-acp	to	to	0
expresse	expresse	vvi	express	express	0
his	his	po31	his	his	0
love	love	n1	love	love	0
:	:	:	:	:	0
So	So	av	So	so	0
shall	shall	vmb	shall	shall	0
I	I	pns11	I	i	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
be	be	vbi	be	be	0
obliged	obliged	vvn	obliged	oblige	0
to	to	pc-acp	to	to	0
remaine	remaine	vvi	remain	remain	0
From	From	p-acp	From	from	0
London	London	np1	London	London	0
,	,	,	,	,	0
Jan.	Jan.	np1	Jan.	Jan.	1
1.	1.	crd	1.	1.	0
1645.	1645.	crd	1645.	1645.	1
