Highly	Highly	av-j	Highly	high	0
Honour	Honour	n1	Honour	honour	0
:	:	:	:	:	0
hoping	hoping	vvg	hoping	hope	0
that	that	cst	that	that	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
improve	improve	vvi	improve	improve	0
it	it	pn31	it	it	0
,	,	,	,	,	0
Godliness	Godliness	n1	Godliness	godliness	0
Epitomized	Epitomized	vvn	Epitomized	epitomize	0
,	,	,	,	,	0
contained	contained	vvn	contained	contain	0
there	there	pc-acp	there	there	0
∣	∣	sy	∣	∣	0
in	in	a-acp	in	in	0
,	,	,	,	,	0
will	will	vmb	will	will	0
bring	bring	vvi	bring	bring	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
so	so	av	so	so	0
familiar	familiar	j-jn	familiar	familiar	0
with	with	p-acp	with	with	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
that	that	cst	that	that	0
great	great	j	great	great	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Kings	Kings	n2	Kings	king	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
his	his	po31	his	his	0
Majesty	Majesty	n1	Majesty	majesty	0
and	and	cc	and	and	0
your	your	po22	your	your	0
self	self	n1	self	self	0
will	will	vmb	will	will	0
seldom	seldom	av	seldom	seldom	0
or	or	cc	or	or	0
never	never	av-x	never	never	0
be	be	vbi	be	be	0
asunder	asunder	av	asunder	asunder	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
thereupon	thereupon	av	thereupon	thereupon	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
say	say	vvi	say	say	0
like	like	av-j	like	like	0
David	David	np1	David	David	0
;	;	;	;	;	0
When	When	c-crq	When	when	0
I	I	pns11	I	i	0
awake	awake	vvb	awake	awake	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
still	still	av	still	still	0
with	with	p-acp	with	with	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
139.18	139.18	crd	139.18	139.18	0
.	.	.	.	.	0
and	and	cc	and	and	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
Prayer	Prayer	n1	Prayer	prayer	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
109.4	109.4	crd	109.4	109.4	0
.	.	.	.	.	1
(	(	(	(	(	0
so	so	av	so	so	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Hebrew	Hebrew	njp	Hebrew	hebrew	0
)	)	)	)	)	0
being	being	vbg	being	be	0
all	all	av-d	all	all	0
for	for	p-acp	for	for	0
Prayer	Prayer	n1	Prayer	prayer	0
,	,	,	,	,	0
and	and	cc	and	and	0
spending	spending	vvg	spending	spend	0
a	a	dt	a	a	0
great	great	j	great	great	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
time	time	n1	time	time	0
in	in	p-acp	in	in	0
Prayer	Prayer	n1	Prayer	prayer	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
read	read	vvn	read	read	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Godly	Godly	j	Godly	godly	0
Minister	Minister	n1	Minister	minister	0
,	,	,	,	,	0
that	that	cst	that	that	0
of	of	pp-f	of	of	0
twenty	twenty	crd	twenty	twenty	0
four	four	crd	four	four	0
Hours	Hours	n2	Hours	hour	0
,	,	,	,	,	0
he	he	pns31	he	he	0
spent	spent	vvd	spent	spend	0
eight	eight	crd	eight	eight	0
in	in	p-acp	in	in	0
Prayer	Prayer	n1	Prayer	prayer	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
expected	expected	vvn	expected	expect	0
of	of	pp-f	of	of	0
every	every	d	every	every	0
body	body	n1	body	body	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
required	required	vvd	required	require	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
Christ's	Christ's	npg1	Christ's	Christ	0
Saints	Saints	n2	Saints	saint	0
spend	spend	vvb	spend	spend	0
much	much	d	much	much	0
time	time	n1	time	time	0
in	in	p-acp	in	in	0
Prayer	Prayer	n1	Prayer	prayer	0
:	:	:	:	:	0
Pray	Pray	vvb	Pray	pray	0
often	often	av	often	often	0
,	,	,	,	,	0
and	and	cc	and	and	0
even	even	av	even	even	0
by	by	p-acp	by	by	0
Night	Night	n1	Night	night	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
Day	Day	n1	Day	day	0
,	,	,	,	,	0
Luk.	Luk.	np1	Luk.	Luk.	1
18.1	18.1	crd	18.1	18.1	0
,	,	,	,	,	0
7	7	crd	7	7	0
,	,	,	,	,	0
8.	8.	crd	8.	8.	1
Well	Well	uh-av	Well	well	0
,	,	,	,	,	0
Great	Great	j	Great	great	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
in	in	p-acp	in	in	0
God	God	np1	God	God	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
lead	lead	vvi	led	lead	0
you	you	pn22	you	you	0
into	into	p-acp	into	into	0
all	all	d	all	all	0
the	the	dt	the	the	0
Truths	Truths	n2	Truths	truth	0
and	and	cc	and	and	0
things	things	n2	things	thing	0
which	which	r-crq	which	which	0
here	here	av	here	here	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
pointed	pointed	vvn	pointed	point	0
to	to	p-acp	to	to	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	d	that	that	0
thereup	thereup	vvi	thereup	thereup	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
lead	lead	vvi	led	lead	0
such	such	d	such	such	0
a	a	dt	a	a	0
Ceraphical	Ceraphical	j	Ceraphical	ceraphical	0
,	,	,	,	,	0
Celestial	Celestial	j	Celestial	celestial	0
and	and	cc	and	and	0
Transcendental	Transcendental	j	Transcendental	transcendental	0
Life	Life	n1	Life	life	0
for	for	p-acp	for	for	0
Holiness	Holiness	n1	Holiness	holiness	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
being	being	vbg	being	be	0
ecstasied	ecstasied	vvn	ecstasied	ecstasy	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Spirit	Spirit	n1	Spirit	spirit	0
,	,	,	,	,	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
O!	O!	uh	O!	o!	0
what	what	r-crq	what	what	0
a	a	dt	a	a	0
Heaven	Heaven	n1	Heaven	heaven	0
!	!	!	!	!	0
what	what	q-crq	what	what	0
a	a	dt	a	a	0
Paradise	Paradise	n1	Paradise	paradise	0
!	!	!	!	!	0
what	what	q-crq	what	what	0
a	a	dt	a	a	0
Beatity	Beatity	n1	Beatity	beatity	0
doth	doth	vdz	does	do	0
circumscribe	circumscribe	vvi	circumscribe	circumscribe	0
me	me	pno11	me	i	0
!	!	!	!	!	1
Heaven	Heaven	n1	Heaven	heaven	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
very	very	j	very	very	0
Heart	Heart	n1	Heart	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
Heart	Heart	n1	Heart	heart	0
in	in	p-acp	in	in	0
Heaven	Heaven	n1	Heaven	heaven	0
.	.	.	.	.	1
Heaven	Heaven	n1	Heaven	heaven	0
is	is	vbz	is	be	0
high	high	j	high	high	0
,	,	,	,	,	0
I	I	pns11	I	i	0
confess	confess	vvb	confess	confess	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
not	not	xx	not	not	0
too	too	av	too	too	0
high	high	j	high	high	0
for	for	c-acp	for	for	0
Strivers	Strivers	n2	Strivers	striver	0
,	,	,	,	,	0
Wrestlers	Wrestlers	n2	Wrestlers	wrestler	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
holy	holy	j	holy	holy	0
Livers	Livers	n2	Livers	liver	0
:	:	:	:	:	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
let	let	vvb	let	let	0
us	us	pno12	us	we	0
strive	strive	vvi	strive	strive	0
,	,	,	,	,	0
Great	Great	j	Great	great	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
enter	enter	vvi	enter	enter	0
into	into	p-acp	into	into	0
Life	Life	n1	Life	life	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
sweet	sweet	j	sweet	sweet	0
and	and	cc	and	and	0
holy	holy	j	holy	holy	0
Liv	Liv	crd	Liv	liv	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
dear	dear	j-jn	dear	dear	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
Life	Life	n1	Life	life	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
strict	strict	j	strict	strict	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
pious	pious	j	pious	pious	0
,	,	,	,	,	0
most	most	ds	most	most	0
Heaven	Heaven	n1	Heaven	heaven	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
Life	Life	n1	Life	life	0
indeed	indeed	av	indeed	indeed	0
;	;	;	;	;	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
live	live	vvi	live	live	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
most	most	av-ds	most	most	0
blessed	blessed	j-vvn	blessed	bless	0
Majesty	Majesty	n1	Majesty	majesty	0
in	in	p-acp	in	in	0
Bliss	Bliss	n1	Bliss	bliss	0
and	and	cc	and	and	0
Beatity	Beatity	n1	Beatity	beatity	0
,	,	,	,	,	0
Greatness	Greatness	n1	Greatness	greatness	0
and	and	cc	and	and	0
Gladness	Gladness	n1	Gladness	gladness	0
,	,	,	,	,	0
Peace	Peace	n1	Peace	peace	0
and	and	cc	and	and	0
Prospe	Prospe	np1	Prospe	Prospe	0
∣	∣	sy	∣	∣	0
rity	rity	n1	rity	rity	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
Eternity	Eternity	n1	Eternity	eternity	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
prove	prove	vvi	prove	prove	0
so	so	av	so	so	0
,	,	,	,	,	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
beg	beg	vvb	beg	beg	0
that	that	cst	that	that	0
the	the	dt	the	the	0
great	great	j	great	great	0
and	and	cc	and	and	0
mighty	mighty	j	mighty	mighty	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
Heaven	Heaven	n1	Heaven	heaven	0
and	and	cc	and	and	0
Earth	Earth	n1	Earth	earth	0
would	would	vmd	would	will	0
write	write	vvi	write	write	0
these	these	d	these	these	0
Lines	Lines	n2	Lines	line	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Book	Book	n1	Book	book	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
own	own	d	own	own	0
Holy	Holy	j	Holy	holy	0
Finger	Finger	n1	Finger	finger	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Pen	Pen	n1	Pen	pen	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Diamond	Diamond	n1	Diamond	diamond	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Honour's	Honour's	ng1	Honour's	honour	0
Heart	Heart	n1	Heart	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
mine	mine	png11	mine	i	0
too	too	av	too	too	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
the	the	dt	the	the	0
Hearts	Hearts	n2	Hearts	heart	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
which	which	r-crq	which	which	0
shall	shall	vmb	shall	shall	0
peruse	peruse	vvi	peruse	peruse	0
and	and	cc	and	and	0
pervolve	pervolve	vvi	pervolve	pervolve	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
Amen	Amen	uh-n	Amen	amen	0
,	,	,	,	,	0
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
