HONOVRED	HONOVRED	j-vvn	HONOURED	honour	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
knowledge	knowledge	n1	knowledge	knowledge	0
those	those	d	those	those	0
many	many	d	many	many	0
kindnesses	kindnesses	n2	kindnesses	kindness	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
receiued	receiued	vvn	received	receive	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
Worship	Worship	n1	Worship	worship	0
,	,	,	,	,	0
and	and	cc	and	and	0
likewise	likewise	av	likewise	likewise	0
set	set	vvd	set	set	0
downe	downe	a-acp	down	down	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
piety	piety	n1	piety	piety	0
,	,	,	,	,	0
and	and	cc	and	and	0
good	good	j	good	good	0
workes	workes	n2	works	work	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
doe	doe	vdb	do	do	0
both	both	d	both	both	0
in	in	p-acp	in	in	0
Church	Church	n1	Church	church	0
and	and	cc	and	and	0
Commonwealth	Commonwealth	n1	Commonwealth	commonwealth	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
patterne	patterne	n1	pattern	pattern	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
brethren	brethren	n2	brothers	brethren	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
imitated	imitated	vvn	imitated	imitate	0
herein	herein	av	herein	herein	0
,	,	,	,	,	0
and	and	cc	and	and	0
especially	especially	av-j	especially	especial	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
three	three	crd	three	three	0
worthy	worthy	j	worthy	worthy	0
Knights	Knights	n2	Knights	knight	0
,	,	,	,	,	0
your	your	po22	your	your	0
sonne	sonne	n1	son	son	0
and	and	cc	and	and	0
sonnes	sonnes	n2	sons	son	0
in	in	p-acp	in	in	0
law	law	n1	law	law	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
children	children	n2	children	child	0
and	and	cc	and	and	0
posteritie	posteritie	n1	posterity	posterity	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
blessed	blessed	vvn	blessed	bless	0
,	,	,	,	,	0
and	and	cc	and	and	0
blessed	blessed	j-vvn	blessed	bless	0
them	them	pno32	them	they	0
all	all	d	all	all	0
(	(	(	(	(	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
but	but	cc-acp	but	but	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
milde	milde	j	mild	mild	0
and	and	cc	and	and	0
vertuous	vertuous	j	virtuous	virtuous	0
Lady	Lady	n1	Lady	lady	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
brought	brought	vvd	brought	bring	0
a	a	dt	a	a	0
blessing	blessing	n1	blessing	blessing	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
house	house	n1	house	house	0
)	)	)	)	)	0
equall	equall	j-jn	equal	equal	0
in	in	p-acp	in	in	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
faire	faire	j	fair	fair	0
carriage	carriage	n1	carriage	carriage	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
best	best	js	best	best	0
mans	mans	ng1	men	man	0
children	children	n2	children	child	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
know	know	vvi	know	know	0
;	;	;	;	;	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
see	see	vvb	see	see	0
not	not	xx	not	not	0
you	you	pn22	you	you	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
doe	doe	vdb	do	do	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
face	face	n1	face	face	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
glorie	glorie	n1	glory	glory	0
,	,	,	,	,	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
euer	euer	av	ever	ever	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
true	true	j	true	true	0
records	records	n2	records	record	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
pietie	pietie	n1	piety	piety	0
and	and	cc	and	and	0
practise	practise	n1	practice	practice	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
honour	honour	n1	honour	honour	0
and	and	cc	and	and	0
patterne	patterne	n1	pattern	pattern	0
for	for	p-acp	for	for	0
imita	imita	fw-la	imita	imita	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
howsoeuer	howsoeuer	c-acp	howsoever	howsoever	0
I	I	pns11	I	i	0
,	,	,	,	,	0
dust	dust	n1	dust	dust	0
and	and	cc	and	and	0
ashes	ashes	n2	ashes	ash	0
,	,	,	,	,	0
am	am	vbr	am	be	0
nothing	nothing	pix	nothing	nothing	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
none	none	pi	none	none	0
account	account	n1	account	account	0
,	,	,	,	,	0
and	and	cc	and	and	0
shall	shall	vmb	shall	shall	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
turne	turne	n1	turn	turn	0
to	to	p-acp	to	to	0
nothing	nothing	pix	nothing	nothing	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
my	my	po11	my	my	0
poore	poore	j	poor	poor	0
labours	labours	n2	labours	labour	0
of	of	pp-f	of	of	0
veritie	veritie	n1	verity	verity	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Poet	Poet	n1	Poet	poet	0
said	said	vvd	said	say	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
labors	labors	n2	labors	labor	0
of	of	pp-f	of	of	0
vanity	vanity	n1	vanity	vanity	0
,	,	,	,	,	0
that	that	cst	that	that	0
—	—	—	—	—	0
nec	nec	fw-la	nec	nec	0
Iouis	Iouis	fw-la	Iouis	jovis	0
ira	ira	fw-la	ira	ira	0
,	,	,	,	,	0
nec	nec	fw-la	nec	nec	0
ignis	ignis	fw-la	ignis	ignis	0
,	,	,	,	,	0
Nec	Nec	fw-la	Nec	nec	0
poterit	poterit	fw-la	poterit	poterit	0
ferrum	ferrum	fw-la	ferrum	ferrum	0
,	,	,	,	,	0
nec	nec	fw-la	nec	nec	0
edax	edax	fw-la	edax	edax	0
abolere	abolere	fw-la	abolere	abolere	0
vetustas	vetustas	fw-la	vetustas	vetustas	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
I	I	pns11	I	i	0
presumed	presumed	vvd	presumed	presume	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
vnfained	vnfained	j	unfeigned	unfeigned	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
insert	insert	vvi	insert	insert	0
your	your	po22	your	your	0
honoured	honoured	j-vvn	honoured	honour	0
name	name	n1	name	name	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
frontispice	frontispice	n1	frontispice	frontispiece	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
tract	tract	n1	tract	tract	0
.	.	.	.	.	1
Ac	Ac	fw-la	Ac	ac	0
∣	∣	sy	∣	∣	0
cept	cept	n1	cept	cept	0
it	it	pn31	it	it	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
token	token	n1	token	token	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
thankfull	thankfull	j	thankful	thankful	0
heart	heart	n1	heart	heart	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
though	though	cs	though	though	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
haue	haue	vhi	have	have	0
many	many	d	many	many	0
greater	greater	jc	greater	great	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
will	will	vmb	will	will	0
I	I	pns11	I	i	0
euer	euer	av	ever	ever	0
rest	rest	vvi	rest	rest	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
truest	truest	js	truest	true	0
and	and	cc	and	and	0
faithfullest	faithfullest	js	faithfullest	faithful	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	1
