ONce	ONce	a-acp	ONce	once	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
fashion	fashion	n1	fashion	fashion	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
has	has	vhz	has	have	0
done	done	vdn	done	do	0
hitherto	hitherto	av	hitherto	hitherto	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
myselfe	myselfe	px11	myself	myself	0
have	have	vhb	have	have	0
made	made	vvn	made	make	0
my	my	po11	my	my	0
own	own	d	own	own	0
subject	subject	n-jn	subject	subject	0
,	,	,	,	,	0
and	and	cc	and	and	0
squar'd	squar'd	vvn	squared	square	0
my	my	po11	my	my	0
designe	designe	n1	design	design	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
whole	whole	j-jn	whole	whole	0
quarries	quarries	n2	quarries	quarry	0
'	'	'	'	'	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
injury	injury	n1	injury	injury	0
to	to	p-acp	to	to	0
another	another	j-jn	another	another	0
man's	man's	ng1	man's	man	0
wall	wall	n1	wall	wall	0
.	.	.	.	.	1
Though	Though	cs	Though	though	0
,	,	,	,	,	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
confesse	confesse	vvi	confess	confess	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
yet	yet	av	yet	yet	0
deserv'd	deserv'd	vvn	deserved	deserve	0
to	to	pc-acp	to	to	0
challenge	challenge	vvi	challenge	challenge	0
so	so	av	so	so	0
much	much	d	much	much	0
credit	credit	n1	credit	credit	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
recommendation	recommendation	n1	recommendation	recommendation	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
first	first	ord	first	first	0
is	is	vbz	is	be	0
above	above	p-acp	above	above	0
my	my	po11	my	my	0
merit	merit	n1	merit	merit	0
;	;	;	;	;	0
so	so	av	so	so	0
the	the	dt	the	the	0
second	second	ord	second	second	0
is	is	vbz	is	be	0
too	too	av	too	too	0
verse	verse	n1	verse	verse	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
proper	proper	j	proper	proper	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
clination	clination	n1	clination	clination	0
:	:	:	:	:	0
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
I	I	pns11	I	i	0
appeale	appeale	vvb	appeal	appeal	0
rather	rather	av-c	rather	rather	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
favour	favour	n1	favour	favour	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
fortune	fortune	n1	fortune	fortune	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
lies	lies	vvz	lies	lie	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Candor	Candor	n1	Candor	candour	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Readers	Readers	n2	Readers	reader	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
take	take	vvb	take	take	0
a	a	dt	a	a	0
long	long	j	long	long	0
adieu	adieu	n1	adieu	adieu	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
the	the	dt	the	the	0
like	like	j	like	like	0
adven	adven	n1	advent	advent	0
∣	∣	sy	∣	∣	0
tures	tures	av	tures	tures	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
future	future	j-jn	future	future	0
.	.	.	.	.	1
