NExt	NExt	ord	NExt	next	0
howe	howe	c-crq	how	how	0
mi	mi	fw-mi	mi	mi	0
∣	∣	sy	∣	∣	0
raculously	raculously	av-j	raculously	raculous	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
brought	brought	vvn	brought	bring	0
home	home	av-an	home	home	0
againe	againe	av	again	again	0
:	:	:	:	:	0
your	your	po22	your	your	0
Ma.	Ma.	n1	Ma.	master	0
in	in	p-acp	in	in	0
viewing	viewing	vvg	viewing	view	0
this	this	d	this	this	0
short	short	j	short	short	0
discourse	discourse	n1	discourse	discourse	0
that	that	cst	that	that	0
followeth	followeth	vvz	follows	follow	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
part	part	n1	part	part	0
may	may	vmb	may	may	0
vnderstand	vnderstand	vvi	understand	understand	0
.	.	.	.	.	1
And	And	cc	And	and	0
since	since	c-acp	since	since	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
pleased	pleased	vvn	pleased	please	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
conuert	conuert	vvi	convert	convert	0
vs	vs	pno12	us	we	0
vnto	vnto	p-acp	unto	unto	0
his	his	po31	his	his	0
trueth	trueth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
highnes	highnes	n1	highness	highness	0
to	to	pc-acp	to	to	0
pardon	pardon	vvi	pardon	pardon	0
our	our	po12	our	our	0
offences	offences	n2	offences	offence	0
and	and	cc	and	and	0
trecheries	trecheries	n2	treacheries	treachery	0
passed	passed	vvn	passed	pass	0
,	,	,	,	,	0
we	we	pns12	we	we	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
doubt	doubt	vvi	doubt	doubt	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
behauing	behauing	vvg	behaving	behave	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
like	like	av-j	like	like	0
true	true	j	true	true	0
and	and	cc	and	and	0
perfect	perfect	j	perfect	perfect	0
paenitents	paenitents	n2-jn	penitents	penitent	0
vnto	vnto	p-acp	unto	unto	0
almighty	almighty	j-jn	almighty	almighty	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
dutifull	dutifull	j	dutiful	dutiful	0
Subiects	Subiects	n2-jn	Subjects	subject	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
highnes	highnes	n1	highness	highness	0
:	:	:	:	:	0
You	You	pn22	You	you	0
will	will	vmb	will	will	0
vouch	vouch	vvi	vouch	vouch	0
∣	∣	sy	∣	∣	0
safe	safe	j	safe	safe	0
to	to	pc-acp	to	to	0
protect	protect	vvi	protect	protect	0
vs	vs	pno12	us	we	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
time	time	n1	time	time	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
all	all	d	all	all	0
our	our	po12	our	our	0
ene	ene	av	ene	even	0
∣	∣	sy	∣	∣	0
mies	mies	np2-n	mies	mie	0
and	and	cc	and	and	0
aduersaries	aduersaries	n2	adversaries	adversary	0
whomsoeuer	whomsoeuer	ro-crq	whomsoever	whosoever	0
.	.	.	.	.	1
Jn	Jn	p-acp	Jn	in	0
hope	hope	n1	hope	hope	0
whereof	whereof	c-crq	whereof	whereof	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
haue	haue	vhb	have	have	0
presumed	presumed	vvn	presumed	presume	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Newe	Newe	j	New	new	0
yeeres	yeeres	ng2	years	year	0
gift	gift	n1	gift	gift	0
)	)	)	)	)	0
the	the	dt	the	the	0
first	first	ord	first	first	0
fruites	fruites	n2	fruits	fruit	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
repentaunce	repentaunce	n1	repentance	repentance	0
,	,	,	,	,	0
beseeching	beseeching	vvg	beseeching	beseech	0
God	God	np1	God	God	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
endue	endue	vvi	endue	endue	0
vs	vs	pno12	us	we	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
gift	gift	n1	gift	gift	0
of	of	pp-f	of	of	0
perseueraunce	perseueraunce	n1	perseverance	perseverance	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
fructifie	fructifie	vvi	fructify	fructify	0
better	better	av-jc	better	better	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
time	time	n1	time	time	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
.	.	.	.	.	1
And	And	cc	And	and	0
thus	thus	av	thus	thus	0
bee	bee	vbi	be	be	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
loth	loth	j	loath	loath	0
to	to	pc-acp	to	to	0
offende	offende	vvi	offend	offend	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
with	with	p-acp	with	with	0
manie	manie	d	many	many	0
words	words	n2	words	word	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
humbly	humbly	av-j	humbly	humble	0
crauing	crauing	vvg	craving	crave	0
pardon	pardon	n1	pardon	pardon	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
haue	haue	vhb	have	have	0
doone	doone	vdn	done	do	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
ende	ende	vvb	end	end	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
humble	humble	j	humble	humble	0
and	and	cc	and	and	0
hartie	hartie	j	hearty	hearty	0
prayers	prayers	n2	prayers	prayer	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
iestie	iestie	n1	iestie	iestie	0
may	may	vmb	may	may	0
long	long	av-j	long	long	0
liue	liue	vvi	live	live	0
and	and	cc	and	and	0
raigne	raigne	vvi	reign	reign	0
ouer	ouer	p-acp	over	over	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
setting	setting	n-vvg	setting	set	0
forth	forth	av	forth	forth	0
and	and	cc	and	and	0
aduauncing	aduauncing	vvg	advancing	advance	0
of	of	pp-f	of	of	0
Gods	Gods	n2	Gods	god	0
most	most	av-ds	most	most	0
holie	holie	j	holy	holy	0
worde	worde	n1	word	word	0
,	,	,	,	,	0
comfort	comfort	n1	comfort	comfort	0
and	and	cc	and	and	0
consolation	consolation	n1	consolation	consolation	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
good	good	j	good	good	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
and	and	cc	and	and	0
confusion	confusion	n1	confusion	confusion	0
of	of	pp-f	of	of	0
Antechrist	Antechrist	np1	Antechrist	Antechrist	0
and	and	cc	and	and	0
all	all	d	all	all	0
his	his	po31	his	his	0
adhaerents	adhaerents	n2	adherents	adherent	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
∣	∣	sy	∣	∣	0
vnto	vnto	p-acp	unto	unto	0
vnfainedlie	vnfainedlie	av-j	unfeignedly	unfeigned	0
we	we	pns12	we	we	0
saie	saie	vvb	say	say	0
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
