NOr	NOr	ccx	NOr	nor	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
readye	readye	j	ready	ready	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
theyr	theyr	po32	their	their	0
Armes	Armes	n2	Arms	arm	0
,	,	,	,	,	0
prouident	prouident	j	provident	provident	0
care	care	n1	care	care	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Commaunders	Commaunders	n2	Commanders	commander	0
and	and	cc	and	and	0
commendable	commendable	j	commendable	commendable	0
obedience	obedience	n1	obedience	obedience	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Souldier	Souldier	n1	Soldier	soldier	0
tovvards	tovvards	p-acp	towards	towards	0
his	his	po31	his	his	0
chiefe	chiefe	n-jn	chief	chief	0
,	,	,	,	,	0
it	it	pn31	it	it	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
denyed	denyed	vvn	denied	deny	0
but	but	p-acp	but	but	0
that	that	d	that	that	0
the	the	dt	the	the	0
Provinces	Provinces	n2	Provinces	province	0
haue	haue	vhb	have	have	0
received	received	vvn	received	receive	0
verye	verye	av	very	very	0
acceptable	acceptable	j	acceptable	acceptable	0
services	services	n2	services	service	0
at	at	p-acp	at	at	0
theyr	theyr	po32	their	their	0
handes	handes	n2	hands	hand	0
.	.	.	.	.	1
On	On	p-acp	On	on	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
side	side	n1	side	side	0
:	:	:	:	:	0
to	to	p-acp	to	to	0
vvhom	vvhom	ro-crq	whom	who	0
could	could	vmd	could	can	0
I	I	pns11	I	i	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
iud	iud	vvn	jud	jud	0
∣	∣	sy	∣	∣	0
gement	gement	n1	gement	gement	0
)	)	)	)	)	0
more	more	av-dc	more	more	0
fitly	fitly	av-j	fitly	fit	0
and	and	cc	and	and	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
saye	saye	vvi	say	say	0
)	)	)	)	)	0
iustly	iustly	av-j	justly	just	0
,	,	,	,	,	0
addresse	addresse	vvi	address	address	0
the	the	dt	the	the	0
proprietye	proprietye	n1	propriety	propriety	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
vvorke	vvorke	n1	work	work	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
vvorthe	vvorthe	n1	worth	worth	0
and	and	cc	and	and	0
nature	nature	n1	nature	nature	0
?	?	?	?	?	0
then	then	av	then	then	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Prince	Prince	n1	Prince	prince	0
descended	descended	vvn	descended	descend	0
from	from	p-acp	from	from	0
so	so	av	so	so	0
many	many	d	many	many	0
povverfull	povverfull	j	powerful	powerful	0
and	and	cc	and	and	0
victorious	victorious	j	victorious	victorious	0
Kinges	Kinges	n2	Kings	king	0
,	,	,	,	,	0
vvho	vvho	r-crq	who	who	0
euen	euen	av	even	even	0
by	by	p-acp	by	by	0
destyny	destyny	j	destyny	destyny	0
and	and	cc	and	and	0
iudgement	iudgement	n1	judgement	judgement	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
vvorld	vvorld	n1	world	world	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
the	the	dt	the	the	0
heyre	heyre	n1	heir	heir	0
of	of	pp-f	of	of	0
theyr	theyr	po32	their	their	0
Fortunes	Fortunes	n2	Fortune's	fortune	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
an	an	dt	and	a	0
inheritour	inheritour	n1	inheritor	inheritor	0
of	of	pp-f	of	of	0
theyr	theyr	po32	their	their	0
vertues	vertues	n2	virtues	virtue	0
also	also	av	also	also	0
:	:	:	:	:	0
then	then	av	then	then	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Prince	Prince	n1	Prince	prince	0
the	the	dt	the	the	0
sonne	sonne	n1	son	son	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
puissant	puissant	j	puissant	puissant	0
Kinge	Kinge	n1	King	king	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
his	his	po31	his	his	0
predecessours	predecessours	n2	predecessors	predecessor	0
:	:	:	:	:	0
vvho	vvho	r-crq	who	who	0
,	,	,	,	,	0
though	though	cs	though	though	0
he	he	pns31	he	he	0
blesseth	blesseth	vvz	blesses	bless	0
his	his	po31	his	his	0
Realmes	Realmes	n2	Realms	realm	0
vvith	vvith	p-acp	with	with	0
the	the	dt	the	the	0
svveetenesse	svveetenesse	n1	sweetness	sweetness	0
of	of	pp-f	of	of	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
(	(	(	(	(	0
doubtelesse	doubtelesse	av-j	doubtless	doubtless	0
)	)	)	)	)	0
he	he	pns31	he	he	0
placeth	placeth	vvz	places	place	0
the	the	dt	the	the	0
securitie	securitie	n1	security	security	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
content	content	n1	content	content	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
due	due	j-jn	due	due	0
and	and	cc	and	and	0
lavvfull	lavvfull	j	lawful	lawful	0
exercise	exercise	n1	exercise	exercise	0
of	of	pp-f	of	of	0
Armes	Armes	n2	Arms	arm	0
.	.	.	.	.	1
Lastely	Lastely	ord	Lastely	last	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
vvhom	vvhom	ro-crq	whom	who	0
rather	rather	av-c	rather	rather	0
(	(	(	(	(	0
I	I	pns11	I	i	0
saye	saye	vvb	say	say	0
)	)	)	)	)	0
should	should	vmd	should	shall	0
I	I	pns11	I	i	0
dedicate	dedicate	vvi	dedicate	dedicate	0
this	this	d	this	this	0
vvorke	vvorke	n1	work	work	0
?	?	?	?	?	0
then	then	av	then	then	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
that	that	cst	that	that	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
ovvne	ovvne	d	own	own	0
proper	proper	j	proper	proper	0
example	example	n1	example	example	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
so	so	av	so	so	0
much	much	av-d	much	much	0
beautifye	beautifye	vvi	beautify	beautify	0
and	and	cc	and	and	0
ennoble	ennoble	vvi	ennoble	ennoble	0
the	the	dt	the	the	0
practise	practise	n1	practice	practice	0
of	of	pp-f	of	of	0
Armes	Armes	n2	Arms	arm	0
,	,	,	,	,	0
vvho	vvho	r-crq	who	who	0
euen	euen	av	even	even	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
fore-springe	fore-springe	n1	fore-springe	fore-springe	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
yeares	yeares	n2	years	year	0
and	and	cc	and	and	0
amidst	amidst	p-acp	amid	amid	0
so	so	av	so	so	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
princely	princely	j	princely	princely	0
entertaynements	entertaynements	n2	entertainments	entertainment	0
fitt	fitt	j	fit	fit	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
youth	youth	n1	youth	youth	0
and	and	cc	and	and	0
state	state	n1	state	state	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
yet	yet	av	yet	yet	0
give	give	vvi	give	give	0
such	such	d	such	such	0
a	a	dt	a	a	0
lustre	lustre	n1	lustre	lustre	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
of	of	pp-f	of	of	0
Armes	Armes	n2	Arms	arm	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
continuall	continuall	j	continual	continual	0
fami	fami	fw-la	fami	fami	0
∣	∣	sy	∣	∣	0
liaritye	liaritye	n1	liaritye	liaritye	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
vvith	vvith	p-acp	with	with	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
often	often	av	often	often	0
practise	practise	vvi	practise	practise	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
saye	saye	vvi	say	say	0
,	,	,	,	,	0
and	and	cc	and	and	0
saye	saye	vvb	say	say	0
truely	truely	av-j	truly	true	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
true	true	j	true	true	0
and	and	cc	and	and	0
perfect	perfect	j	perfect	perfect	0
knovvledge	knovvledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
is	is	vbz	is	be	0
rather	rather	av-c	rather	rather	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
vvith	vvith	p-acp	with	with	0
your	your	po22	your	your	0
Highnes	Highnes	n1	Highness	highness	0
,	,	,	,	,	0
then	then	av	then	then	0
brought	brought	vvn	brought	bring	0
to	to	p-acp	to	to	0
You.	You.	pn22	You.	you	1
Therefore	Therefore	av	Therefore	therefore	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
all	all	d	all	all	0
those	those	d	those	those	0
excellent	excellent	j	excellent	excellent	0
professours	professours	n2	professors	professor	0
of	of	pp-f	of	of	0
excellent	excellent	j	excellent	excellent	0
sciences	sciences	n2	sciences	science	0
(	(	(	(	(	0
vvhere	vvhere	c-crq	where	where	0
in	in	p-acp	in	in	0
yet	yet	av	yet	yet	0
your	your	po22	your	your	0
Highnes	Highnes	n1	Highness	highness	0
excells	excells	vvz	excels	excel	0
them	them	pno32	them	they	0
all	all	d	all	all	0
)	)	)	)	)	0
are	are	vbr	are	be	0
every	every	d	every	every	0
one	one	pi	one	one	0
in	in	p-acp	in	in	0
speciall	speciall	j	special	special	0
duety	duety	n1	duty	duty	0
bound	bound	vvn	bound	bind	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
the	the	dt	the	the	0
best	best	js	best	best	0
testy	testy	j	testy	testy	0
∣	∣	sy	∣	∣	0
monye	monye	n1	money	money	0
they	they	pns32	they	they	0
can	can	vmb	can	can	0
of	of	pp-f	of	of	0
theyr	theyr	po32	their	their	0
thankefulnesse	thankefulnesse	n1	thankfulness	thankfulness	0
,	,	,	,	,	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
regard	regard	n1	regard	regard	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fauour	fauour	n1	favour	favour	0
vvhich	vvhich	r-crq	which	which	0
some	some	d	some	some	0
receive	receive	vvb	receive	receive	0
in	in	p-acp	in	in	0
being	being	vbg	being	be	0
nere	nere	av-j	never	near	0
You	You	pn22	You	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
honour	honour	n1	honour	honour	0
vvhich	vvhich	r-crq	which	which	0
You	You	pn22	You	you	0
doe	doe	vdb	do	do	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
theyr	theyr	po32	their	their	0
professions	professions	n2	professions	profession	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
not	not	xx	not	not	0
dis	dis	zf	dis	this	0
∣	∣	sy	∣	∣	0
dayninge	dayninge	vvg	dayninge	dayninge	0
to	to	p-acp	to	to	0
participate	participate	vvi	participate	participate	0
vvith	vvith	p-acp	with	with	0
theyr	theyr	po32	their	their	0
industries	industries	n2	industries	industry	0
:	:	:	:	:	0
So	So	av	So	so	0
haue	haue	vhb	have	have	0
I	I	pns11	I	i	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
humble	humble	j	humble	humble	0
and	and	cc	and	and	0
due	due	j-jn	due	due	0
respect	respect	n1	respect	respect	0
,	,	,	,	,	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
fitt	fitt	j	fit	fit	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
tender	tender	vvi	tender	tender	0
You	You	pn22	You	you	0
this	this	d	this	this	0
acknovvledgement	acknovvledgement	n1	acknowledgement	acknowledgement	0
of	of	pp-f	of	of	0
myne	myne	png11	mine	i	0
,	,	,	,	,	0
hopinge	hopinge	vvg	hoping	hope	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Highnes	Highnes	n1	Highness	highness	0
shall	shall	vmb	shall	shall	0
receive	receive	vvi	receive	receive	0
no	no	dx	no	no	0
small	small	j	small	small	0
contentement	contentement	n1	contentement	contentement	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
addinge	addinge	vvg	adding	add	0
the	the	dt	the	the	0
longe	longe	av-j	long	long	0
experience	experience	n1	experience	experience	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Nether-lands	Nether-lands	n2	Netherlands	netherland	0
practise	practise	vvb	practise	practise	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
ovvne	ovvne	d	own	own	0
knovvledge	knovvledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
ancient	ancient	j	ancient	ancient	0
Histories	Histories	n2	Histories	history	0
,	,	,	,	,	0
and	and	cc	and	and	0
those	those	d	those	those	0
vvise	vvise	j	wise	wise	0
and	and	cc	and	and	0
deep-grounded	deep-grounded	j	deep-grounded	deep-grounded	0
instructions	instructions	n2	instructions	instruction	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
great	great	j	great	great	0
Monarche	Monarche	n1	Monarch	monarch	0
the	the	dt	the	the	0
Kinge	Kinge	n1	King	king	0
Your	Your	po22	Your	your	0
Father	Father	n1	Father	father	0
.	.	.	.	.	1
