AMongest	AMongest	p-acp	Amongst	amongst	0
say	say	vvb	say	say	0
,	,	,	,	,	0
they	they	pns32	they	they	0
dare	dare	vvb	dare	dare	0
not	not	xx	not	not	0
defile	defile	vvi	defile	defile	0
their	their	po32	their	their	0
cleane	cleane	j	clean	clean	0
vndefiled	vndefiled	j	undefiled	undefiled	0
and	and	cc	and	and	0
regenerat	regenerat	j-vvn	regenerate	regenerate	0
Soules	Soules	n2	Souls	soul	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
ioyning	ioyning	vvg	joining	join	0
in	in	p-acp	in	in	0
Praier	Praier	n1	Prayer	prayer	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
hold	hold	vvb	hold	hold	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
reformed	reformed	vvn	reformed	reform	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Realme	Realme	n1	Realm	realm	0
.	.	.	.	.	1
So	So	av	So	so	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
means	means	n2	means	mean	0
they	they	pns32	they	they	0
deface	deface	vvb	deface	deface	0
so	so	av	so	so	0
much	much	av-d	much	much	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
is	is	vbz	is	be	0
our	our	po12	our	our	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
our	our	po12	our	our	0
Ministery	Ministery	n1	Ministry	ministry	0
,	,	,	,	,	0
our	our	po12	our	our	0
Orders	Orders	n1	Order	order	0
,	,	,	,	,	0
and	and	cc	and	and	0
Praiers	Praiers	n2	Prayers	prayer	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
.	.	.	.	.	1
That	That	d	That	that	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
say	say	vvb	say	say	0
is	is	vbz	is	be	0
good	good	j	good	good	0
,	,	,	,	,	0
that	that	cst	that	that	0
order	order	n1	order	order	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
obserue	obserue	vvb	observe	observe	0
is	is	vbz	is	be	0
godly	godly	j	godly	godly	0
how	how	c-crq	how	how	0
∣	∣	sy	∣	∣	0
soeuer	soeuer	av	soever	soever	0
it	it	pn31	it	it	0
bee	bee	vbi	be	be	0
:	:	:	:	:	0
they	they	pns32	they	they	0
dislike	dislike	vvb	dislike	dislike	0
all	all	d	all	all	0
others	others	n2-jn	others	other	0
but	but	p-acp	but	but	0
themselues	themselues	px32	themselves	themselves	0
and	and	cc	and	and	0
their	their	po32	their	their	0
followers	followers	n2	followers	follower	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
this	this	d	this	this	0
?	?	?	?	?	0
truly	truly	av-j	truly	true	0
euen	euen	av-j	even	even	0
the	the	dt	the	the	0
ve	ve	zz	ve	ve	0
∣	∣	sy	∣	∣	0
rie	rie	n1	rye	rye	0
practise	practise	n1	practice	practice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
false	false	j	false	false	0
apostles	apostles	n2	apostles	apostle	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
Paul	Paul	np1	Paul	Paul	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
to	to	p-acp	to	to	0
main	main	n1	main	main	0
∣	∣	sy	∣	∣	0
taine	taine	zz	taine	taine	0
gentilisme	gentilisme	n1	gentilism	gentilism	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
people	people	n1	people	people	0
,	,	,	,	,	0
defaced	defaced	vvn	defaced	deface	0
Paul	Paul	np1	Paul	Paul	0
,	,	,	,	,	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
them	them	pno32	them	they	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
leeue	leeue	n1	leave	leave	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
the	the	dt	the	the	0
apostle	apostle	n1	apostle	apostle	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
:	:	:	:	:	0
euen	euen	av	even	even	0
so	so	av	so	so	0
these	these	d	these	these	0
men	men	n2	men	man	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
instigation	instigation	n1	instigation	instigation	0
of	of	pp-f	of	of	0
Satan	Satan	np1	Satan	Satan	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
ouerthrow	ouerthrow	vvi	overthrow	overthrow	0
our	our	po12	our	our	0
Church	Church	n1	Church	church	0
and	and	cc	and	and	0
the	the	dt	the	the	0
godly	godly	j	godly	godly	0
gouern	gouern	vvb	govern	govern	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
disgrace	disgrace	n1	disgrace	disgrace	0
Paul	Paul	np1	Paul	Paul	0
,	,	,	,	,	0
and	and	cc	and	and	0
de	de	dt	the	the	0
∣	∣	sy	∣	∣	0
face	face	vvb	face	face	0
our	our	po12	our	our	0
Preachers	Preachers	n2	Preachers	preacher	0
,	,	,	,	,	0
and	and	cc	and	and	0
al	al	d	all	all	0
to	to	pc-acp	to	to	0
wound	wound	vvi	wound	wound	0
weake	weake	j	weak	weak	0
consciences	consciences	n2	consciences	conscience	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
cō	cō	fw-mi	cō	cō	0
∣	∣	sy	∣	∣	0
mendable	mendable	j	mendable	mendable	0
themselues	themselues	px32	themselves	themselves	0
&	&	cc	&	and	0
their	their	po32	their	their	0
new-fangled	new-fangled	j	newfangled	new-fangled	0
deuises	deuises	n2	devises	devise	0
.	.	.	.	.	1
This	This	d	This	this	0
their	their	po32	their	their	0
sinister	sinister	j	sinister	sinister	0
dealing	dealing	n-vvg	dealing	deal	0
hath	hath	vhz	hath	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
and	and	cc	and	and	0
doth	doth	vdz	does	do	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
day	day	n1	day	day	0
much	much	d	much	much	0
harm	harm	n1	harm	harm	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
church	church	n1	church	church	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
besides	besides	p-acp	beside	beside	0
the	the	dt	the	the	0
thinges	thinges	n2	things	thing	0
forenamed	forenamed	j-vvn	forenamed	forename	0
,	,	,	,	,	0
it	it	pn31	it	it	0
hindereth	hindereth	vvz	hindereth	hinder	0
many	many	d	many	many	0
good	good	j	good	good	0
and	and	cc	and	and	0
godly	godly	j	godly	godly	0
men	men	n2	men	man	0
from	from	p-acp	from	from	0
dooing	dooing	vdg	doing	do	0
that	that	d	that	that	0
good	good	j	good	good	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
.	.	.	.	.	1
I	I	pns11	I	i	0
considering	considering	vvg	considering	consider	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
self	self	n1	self	self	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
disposition	disposition	n1	disposition	disposition	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
men	men	n2	men	man	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
manners	manners	n2	manners	manner	0
and	and	cc	and	and	0
marke	marke	vvb	mark	mark	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
shoot	shoot	vvb	shoot	shoot	0
at	at	p-acp	at	at	0
,	,	,	,	,	0
being	being	vbg	being	be	0
by	by	p-acp	by	by	0
aucthority	aucthority	n1	authority	authority	0
called	called	vvd	called	call	0
to	to	pc-acp	to	to	0
preach	preach	vvi	preach	preach	0
at	at	p-acp	at	at	0
a	a	dt	a	a	0
visitation	visitation	n1	visitation	visitation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
reuerende	reuerende	j-jn	reverend	reverend	0
Father	Father	n1	Father	father	0
in	in	p-acp	in	in	0
God	God	np1	God	God	0
the	the	dt	the	the	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Peeterborrow	Peeterborrow	np1	Peeterborrow	Peeterborrow	0
,	,	,	,	,	0
did	did	vdd	did	do	0
there	there	a-acp	there	there	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
time	time	n1	time	time	0
then	then	av	then	then	0
serued	serued	vvn	served	serve	0
my	my	po11	my	my	0
office	office	n1	office	office	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
nature	nature	n1	nature	nature	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Text	Text	n1	Text	text	0
required	required	vvd	required	require	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
solutely	solutely	av-j	solutely	solute	0
defende	defende	vvb	defend	defend	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
so	so	av	so	so	0
greatly	greatly	av-j	greatly	great	0
dislike	dislike	vvi	dislike	dislike	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
our	our	po12	our	our	0
church	church	n1	church	church	0
and	and	cc	and	and	0
Ministerie	Ministerie	n1	Ministry	ministry	0
,	,	,	,	,	0
the	the	dt	the	the	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
communication	communication	n1	communication	communication	0
,	,	,	,	,	0
and	and	cc	and	and	0
our	our	po12	our	our	0
praiers	praiers	n2	prayers	prayer	0
.	.	.	.	.	1
Since	Since	p-acp	Since	since	0
which	which	r-crq	which	which	0
time	time	n1	time	time	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
bin	bin	vbn	been	be	0
often	often	av	often	often	0
greatly	greatly	av-j	greatly	great	0
vrged	vrged	vvn	urged	urge	0
by	by	p-acp	by	by	0
dyuers	dyuers	j	dyuers	diverse	0
good	good	j	good	good	0
men	men	n2	men	man	0
,	,	,	,	,	0
&	&	cc	&	and	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
welwillers	welwillers	n2	wellwillers	well-willer	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
publique	publique	j	public	public	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
benefite	benefite	n1	benefit	benefit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Church	Church	n1	Church	church	0
.	.	.	.	.	1
Seeing	Seeing	vvg	Seeing	see	0
their	their	po32	their	their	0
request	request	n1	request	request	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
reasonable	reasonable	j	reasonable	reasonable	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
my	my	po11	my	my	0
office	office	n1	office	office	0
bindeth	bindeth	vvz	binds	bind	0
me	me	pno11	me	i	0
not	not	xx	not	not	0
onely	onely	j	only	only	0
,	,	,	,	,	0
exhortari	exhortari	fw-la	exhortari	exhortari	0
per	per	fw-la	per	per	0
sanam	sanam	fw-la	sanam	sanam	0
doctrinam	doctrinam	fw-la	doctrinam	doctrinam	0
,	,	,	,	,	0
Titus	Titus	np1	Titus	Titus	0
1.	1.	crd	1.	1.	0
verse	verse	n1	verse	verse	0
9.	9.	crd	9.	9	0
but	but	p-acp	but	but	0
also	also	av	also	also	0
cotradicere	cotradicere	fw-la	cotradicere	cotradicere	0
maledicentibus	maledicentibus	fw-la	maledicentibus	maledicentibus	0
:	:	:	:	:	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
satisfied	satisfied	vvn	satisfied	satisfy	0
their	their	po32	their	their	0
honest	honest	j	honest	honest	0
request	request	n1	request	request	0
,	,	,	,	,	0
and	and	cc	and	and	0
suffered	suffered	vvd	suffered	suffer	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
published	published	vvn	published	publish	0
.	.	.	.	.	1
Most	Most	av-ds	Most	most	0
humblie	humblie	av-j	humbly	humble	0
crauing	crauing	vvg	craving	crave	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Honors	Honors	n2	Honours	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
others	others	n2-jn	others	other	0
which	which	r-crq	which	which	0
fauor	fauor	n1	favour	favour	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
our	our	po12	our	our	0
godly	godly	j	godly	godly	0
gouerment	gouerment	n1	government	government	0
under	under	p-acp	under	under	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
gratious	gratious	j	gracious	gracious	0
Soueraign	Soueraign	n-jn	Sovereign	sovereign	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
patronize	patronize	vvi	patronise	patronize	0
and	and	cc	and	and	0
defende	defende	vvi	defend	defend	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
so	so	av	so	so	0
shall	shall	vmb	shall	shall	0
I	I	pns11	I	i	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
couraged	couraged	vvn	couraged	courage	0
to	to	pc-acp	to	to	0
execute	execute	vvi	execute	execute	0
our	our	po12	our	our	0
offices	offices	n2	offices	office	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
onely	onely	j	only	only	0
giuer	giuer	n1	giver	giver	0
of	of	pp-f	of	of	0
aucthoritie	aucthoritie	n1	authority	authority	0
protect	protect	vvi	protect	protect	0
and	and	cc	and	and	0
defende	defende	vvi	defend	defend	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
glorie	glorie	n1	glory	glory	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
name	name	n1	name	name	0
and	and	cc	and	and	0
the	the	dt	the	the	0
benefite	benefite	n1	benefit	benefit	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mon	mon	fw-fr	mon	mon	0
wealth	wealth	n1	wealth	wealth	0
.	.	.	.	.	1
