THis	THis	d	THis	this	0
grat	grat	j	great	great	0
¦	¦	sy	¦	¦	0
full	full	j	full	full	0
:	:	:	:	:	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
countrie	countrie	n1	country	country	0
,	,	,	,	,	0
very	very	av	very	very	0
fruitful	fruitful	j	fruitful	fruitful	0
:	:	:	:	:	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
selfes	selfes	n2	selves	self	0
,	,	,	,	,	0
very	very	av	very	very	0
commendable	commendable	j	commendable	commendable	0
:	:	:	:	:	0
)	)	)	)	)	0
Towarde	Towarde	p-acp	Toward	toward	0
whom	whom	ro-crq	whom	who	0
,	,	,	,	,	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
these	these	d	these	these	0
causes	causes	n2	causes	cause	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
member	member	n1	member	member	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Coūtie	Coūtie	n1	County	county	0
with	with	p-acp	with	with	0
others	others	n2-jn	others	other	0
I	I	pns11	I	i	0
see	see	vvb	see	see	0
ioyfully	ioyfully	av-j	joyfully	joyful	0
and	and	cc	and	and	0
generally	generally	av-j	generally	general	0
:	:	:	:	:	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
two	two	crd	two	two	0
first	first	ord	first	first	0
causes	causes	n2	causes	cause	0
which	which	r-crq	which	which	0
deriued	deriued	vvn	derived	derive	0
frō	frō	p-acp	from	from	0
you	you	pn22	you	you	0
,	,	,	,	,	0
light	light	n1	light	light	0
vpon	vpon	p-acp	upon	upon	0
me	me	pno11	me	i	0
self	self	n1	self	self	0
particular	particular	j-jn	particular	particular	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
ben	ben	vbn	been	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
am	am	vbm	am	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
ve	ve	zz	ve	ve	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
louingelye	louingelye	av-vvg	lovingly	love	0
affected	affected	vvn	affected	affect	0
.	.	.	.	.	1
I	I	pns11	I	i	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
how	how	c-crq	how	how	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
more	more	av-dc	more	more	0
fitly	fitly	av-j	fitly	fit	0
and	and	cc	and	and	0
effectually	effectually	av-j	effectually	effectual	0
commend	commend	vvi	commend	commend	0
it	it	pn31	it	it	0
thē	thē	pno32	them	they	0
to	to	p-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
substance	substance	n1	substance	substance	0
,	,	,	,	,	0
an	an	dt	and	a	0
hystorie	hystorie	n1	history	history	0
:	:	:	:	:	0
treating	treating	vvg	treating	treat	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
partes	partes	n2	parts	part	0
(	(	(	(	(	0
and	and	cc	and	and	0
actions	actions	n2	actions	action	0
of	of	pp-f	of	of	0
greatest	greatest	js	greatest	great	0
weight	weight	n1	weight	weight	0
a	a	dt	a	a	0
good	good	j	good	good	0
time	time	n1	time	time	0
together	together	av	together	together	0
,	,	,	,	,	0
done	done	vdn	done	do	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
famous	famous	j	famous	famous	0
persons	persons	n2	persons	person	0
)	)	)	)	)	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
speci	speci	fw-la	speci	speci	0
∣	∣	sy	∣	∣	0
all	all	d	all	all	0
Countrie	Countrie	n1	Country	country	0
:	:	:	:	:	0
fet	fet	vvd	fetched	fetch	0
frō	frō	p-acp	from	from	0
great	great	j	great	great	0
antiquitie	antiquitie	n1	antiquity	antiquity	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
many	many	d	many	many	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
much	much	av-d	much	much	0
delighted	delighted	vvn	delighted	delight	0
with	with	p-acp	with	with	0
:	:	:	:	:	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
sundry	sundry	j	sundry	sundry	0
bookes	bookes	n2	books	book	0
with	with	p-acp	with	with	0
great	great	j	great	great	0
studie	studie	n1	study	study	0
collected	collected	vvn	collected	collect	0
,	,	,	,	,	0
painfully	painfully	av-j	painfully	painful	0
:	:	:	:	:	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
au	au	fw-fr	au	au	0
∣	∣	sy	∣	∣	0
thoure	thoure	n1	thoure	thoure	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
set	set	vvd	set	set	0
out	out	av	out	out	0
,	,	,	,	,	0
truely	truely	av-j	truly	true	0
:	:	:	:	:	0
with	with	p-acp	with	with	0
good	good	j	good	good	0
words	words	n2	words	word	0
wel	wel	av	well	well	0
placed	placed	vvn	placed	place	0
,	,	,	,	,	0
eloquent	eloquent	j	eloquent	eloquent	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
commendation	commendation	n1	commendation	commendation	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
vpon	vpon	p-acp	upon	upon	0
a	a	dt	a	a	0
fit	fit	j	fit	fit	0
occasion	occasion	n1	occasion	occasion	0
,	,	,	,	,	0
the	the	dt	the	the	0
like	like	j	like	like	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
man	man	n1	man	man	0
∣	∣	sy	∣	∣	0
ner	ner	zz	ner	ner	0
,	,	,	,	,	0
Alexander	Alexander	np1	Alexander	Alexander	0
Neuil	Neuil	np1	Neuil	Nevil	0
,	,	,	,	,	0
Norwicus	Norwicus	np1	Norwicus	Norwicus	0
.	.	.	.	.	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
Latine	Latine	jp	Latin	latin	0
lately	lately	av-j	lately	late	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Countrie	Countrie	n1	Country	country	0
,	,	,	,	,	0
knowne	knowne	vvn	known	know	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
very	very	av	very	very	0
honest	honest	j	honest	honest	0
,	,	,	,	,	0
and	and	cc	and	and	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
,	,	,	,	,	0
very	very	av	very	very	0
well	well	av	well	well	0
learned	learned	j	learned	learned	0
:	:	:	:	:	0
and	and	cc	and	and	0
so	so	av	so	so	0
vnder	vnder	p-acp	under	under	0
the	the	dt	the	the	0
au	au	fw-fr	au	au	0
∣	∣	sy	∣	∣	0
thoritie	thoritie	n1	thoritie	thoritie	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
good	good	j	good	good	0
iudgement	iudgement	n1	judgement	judgement	0
,	,	,	,	,	0
may	may	vmb	may	may	0
I	I	pns11	I	i	0
(	(	(	(	(	0
without	without	p-acp	without	without	0
blame	blame	n1	blame	blame	0
)	)	)	)	)	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
boldly	boldly	av-j	boldly	bold	0
cō	cō	fw-mi	cō	cō	0
∣	∣	sy	∣	∣	0
mend	mend	vvi	mend	mend	0
it	it	pn31	it	it	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
vtilitie	vtilitie	n1	utility	utility	0
foloweth	foloweth	vvz	followeth	follow	0
the	the	dt	the	the	0
studie	studie	n1	study	study	0
of	of	pp-f	of	of	0
Hystories	Hystories	n2	Histories	history	0
,	,	,	,	,	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
haue	haue	vhi	have	have	0
well	well	av	well	well	0
declared	declared	vvn	declared	declare	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
published	published	vvn	published	publish	0
hysto	hysto	n1	hysto	hysto	0
∣	∣	sy	∣	∣	0
ries	ries	vvz	rises	rise	0
writtē	writtē	vvn	written	write	0
by	by	p-acp	by	by	0
theim	theim	pno32	them	they	0
selfes	selfes	n2	selves	self	0
,	,	,	,	,	0
or	or	cc	or	or	0
haue	haue	vhb	have	have	0
set	set	vvn	set	set	0
out	out	av	out	out	0
Hystories	Hystories	n2	Histories	history	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
others	others	n2-jn	others	other	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
already	already	av	already	already	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
done	done	vdn	done	do	0
,	,	,	,	,	0
I	I	pns11	I	i	0
neede	neede	vvb	need	need	0
not	not	xx	not	not	0
(	(	(	(	(	0
vnlearned	vnlearned	j	unlearned	unlearned	0
mee	mee	pno11	me	i	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
)	)	)	)	)	0
therein	therein	av	therein	therein	0
say	say	vvb	say	say	0
muche	muche	av-d	much	much	0
.	.	.	.	.	1
And	And	cc	And	and	0
yet	yet	av	yet	yet	0
thus	thus	av	thus	thus	0
much	much	av-d	much	much	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
breefely	breefely	av-j	briefly	brief	0
say	say	vvi	say	say	0
,	,	,	,	,	0
and	and	cc	and	and	0
fit	fit	j	fit	fit	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
thing	thing	n1	thing	thing	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
in	in	p-acp	in	in	0
hande	hande	n1	hand	hand	0
(	(	(	(	(	0
me	me	pno11	me	i	0
thinketh	thinketh	vvz	thinketh	think	0
)	)	)	)	)	0
I	I	pns11	I	i	0
muste	muste	vmb	must	must	0
needes	needes	av	needs	needs	0
say	say	vvi	say	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
(	(	(	(	(	0
the	the	dt	the	the	0
sacred	sacred	j	sacred	sacred	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
Almightie	Almightie	j-jn	Almighty	almighty	0
God	God	np1	God	God	0
alwayes	alwayes	av	always	always	0
excepted	excepted	vvn	excepted	except	0
)	)	)	)	)	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
ei	ei	n1	ei	ei	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
instruction	instruction	n1	instruction	instruction	0
more	more	av-dc	more	more	0
profita	profita	fw-la	profita	profita	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
mindes	mindes	n2	minds	mind	0
more	more	av-dc	more	more	0
delectable	delectable	j	delectable	delectable	0
,	,	,	,	,	0
or	or	cc	or	or	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
compasse	compasse	n1	compass	compass	0
of	of	pp-f	of	of	0
common	common	j	common	common	0
vn	vn	zz	vn	vn	0
∣	∣	sy	∣	∣	0
derstanding	derstanding	n1	derstanding	derstanding	0
more	more	av-dc	more	more	0
easie	easie	j	easy	easy	0
or	or	cc	or	or	0
facile	facile	j	facile	facile	0
,	,	,	,	,	0
then	then	cs	then	than	0
the	the	dt	the	the	0
studie	studie	n1	study	study	0
of	of	pp-f	of	of	0
hystories	hystories	n2	histories	history	0
:	:	:	:	:	0
nor	nor	ccx	nor	nor	0
that	that	d	that	that	0
studie	studie	n1	study	study	0
for	for	p-acp	for	for	0
none	none	pix	none	none	0
estate	estate	n1	estate	estate	0
more	more	av-dc	more	more	0
meete	meete	j	meet	meet	0
,	,	,	,	,	0
thē	thē	pno32	them	they	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
estate	estate	n1	estate	estate	0
of	of	pp-f	of	of	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
:	:	:	:	:	0
nor	nor	ccx	nor	nor	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Gen	Gen	np1	Gen	Gen	0
∣	∣	sy	∣	∣	0
tlemen	tlemen	n2	tlemen	tleman	0
of	of	pp-f	of	of	0
Englande	Englande	np1	Englande	England	0
,	,	,	,	,	0
no	no	dx	no	no	0
Hystorie	Hystorie	n1	History	history	0
so	so	av	so	so	0
meete	meete	j	meet	meet	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Hystorie	Hystorie	n1	History	history	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
,	,	,	,	,	0
the	the	dt	the	the	0
dexteritie	dexteritie	n1	dexterity	dexterity	0
that	that	cst	that	that	0
men	men	n2	men	man	0
haue	haue	vhb	have	have	0
ey	ey	n1	ey	eye	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
in	in	p-acp	in	in	0
prouiding	prouiding	vvg	providing	provide	0
for	for	p-acp	for	for	0
theimselfes	theimselfes	px32	themselves	themselves	0
,	,	,	,	,	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
comforting	comforting	vvg	comforting	comfort	0
their	their	po32	their	their	0
freendes	freendes	n2	friends	friend	0
(	(	(	(	(	0
two	two	crd	two	two	0
very	very	av	very	very	0
good	good	j	good	good	0
things	things	n2	things	thing	0
)	)	)	)	)	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
seruing	seruing	vvg	serving	serve	0
their	their	po32	their	their	0
King	King	n1	King	king	0
and	and	cc	and	and	0
Countrie	Countrie	n1	Country	country	0
(	(	(	(	(	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
outward	outward	j	outward	outward	0
things	things	n2	things	thing	0
,	,	,	,	,	0
the	the	dt	the	the	0
best	best	js	best	best	0
thing	thing	n1	thing	thing	0
)	)	)	)	)	0
doth	doth	vdz	does	do	0
rest	rest	vvi	rest	rest	0
cheefly	cheefly	av-jn	chiefly	chief	0
vpon	vpon	p-acp	upon	upon	0
their	their	po32	their	their	0
awne	awne	d	awn	own	0
&	&	cc	&	and	0
other	other	j-jn	other	other	0
folks	folks	n2	folks	folk	0
experience	experience	n1	experience	experience	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
assuredly	assuredly	av-vvn	assuredly	assure	0
accompt	accompt	n1	account	account	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Tho	Tho	zz	Tho	tho	0
∣	∣	sy	∣	∣	0
mas	mas	n1	mass	mass	0
Moore	Moore	n1	More	moor	0
Knight	Knight	n1	Knight	knight	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
hysto	hysto	n1	hysto	hysto	0
∣	∣	sy	∣	∣	0
rie	rie	n1	rye	rye	0
of	of	pp-f	of	of	0
King	King	n1	King	king	0
Richard	Richard	np1	Richard	Richard	0
the	the	dt	the	the	0
thirde	thirde	ord	thirde	third	0
.	.	.	.	.	0
in	in	p-acp	in	in	0
an	an	dt	and	a	0
hystorie	hystorie	n1	history	history	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
tong	tong	n1	tonge	tongue	0
as	as	c-acp	as	as	0
wel	wel	av	well	well	0
written	written	vvn	written	write	0
as	as	p-acp	as	as	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
euer	euer	av	ever	ever	0
was	was	vbds	was	be	0
,	,	,	,	,	0
or	or	cc	or	or	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
euer	euer	av	ever	ever	0
shalbe	shalbe	vmb	shall	shall	0
,	,	,	,	,	0
great	great	j	great	great	0
experience	experience	n1	experience	experience	0
deriued	deriued	vvn	derived	derive	0
frō	frō	p-acp	from	from	0
a	a	dt	a	a	0
proofe	proofe	n1	proof	proof	0
of	of	pp-f	of	of	0
two	two	crd	two	two	0
such	such	d	such	such	0
things	things	n2	things	thing	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
prospe	prospe	n1	prospe	prospe	0
∣	∣	sy	∣	∣	0
ritie	ritie	n1	ritie	ritie	0
and	and	cc	and	and	0
aduersitie	aduersitie	n1	adversity	adversity	0
be	be	vbi	be	be	0
,	,	,	,	,	0
vpon	vpon	p-acp	upon	upon	0
a	a	dt	a	a	0
fit	fit	j	fit	fit	0
occa	occa	fw-it	occa	occa	0
∣	∣	sy	∣	∣	0
siō	siō	n1	sion	sion	0
vnder	vnder	p-acp	under	under	0
the	the	dt	the	the	0
person	person	n1	person	person	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
very	very	j	very	very	0
wisemā	wisemā	n1	wiseman	wiseman	0
,	,	,	,	,	0
is	is	vbz	is	be	0
rightly	rightly	av-jn	rightly	right	0
accoūted	accoūted	vvn	accounted	account	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
very	very	j	very	very	0
mo	mo	dc	more	more	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
and	and	cc	and	and	0
maistres	maistres	n2	masters	master	0
of	of	pp-f	of	of	0
wisdome	wisdome	n1	wisdom	wisdom	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
that	that	cst	that	that	0
that	that	d	that	that	0
a	a	dt	a	a	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
folkes	folkes	n2	folks	folk	0
doth	doth	vdz	does	do	0
ge	ge	zz	ge	ge	0
∣	∣	sy	∣	∣	0
nerally	nerally	av-j	nerally	neral	0
,	,	,	,	,	0
is	is	vbz	is	be	0
much	much	d	much	much	0
more	more	dc	more	more	0
then	then	cs	then	than	0
that	that	d	that	that	0
