AMongest	AMongest	p-acp	Amongst	amongst	0
his	his	po31	his	his	0
sonne	sonne	n1	son	son	0
,	,	,	,	,	0
and	and	cc	and	and	0
glorifie	glorifie	vvi	glorify	glorify	0
his	his	po31	his	his	0
name	name	n1	name	name	0
,	,	,	,	,	0
so	so	av	so	so	0
much	much	av-d	much	much	0
the	the	dt	the	the	0
father	father	n1	father	father	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
glorifieth	glorifieth	vvz	glorifieth	glorifi	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
iustifieth	iustifieth	vvz	justifieth	justifi	0
,	,	,	,	,	0
and	and	cc	and	and	0
accepteth	accepteth	vvz	accepteth	accept	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
otherwise	otherwise	av	otherwise	otherwise	0
not	not	xx	not	not	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
other	other	j-jn	other	other	0
acceptation	acceptation	n1	acceptation	acceptation	0
&	&	cc	&	and	0
fauour	fauour	n1	favour	favour	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
to	to	p-acp	to	to	0
mankinde	mankinde	n1	mankind	mankind	0
there	there	a-acp	there	there	0
is	is	vbz	is	be	0
none	none	pix	none	none	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
onely	onely	av-j	only	only	0
which	which	r-crq	which	which	0
standeth	standeth	vvz	stands	stand	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
fayth	fayth	n1	faith	faith	0
and	and	cc	and	and	0
obedient	obedient	j	obedient	obedient	0
submission	submission	n1	submission	submission	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
men	men	n2	men	man	0
to	to	p-acp	to	to	0
Christ	Christ	np1	Christ	Christ	0
their	their	po32	their	their	0
cruci	cruci	fw-la	cruci	cruci	0
∣	∣	sy	∣	∣	0
fied	fied	j	fied	fied	0
redemer	redemer	n1	redeemer	redeemer	0
,	,	,	,	,	0
and	and	cc	and	and	0
glorious	glorious	j	glorious	glorious	0
Sauiour	Sauiour	n1	Saviour	saviour	0
.	.	.	.	.	1
The	The	dt	The	the	0
reason	reason	n1	reason	reason	0
whereof	whereof	c-crq	whereof	whereof	0
standeth	standeth	vvz	stands	stand	0
thus	thus	av	thus	thus	0
.	.	.	.	.	1
First	First	ord	First	first	0
,	,	,	,	,	0
forasmuch	forasmuch	av	forasmuch	forasmuch	0
as	as	c-acp	as	as	0
no	no	dx	no	no	0
fleshe	fleshe	n1	flesh	flesh	0
els	els	av	else	else	0
is	is	vbz	is	be	0
found	found	vvn	found	find	0
iuste	iuste	j	just	just	0
,	,	,	,	,	0
so	so	av	so	so	0
is	is	vbz	is	be	0
there	there	pc-acp	there	there	0
none	none	pix	none	none	0
els	els	av	else	else	0
,	,	,	,	,	0
that	that	cst	that	that	0
cā	cā	vmb	can	can	0
stand	stand	vvi	stand	stand	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
iudgement	iudgement	n1	judgement	judgement	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
onely	onely	av-j	only	only	0
his	his	png31	his	he	0
.	.	.	.	.	1
Againe	Againe	av	Again	again	0
,	,	,	,	,	0
forsomuch	forsomuch	av	forsomuch	forsomuch	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
perfect	perfect	j	perfect	perfect	0
righteousnesse	righteousnesse	n1	righteousness	righteousness	0
wal	wal	n1	wall	wall	0
∣	∣	sy	∣	∣	0
king	king	n1	king	king	0
here	here	vvi	hear	hear	0
in	in	p-acp	in	in	0
earth	earth	n1	earth	earth	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
his	his	po31	his	his	0
hart	hart	n1	heart	hart	0
,	,	,	,	,	0
word	word	n1	word	word	0
,	,	,	,	,	0
&	&	cc	&	and	0
dede	dede	n1	deed	deed	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
aboue	aboue	p-acp	above	above	0
all	all	d	all	all	0
thinges	thinges	n2	things	thing	0
,	,	,	,	,	0
did	did	vdd	did	do	0
seeke	seeke	vvi	seek	seek	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
onely	onely	av-j	only	only	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
father	father	n1	father	father	0
:	:	:	:	:	0
so	so	av	so	so	0
his	his	po31	his	his	0
father	father	n1	father	father	0
now	now	av	now	now	0
likewise	likewise	av	likewise	likewise	0
in	in	p-acp	in	in	0
heauen	heauen	n1	heaven	heaven	0
seeketh	seeketh	vvz	seeks	seek	0
againe	againe	av	again	again	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
vp	vp	a-acp	up	up	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
set	set	vvi	set	set	0
vp	vp	a-acp	up	up	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
sonne	sonne	n1	son	son	0
.	.	.	.	.	1
Moreouer	Moreouer	av	Moreover	moreover	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
same	same	d	same	same	0
welbeloued	welbeloued	j	well-beloved	well-beloved	0
sonne	sonne	n1	son	son	0
of	of	pp-f	of	of	0
his	his	png31	his	he	0
,	,	,	,	,	0
being	being	vbg	being	be	0
here	here	av	here	here	0
so	so	av	so	so	0
innocent	innocent	j-jn	innocent	innocent	0
,	,	,	,	,	0
and	and	cc	and	and	0
giltie	giltie	j	guilty	guilty	0
of	of	pp-f	of	of	0
no	no	dx	no	no	0
death	death	n1	death	death	0
,	,	,	,	,	0
was	was	vbds	was	be	0
contented	contented	vvn	contented	content	0
notwithstanding	notwithstanding	a-acp	notwithstanding	notwithstanding	0
so	so	av	so	so	0
humbly	humbly	av-j	humbly	humble	0
to	to	pc-acp	to	to	0
debase	debase	vvi	debase	debase	0
him	him	pno31	him	he	0
self	self	n1	self	self	0
,	,	,	,	,	0
&	&	cc	&	and	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
deiected	deiected	j-vvn	dejected	deject	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
seruaunt	seruaunt	n1	servant	servant	0
vnder	vnder	p-acp	under	under	0
all	all	d	all	all	0
men	men	n2	men	man	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
obey	obey	vvi	obey	obey	0
his	his	po31	his	his	0
fathers	fathers	ng1	father's	father	0
will	will	n1	will	will	0
,	,	,	,	,	0
euen	euen	av	even	even	0
to	to	p-acp	to	to	0
death	death	n1	death	death	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
&	&	cc	&	and	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
ignominious	ignominious	j	ignominious	ignominious	0
death	death	n1	death	death	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
crosse	crosse	n1	cross	cross	0
:	:	:	:	:	0
so	so	av	so	so	0
hath	hath	vhz	hath	have	0
it	it	pn31	it	it	0
pleased	pleased	vvd	pleased	please	0
his	his	po31	his	his	0
father	father	n1	father	father	0
agayn	agayn	av	again	again	0
to	to	pc-acp	to	to	0
exalte	exalte	vvi	exalt	exalt	0
hym	hym	pno31	him	he	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
to	to	pc-acp	to	to	0
surmoūt	surmoūt	vvi	surmount	surmount	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
princes	princes	n2	princes	prince	0
and	and	cc	and	and	0
potestates	potestates	fw-la	potestates	potestates	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
soeuer	soeuer	av	soever	soever	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
power	power	n1	power	power	0
and	and	cc	and	and	0
maiestie	maiestie	n1	majesty	majesty	0
hath	hath	vhz	hath	have	0
aduaunced	aduaunced	vvn	advanced	advance	0
hym	hym	pno31	him	he	0
,	,	,	,	,	0
that	that	cst	that	that	0
euen	euen	av-j	even	even	0
the	the	dt	the	the	0
very	very	j	very	very	0
knowledge	knowledge	n1	knowledge	knowledge	0
and	and	cc	and	and	0
belefe	belefe	n1	belief	belief	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
name	name	n1	name	name	0
geueth	geueth	vvz	giveth	give	0
euerlasting	euerlasting	j	everlasting	everlasting	0
lyfe	lyfe	n1	life	life	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
sinners	sinners	n2	sinners	sinner	0
,	,	,	,	,	0
be	be	vbb	be	be	0
they	they	pns32	they	they	0
neuer	neuer	av-x	never	never	0
so	so	av	so	so	0
greuously	greuously	av-j	grievously	grievous	0
burdened	burdened	vvn	burdened	burden	0
or	or	cc	or	or	0
la	la	fw-fr	la	la	0
∣	∣	sy	∣	∣	0
den	den	n1	den	den	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
soeuer	soeuer	av	soever	soever	0
doe	doe	vdb	do	do	0
come	come	vvi	come	come	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
.	.	.	.	.	1
Wherfore	Wherfore	q-crq	Wherefore	wherefore	0
,	,	,	,	,	0
seyng	seyng	vvb	sing	sing	0
now	now	av	now	now	0
all	all	d	all	all	0
the	the	dt	the	the	0
felicitie	felicitie	n1	felicity	felicity	0
and	and	cc	and	and	0
comfort	comfort	n1	comfort	comfort	0
of	of	pp-f	of	of	0
mans	mans	ng1	men	man	0
lyfe	lyfe	n1	life	life	0
consisteth	consisteth	vvz	consisteth	consist	0
onely	onely	av-j	only	only	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
glorifying	glorifying	vvg	glorifying	glorify	0
of	of	pp-f	of	of	0
hys	hys	po31	his	his	0
name	name	n1	name	name	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
nothyng	nothyng	pix	nothing	nothing	0
els	els	av	else	else	0
:	:	:	:	:	0
what	what	r-crq	what	what	0
then	then	av	then	then	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
more	more	av-dc	more	more	0
needefull	needefull	j	needful	needful	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
health	health	n1	health	health	0
and	and	cc	and	and	0
saluation	saluation	n1	salvation	salvation	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
men	men	n2	men	man	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
preach	preach	vvi	preach	preach	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
hys	hys	po31	his	his	0
kyng	kyng	n1	king	king	0
∣	∣	sy	∣	∣	0
dome	dome	n1	dome	dome	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
glorified	glorified	vvn	glorified	glorify	0
and	and	cc	and	and	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
glorified	glorified	vvn	glorified	glorify	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
glorifie	glorifie	vvi	glorify	glorify	0
hym	hym	pno31	him	he	0
,	,	,	,	,	0
God	God	np1	God	God	0
will	will	vmb	will	will	0
sturre	sturre	vvi	stir	stir	0
vp	vp	a-acp	up	up	0
yea	yea	uh	yea	yea	0
stones	stones	n2	stones	stone	0
and	and	cc	and	and	0
wormes	wormes	n2	worms	worm	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
to	to	pc-acp	to	to	0
glorifie	glorifie	vvi	glorify	glorify	0
his	his	po31	his	his	0
sonne	sonne	n1	son	son	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
his	his	po31	his	his	0
glory	glory	n1	glory	glory	0
must	must	vmb	must	must	0
prosper	prosper	vvi	prosper	prosper	0
and	and	cc	and	and	0
encrease	encrease	vvi	increase	increase	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
length	length	n1	length	length	0
will	will	vmb	will	will	0
cast	cast	vvi	cast	cast	0
downe	downe	a-acp	down	down	0
all	all	d	all	all	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
world	world	n1	world	world	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
end	end	n1	end	end	0
no	no	dx	no	no	0
glory	glory	n1	glory	glory	0
shall	shall	vmb	shall	shall	0
stand	stand	vvi	stand	stand	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
onely	onely	av-j	only	only	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
crucified	crucified	vvn	crucified	crucify	0
.	.	.	.	.	1
S.	S.	np1	S.	S.	0
Paul	Paul	np1	Paul	Paul	0
vnderstandyng	vnderstandyng	n1	understanding	understanding	0
this	this	d	this	this	0
glorious	glorious	j	glorious	glorious	0
maiestie	maiestie	n1	majesty	majesty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sonne	sonne	n1	son	son	0
of	of	pp-f	of	of	0
God,1	God,1	np1	God,1	God,1	0
.	.	.	.	.	1
Cor.	Cor.	np1	Cor.	Cor.	0
3.	3.	crd	3.	3.	0
regarded	regarded	vvd	regarded	regard	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
no	no	uh-x	no	no	0
∣	∣	sy	∣	∣	0
thyng	thyng	n1	thing	thing	0
els	els	av	else	else	0
but	but	p-acp	but	but	0
onely	onely	j	only	only	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
,	,	,	,	,	0
&	&	cc	&	and	0
him	him	pno31	him	he	0
crucified	crucified	vvd	crucified	crucify	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
like	like	vvb	like	like	0
∣	∣	sy	∣	∣	0
wise	wise	j	wise	wise	0
our	our	po12	our	our	0
partes	partes	n2	parts	part	0
shal	shal	vmb	shall	shall	0
be	be	vbi	be	be	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
which	which	r-crq	which	which	0
be	be	vbb	be	be	0
preachers	preachers	n2	preachers	preacher	0
&	&	cc	&	and	0
mini	mini	fw-la	mini	mini	0
∣	∣	sy	∣	∣	0
sters	sters	n1	sters	sters	0
in	in	p-acp	in	in	0
Christes	Christes	npg1	Christes	Christ	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
employ	employ	vvi	employ	employ	0
all	all	d	all	all	0
our	our	po12	our	our	0
endeuour	endeuour	n1	endeavour	endeavour	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
that	that	cst	that	that	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
preached	preached	vvn	preached	preach	0
and	and	cc	and	and	0
glorified	glorified	vvn	glorified	glorify	0
,	,	,	,	,	0
espe	espe	fw-fr	espe	espe	0
∣	∣	sy	∣	∣	0
cially	cially	av-j	cially	cial	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
our	our	po12	our	our	0
dayes	dayes	n2	days	day	0
&	&	cc	&	and	0
tymes	tymes	n2	times	time	0
:	:	:	:	:	0
wherin	wherin	c-crq	wherein	wherein	0
the	the	dt	the	the	0
world	world	n1	world	world	0
semeth	semeth	vvz	seemeth	seem	0
to	to	pc-acp	to	to	0
grow	grow	vvi	grow	grow	0
in	in	p-acp	in	in	0
an	an	dt	and	a	0
vtter	vtter	j	utter	utter	0
cōtempt	cōtempt	n1	contempt	contempt	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
kingdome	kingdome	n1	kingdom	kingdom	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
omitte	omitte	vvb	omit	omit	0
first	first	ord	first	first	0
to	to	pc-acp	to	to	0
speake	speake	vvi	speak	speak	0
of	of	pp-f	of	of	0
ye	ye	dt	the	the	0
Iewes	Iewes	np2	Iewes	Jew	0
&	&	cc	&	and	0
Turkes	Turkes	np2	Turkes	Turk	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
be	be	vbb	be	be	0
professed	professed	vvn	professed	profess	0
enemyes	enemyes	n2	enemies	enemy	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Crosse	Crosse	n1	Cross	cross	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
&	&	cc	&	and	0
haue	haue	vhb	have	have	0
dispoyled	dispoyled	vvn	despoiled	despoil	0
him	him	pno31	him	he	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
portion	portion	n1	portion	portion	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
vniuersall	vniuersall	j	universal	universal	0
Church	Church	n1	Church	church	0
:	:	:	:	:	0
euen	euen	av	even	even	0
amongest	amongest	p-acp	amongst	amongst	0
vs	vs	pno12	us	we	0
which	which	r-crq	which	which	0
yet	yet	av	yet	yet	0
remaine	remaine	vvb	remain	remain	0
,	,	,	,	,	0
and	and	cc	and	and	0
beare	beare	vvi	bear	bear	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
Christiās	Christiās	np1	Christiās	Christiās	0
,	,	,	,	,	0
how	how	uh-crq	how	how	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
ny	ny	fw-fr	ny	ny	0
do	do	vdb	do	do	0
lyue	lyue	vvi	live	live	0
as	as	c-acp	as	as	0
though	though	cs	though	though	0
either	either	d	either	either	0
we	we	pns12	we	we	0
knew	knew	vvd	knew	know	0
not	not	xx	not	not	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
or	or	cc	or	or	0
beleued	beleued	vvd	believed	believe	0
not	not	xx	not	not	0
his	his	po31	his	his	0
teachyng	teachyng	n-vvg	teaching	teach	0
,	,	,	,	,	0
or	or	cc	or	or	0
passed	passed	vvd	passed	pass	0
not	not	xx	not	not	0
much	much	d	much	much	0
what	what	r-crq	what	what	0
we	we	pns12	we	we	0
professe	professe	vvb	profess	profess	0
?	?	?	?	?	1
The	The	dt	The	the	0
ignorāce	ignorāce	n1	ignorance	ignorance	0
and	and	cc	and	and	0
contempt	contempt	n1	contempt	contempt	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
.	.	.	.	.	1
Of	Of	pp-f	Of	of	0
this	this	d	this	this	0
ignorance	ignorance	n1	ignorance	ignorance	0
and	and	cc	and	and	0
contempt	contempt	n1	contempt	contempt	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
riseth	riseth	vvz	riseth	rise	0
all	all	d	all	all	0
these	these	d	these	these	0
heapes	heapes	n2	heaps	heap	0
of	of	pp-f	of	of	0
mischiefes	mischiefes	n2	mischiefs	mischief	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
dayly	dayly	av-j	daily	daily	0
growe	growe	vvi	grow	grow	0
and	and	cc	and	and	0
now	now	av	now	now	0
ouer	ouer	a-acp	over	over	0
∣	∣	sy	∣	∣	0
flow	flow	vvi	flow	flow	0
the	the	dt	the	the	0
world	world	n1	world	world	0
.	.	.	.	.	1
The	The	dt	The	the	0
deuill	deuill	n1	devil	devil	0
rageth	rageth	vvz	rages	rage	0
,	,	,	,	,	0
the	the	dt	the	the	0
Turke	Turke	np1	Turke	Turk	0
dayly	dayly	av-j	daily	daily	0
wyn	wyn	vvi	win	win	0
∣	∣	sy	∣	∣	0
neth	neth	n1	neth	neth	0
,	,	,	,	,	0
the	the	dt	the	the	0
Papist	Papist	njp	Papist	papist	0
persecuteth	persecuteth	vvz	persecuteth	persecute	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
all	all	d	all	all	0
this	this	d	this	this	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
awake	awake	vvi	awake	awake	0
vs	vs	pno12	us	we	0
to	to	pc-acp	to	to	0
seke	seke	vvi	seek	seek	0
to	to	p-acp	to	to	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
whom	whom	ro-crq	whom	who	0
onely	onely	av-j	only	only	0
lyeth	lyeth	vvz	lies	lie	0
all	all	d	all	all	0
our	our	po12	our	our	0
victorie	victorie	n1	victory	victory	0
.	.	.	.	.	1
Our	Our	po12	Our	our	0
couetous	couetous	j	covetous	covetous	0
,	,	,	,	,	0
voluptuous	voluptuous	j	voluptuous	voluptuous	0
,	,	,	,	,	0
vitious	vitious	j	vicious	vicious	0
,	,	,	,	,	0
&	&	cc	&	and	0
ambitious	ambitious	j	ambitious	ambitious	0
life	life	n1	life	life	0
,	,	,	,	,	0
what	what	q-crq	what	what	0
decla	decla	uh	decla	decla	0
∣	∣	sy	∣	∣	0
reth	reth	n1	reth	reth	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
either	either	d	either	either	0
infidelitie	infidelitie	n1	infidelity	infidelity	0
,	,	,	,	,	0
or	or	cc	or	or	0
contempt	contempt	n1	contempt	contempt	0
of	of	pp-f	of	of	0
Christes	Christes	npg1	Christes	Christ	0
kyng	kyng	n1	king	king	0
∣	∣	sy	∣	∣	0
dome	dome	n1	dome	dome	0
?	?	?	?	?	0
we	we	pns12	we	we	0
talke	talke	vvb	talk	talk	0
of	of	pp-f	of	of	0
heauen	heauen	n1	heaven	heaven	0
