THough	THough	cs	THough	though	0
left	left	vvn	left	leave	0
for	for	p-acp	for	for	0
dead	dead	j	dead	dead	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Field	Field	n1	Field	field	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Service	Service	n1	Service	service	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
late	late	j	late	late	0
Royal	Royal	j	Royal	royal	0
Father	Father	n1	Father	father	0
;	;	;	;	;	0
was	was	vbds	was	be	0
a	a	av	a	a	0
patient	patient	j	patient	patient	0
Sufferer	Sufferer	n1	Sufferer	sufferer	0
and	and	cc	and	and	0
a	a	dt	a	a	0
zealous	zealous	j	zealous	zealous	0
Petitioner	Petitioner	n1	Petitioner	petitioner	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
Your	Your	po22	Your	your	0
Majesty's	Majesty's	ng1	Majesty's	majesty	0
Restauration	Restauration	n1	Restauration	restauration	0
,	,	,	,	,	0
all	all	d	all	all	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Exile	Exile	n1	Exile	exile	0
;	;	;	;	;	0
and	and	cc	and	and	0
could	could	vmd	could	can	0
neither	neither	av-dx	neither	neither	0
by	by	p-acp	by	by	0
Threats	Threats	n2	Threats	threat	0
be	be	vbb	be	be	0
frighted	frighted	vvn	frighted	fright	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
Promi	Promi	np1	Promi	Promi	0
∣	∣	sy	∣	∣	0
ses	ses	fw-fr	ses	ses	0
allured	allured	j-vvn	allured	allure	0
from	from	p-acp	from	from	0
his	his	po31	his	his	0
Loyalty	Loyalty	n1	Loyalty	loyalty	0
;	;	;	;	;	0
hath	hath	vhz	hath	have	0
since	since	p-acp	since	since	0
Your	Your	po22	Your	your	0
Maje	Maje	fw-fr	Maje	maje	0
∣	∣	sy	∣	∣	0
sty's	sty's	ng1	sty's	sty	0
Happy	Happy	j	Happy	happy	0
Restauration	Restauration	n1	Restauration	restauration	0
spent	spent	vvd	spent	spend	0
the	the	dt	the	the	0
best	best	js	best	best	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
time	time	n1	time	time	0
in	in	p-acp	in	in	0
Your	Your	po22	Your	your	0
Majesty's	Majesty's	ng1	Majesty's	majesty	0
Service	Service	n1	Service	service	0
,	,	,	,	,	0
having	having	vhg	having	have	0
twice	twice	av	twice	twice	0
been	been	vbn	been	be	0
Chaplain	Chaplain	n1	Chaplain	chaplain	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Garrison	Garrison	n1	Garrison	garrison	0
in	in	p-acp	in	in	0
Your	Your	po22	Your	your	0
Isles	Isles	n2	Isles	isle	0
of	of	pp-f	of	of	0
Silly	Silly	j	Silly	silly	0
;	;	;	;	;	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
now	now	av	now	now	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
zeal	zeal	n1	zeal	zeal	0
he	he	pns31	he	he	0
shewed	shewed	vvd	showed	show	0
there	there	a-acp	there	there	0
to	to	p-acp	to	to	0
Gods	Gods	ng1	Gods	god	0
Glory	Glory	n1	Glory	glory	0
,	,	,	,	,	0
and	and	cc	and	and	0
Your	Your	po22	Your	your	0
Majesty's	Majesty's	ng1	Majesty's	majesty	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
deprived	deprived	vvn	deprived	deprive	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Exercise	Exercise	n1	Exercise	exercise	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Ministerial	Ministerial	j	Ministerial	ministerial	0
Function	Function	n1	Function	function	0
,	,	,	,	,	0
having	having	vhg	having	have	0
no	no	dx	no	no	0
settled	settled	j-vvn	settled	settle	0
place	place	n1	place	place	0
to	to	pc-acp	to	to	0
Officiate	Officiate	vvi	Officiate	officiate	0
in	in	p-acp	in	in	0
.	.	.	.	.	1
And	And	np1	And	And	0
wanting	wanting	vvg	wanting	want	0
other	other	j-jn	other	other	0
means	means	n2	means	mean	0
,	,	,	,	,	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
infor	infor	j	infor	infor	0
∣	∣	sy	∣	∣	0
ced	ced	j	ced	ced	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
forth	forth	av	forth	forth	0
this	this	d	this	this	0
poor	poor	j	poor	poor	0
,	,	,	,	,	0
weak	weak	j	weak	weak	0
,	,	,	,	,	0
worthless	worthless	j	worthless	worthless	0
Tractate	Tractate	vvi	Tractate	tractate	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
let	let	vvi	let	let	0
Your	Your	po22	Your	your	0
Sacred	Sacred	j	Sacred	sacred	0
Majesty	Majesty	n1	Majesty	majesty	0
and	and	cc	and	and	0
the	the	dt	the	the	0
World	World	n1	World	world	0
know	know	vvb	know	know	0
,	,	,	,	,	0
that	that	cst	that	that	0
however	however	c-acp	however	however	0
he	he	pns31	he	he	0
be	be	vbb	be	be	0
dealt	dealt	vvn	dealt	deal	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
he	he	pns31	he	he	0
still	still	av	still	still	0
is	is	vbz	is	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
live	live	vvi	live	live	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
,	,	,	,	,	1
