SEcundae	SEcundae	fw-la	SEcundae	secundae	0
them	them	pno32	them	they	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
pittie	pittie	n1	pity	pity	0
were	were	vbdr	were	be	0
it	it	pn31	it	it	0
,	,	,	,	,	0
such	such	d	such	such	0
Mirth	Mirth	n1	Mirth	mirth	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
forgotten	forgotten	vvn	forgotten	forget	0
of	of	pp-f	of	of	0
vs	vs	pno12	us	we	0
;	;	;	;	;	0
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
an	an	dt	and	a	0
end	end	n1	end	end	0
,	,	,	,	,	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
no	no	av-dx	no	no	0
more	more	dc	more	more	0
but	but	p-acp	but	but	0
—	—	—	—	—	0
Siquid	Siquid	j	Siquid	siquid	0
nouisti	nouisti	fw-la	nouisti	nouisti	0
dulcius	dulcius	fw-la	dulcius	dulcius	0
istis	istis	fw-la	istis	istis	0
.	.	.	.	.	1
Candidus	Candidus	np1	Candidus	Candidus	0
imperti	imperti	fw-la	imperti	imperti	0
;	;	;	;	;	0
si	si	fw-fr	si	si	0
non	non	fw-fr	non	non	0
,	,	,	,	,	0
hijs	hijs	fw-la	hijs	hijs	0
vtere	vtere	fw-la	vtere	vtere	0
mecum	mecum	fw-la	mecum	mecum	0
,	,	,	,	,	0
either	either	av-d	either	either	0
commend	commend	vvb	commend	commend	0
me	me	pno11	me	i	0
,	,	,	,	,	0
or	or	cc	or	or	0
come	come	vvi	come	come	0
and	and	cc	and	and	0
mend	mend	vvb	mend	mend	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
I	I	pns11	I	i	0
end	end	vvb	end	end	0
me	me	pno11	me	i	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
resolute	resolute	j	resolute	resolute	0
as	as	c-acp	as	as	0
thou	thou	pns21	thou	thou	0
art	art	vb2r	art	be	0
dissolute	dissolute	j	dissolute	dissolute	0
.	.	.	.	.	1
