WEre	WEre	vbdr	WEre	be	0
the	the	dt	the	the	0
text	text	n1	text	text	0
,	,	,	,	,	0
I	I	pns11	I	i	0
present	present	vvb	present	present	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
of	of	pp-f	of	of	0
right	right	av-jn	right	right	0
it	it	pn31	it	it	0
belongs	belongs	vvz	belongs	belong	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
all	all	d	all	all	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
token	token	n1	token	token	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
thankfulnesse	thankfulnesse	n1	thankfulness	thankfulness	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
loue	loue	n1	love	love	0
and	and	cc	and	and	0
kind	kind	n1	kind	kind	0
∣	∣	sy	∣	∣	0
nesses	nesses	n1	nesses	nesses	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
dead	dead	j	dead	dead	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
liuing	liuing	j-vvg	living	live	0
.	.	.	.	.	1
Accept	Accept	vvb	Accept	accept	0
it	it	pn31	it	it	0
,	,	,	,	,	0
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
you	you	pn22	you	you	0
,	,	,	,	,	0
&	&	cc	&	and	0
reade	reade	vvb	read	read	0
it	it	pn31	it	it	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
leisure	leisure	n1	leisure	leisure	0
;	;	;	;	;	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
blesse	blesse	vvi	bless	bless	0
this	this	d	this	this	0
little	little	j	little	little	0
mite	mite	n1	mite	mite	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
both	both	d	both	both	0
further	further	av-jc	further	further	0
your	your	po22	your	your	0
present	present	j	present	present	0
comfort	comfort	n1	comfort	comfort	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
saluation	saluation	n1	salvation	salvation	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
soule	soule	n1	soul	soul	0
.	.	.	.	.	1
