WHO	WHO	r-crq	WHO	who	0
chierefull	chierefull	j	chierefull	chierefull	0
prompte	prompte	vvb	prompt	prompt	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
of	of	pp-f	of	of	0
courage	courage	n1	courage	courage	0
,	,	,	,	,	0
study	study	vvb	study	study	0
to	to	pc-acp	to	to	0
gratifie	gratifie	vvi	gratify	gratify	0
you	you	pn22	you	you	0
,	,	,	,	,	0
study	study	vvb	study	study	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
you	you	pn22	you	you	0
beare	beare	vvb	bear	bear	0
with	with	p-acp	with	with	0
oone	oone	crd	oone	oone	0
,	,	,	,	,	0
that	that	cst	that	that	0
fayue	fayue	vvn	fayue	fayue	0
wolde	wolde	vmd	would	will	0
,	,	,	,	,	0
and	and	cc	and	and	0
neuer	neuer	av-x	never	never	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
debte	debte	n1	debt	debt	0
.	.	.	.	.	1
The	The	dt	The	the	0
fyrste	fyrste	ord	fyrste	first	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
thre	thre	crd	thre	three	0
dames	dames	n2	dams	dame	0
,	,	,	,	,	0
is	is	vbz	is	be	0
Bountyfull	Bountyfull	j	Bountiful	bountiful	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
neficence	neficence	n1	neficence	neficence	0
,	,	,	,	,	0
a	a	dt	a	a	0
lady	lady	n1	lady	lady	0
of	of	pp-f	of	of	0
louely	louely	j	lovely	lovely	0
coūtenance	coūtenance	n1	countenance	countenance	0
,	,	,	,	,	0
and	and	cc	and	and	0
noble	noble	j	noble	noble	0
stomake	stomake	n1	stomach	stomach	0
,	,	,	,	,	0
one	one	pi	one	one	0
that	that	cst	that	that	0
alwaies	alwaies	av	always	always	0
longeth	longeth	vvz	longeth	long	0
,	,	,	,	,	0
styl	styl	av	still	still	0
hauing	hauing	vhg	having	have	0
that	that	d	that	that	0
she	she	pns31	she	she	0
longeth	longeth	vvz	longeth	long	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
alwayes	alwayes	av	always	always	0
with	with	p-acp	with	with	0
childe	childe	n1	child	child	0
,	,	,	,	,	0
and	and	cc	and	and	0
stil	stil	av	still	still	0
de	de	dt	the	the	0
∣	∣	sy	∣	∣	0
lyuered	lyuered	vvn	lyuered	lyuer	0
,	,	,	,	,	0
alway	alway	av	always	always	0
profytynge	profytynge	vvg	profiting	profit	0
,	,	,	,	,	0
and	and	cc	and	and	0
styll	styll	av	still	still	0
lustynge	lustynge	j-vvg	lusting	lust	0
to	to	pc-acp	to	to	0
profite	profite	vvi	profit	profit	0
,	,	,	,	,	0
alwaye	alwaye	av	alway	always	0
helpynge	helpynge	vvg	helping	help	0
some	some	d	some	some	0
,	,	,	,	,	0
and	and	cc	and	and	0
styll	styll	av	still	still	0
desyrefull	desyrefull	j	desyrefull	desyrefull	0
to	to	pc-acp	to	to	0
helppe	helppe	vvi	help	help	0
mo	mo	dc	more	more	0
.	.	.	.	.	1
The	The	dt	The	the	0
grekes	grekes	njpg2	greeks	greek	0
name	name	n1	name	name	0
her	her	pno31	her	she	0
sometyme	sometyme	av	sometime	sometime	0
Eurydomene	Eurydomene	np1	Eurydomene	Eurydomene	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
signifieth	signifieth	vvz	signifies	signify	0
a	a	dt	a	a	0
lar	lar	n1	lar	lar	0
∣	∣	sy	∣	∣	0
ge	ge	zz	ge	ge	0
and	and	cc	and	and	0
a	a	dt	a	a	0
plentifull	plentifull	j	plentiful	plentiful	0
gyuer	gyuer	n1	gyuer	gyuer	0
,	,	,	,	,	0
some	some	d	some	some	0
tyme	tyme	n1	time	time	0
Aglaia	Aglaia	np1	Aglaia	Aglaia	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
soundeth	soundeth	vvz	soundeth	sound	0
amonges	amonges	p-acp	among	among	0
vs	vs	pno12	us	we	0
gladnes	gladnes	n1	gladness	gladness	0
,	,	,	,	,	0
teachyng	teachyng	n-vvg	teaching	teach	0
men	men	n2	men	man	0
euen	euen	av	even	even	0
by	by	p-acp	by	by	0
her	her	po31	her	her	0
name	name	n1	name	name	0
,	,	,	,	,	0
that	that	cst	that	that	0
of	of	pp-f	of	of	0
dutie	dutie	n1	duty	duty	0
,	,	,	,	,	0
benefittes	benefittes	n2	benefits	benefit	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
gyuen	gyuen	vvn	given	give	0
chierefully	chierefully	av-j	chierefully	chiereful	0
.	.	.	.	.	1
The	The	dt	The	the	0
seconde	seconde	ord	seconde	second	0
ladye	ladye	n1	lady	lady	0
is	is	vbz	is	be	0
Thankefulnes	Thankefulnes	n1	Thankfulness	thankfulness	0
of	of	pp-f	of	of	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
neuer	neuer	av-x	never	never	0
forgettynge	forgettynge	vvg	forgetting	forget	0
benefyttes	benefyttes	n2	benefyttes	benefytte	0
receyued	receyued	vvn	received	receive	0
,	,	,	,	,	0
her	her	po31	her	her	0
name	name	n1	name	name	0
is	is	vbz	is	be	0
Thalia	Thalia	np1	Thalia	Thalia	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
sygnifieth	sygnifieth	vvz	signifieth	signifi	0
fresshenes	fresshenes	n1	fresshenes	fresshenes	0
or	or	cc	or	or	0
greenenesse	greenenesse	n1	greenness	greenness	0
,	,	,	,	,	0
bycause	bycause	c-acp	because	because	0
du	du	fw-fr	du	du	0
∣	∣	sy	∣	∣	0
tie	tie	n1	tie	tie	0
and	and	cc	and	and	0
honestie	honestie	n1	honesty	honesty	0
woll	woll	vmb	will	will	0
,	,	,	,	,	0
all	all	d	all	all	0
pleasures	pleasures	n2	pleasures	pleasure	0
,	,	,	,	,	0
all	all	d	all	all	0
benefites	benefites	n2	benefits	benefit	0
styll	styll	av	still	still	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
fresshe	fresshe	j	fresh	fresh	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
∣	∣	sy	∣	∣	0
mory	mory	n1	mory	mory	0
,	,	,	,	,	0
styll	styll	av	still	still	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
greene	greene	j-jn	green	green	0
,	,	,	,	,	0
neuer	neuer	av-x	never	never	0
to	to	pc-acp	to	to	0
wy	wy	zz	wy	wy	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
,	,	,	,	,	0
neuer	neuer	av-x	never	never	0
to	to	pc-acp	to	to	0
faade	faade	vvi	faade	faade	0
,	,	,	,	,	0
all	all	d	all	all	0
tyme	tyme	n1	time	time	0
to	to	pc-acp	to	to	0
flo	flo	vvi	flo	flo	0
∣	∣	sy	∣	∣	0
ryshe	ryshe	n1	ryshe	ryshe	0
.	.	.	.	.	1
The	The	dt	The	the	0
thyrd	thyrd	ord	thyrd	thyrd	0
lady	lady	n1	lady	lady	0
is	is	vbz	is	be	0
Euphrosyne	Euphrosyne	np1	Euphrosyne	Euphrosyne	0
,	,	,	,	,	0
muche	muche	av-d	much	much	0
lyke	lyke	av-j	like	like	0
her	her	po31	her	her	0
syster	syster	n1	sister	sister	0
Aglaia	Aglaia	np1	Aglaia	Aglaia	0
,	,	,	,	,	0
a	a	dt	a	a	0
damo	damo	fw-la	damo	damo	0
∣	∣	sy	∣	∣	0
sell	sell	n1	fell	saddle	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
solace	solace	n1	solace	solace	0
,	,	,	,	,	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
delectation	delectation	n1	delectation	delectation	0
,	,	,	,	,	0
continually	continually	av-j	continually	continual	0
deuisyng	deuisyng	vvg	devising	devise	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
what	what	r-crq	what	what	0
mea	mea	n1	meam	measure	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
she	she	pns31	she	she	0
may	may	vmb	may	may	0
do	do	vdi	do	do	0
pleasure	pleasure	n1	pleasure	pleasure	0
for	for	p-acp	for	for	0
pleasure	pleasure	n1	pleasure	pleasure	0
,	,	,	,	,	0
recompence	recompence	n1	recompense	recompense	0
kyndnes	kyndnes	n1	kindness	kindness	0
with	with	p-acp	with	with	0
kyndnes	kyndnes	n1	kindness	kindness	0
.	.	.	.	.	1
Authors	Authors	ng1	Authors	author	0
of	of	pp-f	of	of	0
greate	greate	j	great	great	0
name	name	n1	name	name	0
and	and	cc	and	and	0
muche	muche	d	much	much	0
wysedome	wysedome	n1	wisdom	wisdom	0
,	,	,	,	,	0
make	make	vvb	make	make	0
these	these	d	these	these	0
thre	thre	crd	thre	three	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
go	go	vvi	go	go	0
all	all	d	all	all	0
hande	hande	n1	hand	hand	0
in	in	p-acp	in	in	0
hande	hande	n1	hand	hand	0
,	,	,	,	,	0
the	the	dt	the	the	0
fyrste	fyrste	ord	fyrste	first	0
lokyng	lokyng	vvg	looking	look	0
styl	styl	av	still	still	0
forwarde	forwarde	av-j	forward	forward	0
,	,	,	,	,	0
not	not	xx	not	not	0
ones	ones	pi2	ones	one	0
castynge	castynge	vvg	casting	cast	0
her	her	po31	her	her	0
eye	eye	n1	eye	eye	0
backe	backe	av	back	back	0
,	,	,	,	,	0
neuer	neuer	av-x	never	never	0
imbraydyng	imbraydyng	vvg	imbraiding	imbraid	0
benefites	benefites	n2	benefits	benefit	0
giuen	giuen	vvn	given	give	0
and	and	cc	and	and	0
paste	paste	j	past	past	0
.	.	.	.	.	1
The	The	dt	The	the	0
seconde	seconde	ord	seconde	second	0
and	and	cc	and	and	0
the	the	dt	the	the	0
thyrde	thyrde	ord	thyrde	three	0
euer	euer	av	ever	ever	0
more	more	dc	more	more	0
beholding	beholding	vvg	beholding	behold	0
the	the	dt	the	the	0
fyrst	fyrst	ord	fyrst	first	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
amiable	amiable	j	amiable	amiable	0
coūtenance	coūtenance	n1	countenance	countenance	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
feith	feith	n1	faith	faith	0
¦	¦	sy	¦	¦	0
full	full	j	full	full	0
eye	eye	n1	eye	eye	0
of	of	pp-f	of	of	0
remembrance	remembrance	n1	remembrance	remembrance	0
,	,	,	,	,	0
and	and	cc	and	and	0
full	full	j	full	full	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
tente	tente	n1	tent	tent	0
of	of	pp-f	of	of	0
recompence	recompence	n1	recompense	recompense	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
farre	farre	av-j	far	far	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
po	po	av	po	po	0
∣	∣	sy	∣	∣	0
wer	wer	fw-ge	wer	wer	0
,	,	,	,	,	0
fordred	fordred	vvn	fordred	fordr	0
with	with	p-acp	with	with	0
mooste	mooste	ds	most	most	0
desyre	desyre	n1	desire	desire	0
may	may	vmb	may	may	0
or	or	cc	or	or	0
can	can	vmb	can	can	0
.	.	.	.	.	1
Under	Under	p-acp	Under	under	0
suche	suche	d	such	such	0
cloudes	cloudes	n2	clouds	cloud	0
,	,	,	,	,	0
sage	sage	j-jn	sage	sage	0
and	and	cc	and	and	0
graue	graue	j	graven	grave	0
wryters	wryters	n2	writers	writer	0
,	,	,	,	,	0
are	are	vbr	are	be	0
wonte	wonte	j	wont	wont	0
darckly	darckly	av-j	darkly	dark	0
to	to	pc-acp	to	to	0
insinuate	insinuate	vvi	insinuate	insinuate	0
thynges	thynges	n2	things	thing	0
of	of	pp-f	of	of	0
greate	greate	j	great	great	0
weyght	weyght	n1	weight	weight	0
,	,	,	,	,	0
thynges	thynges	n2	things	thing	0
very	very	av	very	very	0
necessary	necessary	j	necessary	necessary	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
quiet	quiet	j-jn	quiet	quiet	0
and	and	cc	and	and	0
honest	honest	j	honest	honest	0
leadyng	leadyng	vvg	leading	lead	0
of	of	pp-f	of	of	0
mannes	mannes	ng1	man's	man	0
lyfe	lyfe	n1	life	life	0
,	,	,	,	,	0
thynges	thynges	n2	things	thing	0
worthy	worthy	j	worthy	worthy	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
men	men	n2	men	man	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
braced	braced	j-vvn	braced	brace	0
,	,	,	,	,	0
worthy	worthy	j	worthy	worthy	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
set	set	vvn	set	set	0
fixed	fixed	vvn	fixed	fix	0
and	and	cc	and	and	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
grafted	grafted	vvn	grafted	graft	0
in	in	p-acp	in	in	0
al	al	d	all	all	0
mens	mens	ng2	men's	man	0
hartes	hartes	n2	hearts	heart	0
.	.	.	.	.	1
They	They	pns32	They	they	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
ceyued	ceyued	vvd	ceyued	ceyue	0
,	,	,	,	,	0
that	that	cst	that	that	0
moral	moral	j	moral	moral	0
preceptes	preceptes	n2	precepts	precept	0
plesant	plesant	j	pleasant	pleasant	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
set	set	vvb	set	set	0
out	out	av	out	out	0
in	in	p-acp	in	in	0
feate	feate	n1	feat	feat	0
colours	colours	n2	colours	colour	0
of	of	pp-f	of	of	0
wyttie	wyttie	j	witty	witty	0
phantasies	phantasies	n2	fantasies	fantasy	0
,	,	,	,	,	0
both	both	d	both	both	0
crepe	crepe	vvb	creep	creep	0
faster	faster	av-jc	faster	fast	0
into	into	p-acp	into	into	0
out	out	av	out	out	0
bosomes	bosomes	n2	bosoms	bosom	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
tarye	tarye	vvb	tarry	tarry	0
there	there	a-acp	there	there	0
with	with	p-acp	with	with	0
muche	muche	d	much	much	0
more	more	dc	more	more	0
delectation	delectation	n1	delectation	delectation	0
and	and	cc	and	and	0
profite	profite	n1	profit	profit	0
,	,	,	,	,	0
than	than	cs	than	than	0
they	they	pns32	they	they	0
wolde	wolde	vmd	would	will	0
,	,	,	,	,	0
beyng	beyng	vbg	being	be	0
playnly	playnly	av-j	plainly	plain	0
spo	spo	zz	spo	spo	0
∣	∣	sy	∣	∣	0
ken	ken	n1	ken	ken	0
.	.	.	.	.	0
wherfore	wherfore	c-crq	wherefore	wherefore	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
nowe	nowe	av	now	now	0
see	see	vvi	see	see	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
they	they	pns32	they	they	0
mente	mente	fw-la	mente	mente	0
by	by	p-acp	by	by	0
those	those	d	those	those	0
three	three	crd	three	three	0
ladyes	ladyes	n2	ladies	lady	0
,	,	,	,	,	0
soo	soo	av	so	so	0
you	you	pn22	you	you	0
muste	muste	vmb	must	must	0
also	also	av	also	also	0
nedes	nedes	av	needs	needs	0
see	see	vvi	see	see	0
,	,	,	,	,	0
howe	howe	c-crq	how	how	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
bounde	bounde	vvn	bound	bind	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
owe	owe	vvi	owe	owe	0
you	you	pn22	you	you	0
my	my	po11	my	my	0
harte	harte	n1	heart	heart	0
,	,	,	,	,	0
my	my	po11	my	my	0
ser	ser	n1	sir	sir	0
∣	∣	sy	∣	∣	0
uyce	uyce	n1	vice	vice	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
al	al	d	all	all	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
bothe	bothe	d	both	both	0
may	may	vmb	may	may	0
do	do	vdi	do	do	0
for	for	c-acp	for	for	0
you	you	pn22	you	you	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
how	how	q-crq	how	how	0
can	can	vmb	can	can	0
I	I	pns11	I	i	0
,	,	,	,	,	0
my	my	po11	my	my	0
lord	lord	n1	lord	lord	0
your	your	po22	your	your	0
father	father	n1	father	father	0
,	,	,	,	,	0
beyng	beyng	vbg	being	be	0
so	so	av	so	so	0
far	far	av-j	far	far	0
in	in	p-acp	in	in	0
amours	amours	n2	amours	amour	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
that	that	cst	that	that	0
louely	louely	j	lovely	lovely	0
ladye	ladye	n1	lady	lady	0
Eurydomene	Eurydomene	np1	Eurydomene	Eurydomene	0
,	,	,	,	,	0
leaue	leaue	vvb	leave	leave	0
myne	myne	po11	mine	my	0
attendance	attendance	n1	attendance	attendance	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
two	two	crd	two	two	0
damoisels	damoisels	n2	damosels	damosel	0
,	,	,	,	,	0
before	before	p-acp	before	before	0
life	life	n1	life	life	0
leaue	leaue	vvb	leave	leave	0
me	me	pno11	me	i	0
?	?	?	?	?	1
How	How	q-crq	How	how	0
canne	canne	vmb	can	can	0
I	I	pns11	I	i	0
,	,	,	,	,	0
beyng	beyng	vbg	being	be	0
enuyronned	enuyronned	vvn	environed	environ	0
with	with	p-acp	with	with	0
soo	soo	av	so	so	0
many	many	d	many	many	0
and	and	cc	and	and	0
ample	ample	j	ample	ample	0
his	his	po31	his	his	0
benefites	benefites	n2	benefits	benefit	0
,	,	,	,	,	0
not	not	xx	not	not	0
desyre	desyre	vvi	desire	desire	0
Thalia	Thalia	np1	Thalia	Thalia	0
&	&	cc	&	and	0
Euphrosyne	Euphrosyne	np1	Euphrosyne	Euphrosyne	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
bothe	bothe	d	both	both	0
reporte	reporte	vvb	report	report	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
lacke	lacke	vvi	lack	lack	0
power	power	n1	power	power	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
no	no	dx	no	no	0
good	good	j	good	good	0
wyll	wyll	n1	will	will	0
,	,	,	,	,	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
they	they	pns32	they	they	0
bothe	bothe	d	both	both	0
shal	shal	vmb	shall	shall	0
haue	haue	vhi	have	have	0
good	good	j	good	good	0
cause	cause	n1	cause	cause	0
,	,	,	,	,	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
.	.	.	.	.	1
Certes	Certes	av	Certes	certes	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
sene	sene	vvn	seen	see	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
either	either	d	either	either	0
my	my	po11	my	my	0
lyttel	lyttel	j	little	little	0
wit	wit	n1	wit	wit	0
,	,	,	,	,	0
or	or	cc	or	or	0
poore	poore	j	poor	poor	0
harte	harte	n1	heart	heart	0
might	might	vmd	might	may	0
better	better	av-j	better	better	0
haue	haue	vhi	have	have	0
ser	ser	fw-es	ser	ser	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
his	his	po31	his	his	0
lordeshyp	lordeshyp	n1	lordship	lordship	0
,	,	,	,	,	0
then	then	av	then	then	0
in	in	p-acp	in	in	0
openynge	openynge	vvg	opening	open	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
his	his	po31	his	his	0
dere	dere	n1	dear	deer	0
and	and	cc	and	and	0
entierly	entierly	av-j	entirely	entire	0
belo	belo	fw-la	belo	belo	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
sonne	sonne	n1	son	son	0
,	,	,	,	,	0
suche	suche	d	such	such	0
preceptes	preceptes	n2	precepts	precept	0
of	of	pp-f	of	of	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
make	make	vvi	make	make	0
you	you	pn22	you	you	0
most	most	av-ds	most	most	0
lyke	lyke	vvb	like	like	0
your	your	po22	your	your	0
no	no	uh-x	no	no	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
father	father	n1	father	father	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
noo	noo	uh-dx	no	no	0
peynes	peynes	n2	pains	pain	0
that	that	cst	that	that	0
coulde	coulde	vmd	could	can	0
haue	haue	vhi	have	have	0
kepte	kepte	vvd	kept	keep	0
me	me	pno11	me	i	0
from	from	p-acp	from	from	0
doyng	doyng	vdg	doing	do	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Assure	Assure	vvb	Assure	assure	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
mayster	mayster	vvb	master	master	0
Crum	Crum	n1	Crumb	crumb	0
∣	∣	sy	∣	∣	0
well	well	uh-av	well	well	0
,	,	,	,	,	0
if	if	cs	if	if	0
labour	labour	n1	labour	labour	0
,	,	,	,	,	0
and	and	cc	and	and	0
harte	harte	n1	heart	heart	0
may	may	vmb	may	may	0
paye	paye	vvi	pay	pay	0
the	the	dt	the	the	0
tribute	tribute	n1	tribute	tribute	0
,	,	,	,	,	0
that	that	cst	that	that	0
loue	loue	n1	love	love	0
oweth	oweth	vvz	owes	owe	0
,	,	,	,	,	0
you	you	pn22	you	you	0
shal	shal	vmb	shall	shall	0
neuer	neuer	av-x	never	never	0
nede	nede	vvi	need	need	0
to	to	p-acp	to	to	0
areste	areste	fw-fr	areste	areste	0
me	me	pno11	me	i	0
.	.	.	.	.	1
This	This	d	This	this	0
boke	boke	n1	book	book	0
,	,	,	,	,	0
was	was	vbds	was	be	0
gathered	gathered	vvn	gathered	gather	0
by	by	p-acp	by	by	0
Ludouicus	Ludouicus	np1	Ludouicus	Ludouicus	0
Uiues	Uiues	np1	Uiues	Uiues	0
,	,	,	,	,	0
a	a	dt	a	a	0
man	man	n1	man	man	0
greatly	greatly	av-j	greatly	great	0
conuersant	conuersant	j	conversant	conversant	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
good	good	j	good	good	0
authores	authores	n2	authores	authore	0
,	,	,	,	,	0
and	and	cc	and	and	0
excellently	excellently	av-j	excellently	excellent	0
wel	wel	av	well	well	0
sene	sene	vvn	seen	see	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
kyndes	kyndes	n2	kinds	kind	0
of	of	pp-f	of	of	0
learnyng	learnyng	n1	learning	learning	0
.	.	.	.	.	1
The	The	dt	The	the	0
booke	booke	n1	book	book	0
hathe	hathe	vhz	hath	have	0
vndoutedly	vndoutedly	av-j	undoubtedly	undoubted	0
,	,	,	,	,	0
muche	muche	av-d	much	much	0
more	more	av-dc	more	more	0
lieng	lieng	vvg	lying	lie	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
bosome	bosome	n1	bosom	bosom	0
,	,	,	,	,	0
than	than	cs	than	than	0
the	the	dt	the	the	0
tytle	tytle	n1	title	title	0
promy	promy	n1	promy	promy	0
∣	∣	sy	∣	∣	0
seth	seth	vvz	seth	se	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
forehed	forehed	n1	forehead	forehead	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
an	an	dt	and	a	0
Introduction	Introduction	n1	Introduction	introduction	0
to	to	p-acp	to	to	0
wysedome	wysedome	n1	wisdom	wisdom	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
if	if	cs	if	if	0
ye	ye	pn22	you	you	0
goo	goo	vvb	goo	go	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
leadeth	leadeth	vvz	leads	lead	0
you	you	pn22	you	you	0
,	,	,	,	,	0
it	it	pn31	it	it	0
introduceth	introduceth	vvz	introduceth	introduce	0
wysedome	wysedome	n1	wisdom	wisdom	0
into	into	p-acp	into	into	0
you	you	pn22	you	you	0
,	,	,	,	,	0
rootyng	rootyng	j-vvg	rooting	root	0
the	the	dt	the	the	0
loue	loue	n1	love	love	0
and	and	cc	and	and	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
vertue	vertue	n1	virtue	virtue	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
harte	harte	n1	heart	heart	0
,	,	,	,	,	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
tyrping	tyrping	vvg	tyrping	tyrp	0
from	from	p-acp	from	from	0
it	it	pn31	it	it	0
al	al	d	all	all	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
vyce	vyce	n1	vice	vice	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
vncleannesse	vncleannesse	n1	uncleanness	uncleanness	0
,	,	,	,	,	0
furnishing	furnishing	vvg	furnishing	furnish	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
generall	generall	j	general	general	0
