sweetest	sweetest	js	sweetest	sweet	0
else	else	av	else	else	0
forget	forget	vvi	forget	forget	0
:	:	:	:	:	0
and	and	cc	and	and	0
a	a	dt	a	a	0
good	good	j	good	good	0
Remembrancer	Remembrancer	n1	Remembrancer	remembrancer	0
,	,	,	,	,	0
is	is	vbz	is	be	0
none	none	pix	none	none	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
mea	mea	zz	mea	mea	0
∣	∣	sy	∣	∣	0
nest	nest	n1	nest	nest	0
,	,	,	,	,	0
amongst	amongst	p-acp	among	among	0
a	a	dt	a	a	0
Princes	Princes	ng1	Princes	prince	0
Officers	Officers	n2	Officers	officer	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
leaving	leaving	vvg	leaving	leave	0
this	this	d	this	this	0
high	high	j	high	high	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Apo	Apo	p-acp	Upon	upon	0
∣	∣	sy	∣	∣	0
stolicall	stolicall	j	stolicall	stolicall	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
whom	whom	ro-crq	whom	who	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
hath	hath	vhz	hath	have	0
many	many	d	many	many	0
about	about	p-acp	about	about	0
you	you	pn22	you	you	0
;	;	;	;	;	0
and	and	cc	and	and	0
some	some	d	some	some	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
eminent	eminent	j	eminent	eminent	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Pillars	Pillars	n2	Pillars	pillar	0
;	;	;	;	;	0
I	I	pns11	I	i	0
onely	onely	av-j	only	only	0
with	with	p-acp	with	with	0
low	low	j	low	low	0
Zacheus	Zacheus	np1	Zacheus	Zacheus	0
,	,	,	,	,	0
climb	climb	vvb	climb	climb	0
up	up	a-acp	up	up	0
into	into	p-acp	into	into	0
this	this	d	this	this	0
Tree	Tree	n1	Tree	tree	0
of	of	pp-f	of	of	0
Devotion	Devotion	n1	Devotion	devotion	0
:	:	:	:	:	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
contemplation	contemplation	n1	contemplation	contemplation	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
vertues	vertues	n2	virtues	virtue	0
,	,	,	,	,	0
the	the	dt	the	the	0
fit	fit	n1	fit	fit	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
to	to	p-acp	to	to	0
pray	pray	n1	prey	prey	0
:	:	:	:	:	0
that	that	cst	that	that	0
all	all	d	all	all	0
the	the	dt	the	the	0
blessings	blessings	n2	blessings	blessing	0
on	on	p-acp	on	on	0
mount	mount	n1	mount	mount	0
Gerizim	Gerizim	np1	Gerizim	Gerizim	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
;	;	;	;	;	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
next	next	ord	next	next	0
,	,	,	,	,	0
all	all	d	all	all	0
the	the	dt	the	the	0
blessings	blessings	n2	blessings	blessing	0
which	which	r-crq	which	which	0
Christ	Christ	np1	Christ	Christ	0
preached	preached	vvd	preached	preach	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Mount	Mount	n1	Mount	mount	0
;	;	;	;	;	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
mul	mul	fw-la	mul	mul	0
∣	∣	sy	∣	∣	0
tiplied	tiplied	vvn	tiplied	tiply	0
upon	upon	p-acp	upon	upon	0
your	your	po22	your	your	0
sacred	sacred	j	sacred	sacred	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
Person	Person	n1	Person	person	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Po	Po	np1	Po	Po	0
∣	∣	sy	∣	∣	0
steritie	steritie	n1	steritie	steritie	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
gracious	gracious	j	gracious	gracious	0
Queene	Queene	n1	Queen	queen	0
MARY	MARY	np1	MARY	MARY	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
hopefull	hopefull	j	hopeful	hopeful	0
Prince	Prince	n1	Prince	prince	0
CHARLES	CHARLES	np1	CHARLES	Charles	0
;	;	;	;	;	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Majesties	Majesties	n2	Majesties	majesty	0
most	most	av-ds	most	most	0
royall	royall	j	royal	royal	0
Issue	Issue	n1	Issue	issue	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
prayeth	prayeth	vvz	prayeth	pray	0
Your	Your	po22	Your	your	0
Majesties	Majesties	n2	Majesties	majesty	0
most	most	av-ds	most	most	0
humble	humble	j	humble	humble	0
and	and	cc	and	and	0
prostrate	prostrate	j	prostrate	prostrate	0
Subject	Subject	j-jn	Subject	subject	0
,	,	,	,	,	0
RICHARD	RICHARD	np1	RICHARD	Richard	0
BAKER	BAKER	np1	BAKER	Baker	0
,	,	,	,	,	1
