MAster	MAster	n1	MAster	master	0
Mo	Mo	zz	Mo	mo	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
Inscript	Inscript	n1	Inscript	inscript	0
.	.	.	.	.	0
cap	cap	n1	cap	cap	0
.	.	.	.	.	1
31	31	crd	31	31	0
Prouerb	Prouerb	n1	Proverb	proverb	0
.	.	.	.	.	1
:	:	:	:	:	0
Or	Or	cc	Or	or	0
,	,	,	,	,	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
consider	consider	vvb	consider	consider	0
the	the	dt	the	the	0
practise	practise	n1	practice	practice	0
of	of	pp-f	of	of	0
holy	holy	j	holy	holy	0
men	men	n2	men	man	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
ages	ages	n2	ages	age	0
,	,	,	,	,	0
both	both	d	both	both	0
ancient	ancient	j	ancient	ancient	0
and	and	cc	and	and	0
moderne	moderne	j	modern	modern	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
instance	instance	n1	instance	instance	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
writings	writings	n2	writings	write	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
late	late	j	late	late	0
and	and	cc	and	and	0
worthy	worthy	j	worthy	worthy	0
seruant	seruant	n1	servant	servant	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
Mr.	Mr.	n1	Mr.	mr.	0
Perkins	Perkins	np1	Perkins	Perkins	0
,	,	,	,	,	0
Vide	Vide	fw-la	Vide	vide	0
Aben.	Aben.	np1	Aben.	Aben.	0
Ez	Ez	fw-fr	Ez	ez	0
∣	∣	sy	∣	∣	0
ra	ra	zz	ra	ra	0
.	.	.	.	.	1
Mercer	Mercer	np1	Mercer	Mercer	0
.	.	.	.	.	1
Iun.	Iun.	np1	Iun.	Iun.	0
Cartw.	Cartw.	np1	Cartw.	Cartw.	0
Iansen	Iansen	np1	Iansen	Iansen	0
.	.	.	.	.	1
Muff	Muff	np1	Muff	Muff	0
.	.	.	.	.	0
in	in	p-acp	in	in	0
hos	hos	fw-la	hos	hos	0
locos	locos	fw-la	locos	locos	0
.	.	.	.	.	0
how	how	q-crq	how	how	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
are	are	vbr	are	be	0
extant	extant	j	extant	extant	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
neuer	neuer	av	never	never	0
dying	dying	j-vvg	dying	die	0
fame	fame	n1	fame	fame	0
?	?	?	?	?	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
published	published	vvn	published	publish	0
by	by	p-acp	by	by	0
others	others	n2-jn	others	other	0
after	after	p-acp	after	after	0
his	his	po31	his	his	0
death	death	n1	death	death	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
plainely	plainely	av-j	plainly	plain	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
seene	seene	vvn	seen	see	0
,	,	,	,	,	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
looke	looke	vvb	look	look	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Ti	Ti	fw-mi	Ti	ti	0
∣	∣	sy	∣	∣	0
tle-pages	tle-pages	n2	tle-pages	tle-page	0
of	of	pp-f	of	of	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
:	:	:	:	:	0
Wherein	Wherein	c-crq	Wherein	wherein	0
those	those	d	those	those	0
worthies	worthies	n2-jn	worthies	worthy	0
did	did	vdd	did	do	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
)	)	)	)	)	0
the	the	dt	the	the	0
office	office	n1	office	office	0
of	of	pp-f	of	of	0
spirituall	spirituall	j	spiritual	spiritual	0
Midwiues	Midwiues	n2	Midwives	midwife	0
in	in	p-acp	in	in	0
helping	helping	vvg	helping	help	0
such	such	d	such	such	0
children	children	n2	children	child	0
to	to	p-acp	to	to	0
birth	birth	n1	birth	birth	0
:	:	:	:	:	0
And	And	cc	And	and	0
,	,	,	,	,	0
had	had	vhd	had	have	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
beene	beene	vbn	been	be	0
great	great	j	great	great	0
detriment	detriment	n1	detriment	detriment	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
present	present	j	present	present	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
pitty	pitty	n1	pity	pity	0
that	that	cst	that	that	0
such	such	d	such	such	0
goodly	goodly	j	goodly	goodly	0
children	children	n2	children	child	0
should	should	vmd	should	shall	0
haue	haue	vhi	have	have	0
bin	bin	vbn	been	be	0
brought	brought	vvn	brought	bring	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
birth	birth	n1	birth	birth	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	pc-acp	there	there	0
haue	haue	vhi	have	have	0
perished	perished	vvn	perished	perish	0
for	for	p-acp	for	for	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
to	to	pc-acp	to	to	0
helpe	helpe	vvi	help	help	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
them	them	pno32	them	they	0
forth	forth	av	forth	forth	0
?	?	?	?	?	1
Vpon	Vpon	p-acp	Upon	upon	0
consideration	consideration	n1	consideration	consideration	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
beene	beene	vbn	been	be	0
said	said	vvn	said	say	0
.	.	.	.	.	1
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
afforded	afforded	vvn	afforded	afford	0
my	my	po11	my	my	0
helpe	helpe	n1	help	help	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
bringing	bringing	vvg	bringing	bring	0
forth	forth	av	forth	forth	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
ensuing	ensuing	j-vvg	ensuing	ensue	0
Treatise	Treatise	n1	Treatise	treatise	0
,	,	,	,	,	0
a	a	dt	a	a	0
worthy	worthy	j	worthy	worthy	0
and	and	cc	and	and	0
excellent	excellent	j	excellent	excellent	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
learned	learned	j	learned	learned	0
and	and	cc	and	and	0
faithfull	faithfull	j	faithful	faithful	0
seruant	seruant	n1	servant	servant	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
(	(	(	(	(	0
not	not	xx	not	not	0
long	long	av-j	long	long	0
since	since	c-acp	since	since	0
de	de	dt	the	the	0
∣	∣	sy	∣	∣	0
ceased	ceased	vvn	ceased	cease	0
)	)	)	)	)	0
well	well	av	well	well	0
knowne	knowne	vvn	known	know	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
me	me	pno11	me	i	0
.	.	.	.	.	1
The	The	dt	The	the	0
excellency	excellency	n1	excellency	excellency	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
wil	wil	vmb	will	will	0
appeare	appeare	vvi	appear	appear	0
,	,	,	,	,	0
first	first	ord	first	first	0
if	if	cs	if	if	0
the	the	dt	the	the	0
particulars	particulars	n2-j	particulars	particular	0
therin	therin	av	therein	therein	0
intreated	intreated	vvn	entreated	entreat	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
be	be	vbb	be	be	0
but	but	cc-acp	but	but	0
generally	generally	av-j	generally	general	0
considered	considered	vvn	considered	consider	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
first	first	ord	first	first	0
,	,	,	,	,	0
the	the	dt	the	the	0
spirituall	spirituall	j	spiritual	spiritual	0
Communion	Communion	n1	Communion	communion	0
or	or	cc	or	or	0
coniunction	coniunction	n1	conjunction	conjunction	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
God	God	np1	God	God	0
and	and	cc	and	and	0
the	the	dt	the	the	0
faithfull	faithfull	j	faithful	faithful	0
.	.	.	.	.	1
Se	Se	fw-la	Se	se	0
∣	∣	sy	∣	∣	0
condly	condly	av-j	condly	cond	0
,	,	,	,	,	0
the	the	dt	the	the	0
bond	bond	n1	bound	bond	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
coniunction	coniunction	n1	conjunction	conjunction	0
,	,	,	,	,	0
the	the	dt	the	the	0
loue	loue	n1	love	love	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
Thirdly	Thirdly	ord	Thirdly	third	0
,	,	,	,	,	0
the	the	dt	the	the	0
ground	ground	n1	ground	ground	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
coniunction	coniunction	n1	conjunction	conjunction	0
,	,	,	,	,	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
.	.	.	.	.	1
Fourthly	Fourthly	ord	Fourthly	four	0
,	,	,	,	,	0
the	the	dt	the	the	0
speciall	speciall	j	special	special	0
interest	interest	n1	interest	interest	0
the	the	dt	the	the	0
faithfull	faithfull	j	faithful	faithful	0
haue	haue	vhb	have	have	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Fiftly	Fiftly	ord	Fiftly	five	0
,	,	,	,	,	0
the	the	dt	the	the	0
certainty	certainty	n1	certainty	certainty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
spirituall	spirituall	j	spiritual	spiritual	0
safety	safety	n1	safety	safety	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
children	children	n2	children	child	0
amidst	amidst	p-acp	amid	amid	0
all	all	d	all	all	0
dangers	dangers	n2	dangers	danger	0
,	,	,	,	,	0
and	and	cc	and	and	0
against	against	p-acp	against	against	0
al	al	d	all	all	0
commers	commers	n2	comers	comer	0
.	.	.	.	.	1
Sixtly	Sixtly	ord	Sixtly	six	0
,	,	,	,	,	0
the	the	dt	the	the	0
assurance	assurance	n1	assurance	assurance	0
the	the	dt	the	the	0
faithfull	faithfull	j	faithful	faithful	0
haue	haue	vhb	have	have	0
,	,	,	,	,	0
and	and	cc	and	and	0
may	may	vmb	may	may	0
haue	haue	vhi	have	have	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
of	of	pp-f	of	of	0
saluation	saluation	n1	salvation	salvation	0
.	.	.	.	.	1
Seauenthly	Seauenthly	crd	Seauenthly	seauenthly	0
,	,	,	,	,	0
the	the	dt	the	the	0
Christian	Christian	njp	Christian	christian	0
mans	mans	n2	men	man	0
bearing	bearing	vvg	bearing	bear	0
of	of	pp-f	of	of	0
himselfe	himselfe	px31	himself	himself	0
vp	vp	p-acp	up	up	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
and	and	cc	and	and	0
against	against	p-acp	against	against	0
all	all	d	all	all	0
danger	danger	n1	danger	danger	0
,	,	,	,	,	0
vpon	vpon	p-acp	upon	upon	0
this	this	d	this	this	0
assurance	assurance	n1	assurance	assurance	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
declaration	declaration	n1	declaration	declaration	0
and	and	cc	and	and	0
disco	disco	fw-la	disco	disco	0
∣	∣	sy	∣	∣	0
uery	uery	av	very	very	0
of	of	pp-f	of	of	0
diuers	diuers	j	diverse	diverse	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
enemies	enemies	n2	enemies	enemy	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
they	they	pns32	they	they	0
can	can	vmb	can	can	0
doe	doe	vdi	do	do	0
a	a	sy	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
vs	vs	pno12	us	we	0
:	:	:	:	:	0
If	If	cs	If	if	0
these	these	d	these	these	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
excellent	excellent	j	excellent	excellent	0
theames	theames	n2	theames	theme	0
,	,	,	,	,	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
what	what	r-crq	what	what	0
are	are	vbr	are	be	0
.	.	.	.	.	1
Secondly	Secondly	ord	Secondly	second	0
,	,	,	,	,	0
the	the	dt	the	the	0
excellency	excellency	n1	excellency	excellency	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
worke	worke	n1	work	work	0
will	will	vmb	will	will	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
peare	peare	n1	pear	pear	0
if	if	cs	if	if	0
the	the	dt	the	the	0
strict	strict	j	strict	strict	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
plaine	plaine	j	plain	plain	0
and	and	cc	and	and	0
easie	easie	j	easy	easy	0
methode	methode	n1	method	method	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
vsed	vsed	vvn	used	use	0
therein	therein	av	therein	therein	0
,	,	,	,	,	0
be	be	vbb	be	be	0
considered	considered	vvn	considered	consider	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
will	will	vmb	will	will	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
delight	delight	vvi	delight	delight	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
to	to	pc-acp	to	to	0
euery	euery	d	every	every	0
one	one	pi	one	one	0
that	that	cst	that	that	0
readeth	readeth	vvz	readeth	read	0
it	it	pn31	it	it	0
,	,	,	,	,	0
methode	methode	n1	method	method	0
being	being	vbg	being	be	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
spoken	spoken	vvn	spoken	speak	0
and	and	cc	and	and	0
vttered	vttered	vvn	uttered	utter	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
fashion	fashion	n1	fashion	fashion	0
to	to	p-acp	to	to	0
apparell	apparell	n1	apparel	apparel	0
,	,	,	,	,	0
forme	forme	n1	form	form	0
to	to	p-acp	to	to	0
building	building	n1	building	building	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
Pictures	Pictures	n2	Pictures	picture	0
of	of	pp-f	of	of	0
Siluer	Siluer	n1	Silver	silver	0
to	to	p-acp	to	to	0
Apples	Apples	n2	Apples	apple	0
of	of	pp-f	of	of	0
Gold	Gold	n1	Gold	gold	0
,	,	,	,	,	0
Prouerb	Prouerb	n1	Proverb	proverb	0
.	.	.	.	.	1
25.11	25.11	crd	25.11	25.11	0
.	.	.	.	.	0
which	which	r-crq	which	which	0
make	make	vvb	make	make	0
much	much	av-d	much	much	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
lustre	lustre	n1	lustre	lustre	0
and	and	cc	and	and	0
beauty	beauty	n1	beauty	beauty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Apples	Apples	n2	Apples	apple	0
,	,	,	,	,	0
and	and	cc	and	and	0
cause	cause	vvi	cause	cause	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
delightfull	delightfull	j	delightful	delightful	0
to	to	p-acp	to	to	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
much	much	d	much	much	0
de	de	dt	the	the	0
∣	∣	sy	∣	∣	0
sired	sired	vvn	sired	sire	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
beholders	beholders	n2	beholders	beholder	0
.	.	.	.	.	1
Thirdly	Thirdly	ord	Thirdly	third	0
,	,	,	,	,	0
the	the	dt	the	the	0
excellency	excellency	n1	excellency	excellency	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Treatise	Treatise	n1	Treatise	treatise	0
will	will	vmb	will	will	0
appeare	appeare	vvi	appear	appear	0
,	,	,	,	,	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
consider	consider	vvb	consider	consider	0
the	the	dt	the	the	0
seasonablenesse	seasonablenesse	n1	seasonableness	seasonableness	0
of	of	pp-f	of	of	0
its	its	po31	its	its	0
birth	birth	n1	birth	birth	0
:	:	:	:	:	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
borne	borne	vvn	born	bear	0
,	,	,	,	,	0
and	and	cc	and	and	0
commeth	commeth	vvz	comes	come	0
forth	forth	av	forth	forth	0
in	in	p-acp	in	in	0
due	due	j-jn	due	due	0
time	time	n1	time	time	0
;	;	;	;	;	0
For	For	c-acp	For	for	0
it	it	pn31	it	it	0
entreateth	entreateth	vvz	entreateth	entreat	0
at	at	p-acp	at	at	0
large	large	j	large	large	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
afflictions	afflictions	n2	afflictions	affliction	0
&	&	cc	&	and	0
dangers	dangers	n2	dangers	danger	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
faithfull	faithfull	j	faithful	faithful	0
are	are	vbr	are	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
,	,	,	,	,	0
subiect	subiect	j-jn	subject	subject	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
fur	fur	vvb	fur	fur	0
∣	∣	sy	∣	∣	0
nisheth	nisheth	vvz	nisheth	nish	0
them	them	pno32	them	they	0
with	with	p-acp	with	with	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
support	support	n1	support	support	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
and	and	cc	and	and	0
against	against	p-acp	against	against	0
them	them	pno32	them	they	0
all	all	d	all	all	0
.	.	.	.	.	1
And	And	cc	And	and	0
when	when	c-crq	when	when	0
,	,	,	,	,	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
what	what	r-crq	what	what	0
time	time	n1	time	time	0
could	could	vmd	could	can	0
this	this	d	this	this	0
Argument	Argument	n1	Argument	argument	0
bee	bee	vbi	be	be	0
more	more	av-dc	more	more	0
seasonable	seasonable	j	seasonable	seasonable	0
then	then	cs	then	than	0
now	now	av	now	now	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
time	time	n1	time	time	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
and	and	cc	and	and	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
distresse	distresse	n1	distress	distress	0
,	,	,	,	,	0
hazard	hazard	n1	hazard	hazard	0
,	,	,	,	,	0
and	and	cc	and	and	0
danger	danger	n1	danger	danger	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
destroying	destroying	vvg	destroying	destroy	0
Angell	Angell	n1	Angel	angel	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
so	so	av	so	so	0
abroad	abroad	av	abroad	abroad	0
in	in	p-acp	in	in	0
many	many	d	many	many	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
places	places	n2	places	place	0
almost	almost	av	almost	almost	0
filled	filled	vvn	filled	fill	0
with	with	p-acp	with	with	0
warres	warres	n2	wars	war	0
,	,	,	,	,	0
and	and	cc	and	and	0
rumors	rumors	n2	rumours	rumour	0
of	of	pp-f	of	of	0
warres	warres	n2	wars	war	0
,	,	,	,	,	0
and	and	cc	and	and	0
who	who	r-crq	who	who	0
knoweth	knoweth	vvz	knoweth	know	0
when	when	c-crq	when	when	0
these	these	d	these	these	0
things	things	n2	things	thing	0
shall	shall	vmb	shall	shall	0
end	end	vvi	end	end	0
?	?	?	?	?	1
Fourthly	Fourthly	ord	Fourthly	four	0
,	,	,	,	,	0
the	the	dt	the	the	0
excellency	excellency	n1	excellency	excellency	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Treatise	Treatise	n1	Treatise	treatise	0
will	will	vmb	will	will	0
appeare	appeare	vvi	appear	appear	0
,	,	,	,	,	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
consider	consider	vvb	consider	consider	0
the	the	dt	the	the	0
fitnesse	fitnesse	n1	fitness	fitness	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
enablements	enablements	n2	enablements	enablement	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
this	this	d	this	this	0
man	man	n1	man	man	0
was	was	vbds	was	be	0
enabled	enabled	vvn	enabled	enable	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
and	and	cc	and	and	0
speake	speake	vvi	speak	speak	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Subiect	Subiect	n-jn	Subject	subject	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
very	very	av	very	very	0
great	great	j	great	great	0
and	and	cc	and	and	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
ny	ny	fw-fr	ny	ny	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
we	we	pns12	we	we	0
consider	consider	vvb	consider	consider	0
the	the	dt	the	the	0
endowments	endowments	n2	endowments	endowment	0
of	of	pp-f	of	of	0
Learning	Learning	n1	Learning	learning	0
,	,	,	,	,	0
na	na	fw-la	na	na	0
∣	∣	sy	∣	∣	0
ture	ture	n1	ture	ture	0
,	,	,	,	,	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
or	or	cc	or	or	0
experience	experience	n1	experience	experience	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
besides	besides	p-acp	beside	beside	0
the	the	dt	the	the	0
three	three	crd	three	three	0
former	former	j	former	former	0
,	,	,	,	,	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
man	man	n1	man	man	0
experienced	experienced	vvn	experienced	experience	0
in	in	p-acp	in	in	0
afflictions	afflictions	n2	afflictions	affliction	0
,	,	,	,	,	0
being	being	vbg	being	be	0
then	then	av	then	then	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
studied	studied	vvd	studied	study	0
,	,	,	,	,	0
writ	writ	vvn	writ	write	0
,	,	,	,	,	0
and	and	cc	and	and	0
preached	preached	vvd	preached	preach	0
these	these	d	these	these	0
following	following	j-vvg	following	follow	0
Sermons	Sermons	n2	Sermons	sermon	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
yeares	yeares	n2	years	year	0
