Humbly	Humbly	av-j	Humbly	humble	0
gifts	gifts	n2	gifts	gift	0
&	&	cc	&	and	0
Revenues	Revenues	n2	Revenues	revenue	0
,	,	,	,	,	0
and	and	cc	and	and	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
gifts	gifts	n2	gifts	gift	0
which	which	r-crq	which	which	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
given	given	vvn	given	give	0
,	,	,	,	,	0
if	if	cs	if	if	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Subjects	Subjects	n2-jn	Subject's	subject	0
were	were	vbdr	were	be	0
sure	sure	av-j	sure	sure	0
the	the	dt	the	the	0
Poor	Poor	j	Poor	poor	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
set	set	vvn	set	set	0
on	on	p-acp	on	on	0
work	work	n1	work	work	0
and	and	cc	and	and	0
provided	provided	vvn	provided	provide	0
for	for	p-acp	for	for	0
with	with	p-acp	with	with	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Trade	Trade	n1	Trade	trade	0
of	of	pp-f	of	of	0
Fishing	Fishing	vvg	Fishing	fish	0
already	already	av	already	already	0
graciously	graciously	av-j	graciously	gracious	0
propounded	propounded	vvn	propounded	propound	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Petitioners	Petitioners	n2	Petitioners	petitioner	0
Book	Book	n1	Book	book	0
were	were	vbdr	were	be	0
enacted	enacted	vvn	enacted	enact	0
and	and	cc	and	and	0
put	put	vvn	put	put	0
in	in	p-acp	in	in	0
execution	execution	n1	execution	execution	0
,	,	,	,	,	0
would	would	vmd	would	will	0
undoubtedly	undoubtedly	av-j	undoubtedly	undoubted	0
set	set	vvi	set	set	0
all	all	d	all	all	0
the	the	dt	the	the	0
Poor	Poor	j	Poor	poor	0
on	on	p-acp	on	on	0
work	work	n1	work	work	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
small	small	j	small	small	0
time	time	n1	time	time	0
wholly	wholly	av-jn	wholly	whole	0
ease	ease	vvi	ease	ease	0
your	your	po22	your	your	0
Maje	Maje	fw-fr	Maje	maje	0
∣	∣	sy	∣	∣	0
sties	sties	ng1	sties	sties	0
Subjects	Subjects	n2-jn	Subject's	subject	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Taxes	Taxes	n2	Taxes	tax	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
maintaining	maintaining	vvg	maintaining	maintain	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
idlenesse	idlenesse	n1	idleness	idleness	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
profit	profit	n1	profit	profit	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
work	work	n1	work	work	0
will	will	vmb	will	will	0
amount	amount	vvi	amount	amount	0
to	to	p-acp	to	to	0
more	more	dc	more	more	0
then	then	cs	then	than	0
their	their	po32	their	their	0
Taxes	Taxes	n2	Taxes	tax	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
means	means	vvz	means	mean	0
the	the	dt	the	the	0
Fishing	Fishing	n-vvg	Fishing	fish	0
Trade	Trade	n1	Trade	trade	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
more	more	av-dc	more	more	0
ad	ad	vvi	and	add	0
∣	∣	sy	∣	∣	0
vanced	vanced	vvd	vanced	vance	0
,	,	,	,	,	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Sea-men	Sea-men	n2	Seamen	seaman	0
and	and	cc	and	and	0
shipping	shipping	vvg	shipping	ship	0
have	have	vhb	have	have	0
more	more	av-dc	more	more	0
necessaries	necessaries	n2-j	necessaries	necessary	0
and	and	cc	and	and	0
employment	employment	n1	employment	employment	0
,	,	,	,	,	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Seas	Seas	n2	Seas	sea	0
more	more	av-dc	more	more	0
guarded	guarded	vvn	guarded	guard	0
and	and	cc	and	and	0
strengthned	strengthned	vvn	strengthened	strengthen	0
,	,	,	,	,	0
your	your	po22	your	your	0
Merchants	Merchants	n2	Merchant's	merchant	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
more	more	dc	more	more	0
Trade	Trade	n1	Trade	trade	0
and	and	cc	and	and	0
encouragement	encouragement	n1	encouragement	encouragement	0
,	,	,	,	,	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Customes	Customes	n2	Customs	custom	0
and	and	cc	and	and	0
Revenues	Revenues	n2	Revenues	revenue	0
much	much	av-d	much	much	0
more	more	av-dc	more	more	0
encreased	encreased	vvd	increased	increase	0
,	,	,	,	,	0
all	all	d	all	all	0
your	your	po22	your	your	0
Subjects	Subjects	n2-jn	Subject's	subject	0
more	more	av-dc	more	more	0
benefited	benefited	vvn	benefited	benefit	0
,	,	,	,	,	0
besides	besides	p-acp	beside	beside	0
a	a	dt	a	a	0
sufficient	sufficient	j	sufficient	sufficient	0
maintenance	maintenance	n1	maintenance	maintenance	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Poor	Poor	j	Poor	poor	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
Counties	Counties	n2	Counties	county	0
.	.	.	.	.	1
All	All	av-d	All	all	0
which	which	r-crq	which	which	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
fully	fully	av-j	fully	full	0
accomplished	accomplished	vvn	accomplished	accomplish	0
if	if	cs	if	if	0
this	this	d	this	this	0
work	work	n1	work	work	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Poor	Poor	j	Poor	poor	0
were	were	vbdr	were	be	0
effectually	effectually	av-j	effectually	effectual	0
put	put	vvn	put	put	0
in	in	p-acp	in	in	0
execution	execution	n1	execution	execution	0
.	.	.	.	.	1
That	That	d	That	that	0
your	your	po22	your	your	0
Majestie	Majestie	n1	Majesty	majesty	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
graciously	graciously	av-j	graciously	gracious	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
sider	sider	vvi	sider	sider	0
the	the	dt	the	the	0
neglect	neglect	n1	neglect	neglect	0
and	and	cc	and	and	0
oppression	oppression	n1	oppression	oppression	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Poor	Poor	j	Poor	poor	0
,	,	,	,	,	0
and	and	cc	and	and	0
how	how	c-crq	how	how	0
ma	ma	n1	ma	man	0
∣	∣	sy	∣	∣	0
ny	ny	av	nigh	nigh	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
Nations	Nations	n2	Nations	nation	0
lives	lives	vvz	lives	live	0
here	here	av	here	here	0
and	and	cc	and	and	0
eats	eats	vvz	eats	eat	0
the	the	dt	the	the	0
bread	bread	n1	bred	bread	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Poor	Poor	j	Poor	poor	0
Subjects	Subjects	n2-jn	Subject's	subject	0
mouthes	mouthes	n2	mouths	mouth	0
,	,	,	,	,	0
and	and	cc	and	and	0
how	how	c-crq	how	how	0
strict	strict	j	strict	strict	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
o	o	fw-fr	o	o	0
∣	∣	sy	∣	∣	0
ver	ver	p-acp	for	for	0
all	all	d	all	all	0
Strangers	Strangers	n2	Strangers	stranger	0
under	under	p-acp	under	under	0
their	their	po32	their	their	0
Government	Government	n1	Government	government	0
,	,	,	,	,	0
not	not	xx	not	not	0
suffering	suffering	vvg	suffering	suffer	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
work	work	vvi	work	work	0
as	as	p-acp	as	as	0
Masters	Masters	n2	Master's	master	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
Slaves	Slaves	n2	Slaves	slave	0
who	who	r-crq	who	who	0
under	under	p-acp	under	under	0
them	them	pno32	them	they	0
live	live	vvi	live	live	0
.	.	.	.	.	1
That	That	d	That	that	0
your	your	po22	your	your	0
Majestie	Majestie	n1	Majesty	majesty	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
pardon	pardon	vvi	pardon	pardon	0
your	your	po22	your	your	0
poor	poor	j	poor	poor	0
Petitioner	Petitioner	n1	Petitioner	petitioner	0
in	in	p-acp	in	in	0
presuming	presuming	vvg	presuming	presume	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
these	these	d	these	these	0
rude	rude	j	rude	rude	0
Lines	Lines	n2	Lines	line	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Majestie	Majestie	n1	Majesty	majesty	0
.	.	.	.	.	1
