GOD	GOD	np1	GOD	God	0
is	is	vbz	is	be	0
found	found	vvn	found	find	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Testimony	Testimony	n1	Testimony	testimony	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
stands	stands	vvz	stands	stand	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Rule	Rule	n1	Rule	rule	0
proposed	proposed	vvn	proposed	propose	0
by	by	p-acp	by	by	0
himself	himself	px31	himself	himself	0
also	also	av	also	also	0
;	;	;	;	;	0
and	and	cc	and	and	0
refuse	refuse	vvb	refuse	refuse	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
own	own	d	own	own	0
counsel	counsel	n1	counsel	counsel	0
&	&	cc	&	and	0
direction	direction	n1	direction	direction	0
:	:	:	:	:	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
endeavored	endeavored	vvn	endeavoured	endeavour	0
by	by	p-acp	by	by	0
plain	plain	j	plain	plain	0
Testimo	Testimo	fw-la	Testimo	testimo	0
∣	∣	sy	∣	∣	0
ny	ny	av	nigh	nigh	0
and	and	cc	and	and	0
sayings	sayings	n2-vvg	sayings	say	0
of	of	pp-f	of	of	0
Scripture	Scripture	n1	Scripture	scripture	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
forth	forth	av	forth	forth	0
the	the	dt	the	the	0
true	true	j	true	true	0
Faith	Faith	n1	Faith	faith	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
object	object	n1	object	object	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
Grace	Grace	n1	Grace	grace	0
of	of	pp-f	of	of	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
lieving	lieving	vvg	lieving	lieve	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
its	its	po31	its	its	0
efficacies	efficacies	n2	efficacies	efficacy	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
encourage	encourage	vvi	encourage	encourage	0
men	men	n2	men	man	0
to	to	pc-acp	to	to	0
believe	believe	vvi	believe	believe	0
,	,	,	,	,	0
and	and	cc	and	and	0
believers	believers	n2	believers	believer	0
to	to	pc-acp	to	to	0
persevere	persevere	vvi	persevere	persevere	0
.	.	.	.	.	1
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
the	the	dt	the	the	0
plain	plain	j	plain	plain	0
Testimony	Testimony	n1	Testimony	testimony	0
of	of	pp-f	of	of	0
Scripture	Scripture	n1	Scripture	scripture	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
believed	believed	vvn	believed	believe	0
;	;	;	;	;	0
and	and	cc	and	and	0
so	so	av	so	so	0
far	far	av-j	far	far	0
as	as	c-acp	as	as	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
are	are	vbr	are	be	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
therein	therein	av	therein	therein	0
,	,	,	,	,	0
brought	brought	vvd	brought	bring	0
to	to	pc-acp	to	to	0
acknowledg	acknowledg	vvi	acknowledge	acknowledge	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
desire	desire	vvb	desire	desire	0
the	the	dt	the	the	0
exaltation	exaltation	n1	exaltation	exaltation	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Name	Name	n1	Name	name	0
,	,	,	,	,	0
and	and	cc	and	and	0
winning	winning	vvg	winning	win	0
in	in	p-acp	in	in	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
thereto	thereto	av	thereto	thereto	0
,	,	,	,	,	0
and	and	cc	and	and	0
encrease	encrease	vvi	increase	increase	0
and	and	cc	and	and	0
growth	growth	n1	growth	growth	0
of	of	pp-f	of	of	0
grace	grace	n1	grace	grace	0
in	in	p-acp	in	in	0
believers	believers	n2	believers	believer	0
,	,	,	,	,	0
let	let	vvb	let	let	0
us	us	pno12	us	we	0
keep	keep	vvi	keep	keep	0
this	this	d	this	this	0
unity	unity	n1	unity	unity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
bond	bond	n1	bound	bond	0
of	of	pp-f	of	of	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
that	that	cst	that	that	0
so	so	av	so	so	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
our	our	po12	our	our	0
other	other	n-jn	other	other	0
differing	differing	vvg	differing	differ	0
apprehensions	apprehensions	n2	apprehensions	apprehension	0
and	and	cc	and	and	0
expressions	expressions	n2	expressions	expression	0
,	,	,	,	,	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
so	so	av	so	so	0
contend	contend	vvi	contend	contend	0
for	for	p-acp	for	for	0
what	what	r-crq	what	what	0
the	the	dt	the	the	0
Scripture	Scripture	n1	Scripture	scripture	0
saith	saith	vvz	says	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
whatever	whatever	r-crq	whatever	whatever	0
absurdity	absurdity	n1	absurdity	absurdity	0
thereby	thereby	av	thereby	thereby	0
,	,	,	,	,	0
we	we	pns12	we	we	0
seem	seem	vvb	seem	seem	0
to	to	pc-acp	to	to	0
cast	cast	vvi	cast	cast	0
upon	upon	p-acp	upon	upon	0
any	any	d	any	any	0
expressions	expressions	n2	expressions	expression	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
another	another	j-jn	another	another	0
,	,	,	,	,	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
without	without	p-acp	without	without	0
judging	judging	vvg	judging	judge	0
or	or	cc	or	or	0
despising	despising	vvg	despising	despise	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
another	another	j-jn	another	another	0
;	;	;	;	;	0
taking	taking	vvg	taking	take	0
opposed	opposed	j-vvn	opposed	oppose	0
expressions	expressions	n2	expressions	expression	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
consequences	consequences	n2	consequences	consequence	0
of	of	pp-f	of	of	0
misconcepti	misconcepti	fw-la	misconcepti	misconcepti	0
∣	∣	sy	∣	∣	0
on	on	zz	on	on	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
fancy	fancy	n1	fancy	fancy	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
princi	princi	fw-la	princi	princi	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
of	of	pp-f	of	of	0
grace	grace	n1	grace	grace	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
Jesus	Jesus	np1	Jesus	Jesus	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
;	;	;	;	;	0
nor	nor	ccx	nor	nor	0
judging	judging	vvg	judging	judge	0
them	them	pno32	them	they	0
graceless	graceless	j	graceless	graceless	0
,	,	,	,	,	0
or	or	cc	or	or	0
having	having	vhg	having	have	0
no	no	dx	no	no	0
principle	principle	n1	principle	principle	0
of	of	pp-f	of	of	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
an	an	dt	and	a	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
pression	pression	zz	pression	pression	0
;	;	;	;	;	0
that	that	d	that	that	0
so	so	av	so	so	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
do	do	vdi	do	do	0
all	all	d	all	all	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
cha	cha	pns11	cham	i	0
∣	∣	sy	∣	∣	0
rity	rity	n1	rity	rity	0
,	,	,	,	,	0
seeking	seeking	vvg	seeking	seek	0
the	the	dt	the	the	0
edification	edification	n1	edification	edification	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
another	another	j-jn	another	another	0
:	:	:	:	:	0
and	and	cc	and	and	0
so	so	av	so	so	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
,	,	,	,	,	0
if	if	cs	if	if	0
any	any	d	any	any	0
be	be	vbb	be	be	0
otherwise	otherwise	av	otherwise	otherwise	0
minded	minded	vvn	minded	mind	0
,	,	,	,	,	0
God	God	np1	God	God	0
will	will	vmb	will	will	0
reveal	reveal	vvi	reveal	reveal	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
;	;	;	;	;	0
onely	onely	av-j	only	only	0
whereto	whereto	c-crq	whereto	whereto	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
attained	attained	vvn	attained	attain	0
,	,	,	,	,	0
let	let	vvb	let	let	0
