PRECIOUS	PRECIOUS	j	PRECIOUS	precious	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
poor	poor	j	poor	poor	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
find	find	vvi	find	find	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
small	small	j	small	small	0
Treatise	Treatise	n1	Treatise	treatise	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
three	three	crd	three	three	0
generall	generall	j	general	general	0
heads	heads	n2	heads	head	0
,	,	,	,	,	0
viz.	viz.	n1	viz.	viz.	0
before	before	a-acp	before	before	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
and	and	cc	and	and	0
since	since	p-acp	since	since	0
Conversion	Conversion	n1	Conversion	conversion	0
;	;	;	;	;	0
we	we	pns12	we	we	0
find	find	vvb	find	find	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
in	in	p-acp	in	in	0
Scripture	Scripture	n1	Scripture	scripture	0
often	often	av	often	often	0
calling	calling	vvg	calling	call	0
upon	upon	p-acp	upon	upon	0
his	his	po31	his	his	0
People	People	n1	People	people	0
to	to	p-acp	to	to	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
member	member	n1	member	member	0
their	their	po32	their	their	0
uncon	uncon	n1	uncon	uncon	0
∣	∣	sy	∣	∣	0
verted	verted	vvn	verted	vert	0
state	state	n1	state	state	0
,	,	,	,	,	0
Isaiah	Isaiah	np1	Isaiah	Isaiah	0
51.	51.	crd	51.	51.	0
1.	1.	crd	1.	1.	1
Look	Look	n1	Look	look	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Rock	Rock	n1	Rock	rock	0
whence	whence	c-crq	whence	whence	0
ye	ye	pn22	you	you	0
are	are	vbr	are	be	0
hewen	hewen	vvn	hewn	hew	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Pit	Pit	n1	Pit	pit	0
whence	whence	c-crq	whence	whence	0
ye	ye	pn22	you	you	0
are	are	vbr	are	be	0
digged	digged	vvn	dug	dig	0
;	;	;	;	;	0
And	And	cc	And	and	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
know	know	vvb	know	know	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
our	our	po12	our	our	0
great	great	j	great	great	0
inclinati	inclinati	n1	inclinati	inclinati	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
to	to	pc-acp	to	to	0
forget	forget	vvi	forget	forget	0
it	it	pn31	it	it	0
,	,	,	,	,	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
mind	mind	vvi	mind	mind	0
us	us	pno12	us	we	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
Eph.	Eph.	np1	Eph.	Eph.	1
5.	5.	crd	5.	5.	0
8.	8.	crd	8.	8.	0
1	1	crd	1	1	1
Cor.	Cor.	np1	Cor.	Cor.	0
6.	6.	crd	6.	6.	0
10	10	crd	10	10	0
,	,	,	,	,	1
11.	11.	crd	11.	11.	1
Tit.	Tit.	np1	Tit.	Tit.	0
3.	3.	crd	3.	3.	0
3.	3.	crd	3.	3.	1
Eph.	Eph.	np1	Eph.	Eph.	0
2.	2.	crd	2.	2.	0
1	1	crd	1	1	0
,	,	,	,	,	1
2	2	crd	2	2	0
,	,	,	,	,	0
3.	3.	crd	3.	3.	0
&c.	&c.	av	etc.	etc	0
The	The	dt	The	the	0
right	right	j-jn	right	right	0
remembrance	remembrance	n1	remembrance	remembrance	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
unconverted	unconverted	vvn	unconverted	unconvert	0
state	state	n1	state	state	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
means	means	n2	means	mean	0
to	to	pc-acp	to	to	0
engage	engage	vvi	engage	engage	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
much	much	av-d	much	much	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
thoughts	thoughts	n2	thoughts	thought	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
and	and	cc	and	and	0
highly	highly	av-j	highly	high	0
to	to	pc-acp	to	to	0
prise	prise	vvi	prize	prize	0
,	,	,	,	,	0
that	that	cst	that	that	0
un	un	fw-fr	un	un	0
∣	∣	sy	∣	∣	0
speakable	speakable	j	speakable	speakable	0
love	love	n1	love	love	0
and	and	cc	and	and	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
God	God	n1	God	god	0
through	through	p-acp	through	through	0
Iesus	Iesus	np1	Iesus	Jesus	0
in	in	p-acp	in	in	0
quick	quick	j	quick	quick	0
∣	∣	sy	∣	∣	0
ning	ning	n1	ning	ning	0
us	us	pno12	us	we	0
who	who	r-crq	who	who	0
were	were	vbdr	were	be	0
dead	dead	j	dead	dead	0
in	in	p-acp	in	in	0
trespasses	trespasses	n2	trespasses	trespass	0
and	and	cc	and	and	0
sins	sins	n2	sins	sin	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
translating	translating	n-vvg	translating	translate	0
us	us	pno12	us	we	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
darkness	darkness	n1	darkness	darkness	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
dear	dear	j-jn	dear	dear	0
Son	Son	n1	Son	son	0
;	;	;	;	;	0
the	the	dt	the	the	0
seri	seri	fw-la	seri	seri	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
pondering	pondering	vvg	pondering	ponder	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
will	will	vmb	will	will	0
sweetly	sweetly	av-j	sweetly	sweet	0
force	force	vvi	force	force	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
break	break	vvi	break	break	0
forth	forth	av	forth	forth	0
into	into	p-acp	into	into	0
admiration	admiration	n1	admiration	admiration	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Apostle	Apostle	n1	Apostle	apostle	0
,	,	,	,	,	0
1	1	crd	1	1	0
Ioh.	Ioh.	np1	Ioh.	Ioh.	1
3.	3.	crd	3.	3.	0
1	1	crd	1	1	0
,	,	,	,	,	1
2.	2.	crd	2.	2.	1
Behold	Behold	vvb	Behold	behold	0
what	what	r-crq	what	what	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
love	love	n1	love	love	0
the	the	dt	the	the	0
Fa	Fa	fw-it	Fa	fa	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
hath	hath	vhz	hath	have	0
bestowed	bestowed	vvn	bestowed	bestow	0
upon	upon	p-acp	upon	upon	0
us	us	pno12	us	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
call'd	call'd	vvn	called	call	0
the	the	dt	the	the	0
sons	sons	n2	sons	son	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
but	but	cc-acp	but	but	0
when	when	c-crq	when	when	0
we	we	pns12	we	we	0
forget	forget	vvb	forget	forget	0
the	the	dt	the	the	0
two	two	crd	two	two	0
former	former	j	former	former	0
,	,	,	,	,	0
we	we	pns12	we	we	0
lose	lose	vvb	loose	lose	0
our	our	po12	our	our	0
communion	communion	n1	communion	communion	0
with	with	p-acp	with	with	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
great	great	j	great	great	0
measure	measure	n1	measure	measure	0
,	,	,	,	,	0
and	and	cc	and	and	0
cannot	cannot	vmbx	cannot	can	0
prise	prise	vvi	prize	prize	0
and	and	cc	and	and	0
im	im	pno31	im	he	0
∣	∣	sy	∣	∣	0
prove	prove	vvi	prove	prove	0
the	the	dt	the	the	0
kind	kind	j	kind	kind	0
dealings	dealings	n2-vvg	dealings	deal	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
God	God	n1	God	god	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
Conversion	Conversion	n1	Conversion	conversion	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
walk	walk	vvi	walk	walk	0
holily	holily	av-j	holily	holy	0
and	and	cc	and	and	0
obedi	obedi	n1	obedi	obedi	0
∣	∣	sy	∣	∣	0
ently	ently	av-j	ently	ent	0
before	before	c-acp	before	before	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
his	his	po31	his	his	0
holy	holy	j	holy	holy	0
appoint	appoint	vvb	appoint	appoint	0
∣	∣	sy	∣	∣	0
ments	ments	n2	ments	ment	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
ought	ought	vmd	ought	ought	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
leave	leave	vvb	leave	leave	0
an	an	dt	and	a	0
open	open	j	open	open	0
door	door	n1	door	door	0
for	for	p-acp	for	for	0
Satan	Satan	np1	Satan	Satan	0
to	to	pc-acp	to	to	0
deceive	deceive	vvi	deceive	deceive	0
us	us	pno12	us	we	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
manifold	manifold	j	manifold	manifold	0
ten	ten	crd	ten	ten	0
∣	∣	sy	∣	∣	0
tations	tations	n2	tations	tation	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
suffer	suffer	vvb	suffer	suffer	0
much	much	d	much	much	0
harm	harm	n1	harm	harm	0
.	.	.	.	.	1
My	My	po11	My	my	0
hearts	hearts	n2	hearts	heart	0
desire	desire	vvb	desire	desire	0
and	and	cc	and	and	0
prayer	prayer	n1	prayer	prayer	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
give	give	vvi	give	give	0
all	all	d	all	all	0
his	his	po31	his	his	0
people	people	n1	people	people	0
more	more	av-dc	more	more	0
care	care	n1	care	care	0
and	and	cc	and	and	0
diligence	diligence	n1	diligence	diligence	0
in	in	p-acp	in	in	0
watching	watching	vvg	watching	watch	0
their	their	po32	their	their	0
own	own	d	own	own	0
hearts	hearts	n2	hearts	heart	0
and	and	cc	and	and	0
waies	waies	n2	ways	way	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
increase	increase	n1	increase	increase	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
spi	spi	vvb	spi	spi	0
∣	∣	sy	∣	∣	0
ritual	ritual	j	ritual	ritual	0
strength	strength	n1	strength	strength	0
and	and	cc	and	and	0
growth	growth	n1	growth	growth	0
in	in	p-acp	in	in	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
lest	lest	cs	lest	lest	0
they	they	pns32	they	they	0
being	being	vbg	being	be	0
led	led	vvn	led	lead	0
away	away	av	away	away	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
time	time	n1	time	time	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
error	error	n1	error	error	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wicked	wicked	j	wicked	wicked	0
,	,	,	,	,	0
fall	fall	vvb	fallen	fall	0
from	from	p-acp	from	from	0
their	their	po32	their	their	0
own	own	d	own	own	0
stedfastness	stedfastness	n1	steadfastness	steadfastness	0
,	,	,	,	,	0
2	2	crd	2	2	0
Pet.	Pet.	np1	Pet.	Pet.	1
3.	3.	crd	3.	3.	0
17	17	crd	17	17	0
,	,	,	,	,	1
18.	18.	crd	18.	18.	0
as	as	c-acp	as	as	0
many	many	d	many	many	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
greatest	greatest	js	greatest	great	0
grief	grief	n1	grief	grief	0
and	and	cc	and	and	0
loss	loss	n1	loss	loss	0
.	.	.	.	.	1
Belo	Belo	np1	Belo	Belo	0
∣	∣	sy	∣	∣	0
ved	ved	n-vvn	ved	ve	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
here	here	av	here	here	0
the	the	dt	the	the	0
labours	labours	n2	labours	labour	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
weakest	weakest	js	weakest	weak	0
sex	sex	n1	sex	sex	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
will	will	vmb	will	will	0
occasion	occasion	vvi	occasion	occasion	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
glory	glory	n1	glory	glory	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	cst	that	that	0
his	his	po31	his	his	0
strength	strength	n1	strength	strength	0
appears	appears	vvz	appears	appear	0
in	in	p-acp	in	in	0
weakness	weakness	n1	weakness	weakness	0
;	;	;	;	;	0
were	were	vbdr	were	be	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
relation	relation	n1	relation	relation	0
,	,	,	,	,	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
have	have	vhi	have	have	0
much	much	d	much	much	0
room	room	n1	room	room	0
to	to	pc-acp	to	to	0
speak	speak	vvi	speak	speak	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
Her	Her	po31	Her	her	0
work	work	n1	work	work	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
on	on	p-acp	on	on	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
say	say	vvb	say	say	0
,	,	,	,	,	0
Let	Let	vvb	Let	let	0
Her	Her	po31	Her	her	0
works	works	n2	works	work	0
praise	praise	vvi	praise	praise	0
Her	Her	pno31	Her	she	0
;	;	;	;	;	0
only	only	av-j	only	only	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
this	this	d	this	this	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
but	but	p-acp	but	but	0
say	say	vvi	say	say	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
Her	Her	po31	Her	her	0
desire	desire	n1	desire	desire	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
it	it	pn31	it	it	0
,	,	,	,	,	0
Her	Her	po31	Her	her	0
reasons	reasons	n2	reasons	reason	0
She	She	pns31	She	she	0
hath	hath	vhz	hath	have	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
pressed	pressed	vvn	pressed	press	0
.	.	.	.	.	1
Secondly	Secondly	ord	Secondly	second	0
,	,	,	,	,	0
So	So	av	So	so	0
far	far	av-j	far	far	0
as	as	c-acp	as	as	0
one	one	pi	one	one	0
can	can	vmb	can	can	0
speak	speak	vvi	speak	speak	0
for	for	p-acp	for	for	0
another	another	j-jn	another	another	0
,	,	,	,	,	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
say	say	vvi	say	say	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
Wife	Wife	n1	Wife	wife	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
vvork	vvork	n1	work	work	0
she	she	pns31	she	she	0
hath	hath	vhz	hath	have	0
had	had	vhn	had	have	0
lit	lit	fw-fr	lit	lit	0
∣	∣	sy	∣	∣	0
tle	tle	j	tle	tle	0
help	help	n1	help	help	0
from	from	p-acp	from	from	0
men	men	n2	men	man	0
or	or	cc	or	or	0
things	things	n2	things	thing	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
believe	believe	vvb	believe	believe	0
much	much	d	much	much	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
;	;	;	;	;	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
ovvned	ovvned	vvd	owned	own	0
and	and	cc	and	and	0
much	much	d	much	much	0
assi	assi	n1	assi	assi	0
∣	∣	sy	∣	∣	0
sted	sted	n1	stead	stead	0
her	her	pno31	her	she	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
her	her	po31	her	her	0
great	great	j	great	great	0
labors	labors	n2	labors	labor	0
,	,	,	,	,	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
the	the	dt	the	the	0
same	same	d	same	same	0
povver	povver	n1	power	power	0
vvill	vvill	vmb	will	will	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
company	company	n1	company	company	0
each	each	d	each	each	0
precious	precious	j	precious	precious	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
into	into	p-acp	into	into	0
vvhose	vvhose	rg-crq	whose	who	0
hand	hand	n1	hand	hand	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
come	come	vvi	come	come	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
very	very	av	very	very	0
profitable	profitable	j	profitable	profitable	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
.	.	.	.	.	1
At	At	p-acp	At	at	0
my	my	po11	my	my	0
first	first	ord	first	first	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
neer	neer	av-j	near	near	0
fini	fini	fw-fr	fini	fini	0
∣	∣	sy	∣	∣	0
shed	shed	vvb	shed	shed	0
,	,	,	,	,	0
though	though	cs	though	though	0
I	I	pns11	I	i	0
believe	believe	vvb	believe	believe	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
first	first	ord	first	first	0
that	that	cst	that	that	0
saw	saw	vvd	saw	see	0
it	it	pn31	it	it	0
,	,	,	,	,	0
next	next	ord	next	next	0
Her	Her	po31	Her	her	0
self	self	n1	self	self	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
so	so	av	so	so	0
surprized	surprized	vvn	surprised	surprise	0
,	,	,	,	,	0
knowing	knowing	vvg	knowing	know	0
nothing	nothing	pix	nothing	nothing	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
before	before	a-acp	before	before	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
knew	knew	vvd	knew	know	0
not	not	xx	not	not	0
what	what	r-crq	what	what	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
up	up	a-acp	up	up	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
consideration	consideration	n1	consideration	consideration	0
,	,	,	,	,	0
and	and	cc	and	and	0
reviewing	reviewing	vvg	reviewing	review	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
very	very	av	very	very	0
much	much	av-d	much	much	0
pressed	pressed	vvn	pressed	press	0
in	in	p-acp	in	in	0
spirit	spirit	n1	spirit	spirit	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
the	the	dt	the	the	0
oftner	oftner	av-c	oftener	often	0
I	I	pns11	I	i	0
read	read	vvb	read	read	0
it	it	pn31	it	it	0
,	,	,	,	,	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
ingaged	ingaged	vvn	engaged	engage	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
:	:	:	:	:	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
say	say	vvi	say	say	0
through	through	p-acp	through	through	0
mercy	mercy	n1	mercy	mercy	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
use	use	n1	use	use	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
and	and	cc	and	and	0
profitable	profitable	j	profitable	profitable	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
;	;	;	;	;	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
so	so	av	so	so	0
to	to	p-acp	to	to	0
many	many	d	many	many	0
more	more	dc	more	more	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
small	small	j	small	small	0
mercy	mercy	n1	mercy	mercy	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
low	low	j	low	low	0
attainment	attainment	n1	attainment	attainment	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
indeed	indeed	av	indeed	indeed	0
an	an	dt	and	a	0
expe	expe	n1	expe	expe	0
∣	∣	sy	∣	∣	0
rienced	rienced	j	rienced	rienced	0
Christian	Christian	np1	Christian	Christian	0
;	;	;	;	;	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
easier	easier	jc	easier	easy	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
fine	fine	j	fine	fine	0
words	words	n2	words	word	0
than	than	cs	than	than	0
a	a	dt	a	a	0
trea	trea	n1	trea	trea	0
∣	∣	sy	∣	∣	0
sure	sure	j	sure	sure	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
heart	heart	n1	heart	heart	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
seeing	seeing	vvg	seeing	see	0
the	the	dt	the	the	0
kings	kings	n2	kings	king	0
daugh	daugh	wd	daugh	daugh	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
is	is	vbz	is	be	0
all	all	d	all	all	0
glorious	glorious	j	glorious	glorious	0
with	with	p-acp	with	with	0
∣	∣	sy	∣	∣	0
in	in	fw-la	in	in	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	d	that	that	0
our	our	po12	our	our	0
treasure	treasure	n1	treasure	treasure	0
there	there	a-acp	there	there	0
doth	doth	vdz	does	do	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
crease	crease	n1	crease	crease	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
blessing	blessing	n1	blessing	blessing	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
upon	upon	p-acp	upon	upon	0
our	our	po12	our	our	0
diligent	diligent	j	diligent	diligent	0
using	using	vvg	using	use	0
that	that	d	that	that	0
means	means	n2	means	mean	0
ordained	ordained	vvn	ordained	ordain	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
end	end	n1	end	end	0
;	;	;	;	;	0
this	this	d	this	this	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
faithfull	faithfull	j	faithful	faithful	0
remem	remem	fw-la	remem	remem	0
∣	∣	sy	∣	∣	0
brancer	brancer	n1	brancer	brancer	0
and	and	cc	and	and	0
helper	helper	n1	helper	helper	0
