SR	SR	n1	SR	sir	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	1
By	By	p-acp	By	by	0
whom	whom	ro-crq	whom	who	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
Maurice	Maurice	np1	Maurice	Maurice	0
.	.	.	.	.	1
Maurice	Maurice	np1	Maurice	Maurice	0
Oldisworth	Oldisworth	np1	Oldisworth	Oldisworth	0
his	his	po31	his	his	0
wife	wife	n1	wife	wife	0
was	was	vbds	was	be	0
Iane	Iane	np1	Iane	Jane	0
,	,	,	,	,	0
daughter	daughter	n1	daughter	daughter	0
and	and	cc	and	and	0
Heiress	Heiress	n1	Heiress	heiress	0
unto	unto	p-acp	unto	unto	0
Iohn	Iohn	np1	Iohn	John	0
Sydenham	Sydenham	np1	Sydenham	Sydenham	0
of	of	pp-f	of	of	0
Somerset-shire	Somerset-shire	n1	Somersetshire	somersetshire	0
Esq.	Esq.	np1	Esq.	Esq.	1
Their	Their	po32	Their	their	0
son	son	n1	son	son	0
was	was	vbds	was	be	0
Thomas	Thomas	np1	Thomas	Thomas	0
.	.	.	.	.	1
Thomas	Thomas	np1	Thomas	Thomas	0
Oldisworth	Oldisworth	np1	Oldisworth	Oldisworth	0
married	married	vvd	married	marry	0
a	a	dt	a	a	0
daughter	daughter	n1	daughter	daughter	0
of	of	pp-f	of	of	0
Morgan	Morgan	np1	Morgan	Morgan	0
of	of	pp-f	of	of	0
Pennicoyd	Pennicoyd	np1	Pennicoyd	Pennicoyd	0
Castle	Castle	n1	Castle	castle	0
in	in	p-acp	in	in	0
Monmouth-shire	Monmouth-shire	n1	Monmouthshire	monmouthshire	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
whom	whom	ro-crq	whom	who	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
Father	Father	n1	Father	father	0
of	of	pp-f	of	of	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
.	.	.	.	.	1
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
Oldisworth	Oldisworth	np1	Oldisworth	Oldisworth	0
having	having	vhg	having	have	0
married	married	vvn	married	marry	0
Marjo	Marjo	np1	Marjo	Marjo	0
∣	∣	sy	∣	∣	0
rie	rie	n1	rye	rye	0
,	,	,	,	,	0
daughter	daughter	n1	daughter	daughter	0
of	of	pp-f	of	of	0
Davis	Davis	np1	Davis	Davis	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
city	city	n1	city	city	0
of	of	pp-f	of	of	0
Glouc.	Glouc.	np1	Glouc.	Glouc.	0
had	had	vhd	had	have	0
by	by	p-acp	by	by	0
her	her	pno31	her	she	0
Edward	Edward	np1	Edward	Edward	0
.	.	.	.	.	1
Edward	Edward	np1	Edward	Edward	0
Oldisworth	Oldisworth	np1	Oldisworth	Oldisworth	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
Q.	Q.	np1	Q.	Q.	0
Maries	Maries	npg1	Maries	Mary	0
daies	daies	n2	days	day	0
a	a	dt	a	a	0
Colonel	Colonel	n1	Colonel	colonel	0
in	in	p-acp	in	in	0
Flanders	Flanders	np1	Flanders	Flanders	0
:	:	:	:	:	0
In	In	p-acp	In	in	0
Q.	Q.	np1	Q.	Q.	0
Elizabeths	Elizabeths	npg1	Elizabeths	Elizabeth	0
daies	daies	n2	days	day	0
he	he	pns31	he	he	0
married	married	vvd	married	marry	0
Tace	Tace	fw-la	Tace	tace	0
,	,	,	,	,	0
daughter	daughter	n1	daughter	daughter	0
to	to	p-acp	to	to	0
Arthur	Arthur	np1	Arthur	Arthur	0
Porter	Porter	n1	Porter	porter	0
of	of	pp-f	of	of	0
Newark	Newark	np1	Newark	Newark	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Glouc.	Glouc.	np1	Glouc.	Glouc.	1
Esq	Esq	np1	Esq	Esq	0
Their	Their	po32	Their	their	0
son	son	n1	son	son	0
was	was	vbds	was	be	0
Arnold	Arnold	np1	Arnold	Arnold	0
.	.	.	.	.	1
Arnold	Arnold	np1	Arnold	Arnold	0
Oldisworth	Oldisworth	np1	Oldisworth	Oldisworth	0
,	,	,	,	,	0
Clerk	Clerk	n1	Clerk	clerk	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Hanniper	Hanniper	n1	Hanniper	hanniper	0
,	,	,	,	,	0
married	married	vvn	married	marry	0
Lucie	Lucie	np1	Lucie	Lucy	0
,	,	,	,	,	0
daughter	daughter	n1	daughter	daughter	0
and	and	cc	and	and	0
Co-heiress	Co-heiress	n1	Coheiress	coheiress	0
of	of	pp-f	of	of	0
Francis	Francis	np1	Francis	Francis	0
Baxtu	Baxtu	np1	Baxtu	Baxtu	0
,	,	,	,	,	0
Treasurer	Treasurer	n1	Treasurer	treasurer	0
to	to	pc-acp	to	to	0
Mary	Mary	vvi	Marry	marry	0
Quen	Quen	av	Quen	quen	0
of	of	pp-f	of	of	0
Scotland	Scotland	np1	Scotland	Scotland	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
Lucie	Lucie	np1	Lucie	Lucy	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
Edward	Edward	np1	Edward	Edward	0
.	.	.	.	.	1
Edward	Edward	np1	Edward	Edward	0
Oldisworth	Oldisworth	np1	Oldisworth	Oldisworth	0
of	of	pp-f	of	of	0
Bradley	Bradley	np1	Bradley	Bradley	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Parish	Parish	n1	Parish	parish	0
of	of	pp-f	of	of	0
Wotten	Wotten	np1	Wotten	Wotten	0
under	under	p-acp	under	under	0
Edge	Edge	n1	Edge	edge	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Glouc.	Glouc.	np1	Glouc.	Glouc.	0
Esq	Esq	np1	Esq	Esq	0
married	married	vvn	married	marry	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
,	,	,	,	,	0
the	the	dt	the	the	0
eldest	eldest	js-jn	eldest	elder	0
daughter	daughter	n1	daughter	daughter	0
of	of	pp-f	of	of	0
George	George	np1	George	George	0
Masters	Masters	n2	Master's	master	0
of	of	pp-f	of	of	0
Ciren-Cester	Ciren-Cester	j	Ciren-Cester	ciren-cest	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Coun	Coun	vvi	Con	con	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
afore	afore	p-acp	afore	afore	0
said	said	vvd	said	say	0
,	,	,	,	,	0
Esquire	Esquire	n1	Esquire	esquire	0
.	.	.	.	.	1
Their	Their	po32	Their	their	0
only	only	j	only	only	0
son	son	n1	son	son	0
was	was	vbds	was	be	0
Robert	Robert	np1	Robert	Robert	0
:	:	:	:	:	0
Robert	Robert	np1	Robert	Robert	0
Oldisworth	Oldisworth	np1	Oldisworth	Oldisworth	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Bradley	Bradley	np1	Bradley	Bradley	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Parish	Parish	n1	Parish	parish	0
of	of	pp-f	of	of	0
VVotton	VVotton	np1	VVotton	VVotton	0
under	under	p-acp	under	under	0
Edge	Edge	n1	Edge	edge	0
,	,	,	,	,	0
Esq	Esq	np1	Esq	Esq	0
took	took	vvd	took	take	0
to	to	p-acp	to	to	0
wife	wife	n1	wife	wife	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
,	,	,	,	,	0
daughter	daughter	n1	daughter	daughter	0
of	of	pp-f	of	of	0
William	William	np1	William	William	0
Clotterbook	Clotterbook	np1-n	Clotterbook	clotterbook	0
of	of	pp-f	of	of	0
Kingsstanely	Kingsstanely	j	Kingsstanely	kingsstanely	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Glouc.	Glouc.	np1	Glouc.	Glouc.	1
Gent.	Gent.	n1	Gent.	gentleman	0
and	and	cc	and	and	0
had	had	vhd	had	have	0
issue	issue	n1	issue	issue	0
VVilliam	VVilliam	np1	VVilliam	William	0
.	.	.	.	.	1
William	William	np1	William	William	0
Oldisworth	Oldisworth	np1	Oldisworth	Oldisworth	0
(	(	(	(	(	0
the	the	dt	the	the	0
only	only	j	only	only	0
child	child	n1	child	child	0
that	that	cst	that	that	0
e	e	sy	e	e	0
∣	∣	sy	∣	∣	0
ver	ver	fw-la	ver	ver	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Robert	Robert	np1	Robert	Robert	0
Oldisworth	Oldisworth	np1	Oldisworth	Oldisworth	0
,	,	,	,	,	0
or	or	cc	or	or	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
his	his	po31	his	his	0
wife	wife	n1	wife	wife	0
,	,	,	,	,	0
had	had	vhd	had	have	0
)	)	)	)	)	0
was	was	vbds	was	be	0
buried	buried	vvn	buried	bury	0
Aug.	Aug.	np1	Aug.	Aug.	1
31.	31.	crd	31.	31.	0
1674	1674	crd	1674	1674	0
both	both	d	both	both	0
before	before	c-acp	before	before	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
married	married	vvn	married	marry	0
,	,	,	,	,	0
and	and	cc	and	and	0
before	before	c-acp	before	before	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
full	full	j	full	full	0
21	21	crd	21	21	0
yeares	yeares	n2	years	year	0
old	old	j	old	old	0
.	.	.	.	.	1
Good	Good	j	Good	good	0
Madam	Madam	n1	Madam	madam	0
,	,	,	,	,	0
The	The	dt	The	the	0
more	more	av-dc	more	more	0
inferiour	inferiour	j-jn	inferior	inferior	0
this	this	d	this	this	0
slender	slender	j	slender	slender	0
Stemm	Stemm	n1	Stem	stem	0
is	is	vbz	is	be	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
generous	generous	j	generous	generous	0
Croft	Croft	np1	Croft	Croft	0
of	of	pp-f	of	of	0
Crofts	Crofts	np1	Crofts	Crofts	0
Castle	Castle	n1	Castle	castle	0
;	;	;	;	;	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
numerous	numerous	j	numerous	numerous	0
those	those	d	those	those	0
weeping	weeping	j-vvg	weeping	weep	0
eyes	eyes	n2	eyes	eye	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
then	then	av	then	then	0
beheld	beheld	vvd	beheld	behold	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
last	last	ord	last	last	0
Branch	Branch	n1	Branch	branch	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Stock	Stock	n1	Stock	stock	0
was	was	vbds	was	be	0
untimely	untimely	av-j	untimely	untimely	0
cutt	cutt	vvi	cut	cut	0
off	off	a-acp	off	off	0
;	;	;	;	;	0
And	And	cc	And	and	0
(	(	(	(	(	0
above	above	p-acp	above	above	0
all	all	d	all	all	0
this	this	d	this	this	0
)	)	)	)	)	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
narrowly	narrowly	av-j	narrowly	narrow	0
I	I	pns11	I	i	0
search	search	vvb	search	search	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
mul	mul	n1	mul	mul	0
∣	∣	sy	∣	∣	0
titude	titude	n1	titude	titude	0
of	of	pp-f	of	of	0
sorrows	sorrows	n2	sorrows	sorrow	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
apt	apt	j	apt	apt	0
to	to	pc-acp	to	to	0
imagine	imagine	vvi	imagine	imagine	0
Abraham	Abraham	np1	Abraham	Abraham	0
,	,	,	,	,	0
the	the	dt	the	the	0
Friend	Friend	n1	Friend	friend	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
wrestled	wrestled	vvn	wrestled	wrestle	0
with	with	p-acp	with	with	0
;	;	;	;	;	0
The	The	dt	The	the	0
greater	greater	jc	greater	great	0
Impression	Impression	n1	Impression	impression	0
abideth	abideth	vvz	abideth	abide	0
engraven	engraven	vvn	engraven	engrave	0
upon	upon	p-acp	upon	upon	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
while	while	cs	while	while	0
(	(	(	(	(	0
with	with	p-acp	with	with	0
true	true	j	true	true	0
joy	joy	n1	joy	joy	0
and	and	cc	and	and	0
much	much	d	much	much	0
plea	plea	n1	plea	plea	0
∣	∣	sy	∣	∣	0
sure	sure	j	sure	sure	0
)	)	)	)	)	0
I	I	pns11	I	i	0
frequently	frequently	av-j	frequently	frequent	0
ruminate	ruminate	vvb	ruminate	ruminate	0
how	how	c-crq	how	how	0
tender	tender	j	tender	tender	0
a	a	dt	a	a	0
mercy	mercy	n1	mercy	mercy	0
the	the	dt	the	the	0
Preserver	Preserver	n1	Preserver	preserver	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
dayly	dayly	av-j	daily	daily	0
vouchsafeth	vouchsafeth	vvz	vouchsafeth	vouchsafe	0
both	both	d	both	both	0
unto	unto	p-acp	unto	unto	0
my	my	po11	my	my	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Hereford	Hereford	np1	Hereford	Hereford	0
,	,	,	,	,	0
and	and	cc	and	and	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Ladiship	Ladiship	n1	Ladyship	ladyship	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
continuing	continuing	vvg	continuing	continue	0
the	the	dt	the	the	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
prospering	prospering	vvg	prospering	prosper	0
the	the	dt	the	the	0
daies	daies	n2	days	day	0
of	of	pp-f	of	of	0
Sr	Sr	n1	Sir	sir	0
Herbert	Herbert	np1	Herbert	Herbert	0
Crofts	Crofts	np1	Crofts	Crofts	0
,	,	,	,	,	0
your	your	po22	your	your	0
Isaac	Isaac	np1	Isaac	Isaac	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
bury	bury	vvi	bury	bury	0
that	that	d	that	that	0
Heir	Heir	n1	Heir	heir	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
only	only	j	only	only	0
Son	Son	n1	Son	son	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
mourn	mourn	vvi	mourn	mourn	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
an	an	dt	and	a	0
only	only	j	only	only	0
Son	Son	n1	Son	son	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
only	only	j	only	only	0
child	child	n1	child	child	0
,	,	,	,	,	0
is	is	vbz	is	be	0
(	(	(	(	(	0
I	I	pns11	I	i	0
see	see	vvb	see	see	0
)	)	)	)	)	0
A	A	dt	A	a	0
two-edged	two-edged	j	two-edged	two-edged	0
Woe	Woe	n1	Woe	woe	0
!	!	!	!	!	1
Neverthe	Neverthe	np1	Neverthe	Neverthe	0
∣	∣	sy	∣	∣	0
less	less	dc	less	less	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Faith	Faith	n1	Faith	faith	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Faithful	Faithful	j	Faithful	faithful	0
duel	duel	n1	duel	duel	0
∣	∣	sy	∣	∣	0
led	led	vvd	led	lead	0
,	,	,	,	,	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Faithfull	Faithfull	j	Faithful	faithful	0
vanquished	vanquished	j-vvn	vanquished	vanquish	0
,	,	,	,	,	0
even	even	av	even	even	0
this	this	d	this	this	0
Triall	Triall	n1	Trial	trial	0
.	.	.	.	.	1
Madam	Madam	n1	Madam	madam	0
,	,	,	,	,	0
If	If	cs	If	if	0
either	either	d	either	either	0
my	my	po11	my	my	0
conjectures	conjectures	n2	conjectures	conjecture	0
concerning	concerning	vvg	concerning	concern	0
Abraham	Abraham	np1	Abraham	Abraham	0
his	his	po31	his	his	0
temptations	temptations	n2	temptations	temptation	0
,	,	,	,	,	0
or	or	cc	or	or	0
any	any	d	any	any	0
Descant	Descant	n1	Descant	descant	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
upon	upon	p-acp	upon	upon	0
his	his	po31	his	his	0
exemplarie	exemplarie	j	exemplary	exemplary	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
can	can	vmb	can	can	0
assist	assist	vvi	assist	assist	0
your	your	po22	your	your	0
Ladiships	Ladiships	ng1	Ladyships	ladyship	0
growing	growing	vvg	growing	grow	0
in	in	p-acp	in	in	0
grace	grace	n1	grace	grace	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
knowledg	knowledg	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
Saviour	Saviour	n1	Saviour	saviour	0
IESVS	IESVS	np1	IESVS	IESVS	0
CHRIST	CHRIST	np1	CHRIST	Christ	0
;	;	;	;	;	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
willingly	willingly	av-j	willingly	willing	0
sacrifice	sacrifice	vvi	sacrifice	sacrifice	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
to	to	pc-acp	to	to	0
cen	cen	vvi	cen	cen	0
∣	∣	sy	∣	∣	0
sure	sure	j	sure	sure	0
;	;	;	;	;	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
bless	bless	vvi	bless	bless	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
granting	granting	vvg	granting	grant	0
the	the	dt	the	the	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
quest	quest	n1	quest	quest	0
of	of	pp-f	of	of	0
To	To	p-acp	To	to	0
the	the	dt	the	the	0
Vertuous	Vertuous	j	Virtuous	virtuous	0
Mrs.	Mrs.	n1	Mrs.	mrs.	0
BRDGET	BRDGET	np1	BRDGET	BRDGET	0
THORP	THORP	np1	THORP	Thorp	0
,	,	,	,	,	0
VVidow	VVidow	n1	VVidow	widow	0
.	.	.	.	.	1
BRing	BRing	vvb	BRing	bring	0
her	her	pno31	her	she	0
forth	forth	av	forth	forth	0
that	that	cst	that	that	0
she	she	pns31	she	she	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
burnt	burnt	vvn	burned	burn	0
:	:	:	:	:	0
When	When	c-crq	When	when	0
What	What	q-crq	What	what	0
paper	paper	n1	paper	paper	0
I	I	pns11	I	i	0
now	now	av	now	now	0
expose	expose	vvi	expose	expose	0
,	,	,	,	,	0
Gen.	Gen.	np1	Gen.	Gen.	1
38.24	38.24	crd	38.24	38.24	0
.	.	.	.	.	1
I	I	sy	I	i	0
two	two	crd	two	two	0
years	years	n2	years	year	0
since	since	c-acp	since	since	0
rashly	rashly	av-j	rashly	rash	0
condemned	condemned	vvn	condemned	condemn	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Presse	Presse	vvb	Press	press	0
,	,	,	,	,	0
such	such	d	such	such	0
ano	ano	av	anon	anon	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
unjust	unjust	j	unjust	unjust	0
Judge	Judge	n1	Judge	judge	0
,	,	,	,	,	0
sa	sa	uh	sa	sa	0
Judah	Judah	np1	Judah	Judah	0
was	was	vbds	was	be	0
,	,	,	,	,	0
was	was	vbds	was	be	0
I	I	pns11	I	i	0
.	.	.	.	.	0
Dear	Dear	j-jn	Dear	dear	0
Cousin	Cousin	n1	Cousin	cousin	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
say	say	vvi	say	say	0
that	that	cst	that	that	0
a	a	dt	a	a	0
Gift	Gift	n1	Gift	gift	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Bosom	Bosom	n1	Bosom	bosom	0
did	did	vdd	did	do	0
corrupt	corrupt	vvi	corrupt	corrupt	0
my	my	po11	my	my	0
Judgment	Judgment	n1	Judgement	judgement	0
,	,	,	,	,	0
Sept.	Sept.	np1	Sept.	Sept.	1
2.	2.	crd	2.	2.	0
1674.	1674.	crd	1674.	1674.	0
for	for	p-acp	for	for	0
then	then	av	then	then	0
your	your	po22	your	your	0
Purse	Purse	n1	Purse	purse	0
would	would	vmd	would	will	0
pay	pay	vvi	pay	pay	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
.	.	.	.	.	1
The	The	dt	The	the	0
truth	truth	n1	truth	truth	0
is	is	vbz	is	be	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
me	me	pno11	me	i	0
at	at	p-acp	at	at	0
that	that	d	that	that	0
time	time	n1	time	time	0
passe	passe	vvi	pass	pass	0
that	that	d	that	that	0
sentence	sentence	n1	sentence	sentence	0
,	,	,	,	,	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
;	;	;	;	;	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
me	me	pno11	me	i	0
now	now	av	now	now	0
execute	execute	vvi	execute	execute	0
that	that	d	that	that	0
sentence	sentence	n1	sentence	sentence	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
,	,	,	,	,	0
the	the	dt	the	the	0
importunate	importunate	j	importunate	importunate	0
widow	widow	n1	widow	widow	0
Let	Let	vvb	Let	let	0
me	me	pno11	me	i	0
cease	cease	vvi	cease	cease	0
to	to	pc-acp	to	to	0
honour	honour	vvi	honour	honour	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
Widows	Widows	n2	Widows	widow	0
indeede	indeede	av	indeed	indeed	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
reverence	reverence	n1	reverence	reverence	0
and	and	cc	and	and	0
highly	highly	av-j	highly	high	0
e	e	sy	e	e	0
∣	∣	sy	∣	∣	0
steeme	steeme	vvb	steam	steam	0
you	you	pn22	you	you	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
You	You	pn22	You	you	0
glorifie	glorifie	vvi	glorify	glorify	0
God	God	np1	God	God	0
:	:	:	:	:	0
Whom	Whom	ro-crq	Whom	who	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
dishonour	dishonour	vvi	dishonour	dishonour	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
