RJght	RJght	av-jn	RJght	rjght	0
reuerend	reuerend	j-jn	reverend	reverend	0
father	father	n1	father	father	0
in	in	p-acp	in	in	0
God	God	np1	God	God	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
my	my	po11	my	my	0
especial	especial	j	especial	especial	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
require	require	vvi	require	require	0
it	it	pn31	it	it	0
of	of	pp-f	of	of	0
me	me	pno11	me	i	0
;	;	;	;	;	0
and	and	cc	and	and	0
seing	seing	vvg	sing	sing	0
hereupon	hereupon	av	hereupon	hereupon	0
his	his	po31	his	his	0
Lordship	Lordship	n1	Lordship	lordship	0
hath	hath	vhz	hath	have	0
vouchsafed	vouchsafed	vvn	vouchsafed	vouchsafe	0
to	to	pc-acp	to	to	0
peruse	peruse	vvi	peruse	peruse	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
authoritie	authoritie	n1	authority	authority	0
hath	hath	vhz	hath	have	0
allowed	allowed	vvn	allowed	allow	0
it	it	pn31	it	it	0
;	;	;	;	;	0
hauing	hauing	vhg	having	have	0
duely	duely	av-jn	duly	due	0
waighed	waighed	vvn	weighed	weigh	0
all	all	d	all	all	0
this	this	d	this	this	0
,	,	,	,	,	0
J	J	pns11	J	i	0
professe	professe	vvb	profess	profess	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
accompt	accompt	n1	account	account	0
,	,	,	,	,	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
had	had	vhn	had	have	0
a	a	dt	a	a	0
directing	directing	vvg	directing	direct	0
and	and	cc	and	and	0
a	a	dt	a	a	0
work	work	n1	work	work	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
hand	hand	n1	hand	hand	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
haue	haue	vhb	have	have	0
therefore	therefore	av	therefore	therefore	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
beyed	beyed	vvd	beyed	bey	0
,	,	,	,	,	0
leauing	leauing	vvg	leaving	leave	0
all	all	d	all	all	0
excuses	excuses	n2	excuses	excuse	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
probablie	probablie	av-j	probably	probable	0
haue	haue	vhi	have	have	0
made	made	vvn	made	make	0
:	:	:	:	:	0
euen	euen	av-j	even	even	0
so	so	av	so	so	0
Gods	Gods	n2	Gods	god	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
a	a	dt	a	a	0
publique	publique	j	public	public	0
good	good	j	good	good	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
mans	mans	ng1	men	man	0
calling	calling	vvg	calling	call	0
,	,	,	,	,	0
is	is	vbz	is	be	0
likely	likely	j	likely	likely	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
effected	effected	vvn	effected	effect	0
,	,	,	,	,	0
excuses	excuses	n2	excuses	excuse	0
for	for	p-acp	for	for	0
priuate	priuate	j	private	private	0
respects	respects	n2	respects	respect	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
conscience	conscience	n1	conscience	conscience	0
haue	haue	vhb	have	have	0
no	no	dx	no	no	0
place	place	n1	place	place	0
.	.	.	.	.	1
Had	Had	vhd	Had	have	0
I	I	pns11	I	i	0
but	but	cc-acp	but	but	0
imagined	imagined	vvd	imagined	imagine	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
haue	haue	vhi	have	have	0
come	come	vvn	come	come	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
at	at	p-acp	at	at	0
length	length	n1	length	length	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Gods	Gods	ng1	Gods	god	0
help	help	n1	help	help	0
it	it	pn31	it	it	0
had	had	vhd	had	have	0
beene	beene	vbn	been	be	0
better	better	jc	better	better	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
his	his	po31	his	his	0
goodnesse	goodnesse	n1	goodness	goodness	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
no	no	av-dx	no	no	0
worse	worse	av-jc	worse	worse	0
:	:	:	:	:	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
needfull	needfull	j	needful	needful	0
,	,	,	,	,	0
that	that	cst	that	that	0
J	J	pns11	J	i	0
dare	dare	vvb	dare	dare	0
and	and	cc	and	and	0
do	do	vdb	do	do	0
auouch	auouch	vvi	avouch	avouch	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
part	part	n1	part	part	0
:	:	:	:	:	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
it	it	pn31	it	it	0
well	well	av	well	well	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
vse	vse	vvi	use	use	0
it	it	pn31	it	it	0
wel	wel	av	well	well	0
,	,	,	,	,	0
may	may	vmb	may	may	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
good	good	j	good	good	0
and	and	cc	and	and	0
profitable	profitable	j	profitable	profitable	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
Honors	Honors	ng1	Honours	honour	0
first	first	ord	first	first	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
for	for	p-acp	for	for	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
God	God	np1	God	God	0
shall	shall	vmb	shall	shall	0
giue	giue	vvi	give	give	0
opportunitie	opportunitie	n1	opportunity	opportunity	0
and	and	cc	and	and	0
grace	grace	n1	grace	grace	0
.	.	.	.	.	1
J	J	pns11	J	i	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
earnestly	earnestly	av-j	earnestly	earnest	0
moued	moued	vvn	moved	move	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
it	it	pn31	it	it	0
out	out	av	out	out	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
preached	preached	vvd	preached	preach	0
it	it	pn31	it	it	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
words	words	n2	words	word	0
(	(	(	(	(	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sure	sure	j	sure	sure	0
)	)	)	)	)	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
mist	mist	vvn	missed	miss	0
very	very	av	very	very	0
few	few	d	few	few	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
nothing	nothing	pix	nothing	nothing	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
Honours	Honours	ng1	Honours	honour	0
are	are	vbr	are	be	0
well	well	av	well	well	0
knowne	knowne	vvn	known	know	0
to	to	p-acp	to	to	0
to	to	pc-acp	to	to	0
pray	pray	vvi	pray	pray	0
together	together	av	together	together	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
sermons	sermons	n2	sermons	sermon	0
to	to	p-acp	to	to	0
∣	∣	sy	∣	∣	0
gether	gether	av	gether	gether	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
receiue	receiue	vvi	receive	receive	0
the	the	dt	the	the	0
communion	communion	n1	communion	communion	0
the	the	dt	the	the	0
blessed	blessed	j-vvn	blessed	bless	0
body	body	n1	body	body	0
and	and	cc	and	and	0
bloud	bloud	n1	blood	blood	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
Ie	Ie	fw-fr	Ie	je	0
∣	∣	sy	∣	∣	0
sus	sus	fw-la	sus	sus	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
publique	publique	j	public	public	0
Parish-Church	Parish-Church	n1	Parish-Church	parish-church	0
together	together	av	together	together	0
;	;	;	;	;	0
God	God	np1	God	God	0
grant	grant	vvb	grant	grant	0
more	more	dc	more	more	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
state	state	n1	state	state	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
examples	examples	ng1	examples	example	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
soules	soules	ng1	souls	soul	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
Gods	Gods	npg1	Gods	God	0
glorie	glorie	n1	glory	glory	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
the	the	dt	the	the	0
like	like	av-j	like	like	0
.	.	.	.	.	1
If	If	cs	If	if	0
together	together	av	together	together	0
also	also	av	also	also	0
your	your	po22	your	your	0
Honors	Honors	n2	Honours	honour	0
wil	wil	vmb	will	will	0
be	be	vbi	be	be	0
pleased	pleased	vvn	pleased	please	0
,	,	,	,	,	0
some	some	d	some	some	0
∣	∣	sy	∣	∣	0
times	times	av	times	time	0
to	to	pc-acp	to	to	0
reade	reade	vvi	read	read	0
and	and	cc	and	and	0
conferre	conferre	vvi	confer	confer	0
seriously	seriously	av-j	seriously	serious	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
diuine	diuine	j-jn	divine	divine	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
heer	heer	po31	her	her	0
consecrated	consecrated	j-vvn	consecrated	consecrate	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Soueraigne	Soueraigne	j-jn	Sovereign	sovereign	0
good	good	j	good	good	0
,	,	,	,	,	0
let	let	vvb	let	let	0
me	me	pno11	me	i	0
be	be	vbi	be	be	0
blamed	blamed	vvn	blamed	blame	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
seuerely	seuerely	av-j	severely	severe	0
censured	censured	vvn	censured	censure	0
,	,	,	,	,	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
finde	finde	vvb	find	find	0
cause	cause	n1	cause	cause	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
repent	repent	vvi	repent	repent	0
your	your	po22	your	your	0
well	well	av	well	well	0
bestowing	bestowing	vvg	bestowing	bestow	0
time	time	n1	time	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
paines	paines	n2	pains	pain	0
this	this	d	this	this	0
way	way	n1	way	way	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
God	God	np1	God	God	0
of	of	pp-f	of	of	0
mercies	mercies	n2	mercies	mercy	0
fill	fill	vvb	fill	fill	0
your	your	po22	your	your	0
noble	noble	j	noble	noble	0
hearts	hearts	n2	hearts	heart	0
with	with	p-acp	with	with	0
heauenly	heauenly	j	heavenly	heavenly	0
graces	graces	n2	graces	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
powre	powre	n1	pour	power	0
vpon	vpon	p-acp	upon	upon	0
both	both	d	both	both	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
yours	yours	png22	yours	you	0
his	his	po31	his	his	0
richest	richest	js	richest	rich	0
blessings	blessings	n2	blessings	blessing	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
deare	deare	j-jn	deer	dear	0
sonne	sonne	n1	son	son	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
his	his	po31	his	his	0
sake	sake	n1	sake	sake	0
.	.	.	.	.	1
Lon	Lon	np1	Lon	Lon	0
∣	∣	sy	∣	∣	0
don	don	n1	dONE	don	0
the	the	cs	the	than	0
25	25	crd	25	25	0
of	of	pp-f	of	of	0
Nouember	Nouember	np1	Nouember	November	0
.	.	.	.	.	1
1607.	1607.	crd	1607.	1607.	1
