I	I	pns11	I	i	0
condition	condition	n1	condition	condition	0
.	.	.	.	.	1
The	The	dt	The	the	0
Discipline	Discipline	n1	Discipline	discipline	0
and	and	cc	and	and	0
Government	Government	n1	Government	government	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
wall	wall	n1	wall	wall	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
City	City	n1	City	city	0
.	.	.	.	.	1
A	A	dt	A	a	0
City	City	n1	City	city	0
without	without	p-acp	without	without	0
wals	wals	n2	walls	wall	0
is	is	vbz	is	be	0
exposed	exposed	vvn	exposed	expose	0
to	to	p-acp	to	to	0
every	every	d	every	every	0
enemy	enemy	n1	enemy	enemy	0
:	:	:	:	:	0
so	so	av	so	so	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
without	without	p-acp	without	without	0
a	a	dt	a	a	0
Government	Government	n1	Government	government	0
.	.	.	.	.	1
This	This	d	This	this	0
wall	wall	n1	wall	wall	0
is	is	vbz	is	be	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
building	building	n1	building	building	0
:	:	:	:	:	0
the	the	dt	the	the	0
Parliament	Parliament	n1	Parliament	parliament	0
(	(	(	(	(	0
blessed	blessed	vvn	blessed	bless	0
be	be	vbi	be	be	0
God	God	n1	God	god	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
contributed	contributed	vvn	contributed	contribute	0
very	very	av	very	very	0
much	much	av-d	much	much	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
building	building	n1	building	building	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
yet	yet	av	yet	yet	0
we	we	pns12	we	we	0
meet	meet	vvb	meet	meet	0
with	with	p-acp	with	with	0
mountains	mountains	n2	mountains	mountain	0
of	of	pp-f	of	of	0
opposition	opposition	n1	opposition	opposition	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
many	many	d	many	many	0
discouragements	discouragements	n2	discouragements	discouragement	0
.	.	.	.	.	1
Our	Our	po12	Our	our	0
enemies	enemies	n2	enemies	enemy	0
say	say	vvi	say	say	0
,	,	,	,	,	0
What	What	q-crq	What	what	0
doe	doe	vdb	do	do	0
these	these	d	these	these	0
feeble	feeble	j	feeble	feeble	0
Presbyterians	Presbyterians	njp2	Presbyterians	presbyterians	0
meane	meane	vvi	mean	mean	0
?	?	?	?	?	0
will	will	vmb	will	will	0
they	they	pns32	they	they	0
fortifie	fortifie	vvi	fortify	fortify	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selves	selves	n2	selves	self	0
?	?	?	?	?	0
will	will	vmb	will	will	0
they	they	pns32	they	they	0
make	make	vvi	make	make	0
an	an	dt	and	a	0
end	end	n1	end	end	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
day	day	n1	day	day	0
?	?	?	?	?	0
will	will	vmb	will	will	0
they	they	pns32	they	they	0
revive	revive	vvi	revive	revive	0
the	the	dt	the	the	0
stones	stones	n2	stones	stone	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
heaps	heaps	n2	heaps	heap	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
rubbish	rubbish	n1	rubbish	rubbish	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
burnt	burnt	vvn	burned	burn	0
?	?	?	?	?	1
Even	Even	np1	Even	Even	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
build	build	vvb	built	build	0
,	,	,	,	,	0
if	if	cs	if	if	0
a	a	dt	a	a	0
Fox	Fox	n1	Fox	fox	0
goe	goe	vvb	go	go	0
up	up	a-acp	up	up	0
,	,	,	,	,	0
he	he	pns31	he	he	0
shall	shall	vmb	shall	shall	0
even	even	av	even	even	0
break	break	vvi	break	break	0
down	down	a-acp	down	down	0
their	their	po32	their	their	0
stone-wall	stone-wall	n1	stonewall	stonewall	0
.	.	.	.	.	1
Our	Our	po12	Our	our	0
enemies	enemies	n2	enemies	enemy	0
also	also	av	also	also	0
raise	raise	vvi	raise	raise	0
false	false	j	false	false	0
reports	reports	n2	reports	report	0
to	to	pc-acp	to	to	0
weaken	weaken	vvi	weaken	weaken	0
the	the	dt	the	the	0
hands	hands	n2	hands	hand	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
builders	builders	n2	builders	builder	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
us	us	pno12	us	we	0
afraid	afraid	j	afraid	afraid	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
did	did	vdd	did	do	0
,	,	,	,	,	0
Neh.	Neh.	np1	Neh.	Neh.	1
6.	6.	crd	6.	6.	0
6.	6.	crd	6.	6.	0
10.	10.	crd	10.	10.	1
They	They	pns32	They	they	0
say	say	vvb	say	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Presbyterian	Presbyterian	j	Presbyterian	presbyterian	0
Government	Government	n1	Government	government	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Government	Government	n1	Government	government	0
that	that	cst	that	that	0
comes	comes	vvz	comes	come	0
neerest	neerest	av-j	nearest	near	0
the	the	dt	the	the	0
Word	Word	n1	Word	word	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Government	Government	n1	Government	government	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
best	best	js	best	best	0
Reformed	Reformed	vvn	Reformed	reform	0
Churches	Churches	n2	Churches	church	0
)	)	)	)	)	0
will	will	vmb	will	will	0
prove	prove	vvi	prove	prove	0
Tyrannicall	Tyrannicall	j	Tyrannical	tyrannical	0
,	,	,	,	,	0
and	and	cc	and	and	0
Episcopall	Episcopall	np1	Episcopall	Episcopal	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
better	better	jc	better	better	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
under	under	p-acp	under	under	0
one	one	crd	one	one	0
Bishop	Bishop	n1	Bishop	bishop	0
then	then	av	then	then	0
under	under	p-acp	under	under	0
a	a	dt	a	a	0
hundred	hundred	crd	hundred	hundred	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
we	we	pns12	we	we	0
answer	answer	vvb	answer	answer	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Nehemiah	Nehemiah	np1	Nehemiah	Nehemiah	0
did	did	vdd	did	do	0
,	,	,	,	,	0
Neh.	Neh.	np1	Neh.	Neh.	1
4.	4.	crd	4.	4.	0
4.	4.	crd	4.	4.	1
Hear	Hear	np1	Hear	Hear	0
ô	ô	uh	o	o	0
our	our	po12	our	our	0
God	God	n1	God	god	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
despised	despised	vvn	despised	despise	0
;	;	;	;	;	0
and	and	cc	and	and	0
turn	turn	vvb	turn	turn	0
their	their	po32	their	their	0
reproach	reproach	n1	reproach	reproach	0
upon	upon	p-acp	upon	upon	0
their	their	po32	their	their	0
own	own	d	own	own	0
head	head	n1	head	head	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	p-acp	as	as	0
Neh.	Neh.	np1	Neh.	Neh.	0
6.	6.	crd	6.	6.	0
9.	9.	crd	9.	9	1
Now	Now	av	Now	now	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
ô	ô	uh	o	o	0
our	our	po12	our	our	0
God	God	n1	God	god	0
,	,	,	,	,	0
strengthen	strengthen	vvb	strengthen	strengthen	0
our	our	po12	our	our	0
hands	hands	n2	hands	hand	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
worser	worser	jc	worse	worse	0
then	then	cs	then	than	0
this	this	d	this	this	0
,	,	,	,	,	0
is	is	vbz	is	be	0
;	;	;	;	;	0
that	that	d	that	that	0
our	our	po12	our	our	0
seeming	seeming	j-vvg	seeming	seem	0
friends	friends	n2	friends	friend	0
seek	seek	vvb	seek	seek	0
to	to	pc-acp	to	to	0
undermine	undermine	vvi	undermine	undermine	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
terrifie	terrifie	vvi	terrify	terrify	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
say	say	vvi	say	say	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Neh.	Neh.	np1	Neh.	Neh.	1
4.	4.	crd	4.	4.	0
11.	11.	crd	11.	11.	1
They	They	pns32	They	they	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
know	know	vvi	know	know	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
see	see	vvb	see	see	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
we	we	pns12	we	we	0
come	come	vvb	come	come	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
midst	midst	n1	midst	midst	0
among	among	p-acp	among	among	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
slay	slay	vvi	slay	slay	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
cause	cause	vvi	cause	cause	0
the	the	dt	the	the	0
work	work	n1	work	work	0
to	to	pc-acp	to	to	0
cease	cease	vvi	cease	cease	0
.	.	.	.	.	1
And	And	cc	And	and	0
others	others	n2-jn	others	other	0
are	are	vbr	are	be	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
discourage	discourage	vvi	discourage	discourage	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
say	say	vvb	say	say	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
Neh.	Neh.	np1	Neh.	Neh.	1
4.	4.	crd	4.	4.	0
10.	10.	crd	10.	10.	1
And	And	cc	And	and	0
Judah	Judah	np1	Judah	Judah	0
said	said	vvd	said	say	0
,	,	,	,	,	0
The	The	dt	The	the	0
strength	strength	n1	strength	strength	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
bea	bea	fw-mi	bea	bea	0
∣	∣	sy	∣	∣	0
rers	rers	n2	rers	rer	0
of	of	pp-f	of	of	0
burdens	burdens	n2	burdens	burden	0
is	is	vbz	is	be	0
decayed	decayed	vvn	decayed	decay	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
much	much	d	much	much	0
rubbish	rubbish	n1	rubbish	rubbish	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
build	build	vvi	built	build	0
the	the	dt	the	the	0
wall	wall	n1	wall	wall	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
impossible	impossible	j	impossible	impossible	0
(	(	(	(	(	0
say	say	vvb	say	say	0
some	some	d	some	some	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
purge	purge	vvi	purge	purge	0
our	our	po12	our	our	0
Churches	Churches	n2	Churches	church	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
rule	rule	n1	rule	rule	0
,	,	,	,	,	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
so	so	av	so	so	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
rubbish	rubbish	n1	rubbish	rubbish	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
better	better	jc	better	better	0
and	and	cc	and	and	0
safer	safer	av-jc	safer	safe	0
to	to	pc-acp	to	to	0
study	study	vvi	study	study	0
Separation	Separation	n1	Separation	separation	0
from	from	p-acp	from	from	0
,	,	,	,	,	0
rather	rather	av-c	rather	rather	0
then	then	cs	then	than	0
Reformation	Reformation	n1	Reformation	reformation	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Churches	Churches	n2	Churches	church	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
yet	yet	av	yet	yet	0
notwithstanding	notwithstanding	p-acp	notwithstanding	notwithstanding	0
all	all	d	all	all	0
these	these	d	these	these	0
op	op	j	open	open	0
∣	∣	sy	∣	∣	0
positions	positions	n2	positions	position	0
,	,	,	,	,	0
and	and	cc	and	and	0
discouragements	discouragements	n2	discouragements	discouragement	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
but	but	p-acp	but	but	0
God	God	np1	God	God	0
Almighty	Almighty	j-jn	Almighty	almighty	0
will	will	vmb	will	will	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
due	due	j-jn	due	due	0
time	time	n1	time	time	0
finish	finish	vvi	finish	finish	0
this	this	d	this	this	0
wall	wall	n1	wall	wall	0
of	of	pp-f	of	of	0
his	his	png31	his	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
perfect	perfect	vvi	perfect	perfect	0
his	his	po31	his	his	0
own	own	d	own	own	0
work	work	n1	work	work	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
the	the	dt	the	the	0
enemies	enemies	n2	enemies	enemy	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
of	of	a-acp	of	off	0
shall	shall	vmb	shall	shall	0
cast	cast	vvi	cast	cast	0
down	down	a-acp	down	down	0
their	their	po32	their	their	0
eies	eies	n2	eyes	eye	0
,	,	,	,	,	0
and	and	cc	and	and	0
perceive	perceive	vvb	perceive	perceive	0
that	that	cst	that	that	0
this	this	d	this	this	0
work	work	n1	work	work	0
was	was	vbds	was	be	0
wrought	wrought	vvn	wrought	wrought	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
God	God	n1	God	god	0
,	,	,	,	,	0
Neh.	Neh.	np1	Neh.	Neh.	1
6.	6.	crd	6.	6.	0
16.	16.	crd	16.	16.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
effecting	effecting	vvg	effecting	effect	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
blessed	blessed	j-vvn	blessed	bless	0
work	work	n1	work	work	0
,	,	,	,	,	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
raised	raised	vvn	raised	raise	0
us	us	pno12	us	we	0
up	up	p-acp	up	up	0
a	a	dt	a	a	0
happy	happy	j	happy	happy	0
Parliament	Parliament	n1	Parliament	parliament	0
.	.	.	.	.	1
And	And	cc	And	and	0
also	also	av	also	also	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
raised	raised	vvn	raised	raise	0
you	you	pn22	you	you	0
up	up	a-acp	up	up	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
,	,	,	,	,	0
Right	Right	av-jn	Right	right	0
Worshipfull	Worshipfull	j	Worshipful	worshipful	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Common	Common	j	Common	common	0
Councell	Councell	n1	Council	council	0
)	)	)	)	)	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
raised	raised	vvn	raised	raise	0
up	up	a-acp	up	up	0
your	your	po22	your	your	0
spirits	spirits	n2	spirits	spirit	0
to	to	pc-acp	to	to	0
strengthen	strengthen	vvi	strengthen	strengthen	0
our	our	po12	our	our	0
hands	hands	n2	hands	hand	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
work	work	n1	work	work	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
build	build	vvi	built	build	0
the	the	dt	the	the	0
wall	wall	n1	wall	wall	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
,	,	,	,	,	0
(	(	(	(	(	0
each	each	d	each	each	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
places	places	n2	places	place	0
)	)	)	)	)	0
that	that	cst	that	that	0
so	so	av	so	so	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
may	may	vmb	may	may	0
no	no	av-dx	no	no	0
longer	longer	av-jc	longer	long	0
lye	lye	vvi	lie	lie	0
waste	waste	n1	waste	waste	0
,	,	,	,	,	0
and	and	cc	and	and	0
open	open	vvi	open	open	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
Errors	Errors	n2	Errors	error	0
and	and	cc	and	and	0
Heresies	Heresies	n2	Heresies	heresy	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
no	no	xx	not	not	0
lon	lon	zz	lon	lon	0
∣	∣	sy	∣	∣	0
ger	ger	pno31	her	she	0
a	a	dt	a	a	0
reproach	reproach	n1	reproach	reproach	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
other	other	n-jn	other	other	0
reformed	reformed	vvn	reformed	reform	0
Churches	Churches	n2	Churches	church	0
.	.	.	.	.	1
This	This	d	This	this	0
work	work	n1	work	work	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
help	help	n1	help	help	0
will	will	vmb	will	will	0
quickly	quickly	av-j	quickly	quick	0
bee	bee	vbi	be	be	0
finished	finished	vvn	finished	finish	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
written	written	vvn	written	write	0
,	,	,	,	,	0
Neh.	Neh.	np1	Neh.	Neh.	1
4.	4.	crd	4.	4.	0
6.	6.	crd	6.	6.	1
So	So	av	So	so	0
we	we	pns12	we	we	0
built	built	vvd	built	build	0
the	the	dt	the	the	0
wall	wall	n1	wall	wall	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
wall	wall	n1	wall	wall	0
was	was	vbds	was	be	0
joyned	joyned	vvn	joined	join	0
together	together	av	together	together	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
half	half	n-jn	half	half	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
people	people	n1	people	people	0
had	had	vhd	had	have	0
a	a	dt	a	a	0
minde	minde	n1	mind	mind	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
work	work	n1	work	work	0
.	.	.	.	.	1
The	The	dt	The	the	0
times	times	n2	times	time	0
wherein	wherein	c-crq	wherein	wherein	0
you	you	pn22	you	you	0
live	live	vvb	live	live	0
are	are	vbr	are	be	0
indeed	indeed	av	indeed	indeed	0
very	very	j	very	very	0
trouble	trouble	n1	trouble	trouble	0
∣	∣	sy	∣	∣	0
some	some	d	some	some	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
discouraged	discouraged	vvn	discouraged	discourage	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
foretold	foretold	vvn	foretold	foretell	0
,	,	,	,	,	0
Dan.	Dan.	np1	Dan.	Dan.	1
9.	9.	crd	9.	9	0
25.	25.	crd	25.	25.	1
That	That	cst	That	that	0
the	the	dt	the	the	0
wall	wall	n1	wall	wall	0
of	of	pp-f	of	of	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
re-built	re-built	j	rebuilt	rebuilt	0
,	,	,	,	,	0
even	even	av	even	even	0
in	in	p-acp	in	in	0
troublous	troublous	j	troublous	troublous	0
times	times	n2	times	time	0
.	.	.	.	.	1
And	And	cc	And	and	0
let	let	vvb	let	let	0
me	me	pno11	me	i	0
say	say	vvi	say	say	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
as	as	p-acp	as	as	0
Mordecai	Mordecai	np1	Mordecai	Mordecai	0
to	to	p-acp	to	to	0
Esther	Esther	np1	Esther	Esther	0
,	,	,	,	,	0
Esther	Esther	np1	Esther	Esther	0
4.	4.	crd	4.	4.	0
14.	14.	crd	14.	14.	1
Who	Who	q-crq	Who	who	0
knoweth	knoweth	vvz	knoweth	know	0
whether	whether	cs	whither	whether	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
raised	raised	vvn	raised	raise	0
you	you	pn22	you	you	0
up	up	a-acp	up	up	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Mayor	Mayor	n1	Mayor	mayor	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Sheriffs	Sheriffs	n2	Sheriffs	sheriff	0
,	,	,	,	,	0
Aldermen	Aldermen	n2	Aldermen	alderman	0
,	,	,	,	,	0
and	and	cc	and	and	0
Common	Common	j	Common	common	0
Councell	Councell	n1	Council	council	0
men	men	n2	men	man	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
a	a	dt	a	a	0
time	time	n1	time	time	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
is	is	vbz	is	be	0
?	?	?	?	?	1
Go	Go	vvb	Go	go	0
on	on	a-acp	on	on	0
courageously	courageously	av-j	courageously	courageous	0
,	,	,	,	,	0
and	and	cc	and	and	0
God	God	np1	God	God	0
will	will	vmb	will	will	0
trouble	trouble	vvi	trouble	trouble	0
those	those	d	those	those	0
that	that	cst	that	that	0
trouble	trouble	vvb	trouble	trouble	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
bring	bring	vvi	bring	bring	0
good	good	j	good	good	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
troubles	troubles	n2	troubles	trouble	0
.	.	.	.	.	1
We	We	pns12	We	we	0
reade	reade	vvb	read	read	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Pool	Pool	n1	Pool	pool	0
of	of	pp-f	of	of	0
Bethesda	Bethesda	np1	Bethesda	Bethesda	0
,	,	,	,	,	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
water	water	n1	water	water	0
was	was	vbds	was	be	0
troubled	troubled	vvn	troubled	trouble	0
,	,	,	,	,	0
then	then	cs	then	than	0
it	it	pn31	it	it	0
became	became	vvd	became	become	0
a	a	dt	a	a	0
healing	healing	j-vvg	healing	heal	0
water	water	n1	water	water	0
.	.	.	.	.	1
The	The	dt	The	the	0
untroubled	untroubled	j	untroubled	untroubled	0
water	water	n1	water	water	0
,	,	,	,	,	0
was	was	vbds	was	be	0
an	an	dt	and	a	0
unhealing	unhealing	vvg	unhealing	unheal	0
water	water	n1	water	water	0
.	.	.	.	.	1
So	So	av	So	so	0
will	will	vmb	will	will	0
God	God	np1	God	God	0
doe	doe	vdb	do	do	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
;	;	;	;	;	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
make	make	vvi	make	make	0
the	the	dt	the	the	0
troubled	troubled	j-vvn	troubled	trouble	0
waters	waters	n2	waters	water	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sanctuary	Sanctuary	n1	Sanctuary	sanctuary	0
to	to	pc-acp	to	to	0
become	become	vvi	become	become	0
healing	healing	vvg	healing	heal	0
waters	waters	n2	waters	water	0
:	:	:	:	:	0
Inso	Inso	np1	Inso	Inso	0
∣	∣	sy	∣	∣	0
much	much	d	much	much	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
all	all	d	all	all	0
shall	shall	vmb	shall	shall	0
say	say	vvi	say	say	0
,	,	,	,	,	0
Periissemus	Periissemus	fw-la	Periissemus	periissemus	0
nisi	nisi	fw-la	nisi	nisi	0
periissemus	periissemus	fw-la	periissemus	periissemus	0
;	;	;	;	;	0
We	We	pns12	We	we	0
should	should	vmd	should	shall	0
have	have	vhi	have	have	0
