ROscius	ROscius	np1	ROscius	ROscius	0
such	such	d	such	such	0
were	were	vbdr	were	be	0
they	they	pns32	they	they	0
after	after	p-acp	after	after	0
Philip	Philip	n1	Philip	fillip	0
,	,	,	,	,	0
that	that	cst	that	that	0
like	like	av-j	like	like	0
Alexander	Alexander	np1	Alexander	Alexander	0
his	his	po31	his	his	0
Sonne	Sonne	n1	Son	son	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
bushes	bushes	n2	bushes	bush	0
and	and	cc	and	and	0
standing	standing	j-vvg	standing	stand	0
haires	haires	n2	hairs	hair	0
,	,	,	,	,	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
called	called	vvn	called	call	0
Opistho	Opistho	np1	Opistho	Opistho	0
∣	∣	sy	∣	∣	0
comae	comae	fw-la	comae	comae	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
Alexander	Alexander	np1	Alexander	Alexander	0
was	was	vbds	was	be	0
so	so	av	so	so	0
,	,	,	,	,	0
&	&	cc	&	and	0
now	now	av	now	now	0
too	too	av	too	too	0
many	many	d	many	many	0
such	such	d	such	such	0
,	,	,	,	,	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
Courtiers	Courtiers	n2	Courtiers	courtier	0
of	of	pp-f	of	of	0
Meroe	Meroe	np1	Meroe	Meroe	0
in	in	p-acp	in	in	0
Ethiope	Ethiope	np1	Ethiope	Ethiope	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
if	if	cs	if	if	0
their	their	po32	their	their	0
King	King	n1	King	king	0
halt	halt	vvi	halt	halt	0
,	,	,	,	,	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
also	also	av	also	also	0
halt	halt	vvi	halt	halt	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
sort	sort	n1	sort	sort	0
,	,	,	,	,	0
that	that	cst	that	that	0
Cirses	Cirses	n2	Cirses	cirse	0
and	and	cc	and	and	0
Calipso	Calipso	np1	Calipso	Calypso	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
make	make	vvi	make	make	0
such	such	d	such	such	0
a	a	dt	a	a	0
Metamorphosis	Metamorphosis	n1	Metamorphosis	metamorphosis	0
of	of	pp-f	of	of	0
Vlisses	Vlisses	np1	Vlisses	Ulysses	0
men	men	n2	men	man	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
men	men	n2	men	man	0
make	make	vvb	make	make	0
of	of	pp-f	of	of	0
themselues	themselues	px32	themselves	themselves	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
was	was	vbds	was	be	0
then	then	av	then	then	0
in	in	p-acp	in	in	0
Rome	Rome	n1	Room	room	0
but	but	p-acp	but	but	0
one	one	crd	one	one	0
bird	bird	n1	bird	bird	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
taught	taught	vvn	taught	teach	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
Aue	Aue	fw-la	Aue	aue	0
Caesar	Caesar	np1	Caesar	Caesar	0
Imperator	Imperator	fw-la	Imperator	imperator	0
:	:	:	:	:	0
one	one	pi	one	one	0
bird	bird	n1	bird	bird	0
in	in	p-acp	in	in	0
Carthage	Carthage	np1	Carthage	Carthage	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
Deus	Deus	fw-la	Deus	deus	0
est	est	fw-la	est	est	0
hanno	hanno	vmbx	hanno	hanno	0
:	:	:	:	:	0
and	and	cc	and	and	0
one	one	crd	one	one	0
bird	bird	n1	bird	bird	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
Greece	Greece	n1	Greece	grease	0
,	,	,	,	,	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
taught	taught	vvn	taught	teach	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
these	these	d	these	these	0
flatte	flatte	n1	flat	flat	0
∣	∣	sy	∣	∣	0
ring	ring	n1	ring	ring	0
fowles	fowles	n2	fowls	fowl	0
fledde	fledde	vvn	fled	flee	0
from	from	p-acp	from	from	0
Rome	Rome	np1	Rome	Rome	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Carthage	Carthage	np1	Carthage	Carthage	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
Greece	Greece	np1	Greece	Greece	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Great	Great	j	Great	great	0
Britane	Britane	np1	Britane	Britain	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
whom	whom	ro-crq	whom	who	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
now	now	av	now	now	0
say	say	vvi	say	say	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Ci	Ci	crd	Ci	ci	0
∣	∣	sy	∣	∣	0
cero	cero	fw-la	cero	cero	0
said	said	vvd	said	say	0
then	then	av	then	then	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
like	like	j	like	like	0
,	,	,	,	,	0
Quibus	Quibus	fw-la	Quibus	quibus	0
credamus	credamus	fw-la	credamus	credamus	0
,	,	,	,	,	0
nescimus	nescimus	fw-la	nescimus	nescimus	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
such	such	d	such	such	0
Rauens	Rauens	n2	Ravens	raven	0
and	and	cc	and	and	0
Vultures	Vultures	n2	Vultures	vulture	0
,	,	,	,	,	0
that	that	cst	that	that	0
salute	salute	vvb	salute	salute	0
vs	vs	pno12	us	we	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
tongues	tongues	n2	tongues	tongue	0
,	,	,	,	,	0
and	and	cc	and	and	0
say	say	vvi	say	say	0
,	,	,	,	,	0
Aue	Aue	fw-la	Aue	aue	0
;	;	;	;	;	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
Caue	Caue	n1	Cave	cave	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
if	if	cs	if	if	0
their	their	po32	their	their	0
bodies	bodies	n2	bodies	body	0
were	were	vbdr	were	be	0
opened	opened	vvn	opened	open	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Atheni	Atheni	np1	Atheni	Atheni	0
∣	∣	sy	∣	∣	0
ans	ans	fw-fr	ans	ans	0
did	did	vdd	did	do	0
Aristomenes	Aristomenes	np1	Aristomenes	Aristomenes	0
,	,	,	,	,	0
or	or	cc	or	or	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
Lacedemonians	Lacedemonians	njp2	Lacedæmonians	lacedaemonian	0
did	did	vdd	did	do	0
Her	Her	po31	Her	her	0
∣	∣	sy	∣	∣	0
mogenes	mogenes	n1	mogenes	mogenes	0
,	,	,	,	,	0
their	their	po32	their	their	0
hearts	hearts	n2	hearts	heart	0
should	should	vmd	should	shall	0
bee	bee	vbi	be	be	0
found	found	vvn	found	find	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
their	their	po32	their	their	0
hearts	hearts	n2	hearts	heart	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
pilosa	pilosa	n1	pilosa	pilosa	0
&	&	cc	&	and	0
hispida	hispida	fw-la	hispida	hispida	0
,	,	,	,	,	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
haires	haires	n2	hairs	hair	0
and	and	cc	and	and	0
thornes	thornes	n2	thorns	thorn	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
Torquine	Torquine	np1	Torquine	Torquine	0
the	the	dt	the	the	0
proud	proud	j	proud	proud	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
Rome	Rome	n1	Room	room	0
but	but	p-acp	but	but	0
one	one	crd	one	one	0
Serpent	Serpent	n1	Serpent	serpent	0
that	that	cst	that	that	0
could	could	vmd	could	can	0
bark	bark	vvi	bark	bark	0
like	like	av-j	like	like	0
a	a	dt	a	a	0
dogge	dogge	n1	dog	dog	0
,	,	,	,	,	0
and	and	cc	and	and	0
one	one	crd	one	one	0
dogge	dogge	n1	dog	dog	0
that	that	cst	that	that	0
could	could	vmd	could	can	0
speake	speake	vvi	speak	speak	0
like	like	av-j	like	like	0
a	a	dt	a	a	0
man	man	n1	man	man	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
now	now	av	now	now	0
so	so	av	so	so	0
many	many	d	many	many	0
barking	barking	n-vvg	barking	bark	0
Ser	Ser	zz	Ser	ser	0
∣	∣	sy	∣	∣	0
pents	pents	vvz	pents	pent	0
in	in	p-acp	in	in	0
Rome	Rome	n1	Room	room	0
,	,	,	,	,	0
&	&	cc	&	and	0
so	so	av	so	so	0
many	many	d	many	many	0
speaking	speaking	j-vvg	speaking	speak	0
dogs	dogs	n2	dogs	dog	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Rome	Rome	n1	Room	room	0
,	,	,	,	,	0
that	that	cst	that	that	0
,	,	,	,	,	0
Quos	Quos	fw-la	Quos	quos	0
fugiamus	fugiamus	fw-la	fugiamus	fugiamus	0
,	,	,	,	,	0
ignoramus	ignoramus	fw-la	ignoramus	ignoramus	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
such	such	d	such	such	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
religion	religion	n1	religion	religion	0
,	,	,	,	,	0
that	that	cst	that	that	0
as	as	c-acp	as	as	0
then	then	av	then	then	0
in	in	p-acp	in	in	0
Egypt	Egypt	np1	Egypt	Egypt	0
,	,	,	,	,	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
their	their	po32	their	their	0
Sphinxes	Sphinxes	ng1	Sphinxes	sphinxes	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
temples	temples	n2	temples	temple	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
pound	pound	n1	pound	pound	0
their	their	po32	their	their	0
darke	darke	j	dark	dark	0
and	and	cc	and	and	0
obscure	obscure	j	obscure	obscure	0
Diuinitie	Diuinitie	n1	Divinity	divinity	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
Oracles	Oracles	n2	Oracles	oracle	0
:	:	:	:	:	0
so	so	av	so	so	0
now	now	av	now	now	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
in	in	p-acp	in	in	0
Rome	Rome	n1	Room	room	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
Egyptian	Egyptian	jp	Egyptian	egyptian	0
Sphinxes	Sphinxes	ng1	Sphinxes	sphinxes	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
temples	temples	n2	temples	temple	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
Corinthian	Corinthian	jp	Corinthian	corinthian	0
Sphinxes	Sphinxes	ng1	Sphinxes	sphinxes	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
stu	stu	fw-ge	stu	stu	0
∣	∣	sy	∣	∣	0
dies	dies	fw-la	dies	dies	0
,	,	,	,	,	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
Cicero	Cicero	np1	Cicero	Cicero	0
charged	charged	vvd	charged	charge	0
Hortensius	Hortensius	np1	Hortensius	Hortensius	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
house	house	n1	house	house	0
to	to	pc-acp	to	to	0
plead	plead	vvi	plead	plead	0
his	his	po31	his	his	0
causes	causes	n2	causes	cause	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
as	as	c-acp	as	as	0
then	then	av	then	then	0
many	many	d	many	many	0
Philosophers	Philosophers	n2	Philosophers	philosopher	0
went	went	vvd	went	go	0
from	from	p-acp	from	from	0
Greece	Greece	np1	Greece	Greece	0
to	to	p-acp	to	to	0
India	India	np1	India	India	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
Ethiope	Ethiope	np1	Ethiope	Ethiope	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
Sacerdotes	Sacerdotes	np1	Sacerdotes	Sacerdotes	0
solis	solis	fw-la	solis	solis	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
famous	famous	j	famous	famous	0
table	table	n1	table	table	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Son	Son	n1	Son	son	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
Sabulo	Sabulo	np1	Sabulo	Sabulo	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
Hiarchas	Hiarchas	np1	Hiarchas	Hiarchas	0
lectures	lectures	n2	lectures	lecture	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
nature	nature	n1	nature	nature	0
and	and	cc	and	and	0
motions	motions	n2	motions	motion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
starres	starres	n2	stars	star	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
Tantalus	Tantalus	np1	Tantalus	Tantalus	0
well	well	av	well	well	0
.	.	.	.	.	1
So	So	av	So	so	0
also	also	av	also	also	0
many	many	d	many	many	0
now	now	av	now	now	0
goe	goe	vvi	go	go	0
from	from	p-acp	from	from	0
Great	Great	j	Great	great	0
Bri	Bri	np1	Bri	Bri	0
∣	∣	sy	∣	∣	0
tane	tane	vvn	taken	take	0
to	to	pc-acp	to	to	0
Rome	Rome	vvi	Room	roam	0
,	,	,	,	,	0
not	not	xx	not	not	0
as	as	c-acp	as	as	0
Appollonius	Appollonius	np1	Appollonius	Appollonius	0
the	the	dt	the	the	0
Philosopher	Philosopher	n1	Philosopher	philosopher	0
went	went	vvd	went	go	0
from	from	p-acp	from	from	0
Greece	Greece	np1	Greece	Greece	0
to	to	p-acp	to	to	0
India	India	np1	India	India	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
the	the	dt	the	the	0
Gymnosophists	Gymnosophists	n2	Gymnosophists	gymnosophist	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
Saul	Saul	np1	Saul	Saul	0
went	went	vvd	went	go	0
from	from	p-acp	from	from	0
Hierusalem	Hierusalem	np1	Hierusalem	Jerusalem	0
to	to	p-acp	to	to	0
Damasco	Damasco	np1	Damasco	Damascus	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
commissi	commissi	n1	commissi	commissi	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
and	and	cc	and	and	0
authoritie	authoritie	n1	authority	authority	0
to	to	pc-acp	to	to	0
kill	kill	vvi	kill	kill	0
and	and	cc	and	and	0
murther	murther	vvi	murder	murder	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
persecute	persecute	vvi	persecute	persecute	0
Kingdomes	Kingdomes	n2	Kingdoms	kingdom	0
,	,	,	,	,	0
and	and	cc	and	and	0
Countreys	Countreys	ng2	Countries'	country	0
.	.	.	.	.	1
