VVHom-to	VVHom-to	j	VVHom-to	vvhom-to	0
naturall	naturall	j	natural	natural	0
and	and	cc	and	and	0
lawfull	lawfull	j	lawful	lawful	0
successour	successour	n1	successor	successor	0
therein	therein	av	therein	therein	0
:	:	:	:	:	0
that	that	cst	that	that	0
being	being	vbg	being	be	0
rightly	rightly	av-jn	rightly	right	0
informed	informed	vvn	informed	inform	0
hereby	hereby	av	hereby	hereby	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
waight	waight	n1	weight	weight	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
burthen	burthen	n1	burden	burden	0
,	,	,	,	,	0
ye	ye	pn22	you	you	0
may	may	vmb	may	may	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
beginne	beginne	vvi	begin	begin	0
to	to	pc-acp	to	to	0
consider	consider	vvi	consider	consider	0
,	,	,	,	,	0
that	that	cst	that	that	0
being	being	vbg	being	be	0
borne	borne	vvn	born	bear	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
king	king	n1	king	king	0
,	,	,	,	,	0
ye	ye	pn22	you	you	0
are	are	vbr	are	be	0
rather	rather	av-c	rather	rather	0
borne	borne	vvn	born	bear	0
to	to	p-acp	to	to	0
onus	onus	zz	onus	onus	0
,	,	,	,	,	0
then	then	av	then	then	0
honos	honos	fw-la	honos	honos	0
:	:	:	:	:	0
not	not	xx	not	not	0
excelling	excelling	vvg	excelling	excel	0
all	all	d	all	all	0
your	your	po22	your	your	0
people	people	n1	people	people	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
in	in	p-acp	in	in	0
ranke	ranke	n1	rank	rank	0
and	and	cc	and	and	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
daily	daily	j	daily	daily	0
care	care	n1	care	care	0
and	and	cc	and	and	0
hazardous	hazardous	j	hazardous	hazardous	0
paines-taking	paines-taking	j	painstaking	painstaking	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
dutifull	dutifull	j	dutiful	dutiful	0
administration	administration	n1	administration	administration	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
great	great	j	great	great	0
office	office	n1	office	office	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
laide	laide	vvn	laid	lay	0
vpon	vpon	p-acp	upon	upon	0
your	your	po22	your	your	0
shoulders	shoulders	n2	shoulders	shoulder	0
.	.	.	.	.	1
Laying	Laying	vvg	Laying	lay	0
so	so	av	so	so	0
a	a	dt	a	a	0
just	just	j	just	just	0
sym	sym	n1	sym	sym	0
∣	∣	sy	∣	∣	0
metrie	metrie	n1	metrie	metrie	0
and	and	cc	and	and	0
proportion	proportion	n1	proportion	proportion	0
,	,	,	,	,	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
the	the	dt	the	the	0
height	height	n1	height	height	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
honourable	honourable	j	honourable	honourable	0
place	place	n1	place	place	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
heauie	heauie	j	heavy	heavy	0
waight	waight	n1	weight	weight	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
great	great	j	great	great	0
charge	charge	n1	charge	charge	0
:	:	:	:	:	0
and	and	cc	and	and	0
con	con	fw-mi	con	con	0
∣	∣	sy	∣	∣	0
sequently	sequently	av-j	sequently	sequent	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
case	case	n1	case	case	0
of	of	pp-f	of	of	0
failing	failing	vvg	failing	fail	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
forbid	forbid	vvb	forbid	forbid	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sadnesse	sadnesse	n1	sadness	sadness	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
fall	fall	n1	fallen	fall	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
proportion	proportion	n1	proportion	proportion	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
height	height	n1	height	height	0
.	.	.	.	.	1
J	J	pns11	J	i	0
haue	haue	vhb	have	have	0
therefore	therefore	av	therefore	therefore	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
greater	greater	jc	greater	great	0
ease	ease	n1	ease	ease	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
memory	memory	n1	memory	memory	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
yee	yee	pn22	ye	you	0
may	may	vmb	may	may	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
first	first	ord	first	first	0
,	,	,	,	,	0
cast	cast	vvd	cast	cast	0
vp	vp	a-acp	up	up	0
any	any	d	any	any	0
part	part	n1	part	part	0
that	that	cst	that	that	0
yee	yee	pn22	ye	you	0
haue	haue	vhb	have	have	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
deuided	deuided	vvd	divided	divide	0
this	this	d	this	this	0
Treatise	Treatise	n1	Treatise	treatise	0
in	in	p-acp	in	in	0
three	three	crd	three	three	0
parts	parts	n2	parts	part	0
.	.	.	.	.	1
The	The	dt	The	the	0
first	first	ord	first	first	0
teacheth	teacheth	vvz	teaches	teach	0
you	you	pn22	you	you	0
your	your	po22	your	your	0
duetie	duetie	n1	duty	duty	0
to	to	p-acp	to	to	0
∣	∣	sy	∣	∣	0
wards	wards	av	wards	ward	0
God	God	np1	God	God	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
:	:	:	:	:	0
the	the	dt	the	the	0
next	next	ord	next	next	0
,	,	,	,	,	0
your	your	po22	your	your	0
duetie	duetie	n1	duty	duty	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Of	Of	pp-f	Of	of	0
∣	∣	sy	∣	∣	0
fice	fice	n1	fice	fice	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
King	King	n1	King	king	0
:	:	:	:	:	0
and	and	cc	and	and	0
the	the	dt	the	the	0
third	third	ord	third	three	0
informeth	informeth	vvz	informeth	inform	0
you	you	pn22	you	you	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
behaue	behaue	vvi	behave	behave	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
in	in	p-acp	in	in	0
indifferent	indifferent	j	indifferent	indifferent	0
things	things	n2	things	thing	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
of	of	pp-f	of	of	0
them-selues	them-selues	px32	themselves	themselves	0
are	are	vbr	are	be	0
neither	neither	dx	neither	neither	0
right	right	n-jn	right	right	0
nor	nor	ccx	nor	nor	0
wrong	wrong	vvi	wrong	wrong	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
according	according	vvg	according	accord	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
rightly	rightly	av-jn	rightly	right	0
or	or	cc	or	or	0
wrong	wrong	n-jn	wrong	wrong	0
vsed	vsed	vvn	used	use	0
;	;	;	;	;	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
will	will	vmb	will	will	0
serue	serue	vvi	serve	serve	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
behauiour	behauiour	n1	behaviour	behaviour	0
therein	therein	av	therein	therein	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
augment	augment	vvi	augment	augment	0
or	or	cc	or	or	0
empaire	empaire	vvi	impair	impair	0
your	your	po22	your	your	0
fame	fame	n1	fame	fame	0
and	and	cc	and	and	0
authoritie	authoritie	n1	authority	authority	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
handes	handes	n2	hands	hand	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
people	people	n1	people	people	0
.	.	.	.	.	1
Receiue	Receiue	vvb	Receive	receive	0
and	and	cc	and	and	0
welcome	welcome	vvi	welcome	welcome	0
this	this	d	this	this	0
Booke	Booke	n1	Book	book	0
then	then	av	then	then	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
faithfull	faithfull	j	faithful	faithful	0
Praeceptour	Praeceptour	n1	Praeceptour	praeceptour	0
and	and	cc	and	and	0
counsellour	counsellour	n1	counselor	counsellor	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
my	my	po11	my	my	0
affaires	affaires	n2	affairs	affair	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
permit	permit	vvi	permit	permit	0
mee	mee	pno11	me	i	0
euer	euer	av	ever	ever	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
present	present	j	present	present	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
J	J	pns11	J	i	0
ordaine	ordaine	vvb	ordain	ordain	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
a	a	dt	a	a	0
resident	resident	j-jn	resident	resident	0
faithfull	faithfull	j	faithful	faithful	0
admonisher	admonisher	n1	admonisher	admonisher	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
:	:	:	:	:	0
And	And	cc	And	and	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
houre	houre	n1	hour	hour	0
of	of	pp-f	of	of	0
death	death	n1	death	death	0
is	is	vbz	is	be	0
vncertaine	vncertaine	j	uncertain	uncertain	0
to	to	p-acp	to	to	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
vnto	vnto	p-acp	unto	unto	0
all	all	d	all	all	0
flesh	flesh	n1	flesh	flesh	0
,	,	,	,	,	0
J	J	pns11	J	i	0
leaue	leaue	vvb	leave	leave	0
it	it	pn31	it	it	0
as	as	p-acp	as	as	0
my	my	po11	my	my	0
Testament	Testament	n1	Testament	testament	0
and	and	cc	and	and	0
latter	latter	d	latter	latter	0
will	will	vmb	will	will	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Charge	Charge	vvb	Charge	charge	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
presence	presence	n1	presence	presence	0
of	of	pp-f	of	of	0
GOD	GOD	np1	GOD	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
fatherly	fatherly	j	fatherly	fatherly	0
authori	authori	fw-la	authori	authori	0
∣	∣	sy	∣	∣	0
tie	tie	n1	tie	tie	0
J	J	pns11	J	i	0
haue	haue	vhb	have	have	0
ouer	ouer	p-acp	over	over	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
yee	yee	pn22	ye	you	0
keepe	keepe	vvb	keep	keep	0
it	it	pn31	it	it	0
euer	euer	av	ever	ever	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
carefully	carefully	av-j	carefully	careful	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Alexander	Alexander	np1	Alexander	Alexander	0
did	did	vdd	did	do	0
the	the	dt	the	the	0
Iliads	Iliads	np2	Iliads	Iliad	0
of	of	pp-f	of	of	0
Homer	Homer	np1	Homer	Homer	0
.	.	.	.	.	1
Yee	Yee	pn22	Ye	you	0
will	will	vmb	will	will	0
finde	finde	vvi	find	find	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
iust	iust	j	just	just	0
and	and	cc	and	and	0
impartiall	impartiall	j	impartial	impartial	0
counsellour	counsellour	n1	counselor	counsellor	0
;	;	;	;	;	0
neither	neither	dx	neither	neither	0
flattering	flattering	vvg	flattering	flatter	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
vice	vice	n1	vice	vice	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
importuning	importuning	vvg	importuning	importune	0
you	you	pn22	you	you	0
at	at	p-acp	at	at	0
vnmeete	vnmeete	j	unmeet	unmeet	0
times	times	n2	times	time	0
.	.	.	.	.	1
Jt	Jt	np1	Jt	Jt	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
come	come	vvi	come	come	0
vn-called	vn-called	j	uncalled	uncalled	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
speake	speake	vvb	speak	speak	0
vnspeered	vnspeered	j	vnspeered	vnspeered	0
at	at	p-acp	at	at	0
:	:	:	:	:	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
conferring	conferring	vvg	conferring	confer	0
with	with	p-acp	with	with	0
it	it	pn31	it	it	0
when	when	c-crq	when	when	0
yee	yee	pn22	ye	you	0
are	are	vbr	are	be	0
at	at	p-acp	at	at	0
quiet	quiet	j-jn	quiet	quiet	0
,	,	,	,	,	0
yee	yee	pn22	ye	you	0
shall	shall	vmb	shall	shall	0
say	say	vvi	say	say	0
with	with	p-acp	with	with	0
Scipio	Scipio	np1	Scipio	Scipio	0
,	,	,	,	,	0
that	that	cst	that	that	0
yee	yee	pn22	ye	you	0
are	are	vbr	are	be	0
nunquam	nunquam	fw-la	nunquam	nunquam	0
minûs	minûs	fw-la	minûs	minûs	0
solus	solus	fw-la	solus	solus	0
,	,	,	,	,	0
quàm	quàm	fw-la	quàm	quàm	0
cum	cum	fw-la	cum	cum	0
solus	solus	fw-la	solus	solus	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
conclude	conclude	vvi	conclude	conclude	0
then	then	av	then	then	0
,	,	,	,	,	0
J	J	pns11	J	i	0
charge	charge	vvb	charge	charge	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
euer	euer	av	ever	ever	0
yee	yee	pn22	ye	you	0
thinke	thinke	vvb	think	think	0
to	to	pc-acp	to	to	0
deserue	deserue	vvi	deserve	deserve	0
my	my	po11	my	my	0
Fatherly	Fatherly	j	Fatherly	fatherly	0
blessing	blessing	n1	blessing	blessing	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
follow	follow	vvi	follow	follow	0
and	and	cc	and	and	0
put	put	vvi	put	put	0
in	in	p-acp	in	in	0
practise	practise	n1	practice	practice	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
farre	farre	av-j	far	far	0
as	as	c-acp	as	as	0
lyeth	lyeth	vvz	lies	lie	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
the	the	dt	the	the	0
praecepts	praecepts	n2	precepts	precept	0
hereafter	hereafter	av	hereafter	hereafter	0
following	following	vvg	following	follow	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
yee	yee	pn22	ye	you	0
follow	follow	vvb	follow	follow	0
the	the	dt	the	the	0
contrary	contrary	j-jn	contrary	contrary	0
course	course	n1	course	course	0
,	,	,	,	,	0
I	I	pns11	I	i	0
take	take	vvb	take	take	0
the	the	dt	the	the	0
Great	Great	j	Great	great	0
GOD	GOD	np1	GOD	God	0
to	to	pc-acp	to	to	0
record	record	vvi	record	record	0
,	,	,	,	,	0
that	that	cst	that	that	0
this	this	d	this	this	0
Booke	Booke	n1	Book	book	0
shall	shall	vmb	shall	shall	0
one	one	crd	one	one	0
day	day	n1	day	day	0
bee	bee	vbb	be	be	0
a	a	dt	a	a	0
witnesse	witnesse	n1	witness	witness	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
mee	mee	pno11	me	i	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
;	;	;	;	;	0
and	and	cc	and	and	0
shall	shall	vmb	shall	shall	0
procure	procure	vvi	procure	procure	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
ratified	ratified	vvn	ratified	ratify	0
in	in	p-acp	in	in	0
Heauen	Heauen	n1	Heaven	heaven	0
,	,	,	,	,	0
the	the	dt	the	the	0
curse	curse	n1	curse	curse	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
case	case	n1	case	case	0
here	here	av	here	here	0
I	I	pns11	I	i	0
giue	giue	vvb	give	give	0
vn	vn	fw-fr	vn	un	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
I	I	pns11	I	i	0
protest	protest	vvb	protest	protest	0
before	before	a-acp	before	before	0
that	that	d	that	that	0
Great	Great	j	Great	great	0
GOD	GOD	np1	GOD	God	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
rather	rather	av-c	rather	rather	0
not	not	xx	not	not	0
bee	bee	vbi	be	be	0
a	a	dt	a	a	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
and	and	cc	and	and	0
childlesse	childlesse	j	childless	childless	0
,	,	,	,	,	0
then	then	av	then	then	0
bee	bee	vbi	be	be	0
a	a	dt	a	a	0
Father	Father	n1	Father	father	0
of	of	pp-f	of	of	0
wicked	wicked	j	wicked	wicked	0
chil	chil	fw-la	chil	chil	0
∣	∣	sy	∣	∣	0
dren	dren	n1	dren	dren	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
hoping	hoping	vvg	hoping	hope	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
euen	euen	av	even	even	0
promising	promising	vvg	promising	promise	0
vnto	vnto	p-acp	unto	unto	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
that	that	cst	that	that	0
GOD	GOD	np1	GOD	God	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
great	great	j	great	great	0
blessing	blessing	n1	blessing	blessing	0
sent	sent	vvd	sent	send	0
you	you	pn22	you	you	0
vnto	vnto	p-acp	unto	unto	0
mee	mee	pno11	me	i	0
;	;	;	;	;	0
shall	shall	vmb	shall	shall	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
blessing	blessing	n1	blessing	blessing	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
hee	hee	pns31	he	he	0
hath	hath	vhz	hath	have	0
giuen	giuen	vvn	given	give	0
mee	mee	pno11	me	i	0
a	a	dt	a	a	0
Sonne	Sonne	n1	Son	son	0
;	;	;	;	;	0
so	so	av	so	so	0
make	make	vvb	make	make	0
him	him	pno31	him	he	0
a	a	dt	a	a	0
good	good	j	good	good	0
and	and	cc	and	and	0
a	a	dt	a	a	0
godly	godly	j	godly	godly	0
Sonne	Sonne	n1	Son	son	0
;	;	;	;	;	0
not	not	xx	not	not	0
repenting	repenting	vvg	repenting	repent	0
him	him	pno31	him	he	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Mercie	Mercie	n1	Mercy	mercy	0
shewed	shewed	vvd	showed	show	0
vnto	vnto	p-acp	unto	unto	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
I	I	pns11	I	i	0
end	end	vvb	end	end	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
earnest	earnest	j	earnest	earnest	0
prayer	prayer	n1	prayer	prayer	0
to	to	p-acp	to	to	0
GOD	GOD	np1	GOD	God	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
worke	worke	vvi	work	work	0
effectually	effectually	av-j	effectually	effectual	0
into	into	p-acp	into	into	0
you	you	pn22	you	you	0
,	,	,	,	,	0
the	the	dt	the	the	0
fruites	fruites	n2	fruits	fruit	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
blessing	blessing	n1	blessing	blessing	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
here	here	av	here	here	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
I	I	pns11	I	i	0
bestow	bestow	vvb	bestow	bestow	0
vpon	vpon	p-acp	upon	upon	0
you	you	pn22	you	you	0
.	.	.	.	.	1
