NOtwithstāding	NOtwithstāding	a-acp	Notwithstanding	notwithstanding	0
thorowly	thorowly	av-j	thoroughly	thorough	0
,	,	,	,	,	0
prac	prac	fw-la	prac	prac	0
∣	∣	sy	∣	∣	0
tyse	tyse	vvi	tyse	entice	0
and	and	cc	and	and	0
proue	proue	vvi	prove	prove	0
in	in	p-acp	in	in	0
very	very	j	very	very	0
dede	dede	n1	deed	deed	0
,	,	,	,	,	0
howe	howe	c-crq	how	how	0
swete	swete	j	sweet	sweet	0
the	the	dt	the	the	0
Lordes	Lordes	ng1	Lords	lord	0
wordes	wordes	n2	words	word	0
be	be	vbb	be	be	0
,	,	,	,	,	0
vse	vse	vvb	use	use	0
the	the	dt	the	the	0
profitable	profitable	j	profitable	profitable	0
doctri	doctri	fw-la	doctri	doctri	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
litle	litle	j	little	little	0
boke	boke	n1	book	book	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
so	so	av	so	so	0
doynge	doynge	vdg	doing	do	0
,	,	,	,	,	0
youre	youre	po22	your	your	0
grace	grace	n1	grace	grace	0
shall	shall	vmb	shall	shall	0
learne	learne	vvi	learn	learn	0
dayly	dayly	av-j	daily	daily	0
more	more	av-dc	more	more	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
truly	truly	av-j	truly	true	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
tast	tast	vvi	taste	taste	0
,	,	,	,	,	0
releafe	releafe	n1	releafe	releafe	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
sewe	sewe	d	sew	few	0
his	his	po31	his	his	0
holye	holye	j	holy	holy	0
and	and	cc	and	and	0
swete	swete	j	sweet	sweet	0
worde	worde	n1	word	word	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
loue	loue	vvi	love	love	0
and	and	cc	and	and	0
feare	feare	vvi	fear	fear	0
him	him	pno31	him	he	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
his	his	po31	his	his	0
faithfull	faithfull	j	faithful	faithful	0
and	and	cc	and	and	0
obsequines	obsequines	n2	obsequines	obsequine	0
handmaydē	handmaydē	j	handmaiden	handmaiden	0
▪	▪	▪	▪	▪	0
and	and	cc	and	and	0
a	a	dt	a	a	0
diligent	diligent	j	diligent	diligent	0
ensuer	ensuer	n1	ensuer	ensuer	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
wil	wil	n1	will	will	0
and	and	cc	and	and	0
seppes	seppes	n2	seppes	seppe	0
moste	moste	av-ds	most	most	0
pleasaunt	pleasaunt	j	pleasant	pleasant	0
and	and	cc	and	and	0
voluntari	voluntari	fw-la	voluntari	voluntari	0
∣	∣	sy	∣	∣	0
ously	ously	av-j	ously	ous	0
to	to	pc-acp	to	to	0
beare	beare	vvi	bear	bear	0
the	the	dt	the	the	0
yoke	yoke	n1	yoke	yoke	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
most	most	av-ds	most	most	0
comfor	comfor	n1	comfort	comfort	0
∣	∣	sy	∣	∣	0
table	table	n1	table	table	0
and	and	cc	and	and	0
swete	swete	j	sweet	sweet	0
commaundementes	commaundementes	n2	commandments	commandment	0
.	.	.	.	.	1
Thinke	Thinke	vvb	Think	think	0
nor	nor	cc	nor	nor	0
esteme	esteme	vvb	esteem	esteem	0
not	not	xx	not	not	0
,	,	,	,	,	0
I	I	pns11	I	i	0
moste	moste	av-ds	most	most	0
hum	hum	vvi	hum	hum	0
∣	∣	sy	∣	∣	0
blye	blye	av-j	blye	blye	0
beseche	beseche	vvb	beseech	beseech	0
youre	youre	po22	your	your	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
this	this	d	this	this	0
my	my	po11	my	my	0
gifte	gifte	n1	gift	gift	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
slēder	slēder	j	slender	slender	0
in	in	p-acp	in	in	0
valure	valure	n1	valour	valour	0
,	,	,	,	,	0
although	although	cs	although	although	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
but	but	cc-acp	but	but	0
litle	litle	j	little	little	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
precious	precious	j	precious	precious	0
stones	stones	n2	stones	stone	0
are	are	vbr	are	be	0
of	of	pp-f	of	of	0
themselues	themselues	px32	themselves	themselves	0
in	in	p-acp	in	in	0
quantitie	quantitie	n1	quantity	quantity	0
but	but	p-acp	but	but	0
lytle	lytle	j	little	little	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
for	for	p-acp	for	for	0
theyr	theyr	po32	their	their	0
natu	natu	fw-la	natu	natu	0
∣	∣	sy	∣	∣	0
rall	rall	n1	rall	rall	0
operacions	operacions	n2	operations	operation	0
and	and	cc	and	and	0
proprieties	proprieties	n2	proprieties	propriety	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
greate	greate	j	great	great	0
e	e	fw-la	e	e	0
∣	∣	sy	∣	∣	0
states	states	n2	states	state	0
moste	moste	av-ds	most	most	0
hyely	hyely	av-j	hyely	high	0
estemed	estemed	vvn	esteemed	esteem	0
.	.	.	.	.	1
Esteme	Esteme	vvb	Esteem	esteem	0
the	the	pno32	thee	they	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
tent	tent	n1	tent	tent	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
boke	boke	n1	book	book	0
and	and	cc	and	and	0
gifte	gifte	n1	gift	gift	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
worde	worde	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
the	the	dt	the	the	0
slendernesse	slendernesse	n1	slenderness	slenderness	0
thereof	thereof	av	thereof	thereof	0
:	:	:	:	:	0
e	e	sy	e	e	0
∣	∣	sy	∣	∣	0
steme	steme	n1	steam	steam	0
my	my	po11	my	my	0
faythful	faythful	j	faithful	faithful	0
and	and	cc	and	and	0
true	true	j	true	true	0
heart	heart	n1	heart	heart	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
my	my	po11	my	my	0
simple	simple	j	simple	simple	0
and	and	cc	and	and	0
slender	slender	j	slender	slender	0
gyfte	gyfte	n1	gift	gift	0
.	.	.	.	.	1
And	And	cc	And	and	0
yet	yet	av	yet	yet	0
yf	yf	cs	if	if	0
this	this	d	this	this	0
my	my	po11	my	my	0
poore	poore	j	poor	poor	0
and	and	cc	and	and	0
slender	slender	j	slender	slender	0
gyfte	gyfte	n1	gift	gift	0
,	,	,	,	,	0
maye	maye	vmb	may	may	0
be	be	vbi	be	be	0
wel	wel	av	well	well	0
and	and	cc	and	and	0
exactly	exactly	av-j	exactly	exact	0
wayd	wayd	vvn	weighed	weigh	0
and	and	cc	and	and	0
pendred	pendred	vvn	pendred	pendr	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
thyng	thyng	n1	thing	thing	0
(	(	(	(	(	0
although	although	cs	although	although	0
it	it	pn31	it	it	0
comprehende	comprehende	vvi	comprehend	comprehend	0
not	not	xx	not	not	0
al	al	d	all	all	0
the	the	dt	the	the	0
fruiteful	fruiteful	j	fruitful	fruitful	0
lessons	lessons	n2	lessons	lesson	0
of	of	pp-f	of	of	0
Scripture	Scripture	n1	Scripture	scripture	0
)	)	)	)	)	0
maye	maye	vmb	may	may	0
be	be	vbi	be	be	0
compared	compared	vvn	compared	compare	0
vnto	vnto	p-acp	unto	unto	0
it	it	pn31	it	it	0
?	?	?	?	?	1
For	For	p-acp	For	for	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
excelēt	excelēt	j	excellent	excellent	0
,	,	,	,	,	0
or	or	cc	or	or	0
more	more	av-dc	more	more	0
precious	precious	j	precious	precious	0
then	then	cs	then	than	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
god	god	n1	god	god	0
?	?	?	?	?	0
what	what	q-crq	what	what	0
thyng	thyng	n1	thing	thing	0
maye	maye	vmb	may	may	0
be	be	vbi	be	be	0
estemed	estemed	vvn	esteemed	esteem	0
equall	equall	j-jn	equal	equal	0
vnto	vnto	p-acp	unto	unto	0
it	it	pn31	it	it	0
?	?	?	?	?	0
what	what	q-crq	what	what	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
more	more	av-dc	more	more	0
embraced	embraced	vvn	embraced	embrace	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
christian	christian	njp	christian	christian	0
thē	thē	pno32	them	they	0
Christes	Christes	npg1	Christes	Christ	0
wode	wode	j	wode	wood	0
:	:	:	:	:	0
then	then	av	then	then	0
a	a	dt	a	a	0
pure	pure	j	pure	pure	0
and	and	cc	and	and	0
a	a	dt	a	a	0
christian	christian	njp	christian	christian	0
lyfe	lyfe	n1	life	life	0
?	?	?	?	?	0
then	then	av	then	then	0
chastitie	chastitie	n1	chastity	chastity	0
,	,	,	,	,	0
then	then	cs	then	than	0
hume	hume	n1	hume	hume	0
,	,	,	,	,	0
then	then	av	then	then	0
godly	godly	j	godly	godly	0
wisedome	wisedome	n1	wisdom	wisdom	0
and	and	cc	and	and	0
pure	pure	j	pure	pure	0
doctrine	doctrine	n1	doctrine	doctrine	0
?	?	?	?	?	0
the	the	av	the	then	0
which	which	r-crq	which	which	0
with	with	p-acp	with	with	0
other	other	j-jn	other	other	0
vertuous	vertuous	j	virtuous	virtuous	0
and	and	cc	and	and	0
heauenly	heauenly	j	heavenly	heavenly	0
lessons	lessons	n2	lessons	lesson	0
,	,	,	,	,	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
my	my	po11	my	my	0
briefe	briefe	j	brief	brief	0
collection	collection	n1	collection	collection	0
,	,	,	,	,	0
compendiously	compendiously	av-j	compendiously	compendious	0
and	and	cc	and	and	0
fruitfully	fruitfully	av-j	fruitfully	fruitful	0
comprised	comprised	vvn	comprised	comprise	0
.	.	.	.	.	1
Wherfore	Wherfore	c-crq	Wherefore	wherefore	0
I	I	pns11	I	i	0
euen	euen	av-j	even	even	0
hum	hum	vvb	hum	hum	0
¦	¦	sy	¦	¦	0
bly	bly	zz	bly	bly	0
desire	desire	n1	desire	desire	0
youre	youre	po22	your	your	0
noble	noble	j	noble	noble	0
grace	grace	n1	grace	grace	0
to	to	pc-acp	to	to	0
accepte	accepte	vvi	accept	accept	0
this	this	d	this	this	0
my	my	po11	my	my	0
labour	labour	n1	labour	labour	0
and	and	cc	and	and	0
small	small	j	small	small	0
gift	gift	n1	gift	gift	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
parte	parte	n1	part	part	0
.	.	.	.	.	1
Ac	Ac	fw-la	Ac	ac	0
∣	∣	sy	∣	∣	0
cept	cept	n1	cept	cept	0
,	,	,	,	,	0
I	I	pns11	I	i	0
saye	saye	vvb	say	say	0
,	,	,	,	,	0
and	and	cc	and	and	0
embrace	embrace	vvi	embrace	embrace	0
the	the	dt	the	the	0
worde	worde	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
truly	truly	av-j	truly	true	0
vnderstanded	vnderstanded	vvn	understanded	understand	0
,	,	,	,	,	0
and	and	cc	and	and	0
seriously	seriously	av-j	seriously	serious	0
en	en	fw-fr	en	en	0
¦	¦	sy	¦	¦	0
sued	sued	vvd	sued	sue	0
and	and	cc	and	and	0
folowed	folowed	vvn	followed	follow	0
,	,	,	,	,	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
graces	graces	n2	graces	grace	0
spi	spi	vvb	spi	spi	0
∣	∣	sy	∣	∣	0
rituall	rituall	j	ritual	ritual	0
encrease	encrease	n1	increase	increase	0
mooste	mooste	av-ds	most	most	0
comfortable	comfortable	j	comfortable	comfortable	0
com	com	vvb	come	come	0
∣	∣	sy	∣	∣	0
forte	forte	n1	fort	fort	0
.	.	.	.	.	1
