FRIENDS	FRIENDS	ng1	FRIENDS	friend	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
here	here	av	here	here	0
no	no	av-dx	no	no	0
more	more	av-dc	more	more	0
;	;	;	;	;	0
and	and	cc	and	and	0
then	then	av	then	then	0
the	the	dt	the	the	0
spirit	spirit	n1	spirit	spirit	0
returneth	returneth	vvz	returns	return	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
that	that	cst	that	that	0
gave	gave	vvd	gave	give	0
it	it	pn31	it	it	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
an	an	dt	and	a	0
account	account	n1	account	account	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Talent	Talent	n1	Talon	talon	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
gave	gave	vvd	gave	give	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
its	its	po31	its	its	0
improve	improve	vvb	improve	improve	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
thereof	thereof	av	thereof	thereof	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Glory	Glory	n1	Glory	glory	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
gave	gave	vvd	gave	give	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
salvation	salvation	n1	salvation	salvation	0
of	of	pp-f	of	of	0
its	its	po31	its	its	0
own	own	d	own	own	0
soul	soul	n1	soul	soul	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
this	this	d	this	this	0
Talent	Talent	n1	Talon	talon	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
higher	higher	jc	higher	high	0
kind	kind	n1	kind	kind	0
than	than	cs	than	than	0
Nature	Nature	n1	Nature	nature	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
lead	lead	vvi	led	lead	0
high	high	zz	high	high	0
∣	∣	sy	∣	∣	0
er	er	zz	er	er	0
than	than	zz	than	than	0
Nature	Nature	n1	Nature	nature	0
,	,	,	,	,	0
giving	giving	vvg	giving	give	0
a	a	dt	a	a	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
partake	partake	vvi	partake	partake	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
wisdom	wisdom	n1	wisdom	wisdom	0
from	from	p-acp	from	from	0
which	which	r-crq	which	which	0
Nature	Nature	n1	Nature	nature	0
came	came	vvd	came	come	0
;	;	;	;	;	0
and	and	cc	and	and	0
teaching	teaching	vvg	teaching	teach	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
order	order	vvi	order	order	0
all	all	d	all	all	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
natural	natural	j	natural	natural	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
its	its	po31	its	its	0
right	right	j-jn	right	right	0
end	end	n1	end	end	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
an	an	dt	and	a	0
Enemy	Enemy	n1	Enemy	enemy	0
to	to	p-acp	to	to	0
Nature	Nature	n1	Nature	nature	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
corruption	corruption	n1	corruption	corruption	0
and	and	cc	and	and	0
disorder	disorder	n1	disorder	disorder	0
of	of	pp-f	of	of	0
Nature	Nature	n1	Nature	nature	0
.	.	.	.	.	1
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
ye	ye	pn22	you	you	0
might	might	vmd	might	may	0
know	know	vvi	know	know	0
and	and	cc	and	and	0
partake	partake	vvi	partake	partake	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
true	true	j	true	true	0
wisdom	wisdom	n1	wisdom	wisdom	0
,	,	,	,	,	0
and	and	cc	and	and	0
feel	feel	vvb	feel	feel	0
union	union	n1	union	union	0
with	with	p-acp	with	with	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
principle	principle	n1	principle	principle	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
own	own	d	own	own	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
incorruptible	incorruptible	j	incorruptible	incorruptible	0
and	and	cc	and	and	0
Heavenly	Heavenly	j	Heavenly	heavenly	0
seed	seed	n1	seed	seed	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
receive	receive	vvi	receive	receive	0
dominion	dominion	n1	dominion	dominion	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
earthly	earthly	j	earthly	earthly	0
and	and	cc	and	and	0
corruptible	corruptible	j	corruptible	corruptible	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
this	this	d	this	this	0
end	end	n1	end	end	0
singly	singly	av-j	singly	single	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
love	love	n1	love	love	0
springing	springing	vvg	springing	spring	0
up	up	a-acp	up	up	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
often	often	av	often	often	0
doth	doth	vdz	does	do	0
,	,	,	,	,	0
both	both	d	both	both	0
towards	towards	p-acp	towards	towards	0
particular	particular	j	particular	particular	0
persons	persons	n2	persons	person	0
and	and	cc	and	and	0
Societies	Societies	n2	Societies	society	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
a	a	dt	a	a	0
friend	friend	n1	friend	friend	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
lover	lover	n1	lover	lover	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
,	,	,	,	,	0
sincerely	sincerely	av-j	sincerely	sincere	0
desiring	desiring	vvg	desiring	desire	0
the	the	dt	the	the	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
guidance	guidance	n1	guidance	guidance	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
souls	souls	n2	souls	soul	0
to	to	p-acp	to	to	0
happiness	happiness	n1	happiness	happiness	0
)	)	)	)	)	0
have	have	vhb	have	have	0
I	I	pns11	I	i	0
proposed	proposed	vvn	proposed	propose	0
these	these	d	these	these	0
things	things	n2	things	thing	0
following	following	vvg	following	follow	0
more	more	av-dc	more	more	0
particularly	particularly	av-jn	particularly	particular	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
view	view	n1	view	view	0
,	,	,	,	,	0
though	though	cs	though	though	0
they	they	pns32	they	they	0
concern	concern	vvb	concern	concern	0
others	others	n2-jn	others	other	0
also	also	av	also	also	0
,	,	,	,	,	0
that	that	cst	that	that	0
ye	ye	pn22	you	you	0
thereby	thereby	av	thereby	thereby	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
awake	awake	j	awake	awake	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
to	to	p-acp	to	to	0
search	search	n1	search	search	0
after	after	p-acp	after	after	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
acquainted	acquainted	vvn	acquainted	acquaint	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
vertue	vertue	n1	virtue	virtue	0
and	and	cc	and	and	0
precious	precious	j	precious	precious	0
effects	effects	n2	effects	effect	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
full	full	j	full	full	0
satisfaction	satisfaction	n1	satisfaction	satisfaction	0
and	and	cc	and	and	0
compleat	compleat	j	complete	complete	0
joy	joy	n1	joy	joy	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
souls	souls	n2	souls	soul	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
alone	alone	av-j	alone	alone	0
is	is	vbz	is	be	0
able	able	j	able	able	0
fully	fully	av-j	fully	full	0
to	to	pc-acp	to	to	0
satisfie	satisfie	vvi	satisfy	satisfy	0
,	,	,	,	,	0
and	and	cc	and	and	0
give	give	vvi	give	give	0
them	them	pno32	them	they	0
ground	ground	n1	ground	ground	0
of	of	pp-f	of	of	0
durable	durable	j	durable	durable	0
joy	joy	n1	joy	joy	0
and	and	cc	and	and	0
rejoycing	rejoycing	vvg	rejoicing	rejoice	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
perishing	perishing	j-vvg	perishing	perish	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
same	same	d	same	same	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
.	.	.	.	.	1
