BY	BY	p-acp	BY	by	0
my	my	po11	my	my	0
acquaintance	acquaintance	n1	acquaintance	acquaintance	0
towards	towards	p-acp	towards	towards	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
Ex	Ex	fw-la	Ex	ex	0
∣	∣	sy	∣	∣	0
cellent	cellent	j	cellent	cellent	0
Majesty	Majesty	n1	Majesty	majesty	0
;	;	;	;	;	0
and	and	cc	and	and	0
seeing	seeing	vvg	seeing	see	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
impossible	impossible	j	impossible	impossible	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
de	de	dt	the	the	0
∣	∣	sy	∣	∣	0
clare	clare	n1	clare	clare	0
it	it	pn31	it	it	0
by	by	p-acp	by	by	0
effects	effects	n2	effects	effect	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
because	because	c-acp	because	because	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
darkness	darkness	n1	darkness	darkness	0
and	and	cc	and	and	0
obscurity	obscurity	n1	obscurity	obscurity	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
mind	mind	n1	mind	mind	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
enlightning	enlightning	n1	enlightening	enlightening	0
it	it	pn31	it	it	0
did	did	vdd	did	do	0
receive	receive	vvi	receive	receive	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
face	face	n1	face	face	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
Monarch	Monarch	n1	Monarch	monarch	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
World	World	n1	World	world	0
;	;	;	;	;	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
great	great	j	great	great	0
while	while	n1	while	while	0
besore	besore	n1	besore	besore	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
resolve	resolve	vvi	resolve	resolve	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
Dedicate	Dedicate	j	Dedicate	dedicate	0
these	these	d	these	these	0
three	three	crd	three	three	0
last	last	ord	last	last	0
Centuries	Centuries	n2	Centuries	century	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Prophecies	Prophecies	n2	Prophecies	prophecy	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
make	make	vvb	make	make	0
the	the	dt	the	the	0
compleat	compleat	j	complete	complete	0
thousand	thousand	crd	thousand	thousand	0
,	,	,	,	,	0
and	and	cc	and	and	0
after	after	c-acp	after	after	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
a	a	dt	a	a	0
long	long	j	long	long	0
time	time	n1	time	time	0
considered	considered	vvn	considered	consider	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
great	great	j	great	great	0
temerity	temerity	n1	temerity	temerity	0
made	made	vvd	made	make	0
my	my	po11	my	my	0
address	address	vvb	address	address	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
being	being	vbg	being	be	0
no	no	dx	no	no	0
ways	ways	n2	ways	way	0
dainted	dainted	vvn	dainted	daint	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
grave	grave	j	grave	grave	0
Author	Author	n1	Author	author	0
Plutarch	Plutarch	np1	Plutarch	Plutarch	0
related	related	vvd	related	relate	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Life	Life	n1	Life	life	0
of	of	pp-f	of	of	0
Lycurgus	Lycurgus	np1	Lycurgus	Lycurgus	0
,	,	,	,	,	0
that	that	cst	that	that	0
seeing	seeing	vvg	seeing	see	0
the	the	dt	the	the	0
offerings	offerings	n2	offerings	offering	0
and	and	cc	and	and	0
gifts	gifts	n2	gifts	gift	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
Sacrificed	Sacrificed	vvn	Sacrificed	sacrifice	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Temples	Temples	n2	Temples	temple	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Heathen	Heathen	j-jn	Heathen	heathen	0
Gods	Gods	n2	Gods	god	0
,	,	,	,	,	0
durst	durst	vvd	durst	dare	0
not	not	xx	not	not	0
come	come	vvi	come	come	0
thither	thither	av	thither	thither	0
no	no	av-dx	no	no	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
least	least	cs	lest	lest	0
the	the	dt	the	the	0
people	people	n1	people	people	0
should	should	vmd	should	shall	0
wonder	wonder	vvi	wonder	wonder	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
costs	costs	n2	costs	cost	0
and	and	cc	and	and	0
charges	charges	n2	charges	charge	0
.	.	.	.	.	1
Notwithstanding	Notwithstanding	a-acp	Notwithstanding	notwithstanding	0
,	,	,	,	,	0
seeing	seeing	vvg	seeing	see	0
your	your	po22	your	your	0
Royal	Royal	j	Royal	royal	0
Splendour	Splendour	n1	Splendour	splendour	0
joyned	joyned	vvn	joined	join	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
incomparable	incomparable	j	incomparable	incomparable	0
Humanity	Humanity	n1	Humanity	humanity	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
made	made	vvn	made	make	0
my	my	po11	my	my	0
address	address	vvb	address	address	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
,	,	,	,	,	0
not	not	xx	not	not	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Kings	Kings	n2	Kings	king	0
of	of	pp-f	of	of	0
Persia	Persia	np1	Persia	Persia	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
whom	whom	r-crq	whom	who	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
near	near	av-j	near	near	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
forbidden	forbidden	vvn	forbidden	forbid	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
Prudent	Prudent	j	Prudent	prudent	0
and	and	cc	and	and	0
Wise	Wise	j	Wise	wise	0
Prince	Prince	n1	Prince	prince	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
Dedicated	Dedicated	vvn	Dedicated	dedicate	0
my	my	po11	my	my	0
Nocturnal	Nocturnal	j	Nocturnal	nocturnal	0
and	and	cc	and	and	0
Prophetical	Prophetical	j	Prophetical	prophetical	0
Sup	Sup	vvb	Sup	sup	0
∣	∣	sy	∣	∣	0
putations	putations	n2	putations	putation	0
,	,	,	,	,	0
written	written	vvn	written	write	0
rather	rather	av	rather	rather	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
natural	natural	j	natural	natural	0
instinct	instinct	n1	instinct	instinct	0
,	,	,	,	,	0
and	and	cc	and	and	0
Poetical	Poetical	j	Poetical	poetical	0
furour	furour	n1	furor	furor	0
,	,	,	,	,	0
then	then	av	then	then	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
rules	rules	n2	rules	rule	0
of	of	pp-f	of	of	0
Poetry	Poetry	n1	Poetry	poetry	0
;	;	;	;	;	0
and	and	cc	and	and	0
most	most	ds	most	most	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
written	written	vvn	written	write	0
and	and	cc	and	and	0
agree	agree	vvi	agree	agree	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Years	Years	n2	Years	year	0
,	,	,	,	,	0
Months	Months	n2	Months	month	0
and	and	cc	and	and	0
Weeks	Weeks	n2	Weeks	week	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Regions	Regions	n2	Regions	region	0
,	,	,	,	,	0
Countreys	Countreys	ng2	Countries'	country	0
and	and	cc	and	and	0
most	most	ds	most	most	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Towns	Towns	n2	Towns	town	0
and	and	cc	and	and	0
Cities	Cities	n2	Cities	city	0
in	in	p-acp	in	in	0
Europe	Europe	np1	Europe	Europe	0
;	;	;	;	;	0
touching	touching	vvg	touching	touch	0
also	also	av	also	also	0
some	some	d	some	some	0
thing	thing	n1	thing	thing	0
of	of	pp-f	of	of	0
Africa	Africa	np1	Africa	Africa	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
Asia	Asia	np1	Asia	Asia	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
change	change	n1	change	change	0
of	of	pp-f	of	of	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
gions	gions	n2	gions	gion	0
that	that	cst	that	that	0
come	come	vvb	come	come	0
near	near	av-j	near	near	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
Climats	Climats	n2	Climates	climate	0
,	,	,	,	,	0
and	and	cc	and	and	0
compounded	compounded	vvn	compounded	compound	0
of	of	pp-f	of	of	0
natural	natural	j	natural	natural	0
faction	faction	n1	faction	faction	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
some	some	d	some	some	0
body	body	n1	body	body	0
may	may	vmb	may	may	0
answer	answer	vvi	answer	answer	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
need	need	n1	need	need	0
to	to	pc-acp	to	to	0
blow	blow	vvi	blow	blow	0
his	his	po31	his	his	0
Nose	Nose	n1	Nose	nose	0
)	)	)	)	)	0
the	the	dt	the	the	0
Rime	Rime	n1	Rhyme	rhyme	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
as	as	a-acp	as	as	0
easie	easie	j	easy	easy	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
understood	understood	vvn	understood	understand	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
intelligence	intelligence	n1	intelligence	intelligence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sence	sence	n1	sense	sense	0
is	is	vbz	is	be	0
hard	hard	j	hard	hard	0
and	and	cc	and	and	0
difficult	difficult	j	difficult	difficult	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
O	O	uh	Oh	oh	0
most	most	av-ds	most	most	0
humane	humane	j	humane	humane	0
King	King	n1	King	king	0
,	,	,	,	,	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Prophetical	Prophetical	j	Prophetical	prophetical	0
Stanza's	Stanza's	npg1	Stanza's	stanza	0
are	are	vbr	are	be	0
so	so	av	so	so	0
difficult	difficult	j	difficult	difficult	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
way	way	n1	way	way	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Interpretation	Interpretation	n1	Interpretation	interpretation	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
;	;	;	;	;	0
nevertheless	nevertheless	av	nevertheless	nevertheless	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
setting	setting	vvg	setting	set	0
down	down	a-acp	down	down	0
the	the	dt	the	the	0
Towns	Towns	n2	Towns	town	0
,	,	,	,	,	0
Cities	Cities	n2	Cities	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
Regions	Regions	n2	Regions	region	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
shall	shall	vmb	shall	shall	0
happen	happen	vvi	happen	happen	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
year	year	n1	year	year	0
1585.	1585.	crd	1585.	1585.	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
year	year	n1	year	year	0
1606.	1606.	crd	1606.	1606.	0
beginning	beginning	n1	beginning	beginning	0
from	from	p-acp	from	from	0
this	this	d	this	this	0
present	present	j	present	present	0
time	time	n1	time	time	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
14.	14.	crd	14.	14.	0
of	of	pp-f	of	of	0
March	March	n1	March	march	0
1557.	1557.	crd	1557.	1557.	0
and	and	cc	and	and	0
going	going	vvg	going	go	0
further	further	av-jc	further	further	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
fulfilling	fulfilling	j-vvg	fulfilling	fulfil	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
things	things	n2	things	thing	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
beginning	beginning	n-vvg	beginning	begin	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
seventh	seventh	ord	seventh	seven	0
Millenary	Millenary	np1	Millenary	Millenary	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
as	as	p-acp	as	as	0
my	my	po11	my	my	0
Astronomical	Astronomical	j	Astronomical	astronomical	0
Calculation	Calculation	n1	Calculation	calculation	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
Learning	Learning	n1	Learning	learning	0
could	could	vmd	could	can	0
reach	reach	vvi	reach	reach	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
which	which	r-crq	which	which	0
time	time	n1	time	time	0
the	the	dt	the	the	0
adversaries	adversaries	n2	adversaries	adversary	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
shall	shall	vmb	shall	shall	0
begin	begin	vvi	begin	begin	0
to	to	pc-acp	to	to	0
multiply	multiply	vvi	multiply	multiply	0
;	;	;	;	;	0
all	all	d	all	all	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
composed	composed	vvn	composed	compose	0
and	and	cc	and	and	0
calcu	calcu	n1	calcu	calcu	0
∣	∣	sy	∣	∣	0
lated	lated	vvn	lated	late	0
in	in	p-acp	in	in	0
days	days	n2	days	day	0
and	and	cc	and	and	0
hours	hours	n2	hours	hour	0
of	of	pp-f	of	of	0
Election	Election	n1	Election	election	0
,	,	,	,	,	0
and	and	cc	and	and	0
well	well	av	well	well	0
disposed	disposed	vvn	disposed	dispose	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
as	as	p-acp	as	as	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
curately	curately	av-j	curately	curate	0
as	as	a-acp	as	as	0
was	was	vbds	was	be	0
possible	possible	j	possible	possible	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
.	.	.	.	.	1
And	And	cc	And	and	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Minerva	Minerva	np1	Minerva	Minerva	0
libera	libera	fw-fr	libera	libera	0
&	&	cc	&	and	0
non	non	fw-la	non	non	0
invita	invita	fw-la	invita	invita	0
,	,	,	,	,	0
Calculating	Calculating	vvg	Calculating	calculate	0
almost	almost	av	almost	almost	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
time	time	n1	time	time	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
come	come	vvn	come	come	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
past	past	j	past	past	0
,	,	,	,	,	0
comprehending	comprehending	vvg	comprehending	comprehend	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
present	present	j	present	present	0
time	time	n1	time	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
time	time	n1	time	time	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
known	known	vvn	known	know	0
to	to	pc-acp	to	to	0
happen	happen	vvi	happen	happen	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
Regions	Regions	n2	Regions	region	0
punctually	punctually	av-j	punctually	punctual	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
here	here	av	here	here	0
written	written	vvn	written	write	0
,	,	,	,	,	0
adding	adding	vvg	adding	add	0
nothing	nothing	pix	nothing	nothing	0
su	su	n1	sum	sum	0
∣	∣	sy	∣	∣	0
perfluous	perfluous	j	perfluous	perfluous	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
,	,	,	,	,	0
although	although	cs	although	although	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
said	said	vvn	said	say	0
;	;	;	;	;	0
Quod	Quod	fw-la	Quod	quod	0
de	de	fw-la	de	de	0
futuris	futuris	fw-la	futuris	futuris	0
contingenti	contingenti	fw-la	contingenti	contingenti	0
∣	∣	sy	∣	∣	0
bus	bus	fw-la	bus	bus	0
,	,	,	,	,	0
non	non	fw-la	non	non	0
est	est	fw-la	est	est	0
determinata	determinata	fw-la	determinata	determinata	0
omnino	omnino	uh	omnino	omnino	0
veritas	veritas	fw-la	veritas	veritas	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
very	very	av	very	very	0
true	true	j	true	true	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
natural	natural	j	natural	natural	0
instinct	instinct	n1	instinct	instinct	0
given	given	vvn	given	give	0
me	me	pno11	me	i	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
Progenitors	Progenitors	n2	Progenitors	progenitor	0
,	,	,	,	,	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
think	think	vvi	think	think	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
foretel	foretel	vvi	foretell	foretell	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
having	having	vhg	having	have	0
made	made	vvn	made	make	0
an	an	dt	and	a	0
agreement	agreement	n1	agreement	agreement	0
between	between	p-acp	between	between	0
this	this	d	this	this	0
said	said	j-vvn	said	say	0
instinct	instinct	n1	instinct	instinct	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
long	long	j	long	long	0
Calculation	Calculation	n1	Calculation	calculation	0
of	of	pp-f	of	of	0
Art	Art	n1	Art	art	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
great	great	j	great	great	0
tranquility	tranquility	n1	tranquillity	tranquillity	0
and	and	cc	and	and	0
repose	repose	n1	repose	repose	0
of	of	pp-f	of	of	0
mind	mind	n1	mind	mind	0
,	,	,	,	,	0
emptied	emptied	vvn	emptied	empty	0
my	my	po11	my	my	0
Soul	Soul	n1	Soul	soul	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
care	care	n1	care	care	0
and	and	cc	and	and	0
carefulness	carefulness	n1	carefulness	carefulness	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
foretold	foretold	vvn	foretold	foretell	0
most	most	ds	most	most	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
ex	ex	fw-la	ex	ex	0
tripode	tripode	n1	tripod	tripod	0
aeneo	aeneo	fw-la	aeneo	aeneo	0
,	,	,	,	,	0
though	though	cs	though	though	0
there	there	pc-acp	there	there	0
be	be	vbb	be	be	0
many	many	d	many	many	0
who	who	r-crq	who	who	0
attribute	attribute	vvb	attribute	attribute	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
some	some	d	some	some	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
no	no	dx	no	no	0
more	more	av-dc	more	more	0
mine	mine	po11	mine	my	0
,	,	,	,	,	0
then	then	av	then	then	0
what	what	q-crq	what	what	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
at	at	p-acp	at	at	0
all	all	av-d	all	all	0
.	.	.	.	.	1
The	The	dt	The	the	0
only	only	j	only	only	0
Eternal	Eternal	j	Eternal	eternal	0
God	God	np1	God	God	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
searcher	searcher	n1	searcher	searcher	0
of	of	pp-f	of	of	0
men's	men's	ng2	men's	man	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
being	being	vbg	being	be	0
pious	pious	j	pious	pious	0
,	,	,	,	,	0
just	just	j	just	just	0
,	,	,	,	,	0
and	and	cc	and	and	0
merciful	merciful	j	merciful	merciful	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
true	true	j	true	true	0
Judge	Judge	n1	Judge	judge	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
whom	whom	r-crq	whom	who	0
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
to	to	pc-acp	to	to	0
defend	defend	vvi	defend	defend	0
me	me	pno11	me	i	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
calumny	calumny	n1	calumny	calumny	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wicked	wicked	j	wicked	wicked	0
men	men	n2	men	man	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
would	would	vmd	would	will	0
as	as	p-acp	as	as	0
willing	willing	vvg	willing	will	0
calumniously	calumniously	av-j	calumniously	calumnious	0
inquire	inquire	vvi	inquire	inquire	0
for	for	p-acp	for	for	0
what	what	r-crq	what	what	0
reason	reason	n1	reason	reason	0
all	all	d	all	all	0
your	your	po22	your	your	0
ancient	ancient	j	ancient	ancient	0
Progenitors	Progenitors	n2	Progenitors	progenitor	0
Kings	Kings	n2	Kings	king	0
of	of	pp-f	of	of	0
France	France	np1	France	France	0
have	have	vhb	have	have	0
healed	healed	vvn	healed	heal	0
the	the	dt	the	the	0
disease	disease	n1	disease	disease	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Kings-evil	Kings-evil	j	Kings-evil	kings-evil	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
other	other	n-jn	other	other	0
Na	Na	fw-mi	Na	na	0
∣	∣	sy	∣	∣	0
tions	tions	n2	tions	tion	0
have	have	vhb	have	have	0
cured	cured	vvn	cured	cure	0
the	the	dt	the	the	0
biting	biting	n-vvg	biting	bite	0
of	of	pp-f	of	of	0
venemous	venemous	j	venomous	venomous	0
Beasts	Beasts	n2	Beasts	beast	0
;	;	;	;	;	0
others	others	n2-jn	others	other	0
have	have	vhb	have	have	0
had	had	vhn	had	have	0
a	a	dt	a	a	0
certain	certain	j	certain	certain	0
instinct	instinct	n1	instinct	instinct	0
to	to	pc-acp	to	to	0
foretell	foretell	vvi	foretell	foretell	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
several	several	j	several	several	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
too	too	av	too	too	0
tedious	tedious	j	tedious	tedious	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
here	here	av	here	here	0
inserted	inserted	vvn	inserted	insert	0
;	;	;	;	;	0
notwithstanding	notwithstanding	p-acp	notwithstanding	notwithstanding	0
those	those	d	those	those	0
in	in	p-acp	in	in	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
malignancy	malignancy	n1	malignancy	malignancy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wicked	wicked	j	wicked	wicked	0
spirit	spirit	n1	spirit	spirit	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
suppressed	suppressed	vvn	suppressed	suppress	0
by	by	p-acp	by	by	0
length	length	n1	length	length	0
of	of	pp-f	of	of	0
