ARISTOTLE	ARISTOTLE	np1	ARISTOTLE	Aristotle	0
otherwise	otherwise	av	otherwise	otherwise	0
trauailed	trauailed	vvn	travailed	travail	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
profite	profite	vvi	profit	profit	0
all	all	d	all	all	0
tymes	tymes	n2	times	time	0
their	their	po32	their	their	0
countrie	countrie	n1	country	country	0
and	and	cc	and	and	0
common	common	j	common	common	0
wealthe	wealthe	n1	wealth	wealth	0
.	.	.	.	.	1
This	This	np1	This	This	0
also	also	av	also	also	0
was	was	vbds	was	be	0
my	my	po11	my	my	0
ende	ende	n1	end	end	0
and	and	cc	and	and	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
plante	plante	vvi	plant	plant	0
a	a	dt	a	a	0
worke	worke	n1	work	work	0
profitable	profitable	j	profitable	profitable	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
ty	ty	zz	ty	ty	0
∣	∣	sy	∣	∣	0
mes	mes	fw-fr	mes	mes	0
,	,	,	,	,	0
my	my	po11	my	my	0
countrie	countrie	n1	country	country	0
and	and	cc	and	and	0
common	common	j	common	common	0
wealthe	wealthe	n1	wealth	wealth	0
.	.	.	.	.	1
And	And	cc	And	and	0
because	because	c-acp	because	because	0
your	your	po22	your	your	0
Lordshippe	Lordshippe	n1	Lordship	lordship	0
studieth	studieth	vvz	studieth	study	0
all	all	d	all	all	0
singula	singula	fw-la	singula	singula	0
∣	∣	sy	∣	∣	0
ritie	ritie	n1	ritie	ritie	0
to	to	p-acp	to	to	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
and	and	cc	and	and	0
wholie	wholie	av-jn	wholly	whole	0
is	is	vbz	is	be	0
incensed	incensed	vvn	incensed	incense	0
thereto	thereto	av	thereto	thereto	0
:	:	:	:	:	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
compiled	compiled	vvn	compiled	compile	0
this	this	d	this	this	0
woorke	woorke	n1	work	work	0
,	,	,	,	,	0
and	and	cc	and	and	0
dedicated	dedicated	vvn	dedicated	dedicate	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Lorde	Lorde	n1	Lord	lord	0
∣	∣	sy	∣	∣	0
shippe	shippe	n1	ship	ship	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
vnto	vnto	p-acp	unto	unto	0
whō	whō	ro-crq	whom	who	0
moste	moste	av-ds	most	most	0
noble	noble	j	noble	noble	0
and	and	cc	and	and	0
vertuous	vertuous	j	virtuous	virtuous	0
.	.	.	.	.	1
VVher	VVher	c-crq	Where	where	0
∣	∣	sy	∣	∣	0
in	in	p-acp	in	in	0
are	are	vbr	are	be	0
set	set	vvn	set	set	0
forthe	forthe	av	forth	forth	0
soche	soche	d	such	such	0
Oracions	Oracions	n2	Orations	oration	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
right	right	av-jn	right	right	0
profitable	profitable	j	profitable	profitable	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
redde	redde	vvn	red	read	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
knowledge	knowledge	n1	knowledge	knowledge	0
also	also	av	also	also	0
necessarie	necessarie	j	necessary	necessary	0
.	.	.	.	.	1
The	The	dt	The	the	0
duetie	duetie	n1	duty	duty	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
subiecte	subiecte	n-jn	subject	subject	0
,	,	,	,	,	0
the	the	dt	the	the	0
worthie	worthie	j	worthy	worthy	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
nobilitie	nobilitie	n1	nobility	nobility	0
,	,	,	,	,	0
the	the	av	the	then	0
prehe	prehe	fw-ge	prehe	prehe	0
∣	∣	sy	∣	∣	0
minent	minent	j	minent	minent	0
dignitie	dignitie	n1	dignity	dignity	0
and	and	cc	and	and	0
Maiestie	Maiestie	n1	Majesty	majesty	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
the	the	dt	the	the	0
office	office	n1	office	office	0
of	of	pp-f	of	of	0
counsailours	counsailours	n2	counsellors	counsellor	0
,	,	,	,	,	0
worthie	worthie	j-jn	worthy	worthy	0
chiefe	chiefe	j-jn	chief	chief	0
veneracion	veneracion	n1	veneration	veneration	0
,	,	,	,	,	0
the	the	dt	the	the	0
office	office	n1	office	office	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Iudge	Iudge	n1	Judge	judge	0
or	or	cc	or	or	0
Magestrate	Magestrate	n1	Magestrate	magestrate	0
are	are	vbr	are	be	0
here	here	av	here	here	0
set	set	vvn	set	set	0
foorthe	foorthe	av	forth	forth	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
moste	moste	ds	most	most	0
for	for	p-acp	for	for	0
∣	∣	sy	∣	∣	0
tunate	tunate	j	tunate	tunate	0
state	state	n1	state	state	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
kyngdome	kyngdome	n1	kingdom	kingdom	0
and	and	cc	and	and	0
Common	Common	j	Common	common	0
wealthe	wealthe	n1	wealth	wealth	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
Nobles	Nobles	n2-j	Nobles	noble	0
and	and	cc	and	and	0
Peres	Peres	np1	Peres	Peres	0
,	,	,	,	,	0
not	not	xx	not	not	0
onelie	onelie	av-j	only	only	0
daiely	daiely	av-j	daily	day	0
doe	doe	vdi	do	do	0
stu	stu	fw-ge	stu	stu	0
∣	∣	sy	∣	∣	0
die	die	n1	die	die	0
to	to	p-acp	to	to	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
wisedome	wisedome	n1	wisdom	wisdom	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
the	the	dt	the	the	0
graue	graue	j	graven	grave	0
and	and	cc	and	and	0
wise	wise	j	wise	wise	0
Philophers	Philophers	n2	Philophers	philopher	0
searched	searched	vvd	searched	search	0
to	to	pc-acp	to	to	0
attaine	attaine	vvi	attain	attain	0
to	to	p-acp	to	to	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
ende	ende	n1	end	end	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
artes	artes	n2	arts	art	0
and	and	cc	and	and	0
sciences	sciences	n2	sciences	science	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
noble	noble	j	noble	noble	0
actes	actes	n2	acts	act	0
and	and	cc	and	and	0
enterprises	enterprises	n2	enterprises	enterprise	0
is	is	vbz	is	be	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
fauour	fauour	vvi	favour	favour	0
and	and	cc	and	and	0
vphold	vphold	vvi	uphold	uphold	0
the	the	dt	the	the	0
studentes	studentes	n2	students	student	0
of	of	pp-f	of	of	0
learnyng	learnyng	n1	learning	learning	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
also	also	av	also	also	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
greate	greate	j	great	great	0
ver	ver	p-acp	for	for	0
∣	∣	sy	∣	∣	0
tue	tue	uh	tue	tue	0
.	.	.	.	.	1
VVho	VVho	r-crq	Who	who	0
so	so	av	so	so	0
is	is	vbz	is	be	0
adorned	adorned	vvn	adorned	adorn	0
with	with	p-acp	with	with	0
nobilitie	nobilitie	n1	nobility	nobility	0
and	and	cc	and	and	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
necessitie	necessitie	n1	necessity	necessity	0
nobilitie	nobilitie	n1	nobility	nobility	0
and	and	cc	and	and	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
will	will	vmb	will	will	0
moue	moue	vvi	move	move	0
and	and	cc	and	and	0
allure	allure	vvi	allure	allure	0
thē	thē	pno32	them	they	0
to	to	pc-acp	to	to	0
fauour	fauour	vvi	favour	favour	0
and	and	cc	and	and	0
support	support	vvi	support	support	0
vertue	vertue	n1	virtue	virtue	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Tul	Tul	np1	Tul	Tul	0
∣	∣	sy	∣	∣	0
lie	lie	vvi	lie	lie	0
the	the	dt	the	the	0
moste	moste	av-ds	most	most	0
famous	famous	j	famous	famous	0
Oratour	Oratour	n1	Orator	orator	0
dooeth	dooeth	vdz	doth	do	0
saie	saie	vvi	say	say	0
,	,	,	,	,	0
euen	euen	av	even	even	0
to	to	pc-acp	to	to	0
loue	loue	vvi	love	love	0
those	those	d	those	those	0
whō	whō	ro-crq	whom	who	0
we	we	pns12	we	we	0
neuer	neuer	av	never	never	0
sawe	sawe	vvd	saw	see	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
good	good	j	good	good	0
fame	fame	n1	fame	fame	0
and	and	cc	and	and	0
brute	brute	n1	brutus	brute	0
beutified	beutified	vvn	beautified	beautify	0
to	to	p-acp	to	to	0
vs.	vs.	pno12	us	we	0
For	For	p-acp	For	for	0
the	the	dt	the	the	0
encrease	encrease	n1	increase	increase	0
of	of	pp-f	of	of	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
God	God	np1	God	God	0
dooeth	dooeth	vdz	doth	do	0
nobilitate	nobilitate	fw-la	nobilitate	nobilitate	0
with	with	p-acp	with	with	0
honour	honour	n1	honour	honour	0
worthie	worthie	j	worthy	worthy	0
menne	menne	n2	men	man	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
aboue	aboue	p-acp	above	above	0
other	other	j-jn	other	other	0
in	in	p-acp	in	in	0
dignitie	dignitie	n1	dignity	dignity	0
and	and	cc	and	and	0
state	state	n1	state	state	0
,	,	,	,	,	0
thereupon	thereupon	av	thereupon	thereupon	0
vertue	vertue	n1	virtue	virtue	0
doeth	doeth	vdz	doth	do	0
encrease	encrease	vvi	increase	increase	0
your	your	po22	your	your	0
Lordshipps	Lordshipps	n2	Lordships	lordship	0
honor	honor	n1	honour	honour	0
,	,	,	,	,	0
beyng	beyng	vbg	being	be	0
a	a	dt	a	a	0
louer	louer	n1	lover	lover	0
of	of	pp-f	of	of	0
vertue	vertue	n1	virtue	virtue	0
and	and	cc	and	and	0
worthie	worthie	j	worthy	worthy	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
bilitie	bilitie	n1	bilitie	bilitie	0
.	.	.	.	.	1
