Iohn	Iohn	np1	Iohn	John	0
are	are	vbr	are	be	0
no	no	dx	no	no	0
whit	whit	n1	whit	whit	0
infe	infe	n1	infe	infe	0
∣	∣	sy	∣	∣	0
riour	riour	j-jn	riour	riour	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
that	that	cst	that	that	0
theyr	theyr	po32	their	their	0
orders	orders	n2	order	order	0
being	being	vbg	being	be	0
kno	kno	vvi	know	know	0
∣	∣	sy	∣	∣	0
wen	wen	n1	wen	wen	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
may	may	vmb	may	may	0
the	the	dt	the	the	0
better	better	jc	better	better	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
easely	easely	av-j	easily	easy	0
hurte	hurte	vvi	hurt	hurt	0
them	them	pno32	them	they	0
and	and	cc	and	and	0
benefit	benefit	vvi	benefit	benefit	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
aduantage	aduantage	n1	advantage	advantage	0
.	.	.	.	.	1
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
therefore	therefore	av	therefore	therefore	0
bestowed	bestowed	vvn	bestowed	bestow	0
some	some	d	some	some	0
pains	pains	n2	pains	pain	0
in	in	p-acp	in	in	0
vnarming	vnarming	vvg	unarming	unarm	0
this	this	d	this	this	0
Spanysh	Spanysh	jp	Spanish	spanish	0
Sergeant	Sergeant	n1	Sergeant	sergeant	0
and	and	cc	and	and	0
doffing	doffing	vvg	doffing	doff	0
his	his	po31	his	his	0
Castilian	Castilian	np1	Castilian	Castilian	0
and	and	cc	and	and	0
hostile	hostile	j	hostile	hostile	0
armour	armour	n1	armour	armour	0
,	,	,	,	,	0
and	and	cc	and	and	0
haue	haue	vhb	have	have	0
clothed	clothed	vvn	clothed	clothe	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
apparel	apparel	n1	apparel	apparel	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
that	that	cst	that	that	0
our	our	po12	our	our	0
men	men	n2	men	man	0
may	may	vmb	may	may	0
vse	vse	vvi	use	use	0
him	him	pno31	him	he	0
to	to	p-acp	to	to	0
theyr	theyr	po32	their	their	0
pleasure	pleasure	n1	pleasure	pleasure	0
,	,	,	,	,	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
finding	finding	vvg	finding	find	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
metamorphosed	metamorphosed	vvn	metamorphosed	metamorphose	0
,	,	,	,	,	0
learne	learne	vvb	learn	learn	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
serue	serue	vvi	serve	serve	0
English	English	jp	English	english	0
men	men	n2	men	man	0
.	.	.	.	.	1
Beseeching	Beseeching	vvg	Beseeching	beseech	0
and	and	cc	and	and	0
desiring	desiring	vvg	desiring	desire	0
your	your	po22	your	your	0
Honor	Honor	n1	Honour	honour	0
,	,	,	,	,	0
that	that	cst	that	that	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
fielde	fielde	n1	field	field	0
you	you	pn22	you	you	0
wish	wish	vvb	wish	wish	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
first	first	ord	first	first	0
to	to	pc-acp	to	to	0
encounter	encounter	vvi	encounter	encounter	0
,	,	,	,	,	0
not	not	xx	not	not	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
stoutest	stoutest	js	stoutest	stout	0
Sergeant	Sergeant	n1	Sergeant	sergeant	0
onely	onely	av-j	only	only	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
bra	bra	uh	bram	bra	0
∣	∣	sy	∣	∣	0
uest	uest	n1	vest	vest	0
Duke	Duke	n1	Duke	duke	0
,	,	,	,	,	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
or	or	cc	or	or	0
King	King	n1	King	king	0
,	,	,	,	,	0
that	that	cst	that	that	0
professeth	professeth	vvz	professes	profess	0
enmity	enmity	n1	enmity	enmity	0
a	a	sy	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
yourselfe	yourselfe	px21	yourself	yourself	0
,	,	,	,	,	0
your	your	po22	your	your	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
or	or	cc	or	or	0
your	your	po22	your	your	0
Countrey	Countrey	n1	Country	country	0
.	.	.	.	.	1
So	So	av	So	so	0
you	you	pn22	you	you	0
wil	wil	vmb	will	will	0
at	at	p-acp	at	at	0
home	home	n1-an	home	home	0
vouchsafe	vouchsafe	vvb	vouchsafe	vouchsafe	0
to	to	pc-acp	to	to	0
protect	protect	vvi	protect	protect	0
this	this	d	this	this	0
SERGEANT	SERGEANT	n1	SERGEANT	sergeant	0
MAIOR	MAIOR	n1	MAIOR	mayor	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hauing	hauing	vhg	having	have	0
now	now	av	now	now	0
forsaken	forsaken	vvn	forsaken	forsake	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
Coun	Coun	vvb	Con	con	0
∣	∣	sy	∣	∣	0
trey	trey	n1	trey	trey	0
,	,	,	,	,	0
matcheth	matcheth	vvz	matches	match	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
fielde	fielde	n1	field	field	0
in	in	p-acp	in	in	0
Spanishe	Spanishe	jp	Spanish	spanish	0
colours	colours	n2	colours	colour	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
walketh	walketh	vvz	walks	walk	0
in	in	p-acp	in	in	0
London	London	np1	London	London	0
streetes	streetes	n2	streets	street	0
in	in	p-acp	in	in	0
Englishe	Englishe	jp	English	english	0
attyre	attyre	n1	attire	attire	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
part	part	n1	part	part	0
shall	shall	vmb	shall	shall	0
thinke	thinke	vvi	think	think	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
much	much	av-d	much	much	0
bounden	bounden	vvn	bounden	bind	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Honor	Honor	n1	Honour	honour	0
,	,	,	,	,	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
accept	accept	vvi	accept	accept	0
thys	thys	d	this	this	0
my	my	po11	my	my	0
labour	labour	n1	labour	labour	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
signe	signe	n1	sign	sign	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
good	good	j	good	good	0
minde	minde	n1	mind	mind	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
I	I	pns11	I	i	0
leaue	leaue	vvb	leave	leave	0
your	your	po22	your	your	0
Honor	Honor	n1	Honour	honour	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
martiall	martiall	j	martial	martial	0
meditations	meditations	n2	meditations	meditation	0
,	,	,	,	,	0
beseeching	beseeching	vvg	beseeching	beseech	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
as	as	p-acp	as	as	0
our	our	po12	our	our	0
enemyes	enemyes	n2	enemies	enemy	0
haue	haue	vhb	have	have	0
felte	felte	vvn	felt	feel	0
your	your	po22	your	your	0
valour	valour	n1	valour	valour	0
,	,	,	,	,	0
the	the	dt	the	the	0
lowe	lowe	j	low	low	0
Countreys	Countreys	ng2	Countries'	country	0
inioyed	inioyed	vvn	enjoyed	enjoy	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
England	England	np1	England	England	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
vniuersall	vniuersall	j	universal	universal	0
voyce	voyce	n1	voice	voice	0
gene	gene	zz	gene	gene	0
∣	∣	sy	∣	∣	0
rally	rally	vvb	rally	rally	0
commended	commended	vvd	commended	commend	0
it	it	pn31	it	it	0
,	,	,	,	,	0
so	so	av	so	so	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
please	please	vvi	please	please	0
his	his	po31	his	his	0
deuine	deuine	j-jn	divine	divine	0
Maiesty	Maiesty	n1	Majesty	majesty	0
to	to	pc-acp	to	to	0
increase	increase	vvi	increase	increase	0
it	it	pn31	it	it	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
Honor	Honor	n1	Honour	honour	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ter	ter	zz	ter	ter	0
∣	∣	sy	∣	∣	0
ror	ror	n1	ror	ror	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
enemyes	enemyes	n2	enemies	enemy	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
benefite	benefite	n1	benefit	benefit	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Prince	Prince	n1	Prince	prince	0
and	and	cc	and	and	0
Countrey	Countrey	n1	Country	country	0
.	.	.	.	.	1
