FInding	FInding	vvg	FInding	find	0
land	land	n1	land	land	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
fire	fire	n1	fire	fire	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
water	water	n1	water	water	0
to	to	pc-acp	to	to	0
attaine	attaine	vvi	attain	attain	0
.	.	.	.	.	1
A	A	dt	A	a	0
wise	wise	j	wise	wise	0
builder	builder	n1	builder	builder	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
sure	sure	j	sure	sure	0
to	to	pc-acp	to	to	0
lay	lay	vvi	lay	lay	0
a	a	dt	a	a	0
good	good	j	good	good	0
foundation	foundation	n1	foundation	foundation	0
:	:	:	:	:	0
a	a	dt	a	a	0
va	va	fw-fr	va	va	0
∣	∣	sy	∣	∣	0
liant	liant	j	liant	liant	0
Souldiour	Souldiour	n1	Soldier	soldier	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
vn	vn	zz	vn	vn	0
∣	∣	sy	∣	∣	0
armed	armed	vvn	armed	arm	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
daie	daie	n1	day	day	0
of	of	pp-f	of	of	0
battell	battell	n1	battle	battle	0
:	:	:	:	:	0
neither	neither	dx	neither	neither	0
will	will	n1	will	will	0
a	a	dt	a	a	0
discreet	discreet	j	discreet	discreet	0
Mari	Mari	np1	Mari	Mari	0
∣	∣	sy	∣	∣	0
ner	ner	zz	ner	ner	0
carelessely	carelessely	av-j	carelessly	careless	0
respect	respect	n1	respect	respect	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
auoide	auoide	vvi	avoid	avoid	0
the	the	dt	the	the	0
perils	perils	n2	perils	peril	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
dange	dange	n1	dange	dange	0
∣	∣	sy	∣	∣	0
rous	rous	fw-la	rous	rous	0
gulfe	gulfe	n1	gulf	gulf	0
.	.	.	.	.	1
How	How	c-crq	How	how	0
much	much	d	much	much	0
more	more	dc	more	more	0
(	(	(	(	(	0
good	good	j	good	good	0
Rea	Rea	np1	Rea	Rea	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
)	)	)	)	)	0
behooueth	behooueth	vvz	behooveth	behoove	0
it	it	pn31	it	it	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
wisely	wisely	av-j	wisely	wise	0
to	to	pc-acp	to	to	0
forecast	forecast	vvi	forecast	forecast	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
turne	turne	vvi	turn	turn	0
ouer	ouer	p-acp	over	over	0
the	the	dt	the	the	0
leaues	leaues	n2	leaves	leaf	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
life	life	n1	life	life	0
,	,	,	,	,	0
that	that	cst	that	that	0
thy	thy	po21	thy	thy	0
passage	passage	n1	passage	passage	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
stopt	stopt	vvn	stopped	stop	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
pilgrimage	pilgrimage	n1	pilgrimage	pilgrimage	0
,	,	,	,	,	0
and	and	cc	and	and	0
thou	thou	pns21	thou	thou	0
disappointed	disappointed	vvn	disappointed	disappoint	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
mise	mise	n2	mice	mouse	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
pertaineth	pertaineth	vvz	pertaineth	pertain	0
to	to	p-acp	to	to	0
such	such	d	such	such	0
onely	onely	j	only	only	0
as	as	c-acp	as	as	0
gratiouslie	gratiouslie	av-j	graciously	gracious	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
due	due	j-jn	due	due	0
time	time	n1	time	time	0
doe	doe	vdb	do	do	0
begin	begin	vvi	begin	begin	0
,	,	,	,	,	0
and	and	cc	and	and	0
constantlie	constantlie	av-j	constantly	constant	0
continue	continue	vvi	continue	continue	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
end	end	n1	end	end	0
?	?	?	?	?	1
Be	Be	vbb	Be	be	0
not	not	xx	not	not	0
then	then	av	then	then	0
like	like	av-j	like	like	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
buil	buil	n1	buil	buil	0
∣	∣	sy	∣	∣	0
ders	ders	n2-jn	dears	dear	0
of	of	pp-f	of	of	0
Babel	Babel	np1	Babel	Babel	0
,	,	,	,	,	0
that	that	cst	that	that	0
bring	bring	vvb	bring	bring	0
mor	mor	zz	mor	mor	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
for	for	p-acp	for	for	0
stones	stones	n2	stones	stone	0
,	,	,	,	,	0
and	and	cc	and	and	0
stones	stones	n2	stones	stone	0
for	for	p-acp	for	for	0
clay	clay	n1	clay	clay	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
wise	wise	j	wise	wise	0
virgins	virgins	n2	virgins	virgin	0
,	,	,	,	,	0
did	did	vdd	did	do	0
prouidently	prouidently	av-j	providently	provident	0
prouide	prouide	vvi	provide	provide	0
that	that	cst	that	that	0
their	their	po32	their	their	0
Lampes	Lampes	n2	Lamps	lamp	0
might	might	vmd	might	may	0
bee	bee	vbi	be	be	0
readie	readie	j	ready	ready	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
comming	comming	n-vvg	coming	come	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Bridegroome	Bridegroome	n1	Bridegroom	bridegroom	0
:	:	:	:	:	0
so	so	av	so	so	0
thou	thou	pns21	thou	thou	0
likewise	likewise	av	likewise	likewise	0
,	,	,	,	,	0
see	see	vvb	see	see	0
that	that	d	that	that	0
thy	thy	po21	thy	thy	0
foundation	foundation	n1	foundation	foundation	0
be	be	vbi	be	be	0
sure	sure	j	sure	sure	0
,	,	,	,	,	0
and	and	cc	and	and	0
thy	thy	po21	thy	thy	0
building	building	n1	building	building	0
raised	raised	vvn	raised	raise	0
vp	vp	a-acp	up	up	0
,	,	,	,	,	0
not	not	xx	not	not	0
with	with	p-acp	with	with	0
stubble	stubble	n1	stubble	stubble	0
and	and	cc	and	and	0
straw	straw	n1	straw	straw	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
will	will	vmb	will	will	0
rot	rot	vvi	rot	rot	0
and	and	cc	and	and	0
perish	perish	vvi	perish	perish	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
with	with	p-acp	with	with	0
lime	lime	n1	lime	lime	0
and	and	cc	and	and	0
stone	stone	n1	stone	stone	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
firme	firme	j	firm	firm	0
and	and	cc	and	and	0
strong	strong	j	strong	strong	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
though	though	c-acp	though	though	0
the	the	dt	the	the	0
raine	raine	n1	rain	rain	0
doe	doe	vdb	do	do	0
beate	beate	vvi	beat	beat	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
winds	winds	n2	winds	wind	0
blow	blow	vvb	blow	blow	0
,	,	,	,	,	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
beeing	beeing	vbg	being	be	0
strongly	strongly	av-j	strongly	strong	0
built	built	vvn	built	build	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
Rocke	Rocke	n1	Rock	rock	0
,	,	,	,	,	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
stand	stand	vvi	stand	stand	0
fast	fast	av-j	fast	fast	0
for	for	p-acp	for	for	0
euer	euer	av	ever	ever	0
.	.	.	.	.	1
If	If	cs	If	if	0
thus	thus	av	thus	thus	0
thou	thou	pns21	thou	thou	0
intend	intend	vvb	intend	intend	0
wisely	wisely	av-j	wisely	wise	0
to	to	pc-acp	to	to	0
erect	erect	vvi	erect	erect	0
a	a	dt	a	a	0
Tower	Tower	n1	Tower	tower	0
,	,	,	,	,	0
turne	turne	vvb	turn	turn	0
ouer	ouer	p-acp	over	over	0
the	the	dt	the	the	0
leafe	leafe	n1	leaf	leaf	0
,	,	,	,	,	0
consider	consider	vvb	consider	consider	0
this	this	d	this	this	0
plot	plot	n1	plot	plot	0
,	,	,	,	,	0
wherein	wherein	q-crq	wherein	wherein	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
frame	frame	n1	frame	frame	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
glori	glori	fw-la	glori	glori	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
building	building	n1	building	building	0
,	,	,	,	,	0
not	not	xx	not	not	0
made	made	vvn	made	make	0
with	with	p-acp	with	with	0
mens	mens	ng2	men's	man	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
or	or	cc	or	or	0
such	such	d	such	such	0
a	a	dt	a	a	0
one	one	crd	one	one	0
as	as	c-acp	as	as	0
perisheth	perisheth	vvz	perishes	perish	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
framed	framed	vvd	framed	frame	0
by	by	p-acp	by	by	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
wonderful	wonderful	j	wondered	wonderful	0
manner	manner	n1	manner	manner	0
.	.	.	.	.	1
Here	Here	av	Here	here	0
∣	∣	sy	∣	∣	0
in	in	p-acp	in	in	0
thou	thou	pns21	thou	thou	0
shalt	shalt	vm2	shalt	shall	0
see	see	vvi	see	see	0
how	how	c-crq	how	how	0
the	the	dt	the	the	0
foun	foun	n1	foum	foum	0
∣	∣	sy	∣	∣	0
dation	dation	n1	dation	dation	0
is	is	vbz	is	be	0
laid	laid	vvn	laid	lay	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Roofe	Roofe	n1	Roof	roof	0
couered	couered	vvd	covered	cover	0
:	:	:	:	:	0
what	what	r-crq	what	what	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
for	for	p-acp	for	for	0
whom	whom	r-crq	whom	who	0
the	the	dt	the	the	0
holie	holie	j	holy	holy	0
Ci	Ci	crd	Ci	ci	0
∣	∣	sy	∣	∣	0
tie	tie	zz	tie	tie	0
is	is	vbz	is	be	0
prepared	prepared	vvn	prepared	prepare	0
,	,	,	,	,	0
&	&	cc	&	and	0
vnto	vnto	p-acp	unto	unto	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
glorie	glorie	n1	glory	glory	0
thereof	thereof	av	thereof	thereof	0
is	is	vbz	is	be	0
denied	denied	vvn	denied	deny	0
:	:	:	:	:	0
how	how	c-crq	how	how	0
the	the	dt	the	the	0
way	way	n1	way	way	0
is	is	vbz	is	be	0
made	made	vvn	made	make	0
plaine	plaine	av-j	plain	plain	0
vnto	vnto	p-acp	unto	unto	0
it	it	pn31	it	it	0
:	:	:	:	:	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
what	what	r-crq	what	what	0
meanes	meanes	n2	means	mean	0
wee	wee	pns12	we	we	0
must	must	vmb	must	must	0
enter	enter	vvi	enter	enter	0
thereinto	thereinto	av	thereinto	thereinto	0
.	.	.	.	.	1
Let	Let	vvb	Let	let	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
bee	bee	vbi	be	be	0
lightly	lightly	av-j	lightly	light	0
regarded	regarded	vvn	regarded	regard	0
of	of	pp-f	of	of	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
seeing	seeing	vvg	seeing	see	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
now	now	av	now	now	0
high	high	j	high	high	0
time	time	n1	time	time	0
thy	thy	po21	thy	thy	0
worke	worke	n1	work	work	0
were	were	vbdr	were	be	0
begun	begun	vvn	begun	begin	0
:	:	:	:	:	0
Win	Win	np1	Win	Win	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
is	is	vbz	is	be	0
at	at	p-acp	at	at	0
hand	hand	n1	hand	hand	0
;	;	;	;	;	0
the	the	dt	the	the	0
windes	windes	n2	winds	wind	0
doe	doe	vdb	do	do	0
begin	begin	vvi	begin	begin	0
to	to	pc-acp	to	to	0
blow	blow	vvi	blow	blow	0
:	:	:	:	:	0
If	If	cs	If	if	0
thou	thou	pns21	thou	thou	0
want	want	vvb	want	want	0
harbour	harbour	n1	harbour	harbour	0
,	,	,	,	,	0
the	the	dt	the	the	0
stormy	stormy	j	stormy	stormy	0
tem	tem	n1	tem	tem	0
∣	∣	sy	∣	∣	0
pests	pests	n2	pests	pest	0
will	will	vmb	will	will	0
perish	perish	vvi	perish	perish	0
thee	thee	pno21	thee	thou	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
leauing	leauing	vvg	leaving	leave	0
thee	thee	pno21	thee	thou	0
to	to	p-acp	to	to	0
thy	thy	po21	thy	thy	0
la	la	uh	la	la	0
∣	∣	sy	∣	∣	0
bour	bour	uh	bour	bour	0
,	,	,	,	,	0
and	and	cc	and	and	0
praying	praying	vvg	praying	pray	0
for	for	p-acp	for	for	0
thy	thy	po21	thy	thy	0
good	good	j	good	good	0
speed	speed	n1	speed	speed	0
,	,	,	,	,	0
I	I	pns11	I	i	0
rest	rest	vvb	rest	rest	0
,	,	,	,	,	1
