YOu	YOu	pn22	YOu	you	0
Vecordes	Vecordes	n2	Vecordes	vecorde	0
base	base	j	base	base	0
conceipts	conceipts	n2	conceits	conceit	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
vn	vn	zz	vn	vn	0
∣	∣	sy	∣	∣	0
willing	willing	vvg	willing	will	0
because	because	p-acp	because	because	0
vnworthie	vnworthie	j	unworthy	unworthy	0
.	.	.	.	.	1
And	And	cc	And	and	0
those	those	d	those	those	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
attained	attained	vvn	attained	attain	0
,	,	,	,	,	0
are	are	vbr	are	be	0
Excordes	Excordes	n2	Excordes	excorde	0
in	in	p-acp	in	in	0
pusillani	pusillani	n1	pusillani	pusillani	0
∣	∣	sy	∣	∣	0
mitie	mitie	n1	mitie	mitie	0
and	and	cc	and	and	0
infirmitie	infirmitie	n1	infirmity	infirmity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
mind	mind	n1	mind	mind	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
yet	yet	av	yet	yet	0
another	another	j-jn	another	another	0
number	number	n1	number	number	0
Cordati	Cordati	np1	Cordati	Cordati	0
Homines	Homines	fw-la	Homines	homines	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
nowmed	nowmed	n-vvn	nowmed	nowm	0
men	men	n2	men	man	0
for	for	p-acp	for	for	0
wisedome	wisedome	n1	wisdom	wisdom	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
nowmed	nowmed	vvn	nowmed	nowm	0
for	for	p-acp	for	for	0
wealth	wealth	n1	wealth	wealth	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
enuie	enuie	vvb	envy	envy	0
not	not	xx	not	not	0
any	any	d	any	any	0
mans	mans	ng1	men	man	0
estate	estate	n1	estate	estate	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
attribute	attribute	vvb	attribute	attribute	0
vnto	vnto	p-acp	unto	unto	0
Fortune	Fortune	n1	Fortune	fortune	0
,	,	,	,	,	0
the	the	dt	the	the	0
goods	goods	n2-j	goods	good	0
of	of	pp-f	of	of	0
Fortune	Fortune	n1	Fortune	fortune	0
:	:	:	:	:	0
To	To	p-acp	To	to	0
the	the	dt	the	the	0
bodie	bodie	n1	body	body	0
,	,	,	,	,	0
the	the	dt	the	the	0
goods	goods	n2-j	goods	good	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
bodie	bodie	n1	body	body	0
:	:	:	:	:	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
the	the	dt	the	the	0
ri	ri	zz	ri	ri	0
∣	∣	sy	∣	∣	0
ches	ches	n1	ches	ches	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
minde	minde	n1	mind	mind	0
:	:	:	:	:	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
Caesar	Caesar	np1	Caesar	Caesar	0
,	,	,	,	,	0
all	all	d	all	all	0
things	things	n2	things	thing	0
due	due	j-jn	due	due	0
vnto	vnto	p-acp	unto	unto	0
him	him	pno31	him	he	0
.	.	.	.	.	1
Such	Such	d	Such	such	0
should	should	vmd	should	shall	0
wise	wise	j	wise	wise	0
men	men	n2	men	man	0
be	be	vbb	be	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
what	what	r-crq	what	what	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
thought	thought	vvn	thought	think	0
worthie	worthie	j	worthy	worthy	0
of	of	pp-f	of	of	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
worthiest	worthiest	js	worthiest	worthy	0
;	;	;	;	;	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
content	content	vvi	content	content	0
them	them	pno32	them	they	0
selues	selues	n2	selves	self	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
meanest	meanest	js	meanest	mean	0
.	.	.	.	.	1
Wher	Wher	c-crq	Where	where	0
∣	∣	sy	∣	∣	0
vpon	vpon	p-acp	upon	upon	0
I	I	zz	I	i	0
considering	considering	vvg	considering	consider	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
atchieue	atchieue	vvi	achieve	achieve	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
worthie	worthie	j	worthy	worthy	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
honorable	honorable	j	honourable	honourable	0
fauours	fauours	n2	favours	favour	0
,	,	,	,	,	0
request	request	n1	request	request	0
,	,	,	,	,	0
this	this	d	this	this	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
worthie	worthie	j	worthy	worthy	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
pacience	pacience	n1	patience	patience	0
.	.	.	.	.	1
Wine	Wine	n1	Wine	wine	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
base	base	j	base	base	0
Dutch	Dutch	jp	Dutch	dutch	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
Drozen	Drozen	vvn	Drozen	drozen	0
or	or	cc	or	or	0
Moder	Moder	n1	Mother	mother	0
,	,	,	,	,	0
is	is	vbz	is	be	0
good	good	j	good	good	0
for	for	p-acp	for	for	0
somewhat	somewhat	av	somewhat	somewhat	0
,	,	,	,	,	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
pound	pound	n1	pound	pound	0
.	.	.	.	.	1
So	So	av	So	so	0
my	my	po11	my	my	0
wit	wit	n1	wit	wit	0
may	may	vmb	may	may	0
hereafter	hereafter	av	hereafter	hereafter	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
present	present	j	present	present	0
protections	protections	n2	protections	protection	0
&	&	cc	&	and	0
honourable	honourable	j	honourable	honourable	0
allow	allow	vvb	allow	allow	0
∣	∣	sy	∣	∣	0
ance	ance	n1	ance	ance	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
simple	simple	j	simple	simple	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
as	as	c-acp	as	as	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
yeare	yeare	n1	year	year	0
foure	foure	crd	foure	four	0
quarters	quarters	n2	quarters	quarter	0
:	:	:	:	:	0
so	so	av	so	so	0
is	is	vbz	is	be	0
there	there	a-acp	there	there	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
mans	mans	ng1	men	man	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
fouretimes	fouretimes	av	fouretimes	fouretimes	0
.	.	.	.	.	1
The	The	dt	The	the	0
Spring	Spring	n1	Spring	spring	0
:	:	:	:	:	0
the	the	dt	the	the	0
Summer	Summer	n1	Summer	summer	0
:	:	:	:	:	0
the	the	dt	the	the	0
Autumne	Autumne	n1	Autumn	autumn	0
:	:	:	:	:	0
and	and	cc	and	and	0
Winter	Winter	n1	Winter	winter	0
.	.	.	.	.	1
The	The	dt	The	the	0
infancie	infancie	n1	infancy	infancy	0
,	,	,	,	,	0
the	the	dt	the	the	0
youth	youth	n1	youth	youth	0
:	:	:	:	:	0
the	the	dt	the	the	0
middle	middle	j-jn	middle	middle	0
age	age	n1	age	age	0
,	,	,	,	,	0
(	(	(	(	(	0
ripe	ripe	j	ripe	ripe	0
iudgement	iudgement	n1	judgement	judgement	0
:	:	:	:	:	0
)	)	)	)	)	0
and	and	cc	and	and	0
the	the	dt	the	the	0
olde	olde	j	old	old	0
age	age	n1	age	age	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
follie	follie	n1	folly	folly	0
.	.	.	.	.	0
)	)	)	)	)	1
And	And	cc	And	and	0
because	because	c-acp	because	because	0
my	my	po11	my	my	0
knowledge	knowledge	n1	knowledge	knowledge	0
is	is	vbz	is	be	0
none	none	pix	none	none	0
,	,	,	,	,	0
it	it	pn31	it	it	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
termed	termed	vvn	termed	term	0
any	any	d	any	any	0
.	.	.	.	.	1
Howbeit	Howbeit	a-acp	Howbeit	howbeit	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
euer	euer	av	ever	ever	0
heard	heard	vvn	herd	hear	0
,	,	,	,	,	0
my	my	po11	my	my	0
true	true	j	true	true	0
honou	honou	j	honou	honou	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
maister	maister	n1	master	master	0
,	,	,	,	,	0
publish	publish	vvb	publish	publish	0
your	your	po22	your	your	0
lord	lord	n1	lord	lord	0
∣	∣	sy	∣	∣	0
ships	ships	n2	ships	ship	0
excellent	excellent	j	excellent	excellent	0
partes	partes	n2	parts	part	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
recordeth	recordeth	vvz	recordeth	record	0
often	often	av	often	often	0
from	from	p-acp	from	from	0
his	his	po31	his	his	0
heart	heart	n1	heart	heart	0
:	:	:	:	:	0
I	I	pns11	I	i	0
doe	doe	vdi	do	do	0
the	the	dt	the	the	0
rather	rather	av-c	rather	rather	0
presume	presume	vvi	presume	presume	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Lordships	Lordships	ng1	Lordship's	lordship	0
clemencie	clemencie	n1	clemency	clemency	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
absence	absence	n1	absence	absence	0
.	.	.	.	.	1
That	That	cst	That	that	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
approach	approach	vvi	approach	approach	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
this	this	d	this	this	0
simplicitie	simplicitie	n1	simplicity	simplicity	0
vnto	vnto	p-acp	unto	unto	0
all	all	d	all	all	0
that	that	cst	that	that	0
singulari	singulari	fw-la	singulari	singulari	0
∣	∣	sy	∣	∣	0
tie	tie	n1	tie	tie	0
:	:	:	:	:	0
Who	Who	r-crq	Who	who	0
in	in	p-acp	in	in	0
witt	witt	n1	wit	wit	0
beeing	beeing	vbg	being	be	0
a	a	dt	a	a	0
Paterne	Paterne	n1	Pattern	pattern	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
men	men	n2	men	man	0
:	:	:	:	:	0
may	may	vmb	may	may	0
(	(	(	(	(	0
where	where	c-crq	where	where	0
it	it	pn31	it	it	0
wanteth	wanteth	vvz	wants	want	0
)	)	)	)	)	0
be	be	vbb	be	be	0
a	a	dt	a	a	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
trone	trone	n1	throne	throne	0
to	to	p-acp	to	to	0
mee	mee	pno11	me	i	0
.	.	.	.	.	1
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
tedious	tedious	j	tedious	tedious	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
writing	writing	n1	writing	writing	0
.	.	.	.	.	1
Woulde	Woulde	vmd	Would	will	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
the	the	dt	the	the	0
like	like	j	like	like	0
priui	priui	fw-la	priui	priui	0
∣	∣	sy	∣	∣	0
ledge	ledge	n1	ledge	ledge	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
odious	odious	j	odious	odious	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
enditing	enditing	vvg	enditing	endite	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
so	so	av	so	so	0
had	had	vhd	had	have	0
I	I	pns11	I	i	0
neede	neede	n1	need	need	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
in	in	p-acp	in	in	0
Arte	Arte	n1	Art	art	0
Polycle	Polycle	n1	Polycle	polycle	0
∣	∣	sy	∣	∣	0
tus	tus	fw-la	tus	tus	0
:	:	:	:	:	0
in	in	p-acp	in	in	0
happe	happe	n1	happen	hap	0
Polycrates	Polycrates	np1	Polycrates	Polycrates	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
,	,	,	,	,	0
I	I	pns11	I	i	0
care	care	vvb	care	care	0
not	not	xx	not	not	0
.	.	.	.	.	1
Onely	Onely	j	Only	only	0
,	,	,	,	,	0
I	I	pns11	I	i	0
respect	respect	vvb	respect	respect	0
your	your	po22	your	your	0
Lordships	Lordships	ng1	Lordship's	lordship	0
true	true	j	true	true	0
estimation	estimation	n1	estimation	estimation	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
expect	expect	vvb	expect	expect	0
the	the	dt	the	the	0
Readers	Readers	n2	Readers	reader	0
due	due	j-jn	due	due	0
consideration	consideration	n1	consideration	consideration	0
.	.	.	.	.	1
I	I	pns11	I	i	0
cease	cease	vvb	cease	cease	0
,	,	,	,	,	0
not	not	xx	not	not	0
ceasing	ceasing	vvg	ceasing	cease	0
to	to	pc-acp	to	to	0
remember	remember	vvi	remember	remember	0
your	your	po22	your	your	0
Lordships	Lordships	n2	Lordship's	lordship	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
dayly	dayly	j	daily	daily	0
wish	wish	n1	wish	wish	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
long	long	j	long	long	0
prosperitie	prosperitie	n1	prosperity	prosperity	0
.	.	.	.	.	1
