EXCELLENT	EXCELLENT	j	EXCELLENT	excellent	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
debates	debates	n2	debates	debate	0
concerning	concerning	vvg	concerning	concern	0
them	them	pno32	them	they	0
,	,	,	,	,	0
the	the	dt	the	the	0
dire	dire	j	dire	dire	0
Field	Field	n1	Field	field	0
of	of	pp-f	of	of	0
Blood	Blood	n1	Blood	blood	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
Rights	Rights	np1	Rights	Rights	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
great	great	j	great	great	0
moment	moment	n1	moment	moment	0
(	(	(	(	(	0
both	both	d	both	both	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
Divine	Divine	j-jn	Divine	divine	0
and	and	cc	and	and	0
Humane	Humane	j	Humane	humane	0
Affairs	Affairs	n2	Affairs	affair	0
)	)	)	)	)	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
duely	duely	av-jn	duly	due	0
stated	stated	vvn	stated	state	0
,	,	,	,	,	0
and	and	cc	and	and	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
never	never	av-x	never	never	0
yet	yet	av	yet	yet	0
been	been	vbn	been	be	0
stated	stated	vvn	stated	state	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
;	;	;	;	;	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
therefore	therefore	av	therefore	therefore	0
here	here	av	here	here	0
adventur'd	adventur'd	vvn	adventured	adventure	0
the	the	dt	the	the	0
stating	stating	vvg	stating	state	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	d	that	that	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
evident	evident	j	evident	evident	0
dictates	dictates	vvz	dictates	dictate	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lawes	Lawes	n2	Laws	law	0
of	of	pp-f	of	of	0
Nature	Nature	n1	Nature	nature	0
,	,	,	,	,	0
and	and	cc	and	and	0
Na	Na	uh-dx	Nam	no	0
∣	∣	sy	∣	∣	0
tions	tions	n2	tions	tion	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Divine	Divine	j-jn	Divine	divine	0
Lawes	Lawes	n2	Laws	law	0
concerning	concerning	vvg	concerning	concern	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
make	make	vvb	make	make	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
preserving	preserving	n-vvg	preserving	preserve	0
,	,	,	,	,	0
and	and	cc	and	and	0
promot	promot	vvb	promot	promote	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
the	the	dt	the	the	0
Publick	Publick	j	Public	public	0
,	,	,	,	,	0
and	and	cc	and	and	0
standing	standing	vvg	standing	stand	0
welfare	welfare	n1	welfare	welfare	0
,	,	,	,	,	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
ligion	ligion	n1	ligion	ligion	0
,	,	,	,	,	0
and	and	cc	and	and	0
Government	Government	n1	Government	government	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Consistency	Consistency	n1	Consistency	consistency	0
of	of	pp-f	of	of	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
ligion	ligion	n1	ligion	ligion	0
with	with	p-acp	with	with	0
Government	Government	n1	Government	government	0
;	;	;	;	;	0
the	the	dt	the	the	0
Principal	Principal	j-jn	Principal	principal	0
and	and	cc	and	and	0
Fun	Fun	n1	Fun	sun	0
∣	∣	sy	∣	∣	0
damental	damental	j	damental	damental	0
matters	matters	n2	matters	matter	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Humane	Humane	j	Humane	humane	0
Societies	Societies	n2	Societies	society	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
made	made	vvn	made	make	0
a	a	dt	a	a	0
search	search	n1	search	search	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
frame	frame	n1	frame	frame	0
and	and	cc	and	and	0
fabrick	fabrick	n1	fabric	fabric	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Humane	Humane	j	Humane	humane	0
Affaires	Affaires	n2	Affairs	affair	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
unravel'd	unravel'd	vvn	unraveled	unravel	0
the	the	dt	the	the	0
transactions	transactions	n2	transactions	transaction	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
former	former	j	former	former	0
and	and	cc	and	and	0
present	present	j	present	present	0
Ages	Ages	n2	Ages	age	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Churches	Churches	n2	Churches	church	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Jewes	Jewes	np2	Jewes	Jew	0
and	and	cc	and	and	0
Gentiles	Gentiles	np1	Gentiles	Gentiles	0
,	,	,	,	,	0
Chri	Chri	np1	Chri	Chri	0
∣	∣	sy	∣	∣	0
stians	stians	n2	stians	stian	0
and	and	cc	and	and	0
Mahometans	Mahometans	njp2	Mahometans	mahometan	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
doing	doing	vdg	doing	do	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
here	here	av	here	here	0
Dedicate	Dedicate	j	Dedicate	dedicate	0
it	it	pn31	it	it	0
,	,	,	,	,	0
particularly	particularly	av-j	particularly	particular	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Peace	Peace	n1	Peace	peace	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Kingdomes	Kingdomes	n2	Kingdoms	kingdom	0
;	;	;	;	;	0
at	at	p-acp	at	at	0
least	least	ds	least	least	0
so	so	av	so	so	0
far	far	av-j	far	far	0
forth	forth	av	forth	forth	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Book	Book	n1	Book	book	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
means	means	n2	means	mean	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
procuring	procuring	vvg	procuring	procure	0
the	the	dt	the	the	0
Publick	Publick	j	Public	public	0
Peace	Peace	n1	Peace	peace	0
;	;	;	;	;	0
and	and	cc	and	and	0
where	where	c-crq	where	where	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
meet	meet	vvi	meet	meet	0
with	with	p-acp	with	with	0
men	men	n2	men	man	0
,	,	,	,	,	0
either	either	d	either	either	0
of	of	pp-f	of	of	0
Reason	Reason	n1	Reason	reason	0
or	or	cc	or	or	0
Conscience	Conscience	n1	Conscience	conscience	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
furious	furious	j	furious	furious	0
Ignorance	Ignorance	n1	Ignorance	ignorance	0
,	,	,	,	,	0
or	or	cc	or	or	0
temporal	temporal	j	temporal	temporal	0
Interests	Interests	n2	Interests	interest	0
.	.	.	.	.	1
Behold	Behold	vvb	Behold	behold	0
Great	Great	j	Great	great	0
Prince	Prince	n1	Prince	prince	0
!	!	!	!	!	1
I	I	pns11	I	i	0
Present	Present	vvb	Present	present	0
it	it	pn31	it	it	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
feet	feet	n2	feet	foot	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
Humbly	Humbly	av-j	Humbly	humble	0
craving	craving	vvg	craving	crave	0
leave	leave	n1	leave	leave	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
light	light	vvi	light	light	0
this	this	d	this	this	0
Candle	Candle	n1	Candle	candle	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Sun	Sun	n1	Sun	sun	0
,	,	,	,	,	0
and	and	cc	and	and	0
draw	draw	vvi	draw	draw	0
a	a	dt	a	a	0
Lustre	Lustre	n1	Lustre	lustre	0
upon	upon	p-acp	upon	upon	0
this	this	d	this	this	0
Discourse	Discourse	n1	Discourse	discourse	0
from	from	p-acp	from	from	0
Your	Your	po22	Your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Soveraign	Soveraign	j-jn	Sovereign	sovereign	0
Patronage	Patronage	n1	Patronage	patronage	0
.	.	.	.	.	1
Herodotus	Herodotus	np1	Herodotus	Herodotus	0
relates	relates	vvz	relates	relate	0
it	it	pn31	it	it	0
of	of	pp-f	of	of	0
Midas	Midas	np1	Midas	Midas	0
;	;	;	;	;	0
In	In	p-acp	In	in	0
Clio	Clio	np1	Clio	Clio	0
,	,	,	,	,	0
paulo	paulo	fw-la	paulo	paulo	0
post	post	fw-la	post	post	0
princip	princip	n1	princip	princip	0
.	.	.	.	.	1
That	That	cst	That	that	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
he	he	pns31	he	he	0
chose	chose	vvd	chosen	choose	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
at	at	p-acp	at	at	0
Delphos	Delphos	np1	Delphos	Delphos	0
his	his	po31	his	his	0
Regal	Regal	j	Regal	regal	0
Chair	Chair	n1	Chair	chair	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
wont	wont	j	wont	wont	0
to	to	pc-acp	to	to	0
sit	sit	vvi	fit	sit	0
,	,	,	,	,	0
and	and	cc	and	and	0
give	give	vvi	give	give	0
Laws	Laws	n2	Laws	law	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
this	this	d	this	this	0
Book	Book	n1	Book	book	0
concerns	concerns	vvz	concerns	concern	0
these	these	d	these	these	0
great	great	j	great	great	0
mat	mat	n1	mat	mat	0
∣	∣	sy	∣	∣	0
ters	ters	n1	ters	ters	0
of	of	pp-f	of	of	0
Law	Law	n1	Law	law	0
and	and	cc	and	and	0
Publick	Publick	j	Public	public	0
Right	Right	n-jn	Right	right	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
presume	presume	vvb	presume	presume	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
it	it	pn31	it	it	0
,	,	,	,	,	0
thus	thus	av	thus	thus	0
in	in	p-acp	in	in	0
Duty	Duty	n1	Duty	duty	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
Historian	Historian	np1	Historian	Historian	0
tells	tells	vvz	tells	tell	0
the	the	dt	the	the	0
Excellent	Excellent	j	Excellent	excellent	0
Empe	Empe	n1	Empe	empe	0
∣	∣	sy	∣	∣	0
rour	rour	n1	rour	rour	0
Theodosius	Theodosius	np1	Theodosius	Theodosius	0
,	,	,	,	,	0
Sozomen	Sozomen	n2	Sozomen	sozoman	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
Praefat.	Praefat.	np1	Praefat.	Praefat.	0
ad	ad	cc	and	and	0
Imperato	Imperato	np1	Imperato	Imperato	0
∣	∣	sy	∣	∣	0
rem	rem	vvg	remembering	remember	0
Theodo	Theodo	fw-es	Theodo	theodo	0
∣	∣	sy	∣	∣	0
sium	sium	fw-la	sium	sium	0
.	.	.	.	.	1
That	That	cst	That	that	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
said	said	vvn	said	say	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
spent	spent	vvd	spent	spend	0
the	the	dt	the	the	0
day	day	n1	day	day	0
and	and	cc	and	and	0
night	night	n1	night	night	0
in	in	p-acp	in	in	0
Councels	Councels	n2	Counsels	counsel	0
and	and	cc	and	and	0
Causes	Causes	n2	Causes	cause	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
looking	looking	vvg	looking	look	0
after	after	p-acp	after	after	0
his	his	po31	his	his	0
Religious	Religious	j	Religious	religious	0
and	and	cc	and	and	0
Civil	Civil	j	Civil	civil	0
and	and	cc	and	and	0
Mili	Mili	fw-la	Mili	mili	0
∣	∣	sy	∣	∣	0
tary	tary	vvi	tarry	tarry	0
Affairs	Affairs	n2	Affairs	affair	0
:	:	:	:	:	0
The	The	dt	The	the	0
like	like	j	like	like	0
is	is	vbz	is	be	0
said	said	vvn	said	say	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
that	that	cst	that	that	0
You	You	pn22	You	you	0
are	are	vbr	are	be	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
times	times	n2	times	time	0
ready	ready	j	ready	ready	0
at	at	p-acp	at	at	0
Your	Your	po22	Your	your	0
Councels	Councels	n2	Counsels	counsel	0
and	and	cc	and	and	0
Deliberations	Deliberations	n2	Deliberations	deliberation	0
;	;	;	;	;	0
That	That	cst	That	that	0
You	You	pn22	You	you	0
go	go	vvb	go	go	0
abroad	abroad	av	abroad	abroad	0
to	to	pc-acp	to	to	0
Visit	Visit	vvi	Visit	visit	0
Your	Your	po22	Your	your	0
Garrisons	Garrisons	n2	Garrisons	garrison	0
and	and	cc	and	and	0
Navies	Navies	n2	Navies	navy	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
You	You	pn22	You	you	0
spend	spend	vvb	spend	spend	0
your	your	po22	your	your	0
time	time	n1	time	time	0
in	in	p-acp	in	in	0
looking	looking	vvg	looking	look	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
setling	setling	vvg	settling	settle	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
and	and	cc	and	and	0
State	State	n1	State	state	0
,	,	,	,	,	0
the	the	dt	the	the	0
Charge	Charge	n1	Charge	charge	0
committed	committed	vvn	committed	commit	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
by	by	p-acp	by	by	0
God	God	np1	God	God	0
.	.	.	.	.	1
May	May	np1	May	May	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Government	Government	n1	Government	government	0
long	long	av-j	long	long	0
flourish	flourish	vvi	flourish	flourish	0
together	together	av	together	together	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Dominions	Dominions	n2	Dominions	dominion	0
;	;	;	;	;	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Divine	Divine	j-jn	Divine	divine	0
Blessing	Blessing	n1	Blessing	blessing	0
may	may	vmb	may	may	0
accompany	accompany	vvi	accompany	accompany	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	pc-acp	there	there	0
may	may	vmb	may	may	0
never	never	av-x	never	never	0
be	be	vbi	be	be	0
wanting	wanting	vvg	wanting	want	0
one	one	pi	one	one	0
to	to	pc-acp	to	to	0
Sit	Sit	vvi	Fit	sit	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Throne	Throne	n1	Throne	throne	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Fathers	Fathers	n2	Father's	father	0
,	,	,	,	,	0
so	so	av	so	so	0
long	long	av-j	long	long	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Sun	Sun	n1	Sun	sun	0
and	and	cc	and	and	0
Moon	Moon	n1	Moon	moon	0
shall	shall	vmb	shall	shall	0
endure	endure	vvi	endure	endure	0
.	.	.	.	.	1
