Reuerend	Reuerend	j-jn	Reverend	reverend	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
yet	yet	av	yet	yet	0
very	very	av	very	very	0
seldome	seldome	av	seldom	seldom	0
(	(	(	(	(	0
would	would	vmd	would	will	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
it	it	pn31	it	it	0
happened	happened	vvd	happened	happen	0
more	more	dc	more	more	0
often	often	av	often	often	0
)	)	)	)	)	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
recantation	recantation	n1	recantation	recantation	0
or	or	cc	or	or	0
reclaiming	reclaiming	n-vvg	reclaiming	reclaim	0
:	:	:	:	:	0
and	and	cc	and	and	0
if	if	cs	if	if	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
manner	manner	n1	manner	manner	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
had	had	vhn	had	have	0
an	an	dt	and	a	0
exam	exam	n1	exam	exam	0
∣	∣	sy	∣	∣	0
ple	ple	j	ple	ple	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
The	The	dt	The	the	0
aduice	aduice	n1	advice	advice	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
sonne	sonne	n1	son	son	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
printed	printed	vvn	printed	print	0
at	at	p-acp	at	at	0
Ox	Ox	n1	Ox	ox	0
∣	∣	sy	∣	∣	0
ford	ford	n1	ford	ford	0
,	,	,	,	,	0
1616.	1616.	crd	1616.	1616.	0
and	and	cc	and	and	0
our	our	po12	our	our	0
Presse	Presse	vvb	Press	press	0
is	is	vbz	is	be	0
yet	yet	av	yet	yet	0
hot	hot	j	hight	hot	0
with	with	p-acp	with	with	0
it	it	pn31	it	it	0
,	,	,	,	,	0
(	(	(	(	(	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
our	our	po12	our	our	0
affections	affections	n2	affections	affection	0
were	were	vbdr	were	be	0
so	so	av	so	so	0
also	also	av	also	also	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
most	most	av-ds	most	most	0
seldome	seldome	av	seldom	seldom	0
by	by	p-acp	by	by	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Authors	Authors	ng1	Authors	author	0
coat	coat	n1	coat	coat	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
I	I	pns11	I	i	0
meane	meane	vvb	mean	mean	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
gone	gone	vvn	gone	go	0
,	,	,	,	,	0
and	and	cc	and	and	0
sunke	sunke	vvd	sunk	sink	0
so	so	av	so	so	0
deepe	deepe	av-jn	deep	deep	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
whirle-poole	whirle-poole	n1	whirlpool	whirlpool	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
supersti	supersti	n1	supersti	supersti	0
∣	∣	sy	∣	∣	0
tions	tions	n1	tions	tions	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
neerer	neerer	jc	nearer	near	0
bond	bond	n1	bound	bond	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
an	an	dt	and	a	0
apprentiship	apprentiship	n1	apprenticeship	apprenticeship	0
for	for	p-acp	for	for	0
terme	terme	n1	term	term	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
,	,	,	,	,	0
bound	bound	vvd	bound	bind	0
themselues	themselues	px32	themselves	themselves	0
neuer	neuer	av	never	never	0
to	to	p-acp	to	to	0
depart	depart	n1	depart	depart	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
say	say	vvi	say	say	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
their	their	po32	their	their	0
religion	religion	n1	religion	religion	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
that	that	d	that	that	0
is	is	vbz	is	be	0
common	common	j	common	common	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
with	with	p-acp	with	with	0
others	others	ng2-jn	others	other	0
)	)	)	)	)	0
but	but	p-acp	but	but	0
from	from	p-acp	from	from	0
their	their	po32	their	their	0
particular	particular	j	particular	particular	0
order	order	n1	order	order	0
and	and	cc	and	and	0
quintessence	quintessence	n1	quintessence	quintessence	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
of	of	pp-f	of	of	0
religion	religion	n1	religion	religion	0
;	;	;	;	;	0
it	it	pn31	it	it	0
being	being	vbg	being	be	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
that	that	cst	that	that	0
such	such	d	such	such	0
only	only	j	only	only	0
(	(	(	(	(	0
and	and	cc	and	and	0
no	no	av-dx	no	no	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
either	either	av-d	either	either	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Clergie	Clergie	n1	Clergy	clergy	0
or	or	cc	or	or	0
Laitie	Laitie	np1	Laitie	Laitie	0
)	)	)	)	)	0
are	are	vbr	are	be	0
called	called	vvn	called	call	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
eminencie	eminencie	n1	eminency	eminency	0
,	,	,	,	,	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
ligious	ligious	j	ligious	ligious	0
.	.	.	.	.	1
Hauing	Hauing	vhg	Having	have	0
thus	thus	av	thus	thus	0
shewed	shewed	vvn	showed	show	0
the	the	dt	the	the	0
profit	profit	n1	profit	profit	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
)	)	)	)	)	0
may	may	vmb	may	may	0
come	come	vvi	come	come	0
from	from	p-acp	from	from	0
this	this	d	this	this	0
my	my	po11	my	my	0
small	small	j	small	small	0
ende	ende	n1	end	end	0
∣	∣	sy	∣	∣	0
uour	uour	n1	uour	uour	0
,	,	,	,	,	0
or	or	cc	or	or	0
rather	rather	av-c	rather	rather	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Authors	Authors	n2	Authors	author	0
owne	owne	d	own	own	0
la	la	fw-fr	la	la	0
∣	∣	sy	∣	∣	0
bours	bours	n1	bours	bours	0
&	&	cc	&	and	0
trauels	trauels	n2	travels	travel	0
(	(	(	(	(	0
his	his	po31	his	his	0
indeed	indeed	av	indeed	indeed	0
being	being	vbg	being	be	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
very	very	j	very	very	0
waters	waters	n2	waters	water	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
,	,	,	,	,	0
the	the	dt	the	the	0
only	only	j	only	only	0
tasting	tasting	n-vvg	tasting	taste	0
whereof	whereof	q-crq	whereof	whereof	0
is	is	vbz	is	be	0
salvi	salvi	fw-la	salvi	salvi	0
∣	∣	sy	∣	∣	0
ficall	ficall	j	ficall	ficall	0
,	,	,	,	,	0
and	and	cc	and	and	0
mine	mine	png11	mine	i	0
but	but	p-acp	but	but	0
the	the	dt	the	the	0
channell	channell	n1	channel	channel	0
to	to	pc-acp	to	to	0
conuey	conuey	vvi	convey	convey	0
them	them	pno32	them	they	0
)	)	)	)	)	0
it	it	pn31	it	it	0
remaines	remaines	vvz	remains	remain	0
now	now	av	now	now	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
recommend	recommend	vvb	recommend	recommend	0
this	this	d	this	this	0
my	my	po11	my	my	0
labour	labour	n1	labour	labour	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
patronage	patronage	n1	patronage	patronage	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
first	first	ord	first	first	0
receiued	receiued	vvd	received	receive	0
the	the	dt	the	the	0
occasion	occasion	n1	occasion	occasion	0
of	of	pp-f	of	of	0
taking	taking	vvg	taking	take	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
.	.	.	.	.	1
I	I	pns11	I	i	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
now	now	av	now	now	0
stand	stand	vvi	stand	stand	0
vpon	vpon	p-acp	upon	upon	0
Apologies	Apologies	n2	Apologies	apology	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
most	most	ds	most	most	0
is	is	vbz	is	be	0
)	)	)	)	)	0
either	either	av-d	either	either	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
or	or	cc	or	or	0
the	the	dt	the	the	0
booke	booke	n1	book	book	0
.	.	.	.	.	1
The	The	dt	The	the	0
booke	booke	n1	book	book	0
(	(	(	(	(	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sure	sure	j	sure	sure	0
)	)	)	)	)	0
needs	needs	vvz	needs	need	0
none	none	pix	none	none	0
;	;	;	;	;	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
met	met	vvn	met	meet	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
tron	tron	n1	tron	tron	0
that	that	cst	that	that	0
wil	wil	vmb	will	will	0
reade	reade	vvi	read	read	0
me	me	pno11	me	i	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
Apologie	Apologie	n1	Apology	apology	0
.	.	.	.	.	1
If	If	cs	If	if	0
any	any	d	any	any	0
shall	shall	vmb	shall	shall	0
thinke	thinke	vvi	think	think	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
too	too	av	too	too	0
busie	busie	j	busy	busy	0
herein	herein	av	herein	herein	0
,	,	,	,	,	0
it	it	pn31	it	it	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
subiect	subiect	n-jn	subject	subject	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
scarce	scarce	av-j	scarce	scarce	0
ripe	ripe	j	ripe	ripe	0
;	;	;	;	;	0
let	let	vvb	let	let	0
him	him	pno31	him	he	0
know	know	vvi	know	know	0
thus	thus	av	thus	thus	0
much	much	av-d	much	much	0
,	,	,	,	,	0
that	that	cst	that	that	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
nay	nay	uh-x	nay	nay	0
ought	ought	pi	ought	aught	0
of	of	pp-f	of	of	0
dutie	dutie	n1	duty	duty	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
,	,	,	,	,	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
not	not	xx	not	not	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
euery	euery	d	every	every	0
Di	Di	zz	Di	di	0
∣	∣	sy	∣	∣	0
uine	uine	n1	vine	vine	0
,	,	,	,	,	0
(	(	(	(	(	0
Quanquam	Quanquam	fw-la	Quanquam	quanquam	0
ô	ô	uh	o	o	0
,	,	,	,	,	0
would	would	vmd	would	will	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
euery	euery	d	every	every	0
such	such	d	such	such	0
would	would	vmd	would	will	0
put	put	vvi	put	put	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
helping	helping	j-vvg	helping	help	0
hands	hands	n2	hands	hand	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
euery	euery	d	every	every	0
one	one	crd	one	one	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
onely	onely	av-j	only	only	0
brought	brought	vvn	brought	bring	0
vp	vp	a-acp	up	up	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
bare	bare	j	bore	bare	0
schoole	schoole	n1	school	school	0
of	of	pp-f	of	of	0
Christianitie	Christianitie	np1	Christianitie	Christianity	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
committing	committing	vvg	committing	commit	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
and	and	cc	and	and	0
these	these	d	these	these	0
my	my	po11	my	my	0
labours	labours	n2	labours	labour	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
good	good	j	good	good	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
ceptance	ceptance	n1	ceptance	ceptance	0
,	,	,	,	,	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Almighty	Almighty	j-jn	Almighty	almighty	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
continue	continue	vvi	continue	continue	0
and	and	cc	and	and	0
confirme	confirme	vvi	confirm	confirm	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
those	those	d	those	those	0
that	that	cst	that	that	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
appearance	appearance	n1	appearance	appearance	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
already	already	av	already	already	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
ninety	ninety	crd	ninety	ninety	0
and	and	cc	and	and	0
nine	nine	crd	nine	nine	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
good	good	j	good	good	0
Shep	Shep	n1	Shep	sheep	0
∣	∣	sy	∣	∣	0
heard	heard	av	herd	heard	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
please	please	vvi	please	please	0
him	him	pno31	him	he	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
same	same	d	same	same	0
Shepheard	Shepheard	n1	Shepherd	shepherd	0
who	who	r-crq	who	who	0
brought	brought	vvd	brought	bring	0
home	home	av-an	home	home	0
his	his	po31	his	his	0
one	one	crd	one	one	0
sheepe	sheepe	n1	sheep	sheep	0
,	,	,	,	,	0
daily	daily	av-j	daily	daily	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
home	home	av-an	home	home	0
and	and	cc	and	and	0
adde	adde	vvb	add	add	0
vnto	vnto	p-acp	unto	unto	0
his	his	po31	his	his	0
true	true	j	true	true	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
either	either	d	either	either	0
by	by	p-acp	by	by	0
others	others	n2-jn	others	other	0
seducing	seducing	j-vvg	seducing	seduce	0
haue	haue	vhi	have	have	0
straied	straied	vvn	strayed	stray	0
from	from	p-acp	from	from	0
,	,	,	,	,	0
or	or	cc	or	or	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
forced	forced	j-vvn	forced	force	0
ignorance	ignorance	n1	ignorance	ignorance	0
neuer	neuer	av-x	never	never	0
could	could	vmd	could	can	0
finde	finde	vvi	find	find	0
the	the	dt	the	the	0
way	way	n1	way	way	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
fold	fold	n1	fold	fold	0
.	.	.	.	.	1
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
my	my	po11	my	my	0
Study	Study	n1	Study	study	0
in	in	p-acp	in	in	0
Christ-Church	Christ-Church	n1	Christ-Church	christ-church	0
,	,	,	,	,	0
Oxford	Oxford	np1	Oxford	Oxford	0
this	this	d	this	this	0
31.	31.	crd	31.	31.	0
of	of	pp-f	of	of	0
Iuly	Iuly	np1	Iuly	July	0
.	.	.	.	.	1
1616.	1616.	crd	1616.	1616.	1
