HOw	HOw	q-crq	HOw	how	0
the	the	dt	the	the	0
Laurell	Laurell	n1	Laurel	laurel	0
.	.	.	.	.	1
Since	Since	p-acp	Since	since	0
whose	whose	rg-crq	whose	who	0
time	time	n1	time	time	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
dayes	dayes	ng1	days	day	0
Learning	Learning	n1	Learning	learning	0
hath	hath	vhz	hath	have	0
ever	ever	av	ever	ever	0
had	had	vhn	had	have	0
a	a	dt	a	a	0
visible	visible	j	visible	visible	0
succession	succession	n1	succession	succession	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Nobility	Nobility	n1	Nobility	nobility	0
.	.	.	.	.	1
Amongst	Amongst	p-acp	among	among	0
whom	whom	ro-crq	whom	who	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Captain	Captain	n1	Captain	captain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Highest	Highest	js	Highest	high	0
Form	Form	n1	From	form	0
,	,	,	,	,	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
illustrious	illustrious	j	illustrious	illustrious	0
.	.	.	.	.	1
Indeed	Indeed	np1	Indeed	Indeed	0
,	,	,	,	,	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
reall	reall	j	real	real	0
Refutation	Refutation	n1	Refutation	refutation	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
Scandalous	Scandalous	j	Scandalous	scandalous	0
Position	Position	n1	Position	position	0
which	which	r-crq	which	which	0
some	some	d	some	some	0
maintain	maintain	vvb	maintain	maintain	0
,	,	,	,	,	0
That	That	cst	That	that	0
such	such	d	such	such	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
generally	generally	av-j	generally	general	0
seen	seen	vvn	seen	see	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
Arts	Arts	n2	Arts	art	0
,	,	,	,	,	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
eminently	eminently	av-j	eminently	eminent	0
skilfull	skilfull	j	skilful	skilful	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
one	one	crd	one	one	0
.	.	.	.	.	1
A	A	dt	A	a	0
Position	Position	n1	Position	position	0
no	no	av-dx	no	no	0
better	better	av-jc	better	better	0
then	then	cs	then	than	0
a	a	dt	a	a	0
Libell	Libell	n1	Libel	libel	0
on	on	p-acp	on	on	0
Learning	Learning	n1	Learning	learning	0
,	,	,	,	,	0
invented	invented	vvn	invented	invent	0
and	and	cc	and	and	0
vented	vented	vvd	vented	vent	0
either	either	av-d	either	either	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Idle	Idle	j	Idle	idle	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
themselves	themselves	px32	themselves	themselves	0
Study	Study	vvb	Study	study	0
;	;	;	;	;	0
or	or	cc	or	or	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Envious	Envious	j	Envious	envious	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
desire	desire	vvb	desire	desire	0
to	to	pc-acp	to	to	0
discourage	discourage	vvi	discourage	discourage	0
the	the	dt	the	the	0
Endeavours	Endeavours	n2	Endeavours	endeavour	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
.	.	.	.	.	1
VVhereas	VVhereas	cs	Whereas	whereas	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
such	such	d	such	such	0
a	a	dt	a	a	0
Sympathy	Sympathy	n1	Sympathy	sympathy	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
several	several	j	several	several	0
Sciences	Sciences	n2	Sciences	science	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
the	the	dt	the	the	0
learned	learned	j	learned	learned	0
Languages	Languages	n2	Languages	language	0
)	)	)	)	)	0
that	that	cst	that	that	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Regular	Regular	j	Regular	regular	0
Fortification	Fortification	n1	Fortification	fortification	0
one	one	crd	one	one	0
Piece	Piece	n1	Piece	piece	0
strengtheneth	strengtheneth	vvz	strengtheneth	strengthen	0
ano	ano	fw-la	ano	ano	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
)	)	)	)	)	0
a	a	dt	a	a	0
resultive	resultive	j	resultive	resultive	0
Firmeness	Firmeness	n1	Firmness	firmness	0
ariseth	ariseth	vvz	arises	arise	0
from	from	p-acp	from	from	0
their	their	po32	their	their	0
Compli	Compli	vvn	Compli	compli	0
∣	∣	sy	∣	∣	0
cation	cation	n1	cation	cation	0
,	,	,	,	,	0
reflecting	reflecting	vvg	reflecting	reflect	0
Life	Life	n1	Life	life	0
and	and	cc	and	and	0
Lustre	Lustre	n1	Lustre	lustre	0
one	one	crd	one	one	0
on	on	p-acp	on	on	0
another	another	n-jn	another	another	0
.	.	.	.	.	1
Arts	Arts	ng1	Arts	art	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
said	said	vvn	said	say	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Arched	Arched	vvn	Arched	arch	0
together	together	av	together	together	0
:	:	:	:	:	0
and	and	cc	and	and	0
all	all	d	all	all	0
Lear	Lear	np1	Lear	Lear	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
Faculties	Faculties	n2	Faculties	faculty	0
have	have	vhb	have	have	0
such	such	d	such	such	0
a	a	dt	a	a	0
Mutual	Mutual	j	Mutual	mutual	0
Reciprocation	Reciprocation	n1	Reciprocation	reciprocation	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
one	one	pi	one	one	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
better	better	jc	better	better	0
Canonist	Canonist	n1	Canonist	canonist	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
good	good	j	good	good	0
Civilian	Civilian	n-jn	Civilian	civilian	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
better	better	jc	better	better	0
Common-Lawyer	Common-Lawyer	n1	Common-Lawyer	common-lawyer	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
being	being	vbg	being	be	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
.	.	.	.	.	1
And	And	cc	And	and	0
hereof	hereof	av	hereof	hereof	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
Experimentall	Experimentall	j	Experimental	experimental	0
Proof	Proof	n1	Proof	proof	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
Knowledge	Knowledge	n1	Knowledge	knowledge	0
is	is	vbz	is	be	0
spread	spread	vvn	spread	spread	0
so	so	av	so	so	0
broad	broad	j	broad	broad	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
lieth	lieth	vvz	lies	lie	0
so	so	av	so	so	0
thick	thick	j	thick	thick	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
Li	Li	crd	Li	li	0
∣	∣	sy	∣	∣	0
berall	berall	j	berall	berall	0
Sciences	Sciences	n2	Sciences	science	0
.	.	.	.	.	1
VVhat	VVhat	q-crq	What	what	0
remaineth	remaineth	vvz	remains	remain	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
crave	crave	vvb	crave	crave	0
leave	leave	vvi	leave	leave	0
humbly	humbly	av-j	humbly	humble	0
to	to	pc-acp	to	to	0
mind	mind	vvi	mind	mind	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
allusive	allusive	j	allusive	allusive	0
Motto	Motto	n1	Motto	motto	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Name	Name	n1	Name	name	0
,	,	,	,	,	0
PIE	PIE	n1	PIE	pie	0
REPONE	REPONE	np1	REPONE	REPONE	0
TE	TE	fw-la	TE	te	0
;	;	;	;	;	0
that	that	d	that	that	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
posing	posing	vvg	posing	pose	0
yourself	yourself	px21	yourself	yourself	0
piously	piously	av-j	piously	pious	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
,	,	,	,	,	0
may	may	vmb	may	may	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
good	good	j	good	good	0
Old	Old	j	Old	old	0
Age	Age	n1	Age	age	0
be	be	vbb	be	be	0
gloriously	gloriously	av-j	gloriously	glorious	0
translated	translated	vvn	translated	translate	0
into	into	p-acp	into	into	0
another	another	j-jn	another	another	0
?	?	?	?	?	1
The	The	dt	The	the	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	1
