THIS	THIS	d	THIS	this	0
Campe	Campe	n1	Camp	camp	0
set	set	vvn	set	set	0
in	in	p-acp	in	in	0
ar	ar	vbr	are	be	0
∣	∣	sy	∣	∣	0
ray	ray	n1	ray	ray	0
:	:	:	:	:	0
In	In	p-acp	In	in	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
shal	shal	vmb	shall	shall	0
see	see	vvi	see	see	0
nothing	nothing	pix	nothing	nothing	0
but	but	cc-acp	but	but	0
choros	choros	ng1	choros	choros	0
ca	ca	zz	ca	ca	0
∣	∣	sy	∣	∣	0
strorum	strorum	fw-la	strorum	strorum	0
.	.	.	.	.	1
(	(	(	(	(	0
Cant.	Cant.	np1	Cant.	Cant.	0
7.	7.	crd	7.	7.	0
)	)	)	)	)	1
Companies	Companies	n2	Companies	company	0
of	of	pp-f	of	of	0
Campes	Campes	ng1	Camps	camp	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
which	which	r-crq	which	which	0
armie	armie	n1	army	army	0
,	,	,	,	,	0
the	the	dt	the	the	0
King	King	n1	King	king	0
is	is	vbz	is	be	0
Christ	Christ	np1	Christ	Christ	0
;	;	;	;	;	0
his	his	po31	his	his	0
General	General	n1	General	general	0
,	,	,	,	,	0
is	is	vbz	is	be	0
his	his	po31	his	his	0
chiefe	chiefe	j-jn	chief	chief	0
Vicaire	Vicaire	np1	Vicaire	Vicaire	0
;	;	;	;	;	0
His	His	po31	His	his	0
Coronelles	Coronelles	n2	Coronelles	coronelle	0
,	,	,	,	,	0
are	are	vbr	are	be	0
Patriarches	Patriarches	n2	Patriarchs	patriarch	0
,	,	,	,	,	0
Bi	Bi	p-acp	By	by	0
∣	∣	sy	∣	∣	0
shops	shops	n2	shops	shop	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
Prelates	Prelates	n2	Prelates	prelate	0
;	;	;	;	;	0
His	His	po31	His	his	0
Captaines	Captaines	n2	Captains	captain	0
,	,	,	,	,	0
and	and	cc	and	and	0
inferi	inferi	fw-la	inferi	inferi	0
∣	∣	sy	∣	∣	0
our	our	po12	our	our	0
Commaunders	Commaunders	n2	Commanders	commander	0
,	,	,	,	,	0
are	are	vbr	are	be	0
inferiour	inferiour	j-jn	inferior	inferior	0
Priests	Priests	n2	Priests	priest	0
and	and	cc	and	and	0
Pastours	Pastours	ng1	Pastors	pastors	0
;	;	;	;	;	0
His	His	po31	His	his	0
souldiers	souldiers	n2	soldiers	soldier	0
,	,	,	,	,	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
Christian	Christian	njp	Christian	christian	0
troupes	troupes	n2	troops	troop	0
,	,	,	,	,	0
and	and	cc	and	and	0
Companies	Companies	n2	Companies	company	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
the	the	dt	the	the	0
furnishing	furnishing	n-vvg	furnishing	furnish	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Armie	Armie	n1	Army	army	0
,	,	,	,	,	0
all	all	d	all	all	0
the	the	dt	the	the	0
Sacraments	Sacraments	n2	Sacraments	sacrament	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
new	new	j	new	new	0
law	law	n1	law	law	0
are	are	vbr	are	be	0
instituted	instituted	vvn	instituted	institute	0
and	and	cc	and	and	0
ordai	ordai	fw-gr	ordai	ordai	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
.	.	.	.	.	1
Matrimonie	Matrimonie	n1	Matrimony	matrimony	0
peopleth	peopleth	vvz	peopleth	people	0
this	this	d	this	this	0
armie	armie	n1	army	army	0
,	,	,	,	,	0
and	and	cc	and	and	0
furni	furni	fw-la	furni	furni	0
∣	∣	sy	∣	∣	0
sheth	sheth	vvz	sheth	sh	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
men	men	n2	men	man	0
.	.	.	.	.	1
Baptisme	Baptisme	n1	Baptism	baptism	0
presseth	presseth	vvz	presseth	press	0
and	and	cc	and	and	0
enrolleth	enrolleth	vvz	enrolleth	enroll	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Confirmation	Confirmation	n1	Confirmation	confirmation	0
armeth	armeth	vvz	armeth	arm	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
giueth	giueth	vvz	gives	give	0
them	them	pno32	them	they	0
their	their	po32	their	their	0
militarie	militarie	j	military	military	0
Marke	Marke	n1	Mark	mark	0
and	and	cc	and	and	0
liuerie	liuerie	n1	livery	livery	0
.	.	.	.	.	1
The	The	dt	The	the	0
Sacred	Sacred	j	Sacred	sacred	0
Eucharist	Eucharist	n1	Eucharist	eucharist	0
vittaileth	vittaileth	vvz	vittaileth	vittail	0
the	the	dt	the	the	0
Campe	Campe	n1	Camp	camp	0
,	,	,	,	,	0
and	and	cc	and	and	0
furnisheth	furnisheth	vvz	furnisheth	furnish	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
munition	munition	n1	munition	munition	0
bread	bread	n1	bred	bread	0
.	.	.	.	.	1
The	The	dt	The	the	0
Sacrament	Sacrament	n1	Sacrament	sacrament	0
of	of	pp-f	of	of	0
Order	Order	n1	Order	order	0
createth	createth	vvz	createth	create	0
Coronelles	Coronelles	n2	Coronelles	coronelle	0
,	,	,	,	,	0
Captaines	Captaines	n2	Captains	captain	0
,	,	,	,	,	0
and	and	cc	and	and	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
maund	maund	n1	maund	maund	0
.	.	.	.	.	1
The	The	dt	The	the	0
Sacrament	Sacrament	n1	Sacrament	sacrament	0
of	of	pp-f	of	of	0
Penance	Penance	n1	Penance	penance	0
healeth	healeth	vvz	heals	heal	0
,	,	,	,	,	0
and	and	cc	and	and	0
cureth	cureth	vvz	cureth	cure	0
the	the	dt	the	the	0
souldiers	souldiers	n2	soldiers	soldier	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
warre	warre	n1	war	war	0
are	are	vbr	are	be	0
wounded	wounded	vvn	wounded	wound	0
,	,	,	,	,	0
and	and	cc	and	and	0
euen	euen	av	even	even	0
reuiueth	reuiueth	vvz	reviveth	revive	0
them	them	pno32	them	they	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
slaine	slaine	vvn	slain	slay	0
and	and	cc	and	and	0
killed	killed	vvn	killed	kill	0
.	.	.	.	.	1
Extreame	Extreame	av-jn	Extreme	extreme	0
vnction	vnction	n1	unction	unction	0
riddeth	riddeth	vvz	riddeth	rid	0
them	them	pno32	them	they	0
,	,	,	,	,	0
euen	euen	av	even	even	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
liques	liques	n2	liques	lique	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
woundes	woundes	n2	wounds	wound	0
and	and	cc	and	and	0
diseases	diseases	n2	diseases	disease	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
all	all	d	all	all	0
Christi	Christi	fw-la	Christi	christi	0
∣	∣	sy	∣	∣	0
ans	ans	fw-fr	ans	ans	0
are	are	vbr	are	be	0
pressed	pressed	vvn	pressed	press	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
warre	warre	n1	war	war	0
,	,	,	,	,	0
and	and	cc	and	and	0
ordained	ordained	vvd	ordained	ordain	0
to	to	pc-acp	to	to	0
fight	fight	vvi	fight	fight	0
.	.	.	.	.	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Church	Church	n1	Church	church	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
raunged	raunged	vvn	ranged	range	0
Armie	Armie	n1	Army	army	0
,	,	,	,	,	0
and	and	cc	and	and	0
euery	euery	d	every	every	0
Christian	Christian	np1	Christian	Christian	0
ought	ought	vmd	ought	ought	0
to	to	p-acp	to	to	0
singe	singe	vvi	sing	singe	0
that	that	d	that	that	0
songe	songe	n1	song	song	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
DAVID	DAVID	np1	DAVID	David	0
sunge	sunge	vvd	sung	sing	0
against	against	p-acp	against	against	0
GOLIATH	GOLIATH	np1	GOLIATH	Goliath	0
Benedictus	Benedictus	fw-la	Benedictus	benedictus	0
Domi	Domi	fw-la	Domi	domi	0
∣	∣	sy	∣	∣	0
nus	nus	fw-la	nus	nus	0
Deus	Deus	fw-la	Deus	deus	0
meus	meus	fw-la	meus	meus	0
,	,	,	,	,	0
qui	qui	fw-la	qui	qui	0
docet	docet	fw-la	docet	docet	0
manus	manus	fw-la	manus	manus	0
meas	meas	fw-la	meas	meas	0
ad	ad	fw-la	ad	ad	0
praelium	praelium	fw-la	praelium	praelium	0
.	.	.	.	.	1
&	&	cc	&	and	0
digitos	digitos	fw-la	digitos	digitos	0
meos	meos	fw-la	meos	meos	0
ad	ad	fw-la	ad	ad	0
bellum	bellum	fw-la	bellum	bellum	0
.	.	.	.	.	1
(	(	(	(	(	0
Psal.	Psal.	np1	Psal.	Psal.	0
42.	42.	crd	42.	42.	0
)	)	)	)	)	1
Blessed	Blessed	j-vvn	Blessed	bless	0
be	be	vbb	be	be	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
my	my	po11	my	my	0
God	God	np1	God	God	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
tea	tea	n1	tea	tea	0
∣	∣	sy	∣	∣	0
cheth	cheth	vvz	cheth	ch	0
my	my	po11	my	my	0
handes	handes	n2	hands	hand	0
to	to	p-acp	to	to	0
battaile	battaile	n1	battle	battle	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
fingers	fingers	n2	fingers	finger	0
to	to	p-acp	to	to	0
warre	warre	n1	war	war	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	1
In	In	p-acp	In	in	0
this	this	d	this	this	0
Armie	Armie	n1	Army	army	0
,	,	,	,	,	0
you	you	pn22	you	you	0
,	,	,	,	,	0
(	(	(	(	(	0
ô	ô	uh	o	o	0
valiant	valiant	j	valiant	valiant	0
and	and	cc	and	and	0
constant	constant	j	constant	constant	0
Catholikes	Catholikes	njp2	Catholics	catholic	0
)	)	)	)	)	0
are	are	vbr	are	be	0
placed	placed	vvn	placed	place	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
dangerous	dangerous	j	dangerous	dangerous	0
,	,	,	,	,	0
so	so	av	so	so	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
honourable	honourable	j	honourable	honourable	0
rancke	rancke	n1	rank	rank	0
and	and	cc	and	and	0
place	place	n1	place	place	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
Ge	Ge	zz	Ge	ge	0
∣	∣	sy	∣	∣	0
nerall	nerall	n1	nerall	nerall	0
placeth	placeth	vvz	places	place	0
there	there	a-acp	there	there	0
his	his	po31	his	his	0
most	most	av-ds	most	most	0
expert	expert	j	expert	expert	0
and	and	cc	and	and	0
hardie	hardie	j	hardy	hardy	0
soul	soul	n1	soul	soul	0
∣	∣	sy	∣	∣	0
diers	diers	zz	diers	diers	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
enemies	enemies	ng1	enemies	enemy	0
Canon	Canon	n1	Canon	canon	0
playeth	playeth	vvz	plays	play	0
oftenest	oftenest	av-s	oftenest	often	0
,	,	,	,	,	0
the	the	dt	the	the	0
darts	darts	n2	darts	dart	0
and	and	cc	and	and	0
arrowes	arrowes	n2	arrows	arrow	0
flye	flye	vvb	fly	fly	0
thickest	thickest	js	thickest	thick	0
,	,	,	,	,	0
the	the	dt	the	the	0
pikes	pikes	n2	pikes	pike	0
are	are	vbr	are	be	0
planted	planted	vvn	planted	plant	0
like	like	av-j	like	like	0
a	a	dt	a	a	0
wood	wood	n1	wood	wood	0
most	most	av-ds	most	most	0
terriblie	terriblie	av-j	terribly	terrible	0
:	:	:	:	:	0
so	so	av	so	so	0
our	our	po12	our	our	0
King	King	n1	King	king	0
CHRIST	CHRIST	np1	CHRIST	Christ	0
IESVS	IESVS	np1	IESVS	IESVS	0
,	,	,	,	,	0
vnder	vnder	p-acp	under	under	0
whose	whose	rg-crq	whose	who	0
banner	banner	n1	banner	banner	0
and	and	cc	and	and	0
colours	colours	n2	colours	colour	0
you	you	pn22	you	you	0
fight	fight	vvb	fight	fight	0
