MOST	MOST	av-ds	MOST	most	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
tem	tem	n1	tem	tem	0
∣	∣	sy	∣	∣	0
perately	perately	av-j	perately	perate	0
heated	heated	vvn	heated	heat	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
whom	whom	ro-crq	whom	who	0
(	(	(	(	(	0
noble	noble	j	noble	noble	0
Coun	Coun	vvb	Con	con	0
∣	∣	sy	∣	∣	0
tesses	tesses	ng1	tesses	tesses	0
)	)	)	)	)	0
should	should	vmd	should	shall	0
I	I	pns11	I	i	0
dedicate	dedicate	vvi	dedicate	dedicate	0
the	the	dt	the	the	0
ornaments	ornaments	n2	ornaments	ornament	0
of	of	pp-f	of	of	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
beauty	beauty	n1	beauty	beauty	0
?	?	?	?	?	0
but	but	cc-acp	but	but	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
beautifullest	beautifullest	js	beautifullest	beautiful	0
ornaments	ornaments	n2	ornaments	ornament	0
,	,	,	,	,	0
worthy	worthy	j	worthy	worthy	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
beloued	beloued	vvn	beloved	belove	0
.	.	.	.	.	1
Neither	Neither	av-d	Neither	neither	0
doubt	doubt	n1	doubt	doubt	0
I	I	pns11	I	i	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
these	these	d	these	these	0
endeauours	endeauours	n2	endeavours	endeavour	0
were	were	vbdr	were	be	0
willingly	willingly	av-j	willingly	willing	0
intended	intended	vvn	intended	intend	0
,	,	,	,	,	0
so	so	av	so	so	0
will	will	vmb	will	will	0
they	they	pns32	they	they	0
as	as	a-acp	as	as	0
gratefully	gratefully	av-j	gratefully	grateful	0
bee	bee	vbi	be	be	0
accepted	accepted	vvn	accepted	accept	0
.	.	.	.	.	1
Otherwise	Otherwise	av	Otherwise	otherwise	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
feare	feare	vvb	fear	fear	0
not	not	xx	not	not	0
)	)	)	)	)	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
an	an	dt	and	a	0
alien	alien	n-jn	alien	alien	0
to	to	p-acp	to	to	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
issue	issue	n1	issue	issue	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
vnworthy	vnworthy	j	unworthy	unworthy	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
christi	christi	fw-la	christi	christi	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
for	for	p-acp	for	for	0
mine	mine	po11	mine	my	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
dis-esteemed	dis-esteemed	j	disesteemed	disesteemed	0
in	in	p-acp	in	in	0
being	being	vbg	being	be	0
mine	mine	png11	mine	i	0
.	.	.	.	.	1
Others	Others	n2-jn	Others	other	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
oppose	oppose	vvb	oppose	oppose	0
themselues	themselues	px32	themselves	themselves	0
,	,	,	,	,	0
if	if	cs	if	if	0
not	not	xx	not	not	0
by	by	p-acp	by	by	0
Mercury	Mercury	np1	Mercury	Mercury	0
perswa	perswa	uh	perswa	perswa	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
,	,	,	,	,	0
I	I	pns11	I	i	0
referre	referre	vvb	refer	refer	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
by	by	p-acp	by	by	0
Mars	Mars	np1	Mars	Mars	0
enforced	enforced	vvd	inforced	enforce	0
.	.	.	.	.	1
So	So	np1	So	So	0
ad	ad	cc	and	and	0
∣	∣	sy	∣	∣	0
uenturing	uenturing	vvg	uenturing	uenture	0
at	at	p-acp	at	at	0
once	once	a-acp	once	once	0
all	all	d	all	all	0
my	my	po11	my	my	0
deserts	deserts	n2	deserts	desert	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
like	like	j	like	like	0
or	or	cc	or	or	0
dislike	dislike	vvi	dislike	dislike	0
:	:	:	:	:	0
I	I	pns11	I	i	0
rest	rest	vvb	rest	rest	0
.	.	.	.	.	1
