YF	YF	cs	IF	if	0
and	and	cc	and	and	0
health	health	n1	health	health	0
a	a	dt	a	a	0
syk	syk	n1	syk	syk	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
,	,	,	,	,	0
strengthe	strengthe	n1	strength	strength	0
an	an	dt	and	a	0
infyrmyte	infyrmyte	n1	infirmity	infirmity	0
,	,	,	,	,	0
bewty	bewty	n1	beauty	beauty	0
a	a	dt	a	a	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
formyte	formyte	n1	formyte	formyte	0
,	,	,	,	,	0
and	and	cc	and	and	0
welth	welth	n1	wealth	wealth	0
pouertye	pouertye	n1	poverty	poverty	0
,	,	,	,	,	0
wken	wken	vvn	wken	wken	0
by	by	p-acp	by	by	0
comparyng	comparyng	vvg	comparing	compare	0
hys	hys	po31	his	his	0
felycytye	felycytye	n1	felycytye	felycytye	0
wyth	wyth	p-acp	with	with	0
a	a	dt	a	a	0
better	better	jc	better	better	0
it	it	pn31	it	it	0
leseth	leseth	vvz	leseth	lose	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
and	and	cc	and	and	0
ioye	ioye	n1	joy	joy	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
and	and	cc	and	and	0
felyth	felyth	vvz	feeleth	feel	0
the	the	dt	the	the	0
smart	smart	n1	smart	smart	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
.	.	.	.	.	1
The	The	dt	The	the	0
to	to	p-acp	to	to	0
amende	amende	vvi	amend	amend	0
thys	thys	d	this	this	0
in	in	p-acp	in	in	0
wealthe	wealthe	n1	wealth	wealth	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
awaye	awaye	av	away	away	0
sorowe	sorowe	n1	sorrow	sorrow	0
and	and	cc	and	and	0
griefe	griefe	n1	grief	grief	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
no	no	dx	no	no	0
iuste	iuste	j	just	just	0
nor	nor	ccx	nor	nor	0
apparaunte	apparaunte	j	apparaunte	apparaunte	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
gryefe	gryefe	n1	grief	grief	0
is	is	vbz	is	be	0
,	,	,	,	,	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
greate	greate	j	great	great	0
mayster	mayster	vvb	master	master	0
of	of	pp-f	of	of	0
physy	physy	n1	physy	physy	0
∣	∣	sy	∣	∣	0
kes	kes	uh	kes	kes	0
dede	dede	n1	deed	deed	0
,	,	,	,	,	0
and	and	cc	and	and	0
worthye	worthye	j	worthy	worthy	0
muche	muche	av-d	much	much	0
commen	commen	vvi	come	come	0
∣	∣	sy	∣	∣	0
dacyon	dacyon	n1	dation	dation	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
he	he	pns31	he	he	0
then	then	av	then	then	0
worthy	worthy	j	worthy	worthy	0
that	that	cst	that	that	0
can	can	vmb	can	can	0
ease	ease	vvi	ease	ease	0
gryefe	gryefe	n1	grief	grief	0
in	in	p-acp	in	in	0
dede	dede	n1	deed	deed	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
healthe	healthe	n1	health	health	0
where	where	c-crq	where	where	0
a	a	dt	a	a	0
verye	verye	j	very	very	0
sore	sore	n1	soar	sore	0
restyth	restyth	vvz	resteth	rest	0
,	,	,	,	,	0
I	I	pns11	I	i	0
meane	meane	vvb	mean	mean	0
that	that	cst	that	that	0
can	can	vmb	can	can	0
ease	ease	vvi	ease	ease	0
a	a	dt	a	a	0
man	man	n1	man	man	0
set	set	vvn	set	set	0
in	in	p-acp	in	in	0
afflyccyon	afflyccyon	n1	affliction	affliction	0
,	,	,	,	,	0
take	take	vvb	take	take	0
away	away	av	away	away	0
the	the	dt	the	the	0
gryefe	gryefe	n1	grief	grief	0
from	from	p-acp	from	from	0
hym	hym	pno31	him	he	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
perse	perse	vvi	pierce	pierce	0
∣	∣	sy	∣	∣	0
cuted	cuted	n1	cut	cut	0
,	,	,	,	,	0
lose	lose	vvb	loose	lose	0
the	the	dt	the	the	0
prysoner	prysoner	n1	prisoner	prisoner	0
yet	yet	av	yet	yet	0
in	in	p-acp	in	in	0
bondes	bondes	n2	bonds	bond	0
,	,	,	,	,	0
take	take	vvb	take	take	0
awaye	awaye	av	away	away	0
aduersytye	aduersytye	n1	aduersytye	adversity	0
in	in	p-acp	in	in	0
aduersytye	aduersytye	n1	aduersytye	adversity	0
,	,	,	,	,	0
make	make	vvb	make	make	0
greuous	greuous	j	grievous	grievous	0
syckenes	syckenes	n1	sickness	sickness	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
felt	felt	vvn	felt	feel	0
,	,	,	,	,	0
make	make	vvb	make	make	0
pouertye	pouertye	n1	poverty	poverty	0
ryches	ryches	n2	riches	riches	0
,	,	,	,	,	0
beggerye	beggerye	n1	beggary	beggary	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
reioysed	reioysed	vvn	rejoiced	rejoice	0
at	at	p-acp	at	at	0
.	.	.	.	.	1
Dyuers	Dyuers	zz	Dyuers	dyuers	0
learned	learned	j	learned	learned	0
men	men	n2	men	man	0
heretofore	heretofore	av	heretofore	heretofore	0
by	by	p-acp	by	by	0
reasons	reasons	n2	reasons	reason	0
grounded	grounded	vvn	grounded	ground	0
of	of	pp-f	of	of	0
mans	mans	ng1	men	man	0
knowledge	knowledge	n1	knowledge	knowledge	0
wrot	wrot	vvd	wrote	write	0
and	and	cc	and	and	0
inuented	inuented	vvd	invented	invent	0
great	great	j	great	great	0
comforte	comforte	n1	comfort	comfort	0
agay	agay	n1	agay	agay	0
∣	∣	sy	∣	∣	0
nste	nste	n1	nste	nste	0
all	all	d	all	all	0
kynde	kynde	n1	kind	kind	0
of	of	pp-f	of	of	0
gryefes	gryefes	n2	gryefes	gryefe	0
,	,	,	,	,	0
And	And	cc	And	and	0
so	so	av	so	so	0
emonge	emonge	p-acp	among	among	0
the	the	dt	the	the	0
gentle	gentle	j	gentle	gentle	0
and	and	cc	and	and	0
phylosophers	phylosophers	ng2	philosophers	philosophers	0
bokes	bokes	n2	books	book	0
,	,	,	,	,	0
be	be	vbb	be	be	0
bokes	bokes	n2	books	book	0
of	of	pp-f	of	of	0
comforte	comforte	n1	comfort	comfort	0
,	,	,	,	,	0
But	But	cc-acp	But	but	0
whosoeuer	whosoeuer	r-crq	whosoever	whosoever	0
folo	folo	uh	folo	folo	0
∣	∣	sy	∣	∣	0
weth	weth	vvz	weth	w	0
but	but	cc-acp	but	but	0
worldlye	worldlye	j	worldly	worldly	0
and	and	cc	and	and	0
mans	mans	ng1	men	man	0
reason	reason	n1	reason	reason	0
to	to	pc-acp	to	to	0
teache	teache	vvi	teach	teach	0
comforte	comforte	n1	comfort	comfort	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
troubled	troubled	j-vvn	troubled	trouble	0
mynde	mynde	n1	mind	mind	0
can	can	vmb	can	can	0
geue	geue	vvi	give	give	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
counterfeit	counterfeit	n-jn	counterfeit	counterfeit	0
medycyne	medycyne	n1	medicine	medicine	0
,	,	,	,	,	0
And	And	cc	And	and	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
Surgyon	Surgyon	n1	Surgeon	surgeon	0
doeth	doeth	vdz	doth	do	0
,	,	,	,	,	0
whyche	whyche	r-crq	which	which	0
colorablye	colorablye	av-j	colorably	colorable	0
healeth	healeth	vvz	heals	heal	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
physycyon	physycyon	n1	physycyon	physycyon	0
,	,	,	,	,	0
whyche	whyche	r-crq	which	which	0
geueth	geueth	vvz	giveth	give	0
medycynes	medycynes	n2	medicines	medicine	0
that	that	cst	that	that	0
doeth	doeth	vdz	doth	do	0
astunyshe	astunyshe	vvi	astunyshe	astunyshe	0
and	and	cc	and	and	0
mortyfye	mortyfye	vvi	mortyfye	mortyfye	0
the	the	dt	the	the	0
place	place	n1	place	place	0
,	,	,	,	,	0
they	they	pns32	they	they	0
deceyue	deceyue	vvi	deceive	deceive	0
the	the	dt	the	the	0
pacyent	pacyent	j	patient	patient	0
,	,	,	,	,	0
And	And	cc	And	and	0
peraduenture	peraduenture	av	peradventure	peradventure	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
outward	outward	j	outward	outward	0
showe	showe	n1	show	show	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
bring	bring	vvi	bring	bring	0
i	i	sy	i	i	0
a	a	dt	a	a	0
certayne	certayne	j	certain	certain	0
stowtnes	stowtnes	n1	stoutness	stoutness	0
and	and	cc	and	and	0
blynde	blynde	j	blind	blind	0
dissem	dissem	fw-la	dissem	dissem	0
∣	∣	sy	∣	∣	0
blinge	blinge	n-vvg	blinge	blinge	0
of	of	pp-f	of	of	0
payne	payne	n1	pain	pain	0
,	,	,	,	,	0
But	But	cc-acp	But	but	0
the	the	dt	the	the	0
true	true	j	true	true	0
healyng	healyng	n-vvg	healing	heal	0
of	of	pp-f	of	of	0
gryefe	gryefe	n1	grief	grief	0
and	and	cc	and	and	0
sorowe	sorowe	n1	sorrow	sorrow	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
lacked	lacked	vvd	lacked	lack	0
the	the	dt	the	the	0
grounde	grounde	n1	ground	ground	0
,	,	,	,	,	0
they	they	pns32	they	they	0
lacked	lacked	vvd	lacked	lack	0
that	that	cst	that	that	0
,	,	,	,	,	0
that	that	cst	that	that	0
shoulde	shoulde	vmd	should	shall	0
heale	heale	vvi	heal	heal	0
the	the	dt	the	the	0
sore	sore	j	soar	sore	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
bone	bone	n1	bone	bone	0
fyrste	fyrste	ord	fyrste	first	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
true	true	j	true	true	0
fayth	fayth	n1	faith	faith	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
and	and	cc	and	and	0
hys	hys	po31	his	his	0
holye	holye	j	holy	holy	0
word	word	n1	word	word	0
.	.	.	.	.	1
All	All	av-d	All	all	0
medycynes	medycynes	n2	medicines	medicine	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
,	,	,	,	,	0
whych	whych	r-crq	which	which	0
be	be	vbb	be	be	0
layed	layed	vvn	laid	lay	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
sores	sores	n2	sores	sore	0
therof	therof	av	thereof	thereof	0
,	,	,	,	,	0
not	not	xx	not	not	0
hauynge	hauynge	vhg	having	have	0
that	that	d	that	that	0
cleanser	cleanser	n1	cleanser	cleanser	0
wyth	wyth	p-acp	with	with	0
them	them	pno32	them	they	0
,	,	,	,	,	0
be	be	vbb	be	be	0
but	but	cc-acp	but	but	0
ouer	ouer	p-acp	over	over	0
hea	hea	zz	hea	hea	0
∣	∣	sy	∣	∣	0
lers	lers	fw-fr	lers	lers	0
,	,	,	,	,	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
take	take	vvi	take	take	0
away	away	av	away	away	0
the	the	dt	the	the	0
ranklyng	ranklyng	j-vvg	rankling	rankle	0
wythin	wythin	p-acp	within	within	0
,	,	,	,	,	0
and	and	cc	and	and	0
many	many	d	many	many	0
tymes	tymes	n2	times	time	0
vnder	vnder	p-acp	under	under	0
colors	colors	n2	colours	color	0
of	of	pp-f	of	of	0
hasty	hasty	j	hasty	hasty	0
he	he	pns31	he	he	0
alyng	alyng	vvg	alyng	alyng	0
,	,	,	,	,	0
they	they	pns32	they	they	0
bryng	bryng	vvb	bring	bring	0
fourth	fourth	ord	fourth	four	0
proude	proude	j	proud	proud	0
fleshe	fleshe	n1	flesh	flesh	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sore	sore	j	soar	sore	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
euell	euell	j-jn	evil	evil	0
and	and	cc	and	and	0
worse	worse	jc	worse	worse	0
as	as	p-acp	as	as	0
that	that	d	that	that	0
,	,	,	,	,	0
whych	whych	r-crq	which	which	0
was	was	vbds	was	be	0
furst	furst	ord	furst	first	0
corrupte	corrupte	j	corrupt	corrupt	0
.	.	.	.	.	1
Thys	Thys	d	This	this	0
man	man	n1	man	man	0
whosoeuer	whosoeuer	r-crq	whosoever	whosoever	0
he	he	pns31	he	he	0
be	be	vbb	be	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
fyrst	fyrst	ord	fyrst	first	0
author	author	n1	author	author	0
of	of	pp-f	of	of	0
thys	thys	d	this	this	0
boke	boke	n1	book	book	0
(	(	(	(	(	0
if	if	cs	if	if	0
oure	oure	po12	our	our	0
iud	iud	vvd	jud	jud	0
∣	∣	sy	∣	∣	0
gement	gement	n1	gement	gement	0
be	be	vbi	be	be	0
anye	anye	d	any	any	0
thynge	thynge	n1	thing	thing	0
)	)	)	)	)	0
goeth	goeth	vvz	goes	go	0
the	the	dt	the	the	0
ryghte	ryghte	j-jn	right	right	0
waye	waye	n1	way	way	0
to	to	pc-acp	to	to	0
worck	worck	vvi	work	work	0
,	,	,	,	,	0
he	he	pns31	he	he	0
bryngeth	bryngeth	vvz	bringeth	bring	0
hys	hys	po31	his	his	0
grounde	grounde	n1	ground	ground	0
from	from	p-acp	from	from	0
Gods	Gods	ng1	Gods	god	0
worde	worde	n1	word	word	0
,	,	,	,	,	0
he	he	pns31	he	he	0
taketh	taketh	vvz	takes	take	0
wyth	wyth	p-acp	with	with	0
hym	hym	pno31	him	he	0
the	the	dt	the	the	0
oyle	oyle	n1	oil	oil	0
and	and	cc	and	and	0
wyne	wyne	n1	wine	wine	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Samarytan	Samarytan	np1	Samarytan	Samarytan	0
,	,	,	,	,	0
he	he	pns31	he	he	0
Luk.	Luk.	np1	Luk.	Luk.	0
x	x	crd	x	ten	0
.	.	.	.	.	1
d	d	sy	worser	d	0
caryeth	caryeth	vvz	carrieth	carri	0
the	the	dt	the	the	0
hurte	hurte	n1	hurt	hurt	0
man	man	n1	man	man	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
lay	lay	vvd	lay	lie	0
hurt	hurt	n1	hurt	hurt	0
,	,	,	,	,	0
and	and	cc	and	and	0
bryngeth	bryngeth	vvz	bringeth	bring	0
hym	hym	pno31	him	he	0
to	to	p-acp	to	to	0
hys	hys	po31	his	his	0
right	right	j-jn	right	right	0
hoste	hoste	n1	host	host	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
no	no	dx	no	no	0
dowt	dowt	n1	doubt	doubt	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
cured	cured	vvn	cured	cure	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
wyll	wyll	vmb	will	will	0
hym	hym	pno31	him	he	0
selfe	selfe	n1	self	self	0
aplye	aplye	vvi	aplye	apply	0
hym	hym	pno31	him	he	0
thereto	thereto	av	thereto	thereto	0
,	,	,	,	,	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
red	red	vvn	read	read	0
in	in	p-acp	in	in	0
hystoryes	hystoryes	n2	histories	history	0
that	that	cst	that	that	0
the	the	dt	the	the	0
maner	maner	n1	manner	manner	0
emong	emong	p-acp	among	among	0
the	the	dt	the	the	0
olde	olde	j	old	old	0
Egyptyans	Egyptyans	n2	Egyptyans	egyptyan	0
or	or	cc	or	or	0
Assyrians	Assyrians	njp2	Assyrians	assyrian	0
was	was	vbds	was	be	0
when	when	c-crq	when	when	0
any	any	d	any	any	0
were	were	vbdr	were	be	0
syck	syck	j	sick	sick	0
to	to	pc-acp	to	to	0
lay	lay	vvi	lay	lay	0
hym	hym	pno31	him	he	0
abroade	abroade	av	abroad	abroad	0
,	,	,	,	,	0
that	that	cst	that	that	0
euery	euery	d	every	every	0
man	man	n1	man	man	0
that	that	cst	that	that	0
passed	passed	vvd	passed	pass	0
by	by	p-acp	by	by	0
myght	myght	vmd	might	may	0
tell	tell	vvi	tell	tell	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
bene	bene	vbn	be	be	0
vexed	vexed	vvn	vexed	vex	0
wyth	wyth	p-acp	with	with	0
lyke	lyke	av-j	like	like	0
syckenes	syckenes	n1	sickness	sickness	0
what	what	r-crq	what	what	0
thyng	thyng	n1	thing	thing	0
was	was	vbds	was	be	0
that	that	d	that	that	0
,	,	,	,	,	0
that	that	cst	that	that	0
dyd	dyd	vdd	did	do	0
cure	cure	vvi	cure	cure	0
and	and	cc	and	and	0
heale	heale	vvi	heal	heal	0
hym	hym	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
they	they	pns32	they	they	0
myght	myght	vmd	might	may	0
vse	vse	vvi	use	use	0
i	i	sy	i	i	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
pacyente	pacyente	j	pacyente	pacyente	0
.	.	.	.	.	1
And	And	cc	And	and	0
by	by	p-acp	by	by	0
thys	thys	d	this	this	0
meanes	meanes	n2	means	mean	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
thou	thou	pns21	thou	thou	0
∣	∣	sy	∣	∣	0
ght	ght	n1	ght	ght	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
scyence	scyence	n1	science	science	0
of	of	pp-f	of	of	0
physyck	physyck	n1	physyck	physyck	0
was	was	vbds	was	be	0
first	first	ord	first	first	0
found	found	vvn	found	find	0
oute	oute	av	out	out	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
maye	maye	vmb	may	may	0
appeare	appeare	vvi	appear	appear	0
that	that	cst	that	that	0
thys	thys	d	this	this	0
redynes	redynes	n1	readiness	readiness	0
to	to	pc-acp	to	to	0
teach	teach	vvi	teach	teach	0
an	an	dt	and	a	0
other	other	j-jn	other	other	0
that	that	d	that	that	0
thing	thing	n1	thing	thing	0
wherein	wherein	c-crq	wherein	wherein	0
a	a	dt	a	a	0
man	man	n1	man	man	0
fealeth	fealeth	vvz	fealeth	feal	0
ease	ease	n1	ease	ease	0
of	of	pp-f	of	of	0
gryefe	gryefe	n1	grief	grief	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
onlye	onlye	av-j	only	only	0
Christian	Christian	np1	Christian	Christian	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
naturall	naturall	j	natural	natural	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
oure	oure	po12	our	our	0
greate	greate	j	great	great	0
trouble	trouble	n1	trouble	trouble	0
,	,	,	,	,	0
whyche	whyche	r-crq	which	which	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
dyd	dyd	vdd	did	do	0
happen	happen	vvi	happen	happen	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
all	all	d	all	all	0
the	the	dt	the	the	0
worlde	worlde	n1	world	world	0
☜	☜	☜	☜	☜	0
doth	doth	vdz	does	do	0
knowe	knowe	vvi	know	know	0
)	)	)	)	)	0
when	when	q-crq	when	when	0
it	it	pn31	it	it	0
please	please	vvb	please	please	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
tyme	tyme	n1	time	time	0
to	to	pc-acp	to	to	0
attempte	attempte	vvi	attempt	attempt	0
vs	vs	pno12	us	we	0
wyth	wyth	p-acp	with	with	0
hys	hys	po31	his	his	0
scourge	scourge	n1	scourge	scourge	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
proue	proue	vvi	prove	prove	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
loued	loued	vvd	loved	love	0
hym	hym	pno31	him	he	0
,	,	,	,	,	0
In	In	p-acp	In	in	0
reading	reading	vvg	reading	read	0
thys	thys	d	this	this	0
boke	boke	n1	book	book	0
we	we	pns12	we	we	0
dyd	dyd	vdd	did	do	0
fynde	fynde	vvi	find	find	0
greate	greate	j	great	great	0
comforte	comforte	n1	comfort	comfort	0
